HOG	OG	Gene Tree Parent Clade	Eco	Mtu	Pae	Sal	Sen	sac
N0.HOG0000012	OG0000002	n0		YP_177677.1, YP_177778.1, YP_177906.1, YP_177998.1, YP_177801.1, YP_177976.1, YP_177795.1, YP_177844.1, YP_177840.1, YP_177845.1, YP_177841.1, YP_177827.1, YP_177835.1, YP_177913.1, YP_177836.1, YP_177833.1, YP_177828.1, YP_177935.1, YP_177984.1, YP_177765.1, YP_177881.1, YP_177859.1, YP_177973.1, YP_177971.1, YP_177972.1, YP_177839.1, YP_177893.1, YP_177987.1, YP_177726.2, YP_177753.1, YP_177764.1, YP_177790.1, YP_177960.1, YP_177963.1, YP_177964.1, YP_177937.1, YP_177985.1, YP_177988.1, YP_177936.2, YP_177850.1, YP_177655.1, YP_177830.1, YP_177715.1, YP_177817.1, YP_177721.2, YP_177870.1, YP_177932.1, YP_177791.1, YP_177709.1, YP_177727.1, YP_177806.1, YP_177711.1, YP_178010.1, YP_177704.1, YP_177690.1, YP_177861.1, YP_177918.1, YP_178009.1, YP_178022.1, YP_177934.1				
N0.HOG0000013	OG0000003	n0		NP_215456.1, YP_177802.1	NP_251476.1	WP_015507892.1, WP_015507649.1, WP_015507329.1, WP_234344663.1, WP_003949933.1, WP_003951515.1, WP_008416226.1, WP_033237561.1, WP_003948968.1, WP_015507613.1, WP_003949464.1, WP_008413831.1, WP_003946822.1, WP_003949356.1, WP_008409854.1, WP_015508251.1, WP_003951529.1, WP_003950333.1, WP_003950388.1, WP_015508053.1, WP_003951678.1, WP_015507574.1, WP_015507049.1, WP_008406734.1, WP_003949587.1, WP_015507653.1, WP_235208962.1, WP_003950102.1, WP_010642591.1, WP_015507839.1, WP_003950639.1, WP_202550280.1, WP_003952028.1, WP_015507650.1, WP_015508303.1, WP_015506879.1, WP_010644087.1, WP_003946797.1, WP_003947683.1, WP_003947149.1, WP_235208971.1, WP_003949272.1, WP_003950290.1, WP_175509027.1, WP_015508205.1, WP_003949849.1, WP_015507314.1, WP_015507428.1, WP_003946668.1, WP_003949882.1, WP_003949466.1, WP_003946743.1, WP_003949149.1, WP_003949290.1, WP_003951665.1, WP_003949566.1		
N0.HOG0000014	OG0000004	n1	NP_415961.1, NP_415903.4, NP_415816.1, NP_418045.4, NP_414846.1	NP_217374.1, NP_214972.1, NP_215282.1, NP_214737.1	NP_252762.1, NP_252878.1, NP_248910.1, NP_253999.1, NP_250674.1, NP_252711.1, NP_254060.1, NP_252812.1, NP_252194.1, NP_250815.1	WP_003951158.1, WP_008409424.1, WP_008410488.1, WP_003948365.1, WP_003951987.1, WP_235208974.1	NP_460556.3, NP_462044.1, NP_462580.1, NP_460075.1	WP_011277953.1
N0.HOG0000015	OG0000004	n37	NP_415905.1			WP_003950199.1		WP_011278546.1
N0.HOG0000016	OG0000004	n39				WP_003951171.1		WP_011277147.1
N0.HOG0000017	OG0000004	n40			NP_253586.1	WP_003948955.1		WP_011278665.1
N0.HOG0000018	OG0000004	n42						WP_011277087.1, WP_011278743.1, WP_011278508.1
N0.HOG0000019	OG0000004	n44	NP_417147.1		NP_248956.1		NP_461717.1	
N0.HOG0000020	OG0000005	n1		NP_215487.1	NP_249570.1	WP_003950076.1	NP_459834.1	WP_011278521.1
N0.HOG0000021	OG0000005	n6	NP_414581.1, NP_416210.4		NP_253666.1	WP_003951892.1	NP_459078.1, NP_460322.1	WP_011279022.1
N0.HOG0000022	OG0000005	n12		NP_214914.1, NP_214645.1, NP_216195.1, NP_217016.1, NP_217305.1, NP_215388.1, NP_215266.1, NP_217791.1, NP_217240.1, NP_215490.1	NP_249138.1, NP_251242.1, NP_250322.1, NP_249437.1, NP_249878.1, NP_253125.1, NP_251579.1, NP_250226.1, NP_250705.1	WP_003947805.1, WP_010640555.1, WP_003949772.1, WP_015507859.1, WP_003946789.1, WP_003952195.1, WP_015508183.1, WP_003951772.1, WP_003950402.1, WP_003952053.1, WP_003948164.1		WP_011277892.1, WP_011277977.1, WP_011279005.1
N0.HOG0000023	OG0000006	n0	NP_416137.1, NP_414879.3, NP_418369.1, NP_418685.1, YP_026222.1, NP_417194.2, NP_416656.1, NP_417314.1, NP_415836.1, NP_418209.1, NP_416175.1	NP_218092.1	NP_250949.1, NP_251010.1, NP_250639.1	WP_003951729.1, WP_015506860.1, WP_003947201.1, WP_003949441.1, WP_003948200.1, WP_003950376.1, WP_003952036.1, WP_003950665.1, WP_003949050.1, WP_003952266.1, WP_003951977.1, WP_003948475.1, WP_003949058.1, WP_026047982.1, WP_015507985.1, WP_003951309.1, WP_010640467.1	NP_462535.1, NP_462975.1, NP_461287.1, NP_462596.1, NP_463341.1, NP_462444.1, NP_461929.1, NP_461136.1, NP_461928.1, NP_460514.1, NP_462785.1, NP_460393.1	
N0.HOG0000024	OG0000007	n1	NP_415763.1, NP_417997.1, NP_416000.1		NP_253196.1	WP_008406162.1, WP_003950653.1, WP_003950997.1, WP_015507006.1	NP_460701.1, NP_462528.1	WP_011278573.1, WP_011277893.1
N0.HOG0000025	OG0000007	n12	NP_416685.1, NP_415350.2, NP_417936.1, YP_025300.1, NP_416001.1, NP_415807.1, NP_417998.1	NP_218180.1, NP_215797.1	NP_250498.1, NP_250751.1, NP_253195.1	WP_003946591.1, WP_008404717.1, WP_015506921.1, WP_003951181.1, WP_003946592.1, WP_015508311.1, WP_003950996.1, WP_003950647.1, WP_003950652.1, WP_003951198.1	NP_461163.1, NP_459825.1, NP_460702.1, NP_460653.1, NP_462529.1	WP_011278572.1, WP_011277894.1
N0.HOG0000026	OG0000008	n1	NP_416765.1, NP_415912.1	NP_215486.1, NP_215062.1, NP_218067.1, NP_215988.1, NP_215658.1, NP_215657.1, NP_217002.1, NP_215420.1, NP_217890.1, NP_217347.1	NP_250703.1, NP_251580.1, NP_253667.1, NP_253020.1, NP_249712.1	WP_003950078.1, WP_003950683.1, WP_003952073.1	NP_461249.1	WP_011279073.1
N0.HOG0000027	OG0000008	n23	NP_414578.2	NP_218033.1, NP_214736.1			NP_459075.1	
N0.HOG0000028	OG0000008	n27		NP_217555.1	NP_249436.1	WP_003950197.1, WP_003950965.1, WP_003948346.1		
N0.HOG0000029	OG0000008	n32		NP_215586.1		WP_015506712.1		WP_015385795.1
N0.HOG0000030	OG0000008	n34	NP_415911.1		NP_250320.1, NP_252281.1			WP_011278580.1, WP_011278859.1, WP_011278446.1
N0.HOG0000031	OG0000009	n0	NP_414997.1, NP_417730.1, NP_416135.1	NP_218074.1, NP_217676.1, NP_214816.1, NP_217922.1, NP_217574.1, NP_217571.1, NP_218347.1, NP_214592.1, NP_215990.1, NP_214658.1, NP_217812.1, NP_216050.1	NP_250710.1, NP_252264.1, NP_251575.1, NP_251696.1, NP_250527.1, NP_250960.1, NP_249981.1, NP_250006.1	WP_003947597.1, WP_015508117.1, WP_003949326.1, WP_003947253.1, WP_003947134.1, WP_015508003.1, WP_031178018.1, WP_037629701.1, WP_003949847.1, WP_015506674.1, WP_003950079.1, WP_003952191.1	NP_459472.1, NP_462299.1	WP_015385553.1
N0.HOG0000032	OG0000010	n0	NP_418459.1, NP_417907.2, NP_415376.4, NP_415958.1, NP_415644.1, NP_414608.1, NP_417737.1, NP_416917.1, NP_414796.2	NP_215754.1, NP_217348.1, NP_216554.1, YP_177879.1	NP_251031.1, NP_251877.1, NP_248993.1, NP_249294.1, NP_252297.1, NP_248897.1, NP_249017.1, NP_254063.1, NP_252228.1, NP_248971.1, NP_251944.1	WP_008409802.1, WP_003951160.1, WP_003951145.1	NP_463095.1, NP_462455.1, NP_459855.1, NP_460196.1, NP_460594.1, NP_461376.1, NP_459423.1	WP_011278015.1
N0.HOG0000033	OG0000011	n0		NP_217430.1, NP_216262.1, NP_216604.1, NP_216259.1, NP_215782.1, NP_215446.1, NP_216692.1, NP_214528.1, NP_214529.1, YP_177991.1, NP_218041.1	NP_248764.1, NP_250473.1, NP_250362.1	WP_015508019.1, WP_003949314.1, WP_003949313.1, WP_003949341.1, WP_008406881.1, WP_015507469.1, WP_234479766.1, WP_015507734.1, WP_015507732.1, WP_015508112.1, WP_015507842.1, WP_003950484.1, WP_003950483.1, WP_003949359.1, WP_015507733.1, WP_003949387.1, WP_015508155.1, WP_015507911.1, WP_015506710.1, WP_015507324.1, WP_015507477.1		
N0.HOG0000034	OG0000012	n0	NP_416629.4, NP_416697.1, NP_415739.1		NP_253948.1, NP_252568.1, NP_249292.1, NP_250670.1	WP_003951700.1, WP_003951582.1, WP_003948568.1, WP_010638286.1, WP_003949591.1, WP_003949867.1, WP_003947662.1, WP_003947117.1, WP_003949975.1, WP_003952272.1, WP_015508062.1, WP_003949167.1, WP_008409330.1, WP_008405479.1, WP_003948901.1, WP_003947212.1, WP_003949701.1, WP_015507284.1, WP_003951787.1, WP_003950460.1, WP_003948537.1, WP_049978838.1, WP_003947363.1	NP_461103.1, NP_461189.1, NP_460723.1, NP_462689.1	
N0.HOG0000035	OG0000013	n3				WP_015507746.1		WP_015385512.1
N0.HOG0000036	OG0000013	n4				WP_015508079.1, WP_003951151.1, WP_003947636.1		WP_011278838.1
N0.HOG0000037	OG0000013	n7		NP_217808.1, NP_216840.1	NP_251267.1, NP_253472.1	WP_003946851.1, WP_008415787.1, WP_008407389.1, WP_008406376.1		
N0.HOG0000038	OG0000013	n15	NP_418199.1				NP_462775.1	WP_011277630.1, WP_015385528.1
N0.HOG0000039	OG0000013	n18	NP_415409.1, NP_414981.4	NP_217295.2	NP_250772.1, NP_250936.1, NP_253995.1, NP_253198.1, NP_252654.1, NP_250718.1	WP_003946847.1	NP_459976.1, NP_459935.1, NP_459455.1	WP_230937913.1, WP_011278403.1
N0.HOG0000040	OG0000014	n0	NP_417978.2, NP_417532.1, NP_416313.4		NP_251567.1, NP_251224.1, NP_252863.1, NP_251006.1, NP_251814.1, NP_251825.1, NP_252584.1, NP_249567.1, NP_248849.1, NP_251528.1, NP_248871.1, NP_250019.1, NP_251137.1, NP_252834.1, NP_250651.1, NP_250948.1, NP_251237.1, NP_248746.1, NP_252320.1, NP_251122.1, NP_249892.1, NP_250813.1, NP_251538.1, NP_249758.1, NP_251371.1, NP_252255.1, NP_250746.1		NP_462508.1, NP_459328.1, NP_460635.1	
N0.HOG0000041	OG0000015	n0	NP_415801.1, NP_418485.1, NP_414990.2, NP_414849.1, NP_416006.4	NP_215873.1, NP_215870.1	NP_254129.1, NP_249266.1, NP_248976.1, NP_253291.1, NP_253704.1, NP_253057.1, NP_252001.1, NP_250418.1, NP_253982.1, NP_251257.1, NP_250890.1, NP_252636.1, NP_250823.1, NP_250124.1, NP_250762.1	WP_015507068.1, WP_015508264.1, WP_015507158.1, WP_003949937.1, WP_015507061.1	NP_460662.1, NP_462298.1, NP_463129.1, NP_459463.1, NP_459338.1	
N0.HOG0000042	OG0000016	n1	NP_416216.5, NP_414579.4	NP_218078.1, NP_217021.1, NP_217605.1, NP_214728.1, NP_214633.1, NP_214680.1, NP_215065.1	NP_251247.1	WP_003951702.1, WP_015506821.1, WP_003946499.1	NP_460316.1, NP_459076.1	WP_011278995.1
N0.HOG0000043	OG0000016	n17		NP_215574.1		WP_003949478.1		
N0.HOG0000044	OG0000016	n19			NP_252613.1			WP_011278587.1, WP_011279013.1, WP_011277976.1
N0.HOG0000045	OG0000016	n22			NP_252887.1			WP_011277965.1, WP_011277980.1, WP_011278999.1, WP_011277913.1, WP_011277941.1
N0.HOG0000046	OG0000017	n0	NP_416796.2, NP_417175.1, NP_415833.1, NP_418171.1, NP_417844.1	NP_217917.1, NP_216748.2	NP_250757.1, NP_249253.1, NP_251664.1, NP_251862.1, NP_249299.1, NP_248755.1, NP_249501.1	WP_003947892.1, WP_003947099.1, WP_003947827.1, WP_003947214.1, WP_003952217.1, WP_003948850.1, WP_003947697.1, WP_003946753.1, WP_015507353.1	NP_461276.3, NP_461746.1, NP_462751.1, NP_462385.1	WP_230937893.1
N0.HOG0000047	OG0000018	n1	NP_414669.1	NP_217452.1	NP_251502.1	WP_003950053.1, WP_003949234.1, WP_003948329.1, WP_003949891.1, WP_003949020.1, WP_003946527.1	NP_459177.1	WP_011278507.1, WP_011279090.1, WP_015385676.1, WP_080504011.1, WP_015385409.1
N0.HOG0000048	OG0000018	n15	NP_417668.1	NP_216203.1	NP_253151.1	WP_037629668.1, WP_015507076.1, WP_003950322.1, WP_003950361.1, WP_003949530.1	NP_462229.1	WP_011279093.1, WP_011277810.1
N0.HOG0000049	OG0000019	n0	NP_417345.1, NP_415819.4, NP_418304.1		NP_252836.1, NP_252710.1, NP_250354.1, NP_251049.1, NP_251044.1, NP_252621.1, NP_249788.1, NP_250695.1, NP_249887.1, NP_250635.1, NP_254198.1, NP_253853.1, NP_250026.1, NP_253414.1, NP_254170.1, NP_253237.1, NP_249790.1, NP_253812.1	WP_003951635.1	NP_460649.1, NP_459644.1, NP_461303.1, NP_462885.1	
N0.HOG0000050	OG0000020	n1					NP_462614.1	WP_011278635.1, WP_011278097.1
N0.HOG0000051	OG0000020	n3	NP_416536.1, NP_416548.1	NP_216704.2, NP_215000.1, NP_215728.1, NP_217548.1, NP_214739.1	NP_250080.1, NP_250076.1, NP_253691.1, NP_251749.1, NP_254134.1	WP_015506766.1, WP_015508017.1, WP_010641599.1, WP_015507642.1, WP_037629447.1, WP_015508088.1	NP_459706.1, NP_461045.1, NP_461031.1	WP_011277679.1, WP_011278712.1
N0.HOG0000052	OG0000021	n0			NP_248870.1, NP_252980.1, NP_252397.1, NP_250114.1, NP_250620.1, NP_249102.1, NP_251263.1, NP_250252.1, NP_253531.1, NP_250337.1, NP_253759.1, NP_251251.1, NP_250299.1, NP_249942.1, NP_251557.1, NP_251478.1, NP_253602.1, NP_253210.1, NP_253323.1, NP_251344.1, NP_251610.1, NP_251342.1, NP_252997.1, NP_252999.1, NP_253000.1		NP_462053.1	
N0.HOG0000053	OG0000022	n0				WP_003948958.1, WP_003947485.1, WP_008410190.1, WP_003950414.1, WP_003946824.1, WP_037629930.1, WP_003951050.1, WP_003949145.1, WP_003949994.1, WP_003949725.1, WP_015507438.1, WP_003949067.1, WP_078485275.1, WP_003948593.1, WP_003949117.1, WP_075986756.1, WP_003949911.1, WP_003949909.1, WP_003949910.1, WP_003949023.1, WP_003949024.1, WP_003949781.1, WP_003949782.1, WP_003950526.1, WP_174905216.1, WP_003950139.1		
N0.HOG0000054	OG0000023	n0	NP_414880.2, NP_418442.2, NP_415039.1, NP_416341.1, NP_414806.1, NP_418719.1, NP_418031.1	NP_216289.1, NP_216235.1, NP_217505.1	NP_253031.1, NP_248845.1, NP_250321.1, NP_252198.1, NP_248927.1	WP_003950533.1, WP_003949752.1, WP_003951782.1, WP_003947216.1, WP_003948301.1, WP_003951083.1	NP_463052.1, NP_459511.1, NP_460798.1, NP_462567.1	
N0.HOG0000055	OG0000024	n0	NP_415857.2, NP_416039.1, NP_416007.3, NP_415355.1, NP_416052.1, NP_414919.1, NP_416308.4		NP_248981.1, NP_253022.2, NP_248859.1, NP_249029.1, NP_251560.1, NP_251461.1, NP_254174.1, NP_251867.1, NP_249798.1, NP_253530.1, NP_252391.1, NP_252033.1, NP_250542.1, NP_253616.1	WP_003952101.1, WP_015507805.1	NP_459380.1, NP_463410.1	
N0.HOG0000056	OG0000025	n0	NP_415401.1, NP_415156.1, NP_416337.1, NP_416075.1, NP_418012.1, NP_415510.1, NP_416070.1	NP_218165.1	NP_251312.1, NP_250650.1, NP_249850.1, NP_249652.2, NP_249147.1, NP_251956.1	WP_003948780.1, WP_003949353.1, WP_003947520.1, WP_003949855.1, WP_003949956.1	NP_459920.1, NP_460591.1, NP_459621.1, NP_460793.1, NP_462550.1, NP_460947.1	
N0.HOG0000057	OG0000026	n0		NP_217637.1, NP_216396.3, NP_218035.1, NP_215280.1, NP_218062.1, NP_216782.1, NP_215292.1	NP_252021.1, NP_251165.1	WP_008413051.1, WP_003950346.1, WP_018471168.1, WP_015506912.1, WP_015507337.1, WP_015508130.1, WP_003951535.1, WP_008404067.1, WP_003950028.1, WP_003946523.1, WP_010644813.1, WP_003952148.1, WP_003946683.1, WP_003946583.1, WP_003951357.1		WP_011278877.1
N0.HOG0000058	OG0000027	n1	NP_417485.4, NP_414743.1	NP_217487.1	NP_252856.1	WP_049978434.1, WP_003951739.1, WP_044474758.1, WP_003946763.1	NP_462080.1, NP_460634.1, NP_459253.1	WP_011279042.1, WP_011277059.1
N0.HOG0000059	OG0000027	n13	NP_416295.1, NP_416285.1	NP_216814.1	NP_249495.1, NP_253679.1, NP_249818.1	WP_003951424.1, WP_015507063.1, WP_003948102.1	NP_460254.1	WP_011277717.1
N0.HOG0000060	OG0000028	n0	NP_418537.1, NP_417497.1, NP_418348.1, NP_415103.1, NP_416478.2	NP_215418.1, NP_215496.2, NP_215116.1	NP_249447.1, NP_253464.1, NP_251169.1, NP_251894.1, NP_251499.1, NP_251213.1, NP_250128.1, NP_253572.1	WP_003949052.1, WP_003947639.1, WP_003950911.1	NP_461711.1, NP_463157.1, NP_462092.1, NP_462940.1, NP_460069.3	
N0.HOG0000061	OG0000029	n0	NP_417071.1, NP_418227.1, NP_415859.1, NP_417631.2, NP_415318.1	NP_215769.1, NP_217727.1	NP_252156.1, NP_252550.3, NP_249146.1, NP_251530.1, NP_252639.1, NP_249119.1	WP_015508040.1, WP_003949856.1, WP_008416200.1, WP_003949547.1, WP_235208992.1	NP_461578.1, NP_462805.1, NP_460614.1, NP_462193.3, NP_459798.1	WP_015385551.1
N0.HOG0000062	OG0000030	n0	NP_418456.1, NP_415828.1, NP_417908.1	YP_177866.1, NP_216555.1, NP_217350.1, NP_215753.1	NP_251878.1, NP_251030.1	WP_008409230.1, WP_003946779.1, WP_003952188.1, WP_003951567.1, WP_003950478.1, WP_003948204.1, WP_003950379.1, WP_003951312.1, WP_003948481.1, WP_003950772.1, WP_003950513.1, WP_003951373.1	NP_463092.1, NP_462456.1	WP_011278012.1
N0.HOG0000063	OG0000031	n0	NP_417150.4, NP_416058.1	NP_214557.1	NP_249488.1, NP_253593.1, NP_248811.1, NP_250211.1, NP_250217.1, NP_249960.1	WP_015506978.1, WP_003948976.1, WP_003947982.1, WP_003948132.1, WP_003949307.1, WP_003951509.1, WP_003949606.1, WP_015506870.1, WP_003952066.1, WP_003947677.1, WP_015507723.1	NP_461720.1, NP_460470.1, NP_462268.1, NP_462267.1	
N0.HOG0000064	OG0000032	n0	NP_415118.1	NP_216896.3, NP_214615.1, NP_217106.1, NP_216895.1	NP_251090.2, NP_251089.1, NP_251114.1, NP_251092.1, NP_250995.1, NP_252017.1	WP_015507661.1, WP_003951361.1, WP_015507663.1, WP_015507662.1, WP_015507664.1, WP_015506967.1, WP_003946670.1, WP_235208975.1, WP_015508335.1, WP_015506678.1, WP_015507581.1	NP_459580.1	
N0.HOG0000065	OG0000033	n0	NP_418535.1, YP_009518786.1, NP_416488.1, NP_417980.1	NP_215716.1	NP_249394.1, NP_253033.1, NP_254057.1, NP_252285.1, NP_252438.1	WP_003950977.1, WP_003950572.1, WP_003952295.1, WP_008409303.1, WP_003949194.1	NP_463155.1, NP_447926.1, NP_459217.1, NP_462510.1	WP_011278614.1, WP_011277560.1, WP_011278539.1, WP_011278643.1
N0.HOG0000066	OG0000034	n0		NP_216905.1, NP_216400.1, NP_216966.1, NP_215525.1, NP_215382.1	NP_253094.1, NP_254238.1, NP_254050.1	WP_003948984.1, WP_003948885.1, WP_003949447.1, WP_003946748.1, WP_003951923.1, WP_003951318.1, WP_003948514.1, WP_003949556.1, WP_015508095.1, WP_015507244.1, WP_003950348.1, WP_003949757.1, WP_015507845.1, WP_003951734.1, WP_003949967.1		
N0.HOG0000067	OG0000035	n0	NP_415185.1, NP_415330.1, NP_416809.1, NP_416427.1, NP_415385.1		NP_250030.1, NP_252881.1, NP_253761.1, NP_249947.1, NP_249583.1, NP_251616.1, NP_253839.1	WP_003951850.1, WP_165397778.1, WP_010642355.1, WP_018895411.1, WP_003950612.1	NP_459654.1, NP_459805.1, NP_461293.1, NP_460904.1, NP_459867.1	
N0.HOG0000068	OG0000036	n0	NP_417909.1, NP_415827.1	NP_216556.1, NP_217351.1, NP_215752.1, NP_216832.1	NP_251029.1, NP_251879.1	WP_003951311.1, WP_003948203.1, WP_003950378.1, WP_003951566.1, WP_003952187.1, WP_003948480.1, WP_015506962.1, WP_015507200.1, WP_003947731.1, WP_015508245.1, WP_003950771.1, WP_003950512.1	NP_462457.1	WP_011278013.1
N0.HOG0000069	OG0000037	n0	NP_414794.4, NP_415108.1, NP_414654.1, NP_414936.1, YP_026258.1, NP_415970.4	YP_177863.1, YP_177718.1	NP_253668.1, NP_250769.1, NP_251690.1, NP_249557.1, NP_253784.1, NP_249480.1	WP_003950560.1	NP_461299.1, NP_459560.1, NP_459155.1, NP_459395.1, NP_462820.1, NP_460543.1	
N0.HOG0000070	OG0000038	n0	NP_417926.1, NP_415017.1, YP_009518752.1	NP_215985.1, NP_218260.1, NP_216508.1, NP_217787.1, NP_215484.3, NP_214617.1, NP_214606.1	NP_250240.1, NP_252380.1, NP_251125.1, NP_252609.1	WP_003952027.1, WP_003951459.1, WP_003948144.1	NP_462477.1, NP_459493.1, NP_459348.1	WP_011277740.1
N0.HOG0000071	OG0000039	n0		NP_217448.1, NP_217447.1, NP_217462.1, NP_216179.1, NP_216177.1, NP_216564.2, NP_216178.1, NP_216897.1, NP_214919.1, NP_216180.1, NP_217451.1, NP_217463.1, NP_216898.1, NP_218317.1, NP_215696.1, NP_215697.1, NP_218342.1, NP_216043.1, NP_217456.1, NP_217449.1, NP_217450.1				
N0.HOG0000072	OG0000040	n0		NP_217362.1	NP_249973.1, NP_249953.1, NP_250745.1	WP_003949262.1, WP_015507660.1, WP_003949486.1, WP_003948931.1, WP_003946455.1, WP_003947107.1, WP_015507647.1, WP_003947315.1, WP_003950829.1, WP_015507599.1, WP_003946801.1, WP_003947803.1, WP_015508142.1, WP_015507818.1, WP_015506876.1, WP_003950209.1	NP_460533.1	
N0.HOG0000073	OG0000041	n1	NP_416872.4					WP_176586682.1
N0.HOG0000074	OG0000041	n2	NP_414580.1, NP_416875.1	NP_217789.1, NP_215370.1, NP_215659.1, NP_216382.3	NP_252422.1, NP_249573.1, NP_252282.1, NP_249137.1, NP_249879.1	WP_003947531.1, WP_003952122.1, WP_003947806.1, WP_015506763.1, WP_015508078.1	NP_459077.1	WP_011278534.1
N0.HOG0000075	OG0000042	n1	NP_417935.1, NP_416002.1, NP_415353.1, NP_417999.1		NP_253194.1	WP_003951488.1, WP_003946593.1, WP_003951180.1, WP_003950995.1	NP_459828.1, NP_462530.1	WP_011277895.1
N0.HOG0000076	OG0000042	n12	NP_415761.1	NP_218181.1, NP_215798.1		WP_003950651.1, WP_003950646.1, WP_008410941.1	NP_460703.1	WP_011278571.1
N0.HOG0000077	OG0000043	n1	NP_415995.4		NP_254114.1	WP_003949273.1, WP_003946788.1	NP_460526.1	WP_011278921.1, WP_011277454.1, WP_011278853.1
N0.HOG0000078	OG0000043	n8	NP_417040.2, NP_418778.4, NP_416097.1, NP_416288.1	NP_216046.1	NP_252786.1	WP_015507862.1	NP_461998.1, NP_460502.1, NP_460466.1	WP_011277776.1, WP_011277969.1
N0.HOG0000079	OG0000044	n0				WP_003949913.1, WP_003949068.1, WP_003949724.1, WP_003949144.1, WP_008414952.1, WP_003949103.1, WP_226660293.1, WP_015507358.1, WP_003949025.1, WP_015507419.1, WP_037629979.1, WP_003949877.1, WP_003950405.1, WP_003948369.1, WP_015507228.1, WP_003946823.1, WP_010645123.1, WP_003947486.1, WP_008404305.1, WP_015507612.1		
N0.HOG0000080	OG0000045	n1		NP_215068.1, NP_217693.1	NP_253744.1	WP_003948914.1		WP_011279001.1
N0.HOG0000081	OG0000045	n5	NP_415529.1, NP_414883.5	NP_217231.1, NP_218086.1, YP_177890.1	NP_252199.1, NP_249520.1, NP_251639.1, NP_251743.1	WP_202550244.1, WP_010639731.1, WP_003950712.1	NP_461995.3	WP_011278638.1
N0.HOG0000082	OG0000046	n0	NP_414930.3, NP_416174.1, NP_416045.1	NP_214705.1	NP_253045.1, NP_252462.1, NP_252785.1, NP_251004.1, NP_252802.1, NP_251993.1, NP_250782.1, NP_251623.1, NP_252026.1	WP_003949240.1, WP_003948268.1, WP_003949974.1	NP_459389.1, NP_460482.1, NP_459255.1	
