HOG	OG	Gene Tree Parent Clade	Eco	Mtu	Pae	Sal	Sen	sac
N4.HOG0000034	OG0000007	n31	YP_025300.1				NP_460702.1	
N4.HOG0000035	OG0000007	n38	NP_415807.1				NP_460653.1	
N4.HOG0000036	OG0000007	n39	NP_417998.1				NP_462529.1	
N4.HOG0000037	OG0000008	n6	NP_416765.1				NP_461249.1	
N4.HOG0000038	OG0000008	n11	NP_415912.1					
N4.HOG0000039	OG0000008	n23	NP_414578.2				NP_459075.1	
N4.HOG0000040	OG0000008	n34	NP_415911.1					
N4.HOG0000041	OG0000009	n5	NP_414997.1				NP_459472.1	
N4.HOG0000042	OG0000009	n6	NP_417730.1				NP_462299.1	
N4.HOG0000043	OG0000010	n4	NP_418459.1				NP_463095.1	
N4.HOG0000044	OG0000010	n6	NP_417907.2				NP_462455.1	
N4.HOG0000045	OG0000010	n14	NP_415376.4				NP_459855.1	
N4.HOG0000046	OG0000010	n16	NP_415958.1					
N4.HOG0000047	OG0000010	n21	NP_415644.1				NP_460196.1	
N4.HOG0000048	OG0000010	n23	NP_414608.1					
N4.HOG0000049	OG0000010	n30	NP_417737.1				NP_460594.1	
N4.HOG0000050	OG0000010	n31	NP_416917.1				NP_461376.1	
N4.HOG0000051	OG0000010	n32	NP_414796.2				NP_459423.1	
N4.HOG0000052	OG0000012	n1	NP_416629.4				NP_461103.1	
N4.HOG0000053	OG0000012	n28	NP_416697.1				NP_461189.1	
N4.HOG0000054	OG0000012	n29	NP_415739.1				NP_460723.1	
N4.HOG0000055	OG0000012	n30					NP_462689.1	
N4.HOG0000056	OG0000013	n15	NP_418199.1				NP_462775.1	
N4.HOG0000057	OG0000013	n25	NP_415409.1				NP_459935.1	
N4.HOG0000058	OG0000013	n28	NP_414981.4				NP_459455.1	
N4.HOG0000059	OG0000014	n1	NP_417978.2				NP_462508.1	
N4.HOG0000060	OG0000014	n6	NP_417532.1, NP_416313.4				NP_459328.1	
N4.HOG0000061	OG0000014	n31					NP_460635.1	
N4.HOG0000062	OG0000015	n4	NP_415801.1				NP_460662.1	
N4.HOG0000063	OG0000015	n10					NP_462298.1	
N4.HOG0000064	OG0000015	n21	NP_418485.1				NP_463129.1	
N4.HOG0000065	OG0000015	n22	NP_414990.2				NP_459463.1	
N4.HOG0000066	OG0000015	n23	NP_414849.1				NP_459338.1	
N4.HOG0000067	OG0000015	n25	NP_416006.4					
N4.HOG0000068	OG0000016	n3	NP_416216.5				NP_460316.1	
N4.HOG0000069	OG0000016	n8	NP_414579.4				NP_459076.1	
N4.HOG0000070	OG0000017	n5	NP_416796.2				NP_461276.3	
N4.HOG0000071	OG0000017	n9	NP_417175.1, NP_415833.1				NP_461746.1	
N4.HOG0000072	OG0000017	n14	NP_418171.1				NP_462751.1	
N4.HOG0000073	OG0000017	n23	NP_417844.1				NP_462385.1	
N4.HOG0000074	OG0000018	n1	NP_414669.1				NP_459177.1	
N4.HOG0000075	OG0000018	n15	NP_417668.1				NP_462229.1	
N4.HOG0000076	OG0000019	n6	NP_415819.4				NP_460649.1	
N4.HOG0000077	OG0000019	n12					NP_459644.1	
N4.HOG0000078	OG0000019	n13					NP_461303.1	
N4.HOG0000079	OG0000019	n15	NP_418304.1				NP_462885.1	
N4.HOG0000080	OG0000020	n1					NP_462614.1	
N4.HOG0000081	OG0000020	n8	NP_416536.1					
N4.HOG0000082	OG0000020	n14					NP_459706.1	
N4.HOG0000083	OG0000020	n15	NP_416548.1				NP_461045.1	
N4.HOG0000084	OG0000020	n18					NP_461031.1	
N4.HOG0000085	OG0000021	n0					NP_462053.1	
N4.HOG0000086	OG0000023	n1	NP_414880.2					
N4.HOG0000087	OG0000023	n15	NP_418442.2				NP_463052.1	
N4.HOG0000088	OG0000023	n16	NP_415039.1				NP_459511.1	
N4.HOG0000089	OG0000023	n18	NP_416341.1, NP_414806.1				NP_460798.1	
N4.HOG0000090	OG0000023	n21	NP_418719.1, NP_418031.1				NP_462567.1	
N4.HOG0000091	OG0000024	n6	NP_415857.2					
N4.HOG0000092	OG0000024	n9	NP_416039.1					
N4.HOG0000093	OG0000024	n11	NP_416007.3, NP_415355.1, NP_416052.1					
N4.HOG0000094	OG0000024	n18	NP_414919.1				NP_459380.1	
N4.HOG0000095	OG0000024	n20					NP_463410.1	
N4.HOG0000096	OG0000024	n23	NP_416308.4					
N4.HOG0000097	OG0000025	n1	NP_415401.1				NP_459920.1	
N4.HOG0000098	OG0000025	n9					NP_460591.1	
N4.HOG0000099	OG0000025	n17	NP_415156.1				NP_459621.1	
N4.HOG0000100	OG0000025	n18	NP_416337.1				NP_460793.1	
N4.HOG0000101	OG0000025	n20	NP_416075.1, NP_418012.1				NP_462550.1	
N4.HOG0000102	OG0000025	n22	NP_415510.1, NP_416070.1				NP_460947.1	
N4.HOG0000103	OG0000027	n6	NP_417485.4				NP_462080.1	
N4.HOG0000104	OG0000027	n11					NP_460634.1	
N4.HOG0000105	OG0000027	n12	NP_414743.1				NP_459253.1	
N4.HOG0000106	OG0000027	n14	NP_416295.1				NP_460254.1	
N4.HOG0000107	OG0000027	n17	NP_416285.1					
N4.HOG0000108	OG0000028	n4					NP_461711.1	
N4.HOG0000109	OG0000028	n8	NP_418537.1				NP_463157.1	
N4.HOG0000110	OG0000028	n9	NP_417497.1				NP_462092.1	
N4.HOG0000111	OG0000028	n10	NP_418348.1				NP_462940.1	
N4.HOG0000112	OG0000028	n18	NP_415103.1					
N4.HOG0000113	OG0000028	n19	NP_416478.2				NP_460069.3	
N4.HOG0000114	OG0000029	n2	NP_417071.1				NP_461578.1	
N4.HOG0000115	OG0000029	n5	NP_418227.1				NP_462805.1	
N4.HOG0000116	OG0000029	n13	NP_415859.1				NP_460614.1	
N4.HOG0000117	OG0000029	n15	NP_417631.2				NP_462193.3	
N4.HOG0000118	OG0000029	n18	NP_415318.1				NP_459798.1	
N4.HOG0000119	OG0000030	n3	NP_418456.1				NP_463092.1	
N4.HOG0000120	OG0000030	n5	NP_415828.1					
N4.HOG0000121	OG0000030	n11	NP_417908.1				NP_462456.1	
N4.HOG0000122	OG0000031	n2	NP_417150.4				NP_461720.1	
N4.HOG0000123	OG0000031	n7	NP_416058.1				NP_460470.1	
N4.HOG0000124	OG0000031	n20					NP_462268.1, NP_462267.1	
N4.HOG0000125	OG0000032	n1	NP_415118.1				NP_459580.1	
N4.HOG0000126	OG0000033	n9	NP_418535.1				NP_463155.1	
N4.HOG0000127	OG0000033	n14	YP_009518786.1				NP_447926.1	
N4.HOG0000128	OG0000033	n15	NP_416488.1				NP_459217.1	
N4.HOG0000129	OG0000033	n19	NP_417980.1				NP_462510.1	
N4.HOG0000130	OG0000035	n1	NP_415185.1				NP_459654.1	
N4.HOG0000131	OG0000035	n6	NP_415330.1				NP_459805.1	
N4.HOG0000132	OG0000035	n13	NP_416809.1				NP_461293.1	
N4.HOG0000133	OG0000035	n19	NP_416427.1				NP_460904.1	
N4.HOG0000134	OG0000035	n20	NP_415385.1				NP_459867.1	
N4.HOG0000135	OG0000036	n4	NP_417909.1				NP_462457.1	
N4.HOG0000136	OG0000036	n17	NP_415827.1					
N4.HOG0000137	OG0000037	n6	NP_414794.4				NP_461299.1	
N4.HOG0000138	OG0000037	n12	NP_415108.1				NP_459560.1	
N4.HOG0000139	OG0000037	n13	NP_414654.1				NP_459155.1	
N4.HOG0000140	OG0000037	n15	NP_414936.1				NP_459395.1	
N4.HOG0000141	OG0000037	n17	YP_026258.1				NP_462820.1	
N4.HOG0000142	OG0000037	n19	NP_415970.4				NP_460543.1	
N4.HOG0000143	OG0000038	n4	NP_417926.1				NP_462477.1	
N4.HOG0000144	OG0000038	n14	NP_415017.1				NP_459493.1	
N4.HOG0000145	OG0000038	n15	YP_009518752.1				NP_459348.1	
N4.HOG0000146	OG0000040	n4					NP_460533.1	
N4.HOG0000147	OG0000041	n1	NP_416872.4					
N4.HOG0000148	OG0000041	n6	NP_414580.1				NP_459077.1	
N4.HOG0000149	OG0000041	n8	NP_416875.1					
N4.HOG0000150	OG0000042	n3	NP_417935.1					
N4.HOG0000151	OG0000042	n8	NP_415353.1				NP_459828.1	
N4.HOG0000152	OG0000042	n10	NP_417999.1				NP_462530.1	
N4.HOG0000153	OG0000042	n12	NP_415761.1				NP_460703.1	
N4.HOG0000154	OG0000043	n1	NP_415995.4				NP_460526.1	
N4.HOG0000155	OG0000043	n16	NP_418778.4				NP_461998.1	
N4.HOG0000156	OG0000043	n17	NP_416097.1				NP_460502.1, NP_460466.1	
N4.HOG0000157	OG0000045	n7	NP_415529.1					
N4.HOG0000158	OG0000045	n11	NP_414883.5					
N4.HOG0000159	OG0000045	n15					NP_461995.3	
N4.HOG0000160	OG0000046	n1	NP_414930.3, NP_416174.1				NP_459389.1	
N4.HOG0000161	OG0000046	n13	NP_416045.1				NP_460482.1	
N4.HOG0000162	OG0000046	n15					NP_459255.1	
N4.HOG0000163	OG0000047	n1					NP_463185.1	
N4.HOG0000164	OG0000047	n11	NP_415020.1				NP_459349.1, NP_459494.1	
N4.HOG0000165	OG0000047	n14	NP_417751.1				NP_462316.1	
N4.HOG0000166	OG0000048	n4	NP_418228.2				NP_462806.1	
N4.HOG0000167	OG0000048	n10	NP_415025.4				NP_459499.1	
N4.HOG0000168	OG0000048	n14	NP_417077.1				NP_461584.1	
N4.HOG0000169	OG0000049	n8	NP_417594.3				NP_462161.1	
N4.HOG0000170	OG0000049	n9	NP_415042.1				NP_459514.1	
N4.HOG0000171	OG0000049	n11	NP_417216.1				NP_461839.1	
N4.HOG0000172	OG0000049	n13	NP_418318.1				NP_462903.1	
N4.HOG0000173	OG0000051	n2	NP_418526.1					
N4.HOG0000174	OG0000051	n5	NP_418308.1				NP_459425.1	
N4.HOG0000175	OG0000051	n12	NP_418139.1, NP_415258.1				NP_462684.1	
N4.HOG0000176	OG0000051	n14	NP_417834.6				NP_462503.1	
N4.HOG0000177	OG0000052	n6	NP_416003.1, NP_418000.1				NP_462531.1	
N4.HOG0000178	OG0000052	n11	NP_415352.1				NP_459827.1	
N4.HOG0000179	OG0000052	n12	NP_417934.1				NP_460223.1	
N4.HOG0000180	OG0000053	n4					NP_462732.1, NP_463273.1	
N4.HOG0000181	OG0000053	n6	NP_417564.2				NP_462049.1	
N4.HOG0000182	OG0000053	n13	NP_417269.1				NP_461883.1	
N4.HOG0000183	OG0000053	n14	NP_417596.1				NP_462598.1	
N4.HOG0000184	OG0000053	n15	NP_418146.4				NP_462727.1	
N4.HOG0000185	OG0000053	n16					NP_459515.1	
N4.HOG0000186	OG0000054	n0	NP_417342.1, NP_417357.1					
N4.HOG0000187	OG0000055	n1	NP_415947.1				NP_460567.1	
N4.HOG0000188	OG0000056	n11	NP_416654.1				NP_461134.1	
N4.HOG0000189	OG0000056	n12	NP_418205.1				NP_462781.1	
N4.HOG0000190	OG0000056	n13	NP_418511.1					
N4.HOG0000191	OG0000056	n15	YP_026286.1					
N4.HOG0000192	OG0000057	n5	NP_418744.1				NP_463366.1	
N4.HOG0000193	OG0000057	n6	NP_417565.2				NP_462000.3	
N4.HOG0000194	OG0000057	n7	NP_418061.1, NP_417454.1				NP_462593.1	
N4.HOG0000195	OG0000061	n8					NP_462912.1	
N4.HOG0000196	OG0000061	n12					NP_459485.1	
N4.HOG0000197	OG0000062	n1	NP_418734.1				NP_459026.1	
N4.HOG0000198	OG0000062	n3	NP_415063.4				NP_459538.3	
N4.HOG0000199	OG0000062	n8	NP_418738.1, NP_416021.1				NP_459182.1	
N4.HOG0000200	OG0000062	n10	NP_415463.2				NP_459031.1	
N4.HOG0000201	OG0000062	n12	NP_417515.1, NP_415247.1				NP_461946.3	
N4.HOG0000202	OG0000062	n14	NP_417611.1				NP_459539.1	
N4.HOG0000203	OG0000063	n14	NP_415123.1				NP_459585.1	
N4.HOG0000204	OG0000065	n4	NP_416178.1				NP_460390.1	
N4.HOG0000205	OG0000066	n0	NP_416304.1				NP_460245.1	
N4.HOG0000206	OG0000067	n1					NP_459636.1	
N4.HOG0000207	OG0000067	n8	NP_416525.1				NP_461018.1	
N4.HOG0000208	OG0000068	n1	NP_417453.1					
N4.HOG0000209	OG0000068	n6	YP_026183.1					
N4.HOG0000210	OG0000070	n4	NP_414603.1				NP_459106.1	
N4.HOG0000211	OG0000070	n5	NP_418040.1				NP_462577.1	
N4.HOG0000212	OG0000070	n6	NP_418619.1				NP_463249.1	
N4.HOG0000213	OG0000070	n10	NP_417280.1				NP_461894.1	
N4.HOG0000214	OG0000071	n8	NP_417702.1				NP_462259.1	
N4.HOG0000215	OG0000071	n12	NP_414703.1				NP_459214.1	
N4.HOG0000216	OG0000071	n13	NP_417701.1				NP_462258.1	
N4.HOG0000217	OG0000072	n5	NP_417692.1				NP_462249.1	
N4.HOG0000218	OG0000072	n7	NP_418718.4, NP_414802.2				NP_462433.1	
N4.HOG0000219	OG0000072	n12	NP_416973.1				NP_461424.1	
N4.HOG0000220	OG0000073	n2	NP_414900.1					
N4.HOG0000221	OG0000074	n2	NP_414955.1				NP_459418.1	
N4.HOG0000222	OG0000074	n9	NP_417654.1				NP_462215.1	
N4.HOG0000223	OG0000075	n1	NP_415104.1				NP_459345.3	
N4.HOG0000224	OG0000075	n4	NP_418504.1				NP_461117.1	
N4.HOG0000225	OG0000076	n7	NP_415120.1				NP_459582.1	
N4.HOG0000226	OG0000076	n13	NP_418707.1					
N4.HOG0000227	OG0000077	n4	NP_415375.1				NP_459854.1	
N4.HOG0000228	OG0000077	n11	NP_415641.1				NP_460192.1	
N4.HOG0000229	OG0000078	n5	NP_416812.1				NP_461296.1	
N4.HOG0000230	OG0000078	n6	NP_416813.1				NP_461297.1	
N4.HOG0000231	OG0000078	n11	NP_415384.1				NP_459866.1	
N4.HOG0000232	OG0000078	n12	NP_415381.1				NP_463215.3, NP_459863.1	
N4.HOG0000233	OG0000079	n5	NP_418496.1				NP_463144.1	
N4.HOG0000234	OG0000079	n6	NP_416186.4				NP_461009.1	
N4.HOG0000235	OG0000079	n11	NP_415415.1				NP_459941.1, NP_460457.1	
N4.HOG0000236	OG0000079	n13	NP_416106.1				NP_463171.1	
N4.HOG0000237	OG0000080	n6	NP_415434.1				NP_459959.1	
N4.HOG0000238	OG0000081	n1	NP_415447.1				NP_459972.1	
N4.HOG0000239	OG0000082	n8	NP_415810.1				NP_460650.1	
N4.HOG0000240	OG0000082	n9	NP_418001.1				NP_462532.1	
N4.HOG0000241	OG0000082	n11	NP_417933.1				NP_460222.1	
N4.HOG0000242	OG0000082	n13	NP_416004.1					
N4.HOG0000243	OG0000083	n3	NP_416101.1				NP_460462.1	
N4.HOG0000244	OG0000083	n7	NP_415944.1				NP_460570.1	
N4.HOG0000245	OG0000084	n5	NP_416195.1				NP_460338.1	
N4.HOG0000246	OG0000084	n8	NP_417290.1				NP_461903.1	
N4.HOG0000247	OG0000085	n1	NP_416871.1					
N4.HOG0000248	OG0000085	n3	NP_417266.1				NP_461879.1	
N4.HOG0000249	OG0000086	n7	NP_418651.3					
N4.HOG0000250	OG0000086	n8	YP_026162.2, NP_418510.1, NP_418206.1				NP_462782.1	
N4.HOG0000251	OG0000086	n12	NP_417041.1, NP_418652.2					
N4.HOG0000252	OG0000087	n1	NP_417490.1				NP_462088.1	
N4.HOG0000253	OG0000088	n0	NP_418713.1					
N4.HOG0000254	OG0000091	n3	NP_414585.1				NP_459082.1	
N4.HOG0000255	OG0000091	n4	NP_416214.1				NP_460318.1	
N4.HOG0000256	OG0000092	n0	NP_414618.4				NP_459120.1	
N4.HOG0000257	OG0000093	n5	NP_414657.1				NP_459158.2	
N4.HOG0000258	OG0000093	n7	NP_415255.1				NP_459722.1	
N4.HOG0000259	OG0000094	n6	NP_417440.4				NP_462030.1	
N4.HOG0000260	OG0000094	n7	NP_415220.1				NP_459686.1	
N4.HOG0000261	OG0000094	n10	NP_414728.1				NP_459239.1	
N4.HOG0000262	OG0000094	n11	NP_418555.1				NP_461494.1	
N4.HOG0000263	OG0000094	n12	NP_418541.2				NP_463161.1	
N4.HOG0000264	OG0000095	n1	NP_414769.1				NP_462554.1	
N4.HOG0000265	OG0000095	n6	NP_418790.1				NP_463414.1	
N4.HOG0000266	OG0000096	n5	NP_418493.1				NP_463140.1	
N4.HOG0000267	OG0000096	n10	NP_414869.1				NP_459366.1	
N4.HOG0000268	OG0000097	n4	NP_415938.1				NP_460585.2	
N4.HOG0000269	OG0000097	n8	NP_416400.1				NP_460876.1	
N4.HOG0000270	OG0000097	n9	NP_418775.1				NP_463392.1	
N4.HOG0000271	OG0000097	n10	NP_417543.1				NP_462131.1	
N4.HOG0000272	OG0000097	n11					NP_462067.1, NP_462130.1, NP_460616.1	
N4.HOG0000273	OG0000098	n1	NP_418134.1				NP_459040.1	
N4.HOG0000274	OG0000098	n7	NP_416015.2, NP_418245.1				NP_462037.1	
N4.HOG0000275	OG0000099	n6	NP_416409.1				NP_460884.1	
N4.HOG0000276	OG0000099	n7	NP_418358.1, NP_417952.1				NP_462492.1	
N4.HOG0000277	OG0000100	n6	NP_416909.1				NP_461365.1	
N4.HOG0000278	OG0000100	n11	NP_416916.1				NP_461375.1	
N4.HOG0000279	OG0000101	n0	NP_418712.1					
N4.HOG0000280	OG0000106	n4	NP_415011.1				NP_459487.1	
N4.HOG0000281	OG0000106	n8	NP_414589.1				NP_459091.1	
N4.HOG0000282	OG0000106	n9	NP_417809.1				NP_462361.1	
N4.HOG0000283	OG0000107	n8	NP_414754.1				NP_459306.1	
N4.HOG0000284	OG0000107	n10					NP_459623.1	
N4.HOG0000285	OG0000108	n4	NP_415545.1, NP_415073.1, NP_414833.1, NP_416593.1, NP_414906.1				NP_459321.1, NP_461696.1	
N4.HOG0000286	OG0000108	n10	NP_418015.1				NP_461444.1	
N4.HOG0000287	OG0000109	n2	NP_414890.1				NP_460586.1	
N4.HOG0000288	OG0000110	n7	NP_415028.1				NP_459502.1	
N4.HOG0000289	OG0000110	n9	NP_415635.4				NP_460188.1	
N4.HOG0000290	OG0000111	n1	NP_418540.1				NP_463160.1	
N4.HOG0000291	OG0000111	n4	NP_417973.1				NP_490500.1	
N4.HOG0000292	OG0000111	n6	NP_415078.1				NP_460056.1	
N4.HOG0000293	OG0000111	n7	NP_415096.1, NP_417972.1, NP_416016.1				NP_461796.1, NP_461788.1, NP_463180.1	
N4.HOG0000294	OG0000112	n1	NP_416612.1				NP_461094.1	
N4.HOG0000295	OG0000112	n2	NP_415246.2				NP_459333.1, NP_459299.1, NP_463449.1, NP_459180.1, NP_462539.1, NP_459028.1, NP_459541.1, NP_490509.1, NP_459201.1, NP_461945.1	
N4.HOG0000296	OG0000113	n10	NP_417583.4, NP_418664.2					
N4.HOG0000297	OG0000114	n6	NP_416159.2				NP_460407.3	
N4.HOG0000298	OG0000115	n5	NP_416651.1				NP_461131.1	
N4.HOG0000299	OG0000115	n9	NP_417363.2, NP_416963.1				NP_461414.1	
N4.HOG0000300	OG0000115	n11	NP_417680.1				NP_462241.1	
N4.HOG0000301	OG0000116	n3	NP_417884.1				NP_462428.1	
N4.HOG0000302	OG0000116	n9	NP_416744.1				NP_461226.1	
N4.HOG0000303	OG0000117	n3	NP_417958.1					
N4.HOG0000304	OG0000117	n7	NP_417153.1				NP_461723.1	
N4.HOG0000305	OG0000118	n3	NP_418733.1, NP_418732.1				NP_459701.1	
N4.HOG0000306	OG0000118	n6	NP_418256.1				NP_462834.1	
N4.HOG0000307	OG0000118	n9	NP_417370.1				NP_461960.1	
N4.HOG0000308	OG0000119	n1	NP_417906.1				NP_462454.1	
N4.HOG0000309	OG0000120	n0	NP_418072.1				NP_462607.1	
N4.HOG0000310	OG0000121	n1	YP_026287.1				NP_463333.1	
N4.HOG0000311	OG0000126	n0					NP_461338.1	
N4.HOG0000312	OG0000127	n6	NP_416273.1				NP_460267.1	
N4.HOG0000313	OG0000127	n7	NP_414641.1				NP_459142.1	
N4.HOG0000314	OG0000128	n1	NP_414746.1				NP_459257.1	
N4.HOG0000315	OG0000129	n1	YP_009518782.1				NP_460531.1	
N4.HOG0000316	OG0000129	n4	NP_415895.1				NP_460946.1, NP_460434.1	
N4.HOG0000317	OG0000129	n6	NP_416719.1				NP_460490.1, NP_461210.1	
N4.HOG0000318	OG0000129	n9	NP_415449.1				NP_459974.1	
N4.HOG0000319	OG0000129	n10	NP_414776.1				NP_459317.1	
N4.HOG0000320	OG0000130	n0	NP_414793.2, NP_415189.2, NP_415888.1, NP_416696.2, NP_416535.2, NP_417456.2, NP_417685.2, YP_009518770.2, NP_416498.2, NP_417962.2, NP_415084.2, NP_415847.2					
N4.HOG0000321	OG0000131	n1	NP_414933.1				NP_459392.1	
N4.HOG0000322	OG0000131	n7	NP_416125.2				NP_460435.1	
N4.HOG0000323	OG0000132	n1	NP_415464.4				NP_459032.1	
N4.HOG0000324	OG0000132	n3					NP_459298.1, NP_459181.1, NP_463450.1	
N4.HOG0000325	OG0000132	n8	NP_415459.1				NP_459027.1	
N4.HOG0000326	OG0000132	n9	NP_418736.3, NP_415064.1				NP_459540.1	
N4.HOG0000327	OG0000133	n1	NP_418572.4				NP_463202.1	
N4.HOG0000328	OG0000133	n5	NP_415075.1				NP_460612.1	
N4.HOG0000329	OG0000134	n2	NP_416326.1				NP_460780.1	
N4.HOG0000330	OG0000134	n6	NP_415780.1				NP_460682.1	
N4.HOG0000331	OG0000135	n2	NP_415981.1				NP_460540.1	
N4.HOG0000332	OG0000136	n4					NP_462733.1, NP_461215.1	
N4.HOG0000333	OG0000136	n6	YP_026237.1				NP_462728.1	
N4.HOG0000334	OG0000136	n7	NP_416098.1				NP_460465.1	
N4.HOG0000335	OG0000136	n8					NP_462597.1	
N4.HOG0000336	OG0000137	n3	NP_416112.1				NP_462036.1, NP_460447.1	
N4.HOG0000337	OG0000137	n7	YP_008592385.1, NP_417396.4, NP_417032.1					
N4.HOG0000338	OG0000138	n2	NP_416167.1				NP_460399.1	
N4.HOG0000339	OG0000139	n3	NP_416911.1				NP_461367.1	
N4.HOG0000340	OG0000139	n8	NP_416217.1				NP_460315.1	
N4.HOG0000341	OG0000140	n4	NP_416226.1				NP_460306.1	
N4.HOG0000342	OG0000140	n6	NP_418709.1, NP_418708.1					
N4.HOG0000343	OG0000140	n10					NP_459749.1	
N4.HOG0000344	OG0000141	n3	NP_416580.1				NP_461073.1	
N4.HOG0000345	OG0000141	n5	NP_416579.1				NP_461072.1	
N4.HOG0000346	OG0000142	n6	NP_416757.1				NP_461240.1	
N4.HOG0000347	OG0000142	n8	NP_416852.1				NP_463070.1, NP_459551.1	
N4.HOG0000348	OG0000143	n1	YP_026228.1				NP_462546.1	
N4.HOG0000349	OG0000143	n7	NP_417096.1					
N4.HOG0000350	OG0000144	n2	NP_417722.1				NP_462290.1	
N4.HOG0000351	OG0000145	n0					NP_459572.1	
N4.HOG0000352	OG0000151	n2					NP_459832.3	
N4.HOG0000353	OG0000151	n7	NP_416212.1				NP_460320.1	
N4.HOG0000354	OG0000151	n8	NP_414583.2				NP_459080.1	
N4.HOG0000355	OG0000151	n9	NP_417250.4					
N4.HOG0000356	OG0000152	n7	NP_414588.1				NP_459090.1	
N4.HOG0000357	OG0000152	n8	NP_417810.1				NP_462362.1	
N4.HOG0000358	OG0000152	n9	NP_415421.1					
N4.HOG0000359	OG0000153	n1	NP_417425.2					
N4.HOG0000360	OG0000153	n4	NP_414649.1				NP_459148.1	
N4.HOG0000361	OG0000153	n6	NP_417785.1					
N4.HOG0000362	OG0000154	n6	NP_414838.2				NP_459556.1	
N4.HOG0000363	OG0000154	n7	NP_414658.1				NP_459159.1	
N4.HOG0000364	OG0000155	n4	NP_416223.1				NP_460309.1	
N4.HOG0000365	OG0000155	n5	NP_416680.1				NP_461158.1	
N4.HOG0000366	OG0000155	n6	NP_414762.1, NP_416172.1				NP_460395.1	
N4.HOG0000367	OG0000156	n5	NP_414819.1					
N4.HOG0000368	OG0000156	n7	NP_417343.1					
N4.HOG0000369	OG0000157	n4	NP_417344.1					
N4.HOG0000370	OG0000157	n7	NP_414820.1					
N4.HOG0000371	OG0000158	n4	NP_414995.1				NP_459470.1	
N4.HOG0000372	OG0000158	n5	NP_417732.1				NP_462301.1	
N4.HOG0000373	OG0000158	n7					NP_459346.1	
N4.HOG0000374	OG0000158	n8	NP_416965.1				NP_461416.1	
N4.HOG0000375	OG0000159	n4	NP_415019.1					
N4.HOG0000376	OG0000159	n6	NP_417829.2					
N4.HOG0000377	OG0000160	n2	NP_417349.4					
N4.HOG0000378	OG0000160	n5	NP_415045.1				NP_459518.1	
N4.HOG0000379	OG0000161	n3					NP_459065.1, NP_459614.1	
N4.HOG0000380	OG0000161	n6					NP_459831.1	
N4.HOG0000381	OG0000161	n8					NP_462035.1	
N4.HOG0000382	OG0000162	n2	NP_415347.1				NP_459822.1	
N4.HOG0000383	OG0000162	n4	NP_418420.4				NP_463031.1	
N4.HOG0000384	OG0000163	n4	NP_415910.1					
N4.HOG0000385	OG0000163	n7	NP_415393.1				NP_459913.1	
N4.HOG0000386	OG0000164	n1	NP_416104.1				NP_460459.1	
N4.HOG0000387	OG0000164	n3	NP_416105.4				NP_460458.1	
N4.HOG0000388	OG0000164	n4	NP_415414.4				NP_463170.3, NP_461465.1, NP_459603.1, NP_460348.1, NP_461010.1, NP_459940.1	
N4.HOG0000389	OG0000165	n1	NP_415533.1				NP_460094.1	
