HOG	OG	Gene Tree Parent Clade	Eco	Mtu	Pae	Sal	Sen	sac
N2.HOG0000019	OG0000002	n0		YP_177677.1, YP_177778.1, YP_177906.1, YP_177998.1, YP_177801.1, YP_177976.1, YP_177795.1, YP_177844.1, YP_177840.1, YP_177845.1, YP_177841.1, YP_177827.1, YP_177835.1, YP_177913.1, YP_177836.1, YP_177833.1, YP_177828.1, YP_177935.1, YP_177984.1, YP_177765.1, YP_177881.1, YP_177859.1, YP_177973.1, YP_177971.1, YP_177972.1, YP_177839.1, YP_177893.1, YP_177987.1, YP_177726.2, YP_177753.1, YP_177764.1, YP_177790.1, YP_177960.1, YP_177963.1, YP_177964.1, YP_177937.1, YP_177985.1, YP_177988.1, YP_177936.2, YP_177850.1, YP_177655.1, YP_177830.1, YP_177715.1, YP_177817.1, YP_177721.2, YP_177870.1, YP_177932.1, YP_177791.1, YP_177709.1, YP_177727.1, YP_177806.1, YP_177711.1, YP_178010.1, YP_177704.1, YP_177690.1, YP_177861.1, YP_177918.1, YP_178009.1, YP_178022.1, YP_177934.1				
N2.HOG0000020	OG0000003	n4				WP_015507329.1, WP_234344663.1, WP_003949933.1		
N2.HOG0000021	OG0000003	n7		NP_215456.1		WP_003951515.1, WP_008416226.1		
N2.HOG0000022	OG0000003	n9		YP_177802.1		WP_033237561.1, WP_003948968.1, WP_015507613.1, WP_003949464.1, WP_008413831.1, WP_003946822.1, WP_003949356.1, WP_008409854.1, WP_015508251.1, WP_003951529.1, WP_003950333.1, WP_003950388.1, WP_015508053.1, WP_003951678.1, WP_015507574.1, WP_015507049.1, WP_008406734.1, WP_003949587.1, WP_015507653.1, WP_235208962.1, WP_003950102.1, WP_010642591.1, WP_015507839.1, WP_003950639.1, WP_202550280.1, WP_003952028.1, WP_015507650.1, WP_015508303.1, WP_015506879.1, WP_010644087.1, WP_003946797.1, WP_003947683.1, WP_003947149.1, WP_235208971.1, WP_003949272.1, WP_003950290.1, WP_175509027.1, WP_015508205.1, WP_003949849.1, WP_015507314.1, WP_015507428.1, WP_003946668.1, WP_003949882.1, WP_003949466.1, WP_003946743.1, WP_003949149.1, WP_003949290.1, WP_003951665.1, WP_003949566.1		
N2.HOG0000023	OG0000004	n4		NP_217374.1		WP_003951158.1, WP_008409424.1, WP_008410488.1		
N2.HOG0000024	OG0000004	n9		NP_214972.1		WP_003948365.1		
N2.HOG0000025	OG0000004	n21				WP_003951987.1		
N2.HOG0000026	OG0000004	n26		NP_215282.1, NP_214737.1		WP_235208974.1		
N2.HOG0000027	OG0000004	n37				WP_003950199.1		
N2.HOG0000028	OG0000004	n39				WP_003951171.1		
N2.HOG0000029	OG0000004	n40				WP_003948955.1		
N2.HOG0000030	OG0000005	n1		NP_215487.1		WP_003950076.1		
N2.HOG0000031	OG0000005	n6				WP_003951892.1		
N2.HOG0000032	OG0000005	n17		NP_214914.1		WP_003947805.1		
N2.HOG0000033	OG0000005	n19		NP_214645.1, NP_216195.1		WP_010640555.1, WP_003949772.1		
N2.HOG0000034	OG0000005	n23		NP_217016.1		WP_015507859.1		
N2.HOG0000035	OG0000005	n25		NP_217305.1, NP_215388.1		WP_003946789.1		
N2.HOG0000036	OG0000005	n29		NP_215266.1		WP_003952195.1		
N2.HOG0000037	OG0000005	n31		NP_217791.1		WP_015508183.1, WP_003951772.1, WP_003950402.1		
N2.HOG0000038	OG0000005	n37		NP_217240.1		WP_003952053.1		
N2.HOG0000039	OG0000005	n38				WP_003948164.1		
N2.HOG0000040	OG0000005	n40		NP_215490.1				
N2.HOG0000041	OG0000006	n3				WP_003951729.1, WP_015506860.1, WP_003947201.1		
N2.HOG0000042	OG0000006	n6				WP_003949441.1		
N2.HOG0000043	OG0000006	n7		NP_218092.1		WP_003948200.1, WP_003950376.1, WP_003952036.1		
N2.HOG0000044	OG0000006	n10				WP_003950665.1, WP_003949050.1, WP_003952266.1, WP_003951977.1		
N2.HOG0000045	OG0000006	n17				WP_003949058.1		
N2.HOG0000046	OG0000006	n18				WP_026047982.1, WP_015507985.1, WP_003951309.1, WP_010640467.1		
N2.HOG0000047	OG0000007	n1				WP_008406162.1, WP_003950653.1, WP_003950997.1, WP_015507006.1		
N2.HOG0000048	OG0000007	n15				WP_003946591.1, WP_008404717.1		
N2.HOG0000049	OG0000007	n17		NP_218180.1, NP_215797.1		WP_015506921.1		
N2.HOG0000050	OG0000007	n26				WP_003951181.1, WP_003946592.1		
N2.HOG0000051	OG0000007	n31				WP_003950647.1, WP_003950652.1		
N2.HOG0000052	OG0000007	n34				WP_003951198.1		
N2.HOG0000053	OG0000008	n4		NP_215486.1		WP_003950078.1		
N2.HOG0000054	OG0000008	n6		NP_215062.1				
N2.HOG0000055	OG0000008	n11		NP_215988.1, NP_215658.1, NP_215657.1		WP_003950683.1		
N2.HOG0000056	OG0000008	n18		NP_217002.1, NP_215420.1, NP_217890.1		WP_003952073.1		
N2.HOG0000057	OG0000008	n23		NP_218033.1, NP_214736.1				
N2.HOG0000058	OG0000008	n27		NP_217555.1		WP_003950197.1, WP_003950965.1, WP_003948346.1		
N2.HOG0000059	OG0000008	n32		NP_215586.1		WP_015506712.1		
N2.HOG0000060	OG0000009	n10		NP_218074.1		WP_003947597.1, WP_015508117.1, WP_003949326.1, WP_003947253.1		
N2.HOG0000061	OG0000009	n16		NP_217676.1		WP_003947134.1		
N2.HOG0000062	OG0000009	n20		NP_214816.1		WP_015508003.1		
N2.HOG0000063	OG0000009	n21		NP_217922.1		WP_031178018.1		
N2.HOG0000064	OG0000009	n23		NP_217574.1, NP_217571.1		WP_037629701.1		
N2.HOG0000065	OG0000009	n27		NP_218347.1		WP_003949847.1		
N2.HOG0000066	OG0000009	n30		NP_214592.1		WP_015506674.1		
N2.HOG0000067	OG0000009	n32		NP_215990.1		WP_003950079.1		
N2.HOG0000068	OG0000009	n34		NP_214658.1, NP_217812.1		WP_003952191.1		
N2.HOG0000069	OG0000009	n36		NP_216050.1				
N2.HOG0000070	OG0000010	n2		NP_215754.1, NP_217348.1, NP_216554.1		WP_008409802.1		
N2.HOG0000071	OG0000010	n12				WP_003951160.1		
N2.HOG0000072	OG0000010	n23				WP_003951145.1		
N2.HOG0000073	OG0000010	n26		YP_177879.1				
N2.HOG0000074	OG0000011	n1		NP_217430.1, NP_216262.1, NP_216604.1, NP_216259.1, NP_215782.1, NP_215446.1				
N2.HOG0000075	OG0000011	n10		NP_216692.1		WP_015508019.1		
N2.HOG0000076	OG0000011	n11		NP_214528.1		WP_003949314.1, WP_003949313.1, WP_003949341.1		
N2.HOG0000077	OG0000011	n16				WP_015507469.1, WP_234479766.1, WP_015507734.1, WP_015507732.1, WP_015508112.1, WP_015507842.1		
N2.HOG0000078	OG0000011	n22				WP_003950484.1, WP_003950483.1, WP_003949359.1		
N2.HOG0000079	OG0000011	n27		YP_177991.1		WP_015507733.1		
N2.HOG0000080	OG0000011	n28		NP_218041.1		WP_003949387.1		
N2.HOG0000081	OG0000011	n29				WP_015508155.1, WP_015507911.1, WP_015506710.1, WP_015507324.1, WP_015507477.1		
N2.HOG0000082	OG0000012	n1				WP_003951700.1, WP_003951582.1		
N2.HOG0000083	OG0000012	n8				WP_003949591.1, WP_003949867.1		
N2.HOG0000084	OG0000012	n10				WP_003947662.1, WP_003947117.1, WP_003949975.1, WP_003952272.1, WP_015508062.1, WP_003949167.1, WP_008409330.1, WP_008405479.1, WP_003948901.1, WP_003947212.1, WP_003949701.1, WP_015507284.1, WP_003951787.1		
N2.HOG0000085	OG0000012	n23				WP_003950460.1, WP_003948537.1, WP_049978838.1		
N2.HOG0000086	OG0000012	n30				WP_003947363.1		
N2.HOG0000087	OG0000013	n3				WP_015507746.1		
N2.HOG0000088	OG0000013	n4				WP_015508079.1, WP_003951151.1, WP_003947636.1		
N2.HOG0000089	OG0000013	n9				WP_003946851.1		
N2.HOG0000090	OG0000013	n10		NP_217808.1		WP_008415787.1, WP_008407389.1		
N2.HOG0000091	OG0000013	n13		NP_216840.1		WP_008406376.1		
N2.HOG0000092	OG0000013	n18		NP_217295.2		WP_003946847.1		
N2.HOG0000093	OG0000015	n1				WP_015507068.1		
N2.HOG0000094	OG0000015	n14				WP_015508264.1, WP_015507158.1		
N2.HOG0000095	OG0000015	n16		NP_215873.1				
N2.HOG0000096	OG0000015	n29				WP_003949937.1		
N2.HOG0000097	OG0000015	n30				WP_015507061.1		
N2.HOG0000098	OG0000016	n3		NP_218078.1, NP_217021.1		WP_003951702.1		
N2.HOG0000099	OG0000016	n8		NP_217605.1, NP_214728.1, NP_214633.1		WP_015506821.1		
N2.HOG0000100	OG0000016	n13		NP_214680.1, NP_215065.1		WP_003946499.1		
N2.HOG0000101	OG0000016	n17		NP_215574.1		WP_003949478.1		
N2.HOG0000102	OG0000017	n5				WP_003947099.1, WP_003947827.1		
N2.HOG0000103	OG0000017	n9		NP_217917.1		WP_003947214.1, WP_003952217.1		
N2.HOG0000104	OG0000017	n14				WP_003948850.1, WP_003947697.1		
N2.HOG0000105	OG0000017	n19		NP_216748.2		WP_003946753.1		
N2.HOG0000106	OG0000017	n26				WP_015507353.1		
N2.HOG0000107	OG0000018	n1		NP_217452.1		WP_003950053.1, WP_003949234.1, WP_003948329.1, WP_003949891.1, WP_003949020.1, WP_003946527.1		
N2.HOG0000108	OG0000018	n15		NP_216203.1		WP_037629668.1, WP_015507076.1, WP_003950322.1, WP_003950361.1, WP_003949530.1		
N2.HOG0000109	OG0000019	n0				WP_003951635.1		
N2.HOG0000110	OG0000020	n8				WP_015506766.1		
N2.HOG0000111	OG0000020	n10		NP_216704.2		WP_015508017.1, WP_010641599.1		
N2.HOG0000112	OG0000020	n22		NP_215000.1		WP_015507642.1		
N2.HOG0000113	OG0000020	n23		NP_215728.1, NP_217548.1		WP_037629447.1		
N2.HOG0000114	OG0000022	n0				WP_003948958.1, WP_003947485.1, WP_008410190.1, WP_003950414.1, WP_003946824.1, WP_037629930.1, WP_003951050.1, WP_003949145.1, WP_003949994.1, WP_003949725.1, WP_015507438.1, WP_003949067.1, WP_078485275.1, WP_003948593.1, WP_003949117.1, WP_075986756.1, WP_003949911.1, WP_003949909.1, WP_003949910.1, WP_003949023.1, WP_003949024.1, WP_003949781.1, WP_003949782.1, WP_003950526.1, WP_174905216.1, WP_003950139.1		
N2.HOG0000115	OG0000023	n1		NP_216289.1, NP_216235.1		WP_003950533.1		
N2.HOG0000116	OG0000023	n8				WP_003949752.1		
N2.HOG0000117	OG0000023	n13				WP_003951782.1		
N2.HOG0000118	OG0000023	n17				WP_003947216.1		
N2.HOG0000119	OG0000023	n23				WP_003948301.1, WP_003951083.1		
N2.HOG0000120	OG0000024	n0				WP_003952101.1, WP_015507805.1		
N2.HOG0000121	OG0000025	n1				WP_003948780.1, WP_003949353.1, WP_003947520.1, WP_003949855.1		
N2.HOG0000122	OG0000025	n7		NP_218165.1		WP_003949956.1		
N2.HOG0000123	OG0000026	n5		NP_217637.1		WP_008413051.1, WP_003950346.1, WP_018471168.1, WP_015506912.1, WP_015507337.1, WP_015508130.1, WP_003951535.1, WP_008404067.1, WP_003950028.1, WP_003946523.1, WP_010644813.1, WP_003952148.1, WP_003946683.1, WP_003946583.1		
N2.HOG0000124	OG0000026	n20		NP_216396.3				
N2.HOG0000125	OG0000026	n21		NP_218062.1, NP_216782.1, NP_215292.1		WP_003951357.1		
N2.HOG0000126	OG0000027	n6		NP_217487.1		WP_049978434.1, WP_003951739.1, WP_044474758.1		
N2.HOG0000127	OG0000027	n11				WP_003946763.1		
N2.HOG0000128	OG0000027	n14				WP_003951424.1		
N2.HOG0000129	OG0000027	n17		NP_216814.1		WP_015507063.1, WP_003948102.1		
N2.HOG0000130	OG0000028	n1		NP_215418.1, NP_215496.2		WP_003949052.1		
N2.HOG0000131	OG0000028	n14		NP_215116.1		WP_003947639.1, WP_003950911.1		
N2.HOG0000132	OG0000029	n8		NP_215769.1		WP_015508040.1, WP_003949856.1, WP_008416200.1, WP_003949547.1		
N2.HOG0000133	OG0000029	n18		NP_217727.1		WP_235208992.1		
N2.HOG0000134	OG0000030	n5				WP_003946779.1		
N2.HOG0000135	OG0000030	n8				WP_003952188.1, WP_003951567.1		
N2.HOG0000136	OG0000030	n10				WP_003950478.1		
N2.HOG0000137	OG0000030	n14		YP_177866.1, NP_216555.1		WP_003948204.1, WP_003950379.1, WP_003951312.1		
N2.HOG0000138	OG0000030	n18		NP_217350.1		WP_003948481.1		
N2.HOG0000139	OG0000030	n19		NP_215753.1		WP_003950772.1, WP_003950513.1, WP_003951373.1		
N2.HOG0000140	OG0000031	n2				WP_015506978.1		
N2.HOG0000141	OG0000031	n7				WP_003948976.1		
N2.HOG0000142	OG0000031	n12				WP_003947982.1, WP_003948132.1, WP_003949307.1, WP_003951509.1, WP_003949606.1, WP_015506870.1, WP_003952066.1, WP_003947677.1		
N2.HOG0000143	OG0000031	n20				WP_015507723.1		
N2.HOG0000144	OG0000032	n3		NP_216896.3		WP_015507661.1, WP_003951361.1, WP_015507663.1, WP_015507662.1, WP_015507664.1, WP_015506967.1		
N2.HOG0000145	OG0000032	n16		NP_214615.1, NP_217106.1		WP_003946670.1		
N2.HOG0000146	OG0000032	n18		NP_216895.1		WP_235208975.1		
N2.HOG0000147	OG0000032	n19				WP_015508335.1, WP_015506678.1, WP_015507581.1		
N2.HOG0000148	OG0000033	n7				WP_003950977.1		
N2.HOG0000149	OG0000033	n9				WP_003950572.1		
N2.HOG0000150	OG0000033	n13				WP_003952295.1		
N2.HOG0000151	OG0000033	n18				WP_008409303.1		
N2.HOG0000152	OG0000033	n19				WP_003949194.1		
N2.HOG0000153	OG0000034	n1				WP_003948984.1		
N2.HOG0000154	OG0000034	n3				WP_003948885.1, WP_003949447.1, WP_003946748.1, WP_003951923.1, WP_003951318.1, WP_003948514.1, WP_003949556.1		
N2.HOG0000155	OG0000034	n12		NP_216905.1, NP_216400.1				
N2.HOG0000156	OG0000034	n15		NP_215525.1		WP_015508095.1		
N2.HOG0000157	OG0000034	n16		NP_215382.1		WP_015507244.1, WP_003950348.1		
N2.HOG0000158	OG0000034	n18				WP_003949757.1, WP_015507845.1, WP_003951734.1, WP_003949967.1		
N2.HOG0000159	OG0000035	n1				WP_003951850.1, WP_165397778.1		
N2.HOG0000160	OG0000035	n6				WP_010642355.1, WP_018895411.1		
N2.HOG0000161	OG0000035	n9				WP_003950612.1		
N2.HOG0000162	OG0000036	n4		NP_216556.1		WP_003948203.1, WP_003950378.1		
N2.HOG0000163	OG0000036	n10				WP_003951566.1, WP_003952187.1		
N2.HOG0000164	OG0000036	n13		NP_215752.1		WP_015506962.1		
N2.HOG0000165	OG0000036	n15		NP_216832.1		WP_015507200.1		
N2.HOG0000166	OG0000036	n17				WP_003947731.1, WP_015508245.1, WP_003950771.1, WP_003950512.1		
N2.HOG0000167	OG0000037	n0		YP_177863.1, YP_177718.1		WP_003950560.1		
N2.HOG0000168	OG0000038	n4		NP_215985.1, NP_218260.1				
N2.HOG0000169	OG0000038	n8		NP_216508.1, NP_217787.1		WP_003952027.1		
N2.HOG0000170	OG0000038	n11		NP_215484.3, NP_214617.1, NP_214606.1		WP_003951459.1, WP_003948144.1		
N2.HOG0000171	OG0000039	n0		NP_217448.1, NP_217447.1, NP_217462.1, NP_216179.1, NP_216177.1, NP_216564.2, NP_216178.1, NP_216897.1, NP_214919.1, NP_216180.1, NP_217451.1, NP_217463.1, NP_216898.1, NP_218317.1, NP_215696.1, NP_215697.1, NP_218342.1, NP_216043.1, NP_217456.1, NP_217449.1, NP_217450.1				
N2.HOG0000172	OG0000040	n4				WP_003949262.1, WP_015507660.1, WP_003949486.1, WP_003948931.1, WP_003946455.1, WP_003947107.1, WP_015507647.1, WP_003947315.1, WP_003950829.1		
N2.HOG0000173	OG0000040	n14				WP_015507599.1, WP_003946801.1		
N2.HOG0000174	OG0000040	n16				WP_003947803.1		
N2.HOG0000175	OG0000040	n17				WP_015508142.1, WP_015507818.1, WP_015506876.1, WP_003950209.1		
N2.HOG0000176	OG0000041	n5				WP_003947531.1		
N2.HOG0000177	OG0000041	n10				WP_003952122.1		
N2.HOG0000178	OG0000041	n11				WP_003947806.1		
N2.HOG0000179	OG0000041	n14		NP_215370.1, NP_215659.1		WP_015506763.1		
N2.HOG0000180	OG0000041	n18		NP_216382.3		WP_015508078.1		
N2.HOG0000181	OG0000042	n3				WP_003951488.1, WP_003946593.1, WP_003951180.1		
N2.HOG0000182	OG0000042	n6				WP_003950995.1		
N2.HOG0000183	OG0000042	n15		NP_218181.1		WP_003950651.1, WP_003950646.1		
N2.HOG0000184	OG0000042	n17		NP_215798.1		WP_008410941.1		
N2.HOG0000185	OG0000043	n1				WP_003949273.1, WP_003946788.1		
N2.HOG0000186	OG0000043	n8		NP_216046.1		WP_015507862.1		
N2.HOG0000187	OG0000044	n0				WP_003949913.1, WP_003949068.1, WP_003949724.1, WP_003949144.1, WP_008414952.1, WP_003949103.1, WP_226660293.1, WP_015507358.1, WP_003949025.1, WP_015507419.1, WP_037629979.1, WP_003949877.1, WP_003950405.1, WP_003948369.1, WP_015507228.1, WP_003946823.1, WP_010645123.1, WP_003947486.1, WP_008404305.1, WP_015507612.1		
N2.HOG0000188	OG0000045	n1		NP_215068.1, NP_217693.1		WP_003948914.1		
N2.HOG0000189	OG0000045	n7		NP_217231.1		WP_202550244.1, WP_010639731.1		
N2.HOG0000190	OG0000045	n11		NP_218086.1		WP_003950712.1		
N2.HOG0000191	OG0000045	n15		YP_177890.1				
N2.HOG0000192	OG0000046	n1				WP_003949240.1, WP_003948268.1		
N2.HOG0000193	OG0000046	n6		NP_214705.1		WP_003949974.1		
N2.HOG0000194	OG0000047	n1				WP_003951920.1, WP_003949709.1, WP_015507631.1		
N2.HOG0000195	OG0000047	n6				WP_003947128.1		
N2.HOG0000196	OG0000047	n7		NP_217851.1		WP_003949990.1, WP_044474569.1, WP_003952009.1		
N2.HOG0000197	OG0000048	n4		NP_218431.1		WP_008408275.1		
N2.HOG0000198	OG0000048	n9		NP_215840.1		WP_003950931.1		
N2.HOG0000199	OG0000048	n14		YP_177815.1, NP_215986.1		WP_003946714.1		
N2.HOG0000200	OG0000049	n4				WP_003951707.1		
N2.HOG0000201	OG0000049	n11		NP_215284.1				
N2.HOG0000202	OG0000049	n13		NP_215265.1		WP_015506713.1		
N2.HOG0000203	OG0000051	n2				WP_003950769.1, WP_003951791.1		
N2.HOG0000204	OG0000051	n5				WP_003946841.1		
N2.HOG0000205	OG0000051	n10		NP_215307.1		WP_003947274.1		
N2.HOG0000206	OG0000052	n2		NP_218182.1		WP_003950645.1, WP_003950650.1		
N2.HOG0000207	OG0000052	n6				WP_003950994.1		
N2.HOG0000208	OG0000052	n10				WP_003951179.1, WP_015506922.1, WP_015508307.1, WP_030771273.1		
N2.HOG0000209	OG0000054	n0		NP_214887.1		WP_003950518.1, WP_015508287.1, WP_003951689.1, WP_015506782.1		
N2.HOG0000210	OG0000055	n1		NP_216031.1, NP_214839.1		WP_003949011.1, WP_003951483.1, WP_003947911.1, WP_003951522.1		
N2.HOG0000211	OG0000055	n9		NP_216939.1, NP_215074.1, NP_218216.1, NP_215893.1, NP_217191.1		WP_015506885.1, WP_015507826.1		
N2.HOG0000212	OG0000056	n7				WP_003949056.1		
N2.HOG0000213	OG0000056	n13				WP_003951448.1, WP_003951978.1		
N2.HOG0000214	OG0000056	n15				WP_003951570.1		
N2.HOG0000215	OG0000057	n1		NP_215100.1, NP_215008.2		WP_003947348.1		
N2.HOG0000216	OG0000057	n13				WP_003947168.1		
N2.HOG0000217	OG0000057	n14				WP_003949721.1, WP_003947374.1		
N2.HOG0000218	OG0000058	n1		NP_217142.1		WP_003948579.1		
N2.HOG0000219	OG0000058	n7		NP_216922.1				
N2.HOG0000220	OG0000059	n2		YP_177808.1				
N2.HOG0000221	OG0000059	n3		NP_217598.1, NP_218253.1				
N2.HOG0000222	OG0000060	n0				WP_018470143.1, WP_003947855.1, WP_003948902.1, WP_061405530.1, WP_003950295.1, WP_003951786.1, WP_015507283.1, WP_015508063.1, WP_015507093.1, WP_226660265.1, WP_003947118.1, WP_015507830.1, WP_015507667.1, WP_003949528.1, WP_015507964.1, WP_041826598.1, WP_235208939.1		
N2.HOG0000223	OG0000061	n6		NP_215915.1, NP_215916.1				
N2.HOG0000224	OG0000061	n8		YP_177876.1, NP_217600.1		WP_015507402.1		
N2.HOG0000225	OG0000061	n12		NP_214731.1		WP_003949257.1		
N2.HOG0000226	OG0000063	n2		NP_215774.1		WP_003946874.1, WP_003950035.1, WP_258038529.1, WP_003950520.1, WP_003946480.1, WP_015506969.1, WP_015508219.1, WP_003950539.1		
N2.HOG0000227	OG0000063	n12				WP_174905206.1, WP_003946637.1		
N2.HOG0000228	OG0000064	n7		NP_214982.1		WP_003950196.1, WP_003950892.1, WP_015506806.1, WP_003947145.1		
N2.HOG0000229	OG0000064	n12		YP_177829.1				
N2.HOG0000230	OG0000064	n13				WP_015506735.1		
N2.HOG0000231	OG0000065	n1		NP_218237.3		WP_003949762.1, WP_015507243.1		
N2.HOG0000232	OG0000065	n4		NP_215159.1, YP_177729.1, NP_215017.1, NP_215156.1, NP_215157.1, YP_177730.1, NP_215158.1, NP_217909.1, NP_214961.1		WP_003949761.1		
N2.HOG0000233	OG0000066	n0		NP_218350.1		WP_015507819.1, WP_003951903.1, WP_235208941.1		
N2.HOG0000234	OG0000067	n1		NP_216747.1		WP_015508069.1		
N2.HOG0000235	OG0000067	n10		NP_218289.1		WP_003949442.1		
N2.HOG0000236	OG0000067	n12		YP_177823.1		WP_015508032.1		
N2.HOG0000237	OG0000068	n1		NP_215773.1		WP_174905235.1		
N2.HOG0000238	OG0000068	n6		NP_217623.1, NP_216767.1		WP_003946560.1		
N2.HOG0000239	OG0000068	n12		NP_214675.1				
N2.HOG0000240	OG0000069	n0				WP_234313095.1, WP_015508054.1, WP_008408729.1, WP_015507126.1, WP_015508275.1, WP_010637633.1, WP_037630778.1, WP_015507645.1, WP_003947844.1, WP_030310820.1, WP_003947474.1, WP_015508060.1, WP_003947847.1, WP_003949934.1, WP_003947848.1, WP_003949553.1		
N2.HOG0000241	OG0000070	n1				WP_003949062.1		
N2.HOG0000242	OG0000070	n8				WP_003951770.1		
N2.HOG0000243	OG0000070	n10		NP_215241.1		WP_003947407.1		
N2.HOG0000244	OG0000071	n3		NP_214639.1, NP_215498.1		WP_008414403.1, WP_015507138.1		
N2.HOG0000245	OG0000071	n6		NP_215739.2		WP_003949051.1		
N2.HOG0000246	OG0000072	n0		NP_217269.1		WP_008410177.1		
N2.HOG0000247	OG0000073	n2		NP_216375.1		WP_003951625.1, WP_003952112.1		
N2.HOG0000248	OG0000073	n13		NP_215448.1				
N2.HOG0000249	OG0000074	n4		NP_217900.1		WP_008415521.1		
N2.HOG0000250	OG0000074	n5		YP_177970.1		WP_015508320.1, WP_086015425.1		
N2.HOG0000251	OG0000074	n9		NP_215504.1, NP_215076.1		WP_003948714.1		
N2.HOG0000252	OG0000076	n7				WP_003951899.1, WP_015507585.1, WP_003950013.1, WP_010641004.1		
N2.HOG0000253	OG0000076	n13				WP_010641402.1		
N2.HOG0000254	OG0000077	n0				WP_078485246.1, WP_008410156.1		
N2.HOG0000255	OG0000078	n0		NP_214925.1		WP_003950615.1		
N2.HOG0000256	OG0000080	n1		NP_215865.1		WP_003946615.1		
N2.HOG0000257	OG0000080	n6		NP_215788.1		WP_015507929.1		
N2.HOG0000258	OG0000080	n12				WP_003952177.1, WP_003946759.1		
N2.HOG0000259	OG0000081	n1		NP_217097.1		WP_003947050.1		
N2.HOG0000260	OG0000081	n7		NP_214920.1				
N2.HOG0000261	OG0000081	n11		NP_216153.1		WP_003947470.1		
N2.HOG0000262	OG0000081	n12		NP_216776.1		WP_003946785.1		
N2.HOG0000263	OG0000081	n13		NP_215148.1				
N2.HOG0000264	OG0000082	n1				WP_003950993.1		
N2.HOG0000265	OG0000082	n11				WP_015508310.1		
N2.HOG0000266	OG0000082	n13				WP_015506924.1		
N2.HOG0000267	OG0000083	n5				WP_008414096.1		
N2.HOG0000268	OG0000083	n6				WP_015508068.1		
N2.HOG0000269	OG0000083	n7				WP_015507323.1, WP_093560236.1, WP_003949147.1, WP_015507258.1		
N2.HOG0000270	OG0000084	n5		NP_215980.1		WP_008406098.1		
N2.HOG0000271	OG0000084	n8		NP_218295.1				
N2.HOG0000272	OG0000084	n10		NP_218217.1		WP_018895195.1, WP_003947938.1		
N2.HOG0000273	OG0000086	n4				WP_003951449.1, WP_003951450.1		
N2.HOG0000274	OG0000086	n7				WP_003950663.1		
N2.HOG0000275	OG0000086	n8				WP_003951960.1		
N2.HOG0000276	OG0000086	n12				WP_003950664.1		
N2.HOG0000277	OG0000087	n1		NP_216999.1				
N2.HOG0000278	OG0000087	n6		NP_218333.1, NP_218331.1, NP_218332.1		WP_003951088.1, WP_008408053.1		
