HOG	OG	Gene Tree Parent Clade	bsu2	ecol2	mtub2	pae2	sac2	salb2	sen2
N4.HOG0000077	OG0000011	n14		b1917					STM1951
N4.HOG0000078	OG0000011	n16		b0864					STM0891
N4.HOG0000079	OG0000011	n20				PA4594			
N4.HOG0000080	OG0000011	n26		b0495		PA2857			STM0507
N4.HOG0000081	OG0000011	n28		b1117		PA2987			STM1218
N4.HOG0000082	OG0000011	n30				PA4064			
N4.HOG0000083	OG0000011	n36		b0809					STM0828
N4.HOG0000084	OG0000011	n39				PA5074, PA1256			
N4.HOG0000085	OG0000011	n42		b0652		PA1339			STM0662
N4.HOG0000086	OG0000011	n44		b3271		PA4192			
N4.HOG0000087	OG0000012	n1		b1484, b1291, b3541, b1246		PA4505			STM1695, STM3627, STM1743
N4.HOG0000088	OG0000012	n22		b1247					STM1742
N4.HOG0000089	OG0000012	n29		b3540		PA4506			STM3626
N4.HOG0000090	OG0000012	n37		b2180		PA1807			STM2219
N4.HOG0000091	OG0000012	n39		b0829		PA2061			STM0848
N4.HOG0000092	OG0000012	n42		b3479					
N4.HOG0000093	OG0000013	n2				PA0745			
N4.HOG0000094	OG0000013	n10		b1393		PA1629, PA3591			
N4.HOG0000095	OG0000013	n17		b0036					STM0070
N4.HOG0000096	OG0000013	n23		b2262					STM2307
N4.HOG0000097	OG0000013	n26				PA2890, PA2013			
N4.HOG0000098	OG0000013	n32		b1394		PA4980, PA4330			
N4.HOG0000099	OG0000013	n40				PA1021			
N4.HOG0000100	OG0000014	n1		b2684		PA0942			STM2813
N4.HOG0000101	OG0000014	n28				PA4135			STM2920, STM1100
N4.HOG0000102	OG0000014	n30				PA1603			
N4.HOG0000103	OG0000014	n33				PA0253			
N4.HOG0000104	OG0000014	n34		b1530		PA5157			STM1520
N4.HOG0000105	OG0000014	n38		b1642		PA3341			STM1444
N4.HOG0000106	OG0000015	n1		b1805		PA3299, PA3300			STM1818
N4.HOG0000107	OG0000015	n11		b1701		PA2557			STM1350
N4.HOG0000108	OG0000015	n23				PA3924			
N4.HOG0000109	OG0000015	n26				PA4198			
N4.HOG0000110	OG0000015	n39		b0037					STM0071
N4.HOG0000111	OG0000016	n2		b3743					STM3876
N4.HOG0000112	OG0000016	n10		b0447		PA3965, PA2028			STM0459
N4.HOG0000113	OG0000016	n14		b0889		PA4508, PA2246, PA5308			STM0959
N4.HOG0000114	OG0000016	n23				PA4784			
N4.HOG0000115	OG0000016	n26				PA2577			
N4.HOG0000116	OG0000017	n1		b1201		PA4147, PA4021			
N4.HOG0000117	OG0000017	n6		b2869					
N4.HOG0000118	OG0000017	n9				PA1196			STM2361
N4.HOG0000119	OG0000017	n11				PA2005			STM0652
N4.HOG0000120	OG0000017	n18				PA5483, PA4726			
N4.HOG0000121	OG0000017	n20		b3868		PA5125			STM4005
N4.HOG0000122	OG0000017	n22		b2220, b2554, b4004		PA4547, PA1099			STM2562, STM4174
N4.HOG0000123	OG0000017	n28				PA1335, PA5511, PA5166			STM2396
N4.HOG0000124	OG0000017	n31		b1303		PA1663, PA2359, PA2354, PA3932			STM1691
N4.HOG0000125	OG0000018	n2		b3450, b4035		PA2341, PA3187			STM3554, STM4230
N4.HOG0000126	OG0000018	n14		b0066		PA5376			
N4.HOG0000127	OG0000018	n18				PA3538			STM1635
N4.HOG0000128	OG0000018	n19		b2422		PA0280			STM2441
N4.HOG0000129	OG0000018	n23				PA3254			STM0428
N4.HOG0000130	OG0000018	n27		b1126					STM1226
N4.HOG0000131	OG0000018	n29		b0855		PA0302			STM0878
N4.HOG0000132	OG0000018	n31		b1441		PA0603, PA3607, PA0206, PA0326			
N4.HOG0000133	OG0000019	n8				PA1262			
N4.HOG0000134	OG0000019	n10				PA2055			
N4.HOG0000135	OG0000019	n22				PA1316			
N4.HOG0000136	OG0000019	n26				PA3718			
N4.HOG0000137	OG0000019	n28				PA1282			
N4.HOG0000138	OG0000019	n33		b1828					STM1843
N4.HOG0000139	OG0000020	n1				PA5551			
N4.HOG0000140	OG0000020	n14		b3613		PA5133			STM3705
N4.HOG0000141	OG0000020	n16		b2742, b2865		PA4924, PA3623			STM2925, STM3038
N4.HOG0000142	OG0000020	n22				PA5363			
N4.HOG0000143	OG0000020	n24				PA3787, PA4404			
N4.HOG0000144	OG0000021	n1		b0260		PA4981			STM2357
N4.HOG0000145	OG0000021	n13		b4208					STM4398
N4.HOG0000146	OG0000021	n15		b1453					STM1584
N4.HOG0000147	OG0000021	n20		b0402		PA5097			STM0400
N4.HOG0000148	OG0000021	n22		b3795		PA0789			STM3930
N4.HOG0000149	OG0000021	n26		b0576, b0112		PA3000, PA0866			STM0568, STM0150
N4.HOG0000150	OG0000021	n31				PA2079			
N4.HOG0000151	OG0000022	n8		b3385		PA3172, PA0608			STM3482
N4.HOG0000152	OG0000022	n12				PA2974			
N4.HOG0000153	OG0000022	n13				PA3941			
N4.HOG0000154	OG0000022	n16		b3715		PA0562			STM3852
N4.HOG0000155	OG0000022	n25		b1727					STM1322
N4.HOG0000156	OG0000022	n27		b1317, b2690					STM2820
N4.HOG0000157	OG0000022	n30		b2293					STM2334
N4.HOG0000158	OG0000023	n6				PA1671			
N4.HOG0000159	OG0000023	n23				PA0074			
N4.HOG0000160	OG0000024	n12				PA2270			
N4.HOG0000161	OG0000024	n14				PA1290			
N4.HOG0000162	OG0000024	n15				PA1836			
N4.HOG0000163	OG0000024	n18				PA3006			
N4.HOG0000164	OG0000024	n30				PA1315			
N4.HOG0000165	OG0000025	n3		b1285		PA5442, PA0575, PA0285, PA4601, PA5017			STM1703
N4.HOG0000166	OG0000025	n14		b4061, b0457		PA2200			STM4264, STM0468
N4.HOG0000167	OG0000025	n18		b0315		PA3947			STM0343
N4.HOG0000168	OG0000025	n20		b1489		PA4367			
N4.HOG0000169	OG0000025	n24				PA5295			
N4.HOG0000170	OG0000025	n25				PA1433, PA2133			
N4.HOG0000171	OG0000025	n30				PA3311, PA1727			STM3388
N4.HOG0000172	OG0000026	n1		b3060, b1799		PA3565			STM0333
N4.HOG0000173	OG0000026	n7				PA2123, PA2848, PA1201, PA2432			
N4.HOG0000174	OG0000026	n17		b3521		PA2534, PA2877			STM3607
N4.HOG0000175	OG0000026	n20				PA4174			STM1677
N4.HOG0000176	OG0000026	n21				PA0056, PA3895, PA0876, PA2838, PA0159, PA2547, PA2447, PA1328, PA0181, PA2258, PA1961, PA4145			
N4.HOG0000177	OG0000027	n6		b3012					STM3165
N4.HOG0000178	OG0000027	n12							STM1676
N4.HOG0000179	OG0000027	n14		b0207					STM0255
N4.HOG0000180	OG0000027	n17		b1781		PA0804			STM1288
N4.HOG0000181	OG0000027	n21				PA2535			
N4.HOG0000182	OG0000027	n25		b1771		PA1127			
N4.HOG0000183	OG0000027	n27				PA4992			
N4.HOG0000184	OG0000028	n2		b0349		PA3053, PA2949, PA0829			
N4.HOG0000185	OG0000028	n9		b1009		PA5057			
N4.HOG0000186	OG0000028	n17				PA5080			
N4.HOG0000187	OG0000028	n18				PA3226, PA2745			STM3079
N4.HOG0000188	OG0000028	n29				PA3509			
N4.HOG0000189	OG0000029	n8				PA5004			
N4.HOG0000190	OG0000029	n9				PA3059			
N4.HOG0000191	OG0000029	n12		b2032		PA1389			
N4.HOG0000192	OG0000029	n15				PA5447			
N4.HOG0000193	OG0000029	n22		b2044		PA1385			STM2100, STM0721, STM3714
N4.HOG0000194	OG0000030	n3		b1540		PA0121, PA1520			STM1510
N4.HOG0000195	OG0000030	n7		b2664		PA0797, PA4906, PA5525, PA1269			STM2794
N4.HOG0000196	OG0000030	n14							STM3357
N4.HOG0000197	OG0000030	n16							STM3358
N4.HOG0000198	OG0000030	n23		b1450		PA1526, PA0120			STM1588
N4.HOG0000199	OG0000031	n3		b4033					STM4228
N4.HOG0000200	OG0000031	n7		b1311					
N4.HOG0000201	OG0000031	n12		b3452					STM3556
N4.HOG0000202	OG0000031	n21				PA2339			
N4.HOG0000203	OG0000031	n25				PA3189			
N4.HOG0000204	OG0000032	n3		b4032					STM4227
N4.HOG0000205	OG0000032	n7		b1312					
N4.HOG0000206	OG0000032	n9				PA2340			
N4.HOG0000207	OG0000032	n14		b3451					STM3555
N4.HOG0000208	OG0000032	n25				PA3188			
N4.HOG0000209	OG0000033	n8				PA2475, PA3331			
N4.HOG0000210	OG0000034	n10				PA3567			
N4.HOG0000211	OG0000034	n12				PA0863			
N4.HOG0000212	OG0000034	n15		b4051		PA2680, PA0023			STM4245
N4.HOG0000213	OG0000034	n20				PA2491			
N4.HOG0000214	OG0000034	n22				PA5234			
N4.HOG0000215	OG0000034	n25				PA1137, PA3256			
N4.HOG0000216	OG0000035	n1				PA1960			STM1632
N4.HOG0000217	OG0000035	n6		b0880		PA2622			STM0943
N4.HOG0000218	OG0000035	n12		b1823, b0623, b1557, b3556, b0990, b1552		PA1159, PA0961, PA3266, PA0456			STM1837, STM0629, STM3649, STM1996
N4.HOG0000219	OG0000036	n1		b1920		PA0314			STM1954
N4.HOG0000220	OG0000036	n7				PA3475			
N4.HOG0000221	OG0000036	n14		b2310, b2309		PA0888, PA3865, PA2923			STM2355, STM2354
N4.HOG0000222	OG0000036	n20		b0863, b0860		PA5153			STM0890, STM0887, STM4351
N4.HOG0000223	OG0000036	n25		b0811					STM0830
N4.HOG0000224	OG0000037	n8				PA0155, PA3508			
N4.HOG0000225	OG0000037	n12		b0506, b4018					STM0516, STM4187
N4.HOG0000226	OG0000037	n16		b1827, b0272, b3574, b4299					STM1842, STM3667, STM3533
N4.HOG0000227	OG0000037	n24		b0346		PA4341			
N4.HOG0000228	OG0000038	n0				PA1930, PA1423, PA1646, PA5072, PA2561, PA2652, PA4310, PA4309, PA4307, PA2920, PA4633, PA2654, PA4915, PA4520, PA1608, PA1251, PA2867, PA2788, PA4844, PA2573, PA0411, PA4290, PA3708, PA0180			STM3138
N4.HOG0000229	OG0000039	n3				PA1851, PA3343, PA3702			STM4551
N4.HOG0000230	OG0000039	n6		b0385		PA4843			STM0385
N4.HOG0000231	OG0000039	n8		b1341		PA0290, PA2870, PA4332, PA0169, PA0338			
N4.HOG0000232	OG0000039	n15		b1522		PA4929, PA1107			
N4.HOG0000233	OG0000039	n19				PA2771, PA3177, PA5487			
N4.HOG0000234	OG0000039	n23		b1794					
N4.HOG0000235	OG0000039	n24		b1535, b0834					
N4.HOG0000236	OG0000041	n2				PA1374, PA1607, PA2713, PA0116			
N4.HOG0000237	OG0000041	n9		b4212					STM4402
N4.HOG0000238	OG0000042	n1		b3684, b0730					STM3785
N4.HOG0000239	OG0000042	n8		b3872		PA2802, PA3249, PA1142, PA2299			STM0430
N4.HOG0000240	OG0000042	n15		b4102		PA3381			
N4.HOG0000241	OG0000042	n21		b3375					
N4.HOG0000242	OG0000042	n22							STM3602
N4.HOG0000243	OG0000043	n6		b2576		PA3466			STM2643
N4.HOG0000244	OG0000043	n9		b3780		PA3861			STM3914
N4.HOG0000245	OG0000043	n11		b0797		PA3950, PA0428			STM0820
N4.HOG0000246	OG0000043	n15		b3162		PA2840			STM3280
N4.HOG0000247	OG0000043	n19		b1343		PA0455			STM1655
N4.HOG0000248	OG0000044	n3				PA2718			STM4320
N4.HOG0000249	OG0000044	n7				PA5116			
N4.HOG0000250	OG0000044	n16		b0487		PA4778			STM0354, STM0499
N4.HOG0000251	OG0000044	n19		b3292		PA3689			STM3412
N4.HOG0000252	OG0000044	n21				PA2016			
N4.HOG0000253	OG0000045	n6				PA4096			STM4412, STM3832
N4.HOG0000254	OG0000045	n9		b3093		PA0241			STM3134
N4.HOG0000255	OG0000045	n12							STM1543
N4.HOG0000256	OG0000045	n14		b2789, b3127, b3691		PA2210			STM2962, STM3698, STM3827
N4.HOG0000257	OG0000045	n21		b4356					
N4.HOG0000258	OG0000046	n1				PA0600			
N4.HOG0000259	OG0000046	n10		b2469, b1222		PA3878			STM2480, STM1766
N4.HOG0000260	OG0000047	n1				PA1854			
N4.HOG0000261	OG0000047	n12				PA2192, PA2159			
N4.HOG0000262	OG0000047	n17				PA0250			
N4.HOG0000263	OG0000047	n19				PA3258			
N4.HOG0000264	OG0000047	n20				PA3233			
N4.HOG0000265	OG0000048	n4		b0831, b3477					STM0850, STM1256
N4.HOG0000266	OG0000048	n11		b3543, b1486					STM3629
N4.HOG0000267	OG0000048	n14		b1244					STM1745
N4.HOG0000268	OG0000049	n3		b1245					STM1744
N4.HOG0000269	OG0000049	n13		b3478					
N4.HOG0000270	OG0000049	n18		b0832					STM0851
N4.HOG0000271	OG0000049	n20		b3542		PA4504			STM3628
N4.HOG0000272	OG0000050	n2		b0484		PA3920			STM0353, STM0498
N4.HOG0000273	OG0000050	n15		b3469					STM3576
N4.HOG0000274	OG0000050	n20				PA1549, PA2435, PA3690			
N4.HOG0000275	OG0000051	n7				PA4343, PA0703			
N4.HOG0000276	OG0000051	n9		b4111		PA5370			STM4290
N4.HOG0000277	OG0000051	n13		b1543, b1981					STM1507, STM0212
N4.HOG0000278	OG0000051	n18				PA3595			
N4.HOG0000279	OG0000051	n19		b3523		PA3749			STM3609
N4.HOG0000280	OG0000052	n1		b1657, b0396		PA4355			STM0394
N4.HOG0000281	OG0000052	n12				PA3303			
N4.HOG0000282	OG0000052	n13				PA2092			
N4.HOG0000283	OG0000052	n16		b1528		PA4113			STM1522
N4.HOG0000284	OG0000052	n18				PA3773, PA2314			
N4.HOG0000285	OG0000052	n20							STM0257
N4.HOG0000286	OG0000053	n2				PA0705, PA1014, PA5000, PA1390			
N4.HOG0000287	OG0000053	n9		b3615					STM3707
N4.HOG0000288	OG0000053	n15		b2059					STM2115
N4.HOG0000289	OG0000054	n3		b3616					STM3708
N4.HOG0000290	OG0000054	n8		b1580, b4358					STM1506, STM1542, STM3082
N4.HOG0000291	OG0000054	n14				PA4097			
N4.HOG0000292	OG0000054	n16		b1774		PA4153			
N4.HOG0000293	OG0000054	n18		b2091					STM3261
N4.HOG0000294	OG0000055	n4				PA0136			
N4.HOG0000295	OG0000055	n12		b4087					
N4.HOG0000296	OG0000055	n13		b2149, b3749, b3567					STM2189, STM3882
N4.HOG0000297	OG0000055	n18		b4485					
N4.HOG0000298	OG0000056	n4		b4324, b3094		PA1627			STM4507, STM3084, STM1541
N4.HOG0000299	OG0000056	n13		b2980		PA5356			
N4.HOG0000300	OG0000056	n14		b3604, b0113		PA4769			STM3693, STM0151
N4.HOG0000301	OG0000058	n1		b2175, b1708					STM2214, STM1343
N4.HOG0000302	OG0000058	n6		b0227, b1655		PA3472, PA1199, PA1198			STM1432
N4.HOG0000303	OG0000059	n4				PA4222			
N4.HOG0000304	OG0000059	n6				PA3228			
N4.HOG0000305	OG0000059	n9		b0914		PA4997			STM0984
N4.HOG0000306	OG0000059	n11				PA1113, PA0860			
N4.HOG0000307	OG0000060	n7		b0492		PA4061			STM0504
N4.HOG0000308	OG0000060	n9				PA1751			
N4.HOG0000309	OG0000060	n11		b2582					STM2649
N4.HOG0000310	OG0000060	n15		b3781		PA5240			STM3915
N4.HOG0000311	OG0000061	n2		b4463		PA3026			
N4.HOG0000312	OG0000061	n7		b1687					STM1365
N4.HOG0000313	OG0000061	n11		b2979		PA5355			
N4.HOG0000314	OG0000061	n16				PA0317, PA1416			
N4.HOG0000315	OG0000062	n1		b2371					
N4.HOG0000316	OG0000062	n6		b0038					STM0072
N4.HOG0000317	OG0000062	n8		b2374		PA3733			
N4.HOG0000318	OG0000062	n10				PA0446, PA3592			
N4.HOG0000319	OG0000062	n12				PA0882			
N4.HOG0000320	OG0000062	n13				PA1188			
N4.HOG0000321	OG0000064	n1				PA2915			
N4.HOG0000322	OG0000064	n7		b0927		PA0832			STM0997
N4.HOG0000323	OG0000065	n6				PA3883			
N4.HOG0000324	OG0000065	n8		b0493		PA3330			STM0505
N4.HOG0000325	OG0000065	n12		b1539		PA4907			STM1511
N4.HOG0000326	OG0000066	n2		b1430					STM1608
N4.HOG0000327	OG0000066	n8				PA4803			
N4.HOG0000328	OG0000066	n15				PA5115			
N4.HOG0000329	OG0000067	n1		b2574		PA0761			STM2641
N4.HOG0000330	OG0000067	n12		b0723		PA1583			STM0734
N4.HOG0000331	OG0000067	n16		b4154					STM4343
N4.HOG0000332	OG0000068	n0		b2881, b2866		PA1523			
N4.HOG0000333	OG0000069	n3				PA1235, PA0163			
N4.HOG0000334	OG0000069	n6		b1790		PA1229			STM1279
N4.HOG0000335	OG0000069	n8				PA1109, PA2488, PA4288			
N4.HOG0000336	OG0000069	n14				PA3830, PA0864, PA3927, PA0791			
N4.HOG0000337	OG0000070	n0				PA2505, PA4501, PA4179, PA3588, PA0755, PA0291, PA3038, PA1025, PA2113, PA4137, PA0240, PA4898, PA2213, PA2760, PA0958, PA2700, PA0189, PA2420, PA0162			
N4.HOG0000338	OG0000071	n3		b2435, b4169, b2817		PA5538, PA4947			STM2450, STM4358, STM2991
N4.HOG0000339	OG0000072	n6		b2810, b1680		PA3667			STM2984, STM1373
N4.HOG0000340	OG0000072	n14				PA2394, PA0813			
N4.HOG0000341	OG0000073	n1		b0653		PA1340			STM0663
N4.HOG0000342	OG0000073	n13				PA0313			
N4.HOG0000343	OG0000073	n14		b1918					STM1952
N4.HOG0000344	OG0000074	n1		b1584		PA1472			STM1502
N4.HOG0000345	OG0000074	n8				PA2578			
N4.HOG0000346	OG0000074	n11				PA5433			
N4.HOG0000347	OG0000074	n12		b1427		PA3248			STM1611
N4.HOG0000348	OG0000075	n5		b0588		PA4158			STM0590
N4.HOG0000349	OG0000075	n15		b4287					
N4.HOG0000350	OG0000076	n2				PA3415			
N4.HOG0000351	OG0000076	n7		b0727		PA1586			STM0737
N4.HOG0000352	OG0000076	n13		b0115		PA5016			STM0153
N4.HOG0000353	OG0000076	n16				PA2249			
N4.HOG0000354	OG0000077	n2		b0304					STM0564
N4.HOG0000355	OG0000077	n4		b3500		PA2025			STM3597
N4.HOG0000356	OG0000077	n8		b0116		PA2250			STM0154
N4.HOG0000357	OG0000077	n12				PA4829, PA1587			
N4.HOG0000358	OG0000078	n11		b3235		PA4446			STM3349
N4.HOG0000359	OG0000078	n13		b3234, b0161		PA0766			STM3348, STM0209
N4.HOG0000360	OG0000079	n5		b1712		PA2738			STM1339
N4.HOG0000361	OG0000079	n7		b0912		PA3161			STM0982
N4.HOG0000362	OG0000079	n13		b0440		PA1804			STM0451
N4.HOG0000363	OG0000079	n15		b4000		PA3940			STM4170
N4.HOG0000364	OG0000080	n5		b2128		PA3888			STM1494, STM2162
N4.HOG0000365	OG0000080	n13				PA3890			STM1492
N4.HOG0000366	OG0000081	n7		b4230					
N4.HOG0000367	OG0000081	n8		b4460, b4086, b2148, b3750					STM2188, STM3883
N4.HOG0000368	OG0000081	n15		b2546, b4231					
N4.HOG0000369	OG0000082	n2		b2421		PA0932			STM2440
N4.HOG0000370	OG0000082	n6		b2414		PA2709			STM2430
N4.HOG0000371	OG0000082	n11				PA0399			
N4.HOG0000372	OG0000082	n14				PA2104			
N4.HOG0000373	OG0000083	n3				PA1485, PA1147			
N4.HOG0000374	OG0000083	n7		b3370					
N4.HOG0000375	OG0000083	n8		b0486					
N4.HOG0000376	OG0000084	n1		b0210		PA3119			STM0259
N4.HOG0000377	OG0000084	n10				PA0547			
N4.HOG0000378	OG0000085	n2		b0162		PA1050			STM0210
N4.HOG0000379	OG0000085	n8				PA1915			
N4.HOG0000380	OG0000086	n1		b0586		PA3327, PA2305			STM0588
N4.HOG0000381	OG0000087	n2		b3877, b3876					STM4018, STM4017
N4.HOG0000382	OG0000087	n7		b1616					
N4.HOG0000383	OG0000087	n8		b3657, b0270, b4120					STM0149, STM3750, STM4065, STM0042, STM4299
N4.HOG0000384	OG0000088	n2		b4031					STM4418, STM4419
N4.HOG0000385	OG0000088	n6		b2841, b2943					STM3016, STM3091
N4.HOG0000386	OG0000089	n5		b0591		PA4622			STM0593
N4.HOG0000387	OG0000089	n9				PA2701, PA3465			
N4.HOG0000388	OG0000090	n2				PA3514			
N4.HOG0000389	OG0000090	n4							STM0106
N4.HOG0000390	OG0000090	n9		b0366		PA2308, PA2294, PA3937			
N4.HOG0000391	OG0000090	n14				PA3447, PA0184			
N4.HOG0000392	OG0000091	n5		b1895, b3923, b3495		PA2833, PA4352, PA5027, PA3017, PA1753			STM1927, STM3591
N4.HOG0000393	OG0000092	n1		b4198, b0061, b3583					STM4388, STM0101, STM3677
N4.HOG0000394	OG0000092	n10				PA3430, PA0224			
N4.HOG0000395	OG0000092	n12		b2800		PA1683			STM2974
N4.HOG0000396	OG0000093	n5		b0509		PA1500			STM0519
N4.HOG0000397	OG0000093	n8		b3882		PA3569, PA0743			STM4023
N4.HOG0000398	OG0000093	n14		b3125					STM3248
N4.HOG0000399	OG0000094	n4		b3553		PA2263, PA3896			STM3646
N4.HOG0000400	OG0000094	n8				PA4626			
N4.HOG0000401	OG0000094	n11		b2913		PA0316			STM3062
N4.HOG0000402	OG0000095	n2		b3187		PA4569			STM3305
N4.HOG0000403	OG0000095	n8		b0421		PA4043			STM0423
N4.HOG0000404	OG0000096	n8				PA5188			
N4.HOG0000405	OG0000096	n9				PA3590, PA1628			
N4.HOG0000406	OG0000097	n8		b4069		PA4733, PA0887			STM4275
N4.HOG0000407	OG0000097	n13		b0335		PA3568			STM0371
N4.HOG0000408	OG0000098	n1		b3476					
N4.HOG0000409	OG0000098	n4		b1294, b3544		PA5317, PA4497, PA4502, PA4500, PA4496			STM1692, STM3630
N4.HOG0000410	OG0000098	n13		b1487					STM1255
N4.HOG0000411	OG0000099	n2				PA5032, PA0831, PA2704, PA2096			
N4.HOG0000412	OG0000099	n6				PA3094, PA5324, PA2556, PA1182, PA3027, PA0306, PA4787, PA3215			
N4.HOG0000413	OG0000099	n15				PA2227, PA2588			
N4.HOG0000414	OG0000100	n4		b4131, b0186, b4117		PA1818			STM2559, STM0234, STM4296
N4.HOG0000415	OG0000100	n10		b2965, b0693		PA1346			STM3114, STM0701
N4.HOG0000416	OG0000101	n4		b1711		PA4707			STM1340
N4.HOG0000417	OG0000101	n7				PA2914			
N4.HOG0000418	OG0000101	n9		b4288					STM0770
N4.HOG0000419	OG0000103	n10				PA2352			
N4.HOG0000420	OG0000103	n14		b3449					STM3553
N4.HOG0000421	OG0000104	n8		b0766					STM4010, STM0784
N4.HOG0000422	OG0000104	n13		b3697					STM3831
N4.HOG0000423	OG0000105	n3		b3501		PA2277			
N4.HOG0000424	OG0000105	n9		b2667		PA4354			STM2797
N4.HOG0000425	OG0000106	n2				PA2537			
N4.HOG0000426	OG0000106	n11		b3018		PA0005			STM3173
N4.HOG0000427	OG0000107	n8		b0047, b3350		PA1207			STM0086, STM3457
N4.HOG0000428	OG0000107	n12		b0478		PA5518			STM0492
N4.HOG0000429	OG0000108	n0		b3225, b0268, b4298, b2478		PA1254, PA4188, PA0223, PA1010			STM3339, STM3532, STM2489
N4.HOG0000430	OG0000109	n3		b4148		PA1882, PA3265			STM4338
