HOG	OG	Gene Tree Parent Clade	bsu2	ecol2	mtub2	pae2	sac2	salb2	sen2
N3.HOG0000025	OG0000003	n0			Rv3135, Rv2768c, Rv1039c, Rv2770c, Rv1801, Rv1808, Rv1809, Rv1802, Rv1705c, Rv1789, Rv1787, Rv1790, Rv2892c, Rv1706c, Rv3621c, Rv3478, Rv1361c, Rv1196, Rv3136, Rv3532, Rv0915c, Rv2430c, Rv2108, Rv3426, Rv3425, Rv3429, Rv2608, Rv1800, Rv3539, Rv0442c, Rv0755c, Rv3533c, Rv3558, Rv3144c, Rv3159c, Rv3350c, Rv3347c, Rv3343c, Rv0878c, Rv1135c, Rv1753c, Rv1917c, Rv1918c, Rv0305c, Rv1548c, Rv0355c, Rv3125c, Rv2352c, Rv1168c, Rv3873, Rv3738c, Rv3018c, Rv0096, Rv2123, Rv0453, Rv1387, Rv0280, Rv0286, Rv3739c, Rv0256c				
N3.HOG0000026	OG0000004	n1			Rv2936			XNR_RS29045, XNR_RS20010, XNR_RS11390, XNR_RS15580, XNR_RS16620, XNR_RS12195	
N3.HOG0000027	OG0000004	n16			Rv1687c			XNR_RS17405	
N3.HOG0000028	OG0000004	n17			Rv1458c			XNR_RS10070, XNR_RS14130, XNR_RS09885, XNR_RS06865, XNR_RS24445	
N3.HOG0000029	OG0000004	n46			Rv1218c			XNR_RS17720	
N3.HOG0000030	OG0000004	n48						XNR_RS11220, XNR_RS14510, XNR_RS07525, XNR_RS11770	
N3.HOG0000031	OG0000005	n4			Rv0458			XNR_RS19845	
N3.HOG0000032	OG0000005	n19						XNR_RS01790	
N3.HOG0000033	OG0000005	n22			Rv2858c			XNR_RS05850, XNR_RS05885, XNR_RS25875	
N3.HOG0000034	OG0000005	n27			Rv0768, Rv0223c			XNR_RS19230	
N3.HOG0000035	OG0000005	n38						XNR_RS10710	
N3.HOG0000036	OG0000005	n40						XNR_RS05790	
N3.HOG0000037	OG0000005	n41						XNR_RS16955	
N3.HOG0000038	OG0000006	n1			Rv0844c			XNR_RS23575, XNR_RS18980, XNR_RS17175, XNR_RS11560, XNR_RS14145, XNR_RS22670	
N3.HOG0000039	OG0000006	n22						XNR_RS18850	
N3.HOG0000040	OG0000006	n23						XNR_RS13780, XNR_RS12325	
N3.HOG0000041	OG0000006	n35						XNR_RS24865	
N3.HOG0000042	OG0000006	n36			Rv3133c			XNR_RS04165, XNR_RS15205	
N3.HOG0000043	OG0000006	n39						XNR_RS02760, XNR_RS10515, XNR_RS07220, XNR_RS24520, XNR_RS23350, XNR_RS26125, XNR_RS11785, XNR_RS00365, XNR_RS17210, XNR_RS25645, XNR_RS15910, XNR_RS22405, XNR_RS13210	
N3.HOG0000044	OG0000007	n1						XNR_RS23020, XNR_RS22995, XNR_RS05125	
N3.HOG0000045	OG0000007	n17						XNR_RS16440	
N3.HOG0000046	OG0000007	n23						XNR_RS14575	
N3.HOG0000047	OG0000007	n24			Rv3575c			XNR_RS01570, XNR_RS20665, XNR_RS09805	
N3.HOG0000048	OG0000007	n27						XNR_RS03065, XNR_RS03050, XNR_RS25700	
N3.HOG0000049	OG0000007	n29						XNR_RS08320, XNR_RS16480, XNR_RS01845, XNR_RS00395	
N3.HOG0000050	OG0000007	n46						XNR_RS00790	
N3.HOG0000051	OG0000008	n1						XNR_RS02605, XNR_RS01065	
N3.HOG0000052	OG0000008	n12						XNR_RS04665	
N3.HOG0000053	OG0000008	n19						XNR_RS19740	
N3.HOG0000054	OG0000008	n20						XNR_RS28075	
N3.HOG0000055	OG0000008	n26			Rv0117			XNR_RS00615	
N3.HOG0000056	OG0000008	n31						XNR_RS19390, XNR_RS29310	
N3.HOG0000057	OG0000008	n43						XNR_RS20390	
N3.HOG0000058	OG0000009	n4						XNR_RS07545	
N3.HOG0000059	OG0000009	n8						XNR_RS19795, XNR_RS17290	
N3.HOG0000060	OG0000009	n25			Rv0491			XNR_RS05355, XNR_RS09735, XNR_RS12755	
N3.HOG0000061	OG0000009	n32						XNR_RS23460	
N3.HOG0000062	OG0000009	n38						XNR_RS07110	
N3.HOG0000063	OG0000009	n45			Rv1033c, Rv3765c, Rv0757, Rv0903c, Rv0981			XNR_RS16470	
N3.HOG0000064	OG0000010	n1			Rv0972c			XNR_RS11285	
N3.HOG0000065	OG0000010	n8			Rv2724c			XNR_RS01475	
N3.HOG0000066	OG0000010	n9						XNR_RS20855	
N3.HOG0000067	OG0000010	n11			Rv0975c				
N3.HOG0000068	OG0000010	n14						XNR_RS02265	
N3.HOG0000069	OG0000010	n25			Rv0752c			XNR_RS00740	
N3.HOG0000070	OG0000010	n27			Rv3274c			XNR_RS26855, XNR_RS02840, XNR_RS09675	
N3.HOG0000071	OG0000010	n34			Rv0400c			XNR_RS22655	
N3.HOG0000072	OG0000010	n36			Rv0131c, Rv1679			XNR_RS01085, XNR_RS12850	
N3.HOG0000073	OG0000010	n40			Rv2500c			XNR_RS20830	
N3.HOG0000074	OG0000010	n43			Rv2789c			XNR_RS27765	
N3.HOG0000075	OG0000010	n45			Rv0873				
N3.HOG0000076	OG0000011	n9						XNR_RS25170, XNR_RS07650	
N3.HOG0000077	OG0000011	n16						XNR_RS08600	
N3.HOG0000078	OG0000011	n20						XNR_RS19965	
N3.HOG0000079	OG0000011	n23						XNR_RS04955	
N3.HOG0000080	OG0000011	n32						XNR_RS09900, XNR_RS04845	
N3.HOG0000081	OG0000011	n38						XNR_RS05360, XNR_RS02475	
N3.HOG0000082	OG0000012	n1						XNR_RS08400, XNR_RS08425	
N3.HOG0000083	OG0000012	n20						XNR_RS06685, XNR_RS08420, XNR_RS08395	
N3.HOG0000084	OG0000012	n31						XNR_RS05645	
N3.HOG0000085	OG0000012	n33						XNR_RS05730, XNR_RS28755	
N3.HOG0000086	OG0000012	n34			Rv3663c, Rv1281c			XNR_RS04235	
N3.HOG0000087	OG0000012	n42						XNR_RS05735, XNR_RS28750	
N3.HOG0000088	OG0000012	n44						XNR_RS28860, XNR_RS05640	
N3.HOG0000089	OG0000013	n2			Rv3039c			XNR_RS06840, XNR_RS19935	
N3.HOG0000090	OG0000013	n10			Rv1070c			XNR_RS00725	
N3.HOG0000091	OG0000013	n17			Rv3516, Rv0222				
N3.HOG0000092	OG0000013	n23			Rv0548c				
N3.HOG0000093	OG0000013	n26			Rv0971c			XNR_RS11280	
N3.HOG0000094	OG0000013	n32			Rv1472, Rv1142c, Rv1141c			XNR_RS08230	
N3.HOG0000095	OG0000013	n40			Rv2486, Rv0905, Rv3373			XNR_RS01390	
N3.HOG0000096	OG0000014	n1						XNR_RS03395	
N3.HOG0000097	OG0000014	n16						XNR_RS14645	
N3.HOG0000098	OG0000014	n19						XNR_RS01730, XNR_RS00460, XNR_RS10290, XNR_RS13900	
N3.HOG0000099	OG0000014	n25			Rv0042c			XNR_RS22300	
N3.HOG0000100	OG0000014	n33						XNR_RS24550	
N3.HOG0000101	OG0000014	n34						XNR_RS00835	
N3.HOG0000102	OG0000015	n1						XNR_RS25430	
N3.HOG0000103	OG0000015	n11			Rv3561, Rv2505c			XNR_RS03170	
N3.HOG0000104	OG0000015	n21			Rv1058			XNR_RS14395	
N3.HOG0000105	OG0000015	n33			Rv3089				
N3.HOG0000106	OG0000015	n34			Rv0214, Rv0119			XNR_RS02535	
N3.HOG0000107	OG0000015	n37			Rv0551c, Rv0166			XNR_RS29190	
N3.HOG0000108	OG0000016	n4			Rv2779c			XNR_RS15140, XNR_RS27475	
N3.HOG0000109	OG0000016	n26						XNR_RS17685, XNR_RS26865, XNR_RS27455	
N3.HOG0000110	OG0000016	n32			Rv2324			XNR_RS05890, XNR_RS26740	
N3.HOG0000111	OG0000016	n35						XNR_RS19070	
N3.HOG0000112	OG0000017	n1						XNR_RS03490	
N3.HOG0000113	OG0000018	n2			Rv1238, Rv2038c, Rv2832c			XNR_RS12665	
N3.HOG0000114	OG0000018	n16			Rv2397c				
N3.HOG0000115	OG0000018	n23						XNR_RS05920, XNR_RS15355	
N3.HOG0000116	OG0000018	n26						XNR_RS05840	
N3.HOG0000117	OG0000019	n8						XNR_RS27705	
N3.HOG0000118	OG0000019	n12						XNR_RS22665	
N3.HOG0000119	OG0000019	n13			Rv2846c			XNR_RS20185, XNR_RS26010, XNR_RS10655, XNR_RS03350	
N3.HOG0000120	OG0000019	n18						XNR_RS15445, XNR_RS17090	
N3.HOG0000121	OG0000019	n22			Rv2333c, Rv2459				
N3.HOG0000122	OG0000019	n26						XNR_RS14350, XNR_RS17075	
N3.HOG0000123	OG0000019	n28						XNR_RS25135, XNR_RS16860, XNR_RS29365, XNR_RS26175, XNR_RS07500	
N3.HOG0000124	OG0000020	n1			Rv3786c, Rv2450c, Rv2389c, Rv1884c, Rv1009, Rv0867c			XNR_RS09955, XNR_RS09950, XNR_RS25100	
N3.HOG0000125	OG0000020	n22						XNR_RS03025, XNR_RS11825	
N3.HOG0000126	OG0000020	n24						XNR_RS16810, XNR_RS19105, XNR_RS13960, XNR_RS14545, XNR_RS17280, XNR_RS05080, XNR_RS02110, XNR_RS27965, XNR_RS12935	
N3.HOG0000127	OG0000021	n13			Rv1704c				
N3.HOG0000128	OG0000021	n15			Rv2127, Rv0346c				
N3.HOG0000129	OG0000022	n12						XNR_RS27940	
N3.HOG0000130	OG0000022	n13						XNR_RS11605	
N3.HOG0000131	OG0000022	n16						XNR_RS17440, XNR_RS23175	
N3.HOG0000132	OG0000022	n24						XNR_RS25635	
N3.HOG0000133	OG0000022	n25						XNR_RS00640	
N3.HOG0000134	OG0000022	n30						XNR_RS26210, XNR_RS22550	
N3.HOG0000135	OG0000023	n3			Rv2176			XNR_RS23615	
N3.HOG0000136	OG0000023	n8						XNR_RS18895, XNR_RS13630, XNR_RS23825, XNR_RS18885, XNR_RS25310, XNR_RS20475	
N3.HOG0000137	OG0000023	n15			Rv3576			XNR_RS18890	
N3.HOG0000138	OG0000023	n16			Rv3524			XNR_RS21795, XNR_RS26270, XNR_RS13725, XNR_RS00685, XNR_RS11110	
N3.HOG0000139	OG0000023	n21						XNR_RS09245, XNR_RS09240, XNR_RS14970	
N3.HOG0000140	OG0000023	n23			Rv0931c, Rv1743, Rv1266c, Rv2914c, Rv1746, Rv2088			XNR_RS09975	
N3.HOG0000141	OG0000023	n30			Rv0014c			XNR_RS15195, XNR_RS15200, XNR_RS15060	
N3.HOG0000142	OG0000024	n5			Rv3855, Rv3058c				
N3.HOG0000143	OG0000024	n12			Rv0078			XNR_RS29385	
N3.HOG0000144	OG0000024	n14						XNR_RS11275	
N3.HOG0000145	OG0000024	n15			Rv3830c			XNR_RS12435	
N3.HOG0000146	OG0000024	n17			Rv3055			XNR_RS16685	
N3.HOG0000147	OG0000024	n19			Rv3405c			XNR_RS23180, XNR_RS26265, XNR_RS25475	
N3.HOG0000148	OG0000024	n24			Rv0144, Rv3295			XNR_RS00760	
N3.HOG0000149	OG0000024	n26			Rv1534			XNR_RS26045, XNR_RS25370, XNR_RS15135	
N3.HOG0000150	OG0000025	n10			Rv1357c				
N3.HOG0000151	OG0000025	n24						XNR_RS06620	
N3.HOG0000152	OG0000025	n25						XNR_RS28070, XNR_RS08540, XNR_RS06550, XNR_RS11980	
N3.HOG0000153	OG0000027	n6			Rv2971			XNR_RS27895, XNR_RS03000, XNR_RS01990, XNR_RS20335	
N3.HOG0000154	OG0000027	n17						XNR_RS04560	
N3.HOG0000155	OG0000027	n21						XNR_RS06560, XNR_RS22390	
N3.HOG0000156	OG0000028	n2			Rv3569c			XNR_RS27500, XNR_RS08100	
N3.HOG0000157	OG0000028	n12			Rv3177				
N3.HOG0000158	OG0000028	n13			Rv2715			XNR_RS26690	
N3.HOG0000159	OG0000028	n17						XNR_RS10155	
N3.HOG0000160	OG0000028	n19						XNR_RS19290	
N3.HOG0000161	OG0000028	n25			Rv0554			XNR_RS17150	
N3.HOG0000162	OG0000028	n26			Rv3591c			XNR_RS16200, XNR_RS13850, XNR_RS11240	
N3.HOG0000163	OG0000028	n29			Rv2579, Rv1190				
N3.HOG0000164	OG0000029	n1			Rv0225				
N3.HOG0000165	OG0000029	n9						XNR_RS25105	
N3.HOG0000166	OG0000029	n12						XNR_RS01560	
N3.HOG0000167	OG0000029	n19			Rv3032, Rv1212c			XNR_RS22615	
N3.HOG0000168	OG0000029	n21			Rv0486			XNR_RS16770	
N3.HOG0000169	OG0000029	n22			Rv2188c			XNR_RS04830, XNR_RS23515	
N3.HOG0000170	OG0000030	n3						XNR_RS16850	
N3.HOG0000171	OG0000030	n7						XNR_RS05075	
N3.HOG0000172	OG0000030	n14			Rv0165c			XNR_RS18450	
N3.HOG0000173	OG0000030	n16			Rv0043c			XNR_RS03265, XNR_RS13710, XNR_RS21745, XNR_RS15230, XNR_RS21010	
N3.HOG0000174	OG0000030	n23						XNR_RS23275, XNR_RS01420	
N3.HOG0000175	OG0000031	n7						XNR_RS09115, XNR_RS07805	
N3.HOG0000176	OG0000031	n12			Rv2040c			XNR_RS20650, XNR_RS09795	
N3.HOG0000177	OG0000031	n22			Rv1236			XNR_RS04805	
N3.HOG0000178	OG0000031	n24			Rv2316			XNR_RS09265	
N3.HOG0000179	OG0000031	n25			Rv2835c				
N3.HOG0000180	OG0000031	n26						XNR_RS19275, XNR_RS00780, XNR_RS03835	
N3.HOG0000181	OG0000032	n7						XNR_RS27815	
N3.HOG0000182	OG0000032	n9			Rv1237			XNR_RS07800, XNR_RS09110, XNR_RS04810	
N3.HOG0000183	OG0000032	n17			Rv2317, Rv2039c			XNR_RS05110, XNR_RS09790, XNR_RS20645	
N3.HOG0000184	OG0000032	n21			Rv2834c			XNR_RS19270	
N3.HOG0000185	OG0000032	n25						XNR_RS09270	
N3.HOG0000186	OG0000032	n27						XNR_RS00775, XNR_RS03830	
N3.HOG0000187	OG0000033	n2			Rv3518c, Rv3545c, Rv2266, Rv0778			XNR_RS04895	
N3.HOG0000188	OG0000033	n8			Rv3121			XNR_RS09960, XNR_RS02750, XNR_RS03985, XNR_RS11370, XNR_RS11515, XNR_RS11620, XNR_RS11365, XNR_RS03990, XNR_RS25790, XNR_RS15975, XNR_RS29070, XNR_RS28295, XNR_RS00975, XNR_RS28790	
N3.HOG0000189	OG0000033	n27			Rv1880c, Rv0766c				
N3.HOG0000190	OG0000034	n8						XNR_RS12315, XNR_RS21765	
N3.HOG0000191	OG0000034	n10						XNR_RS02130, XNR_RS12975	
N3.HOG0000192	OG0000034	n12						XNR_RS25450	
N3.HOG0000193	OG0000034	n15			Rv1454c			XNR_RS15280	
N3.HOG0000194	OG0000034	n20			Rv1912c				
N3.HOG0000195	OG0000034	n22			Rv0149, Rv3141			XNR_RS28830	
N3.HOG0000196	OG0000034	n25			Rv3777			XNR_RS15175	
N3.HOG0000197	OG0000035	n6						XNR_RS24050, XNR_RS12390, XNR_RS15000, XNR_RS17765	
N3.HOG0000198	OG0000035	n12			Rv3648c			XNR_RS11885	
N3.HOG0000199	OG0000036	n7						XNR_RS08585	
N3.HOG0000200	OG0000036	n8						XNR_RS25175, XNR_RS25150, XNR_RS07640	
N3.HOG0000201	OG0000037	n4			Rv2989			XNR_RS20150, XNR_RS06235	
N3.HOG0000202	OG0000037	n8						XNR_RS12960	
N3.HOG0000203	OG0000037	n12						XNR_RS02785	
N3.HOG0000204	OG0000037	n16						XNR_RS25625	
N3.HOG0000205	OG0000037	n23			Rv1719, Rv1773c				
N3.HOG0000206	OG0000037	n24						XNR_RS09005	
N3.HOG0000207	OG0000039	n23						XNR_RS19940	
N3.HOG0000208	OG0000039	n24						XNR_RS01230	
N3.HOG0000209	OG0000040	n0						XNR_RS29940, XNR_RS06425, XNR_RS16400, XNR_RS13095, XNR_RS13090, XNR_RS30035, XNR_RS18730, XNR_RS16155, XNR_RS31230, XNR_RS11690, XNR_RS09045, XNR_RS12810, XNR_RS12805, XNR_RS16610, XNR_RS16605, XNR_RS12100, XNR_RS12105, XNR_RS12095, XNR_RS10975, XNR_RS12090, XNR_RS09665, XNR_RS05615, XNR_RS16940, XNR_RS24250, XNR_RS09605, XNR_RS27590	
N3.HOG0000210	OG0000041	n2			Rv3095			XNR_RS28015	
N3.HOG0000211	OG0000041	n11						XNR_RS15100, XNR_RS22750	
N3.HOG0000212	OG0000041	n14						XNR_RS06885, XNR_RS13755, XNR_RS18180, XNR_RS04220, XNR_RS10000	
N3.HOG0000213	OG0000042	n8			Rv0792c			XNR_RS25330	
N3.HOG0000214	OG0000042	n15						XNR_RS07815, XNR_RS27505, XNR_RS02740	
N3.HOG0000215	OG0000043	n15			Rv1253				
N3.HOG0000216	OG0000043	n19			Rv3211				
N3.HOG0000217	OG0000044	n3						XNR_RS02125, XNR_RS13175, XNR_RS16580	
N3.HOG0000218	OG0000044	n7						XNR_RS26075	
N3.HOG0000219	OG0000044	n9			Rv3334			XNR_RS22385, XNR_RS11710	
N3.HOG0000220	OG0000044	n21						XNR_RS01685	
N3.HOG0000221	OG0000046	n1			Rv2027c, Rv3132c			XNR_RS24860, XNR_RS14550, XNR_RS04170	
N3.HOG0000222	OG0000046	n16						XNR_RS17170	
N3.HOG0000223	OG0000046	n18						XNR_RS13775, XNR_RS12320, XNR_RS20300	
N3.HOG0000224	OG0000047	n12			Rv2626c			XNR_RS18795	
N3.HOG0000225	OG0000047	n17			Rv2406c				
N3.HOG0000226	OG0000048	n4						XNR_RS05745, XNR_RS04245, XNR_RS28740, XNR_RS28850	
N3.HOG0000227	OG0000048	n11						XNR_RS06700	
N3.HOG0000228	OG0000048	n14			Rv1283c, Rv3665c			XNR_RS08435, XNR_RS08410	
N3.HOG0000229	OG0000049	n3			Rv1282c				
N3.HOG0000230	OG0000049	n7			Rv3664c			XNR_RS05635, XNR_RS08405, XNR_RS08430	
N3.HOG0000231	OG0000049	n13						XNR_RS04240, XNR_RS28745, XNR_RS05740	
N3.HOG0000232	OG0000049	n16						XNR_RS06695	
N3.HOG0000233	OG0000050	n2			Rv0969, Rv0103c, Rv0092			XNR_RS20945, XNR_RS04395	
N3.HOG0000234	OG0000050	n13			Rv1469, Rv3743c				
N3.HOG0000235	OG0000050	n15			Rv3270, Rv1992c			XNR_RS01605	
N3.HOG0000236	OG0000051	n7						XNR_RS06780	
N3.HOG0000237	OG0000051	n9						XNR_RS08805	
N3.HOG0000238	OG0000051	n13						XNR_RS00250	
N3.HOG0000239	OG0000051	n18						XNR_RS01055	
N3.HOG0000240	OG0000051	n19						XNR_RS15770	
N3.HOG0000241	OG0000052	n1						XNR_RS20330, XNR_RS15550	
N3.HOG0000242	OG0000052	n14			Rv0191				
N3.HOG0000243	OG0000053	n6			Rv0696			XNR_RS25285	
N3.HOG0000244	OG0000053	n9			Rv2957			XNR_RS19610, XNR_RS09275	
N3.HOG0000245	OG0000053	n15			Rv1518			XNR_RS19535	
N3.HOG0000246	OG0000054	n3			Rv1530			XNR_RS04500	
N3.HOG0000247	OG0000054	n14			Rv3726				
N3.HOG0000248	OG0000054	n18						XNR_RS04815	
N3.HOG0000249	OG0000055	n4						XNR_RS19685	
N3.HOG0000250	OG0000055	n13						XNR_RS16450	
N3.HOG0000251	OG0000055	n18						XNR_RS01945, XNR_RS08335	
N3.HOG0000252	OG0000056	n2			Rv0494, Rv0586				
N3.HOG0000253	OG0000056	n4						XNR_RS13115, XNR_RS24815	
N3.HOG0000254	OG0000056	n11						XNR_RS25865, XNR_RS04130, XNR_RS24950	
N3.HOG0000255	OG0000057	n0			Rv2931, Rv2932, Rv1664, Rv0405, Rv1663, Rv2946c, Rv1661, Rv2048c, Rv1662, Rv2381c, Rv2935, Rv2947c, Rv2382c, Rv3800c, Rv1180, Rv3825c, Rv1181, Rv1527c, Rv2940c, Rv2933, Rv2934				
N3.HOG0000256	OG0000058	n12			Rv1478, Rv1477, Rv1566c				
N3.HOG0000257	OG0000058	n15			Rv2190c			XNR_RS27605, XNR_RS17975	
N3.HOG0000258	OG0000059	n4			Rv1349			XNR_RS28640	
N3.HOG0000259	OG0000059	n6						XNR_RS00830, XNR_RS27915	
N3.HOG0000260	OG0000059	n13			Rv1272c			XNR_RS22160	
N3.HOG0000261	OG0000060	n6			Rv1324			XNR_RS07010	
N3.HOG0000262	OG0000060	n11			Rv1470, Rv1471			XNR_RS28145	
N3.HOG0000263	OG0000060	n15			Rv3914			XNR_RS14865	
N3.HOG0000264	OG0000061	n2			Rv2251, Rv3107c			XNR_RS28905	
N3.HOG0000265	OG0000061	n7						XNR_RS11340	
N3.HOG0000266	OG0000061	n11			Rv1257c			XNR_RS08925	
N3.HOG0000267	OG0000061	n16			Rv0161				
N3.HOG0000268	OG0000062	n5						XNR_RS24000	
N3.HOG0000269	OG0000062	n10						XNR_RS22650	
N3.HOG0000270	OG0000062	n12						XNR_RS01105	
N3.HOG0000271	OG0000062	n14			Rv1143, Rv0855			XNR_RS01480	
N3.HOG0000272	OG0000062	n18			Rv1866			XNR_RS24740	
N3.HOG0000273	OG0000063	n0						XNR_RS06420, XNR_RS16025, XNR_RS09655, XNR_RS12275, XNR_RS19825, XNR_RS09600, XNR_RS27595, XNR_RS24245, XNR_RS16950, XNR_RS10970, XNR_RS16150, XNR_RS13100, XNR_RS12085, XNR_RS16395, XNR_RS09050, XNR_RS16600, XNR_RS12815, XNR_RS11685, XNR_RS18725, XNR_RS16230	
N3.HOG0000274	OG0000064	n1			Rv0634c				
N3.HOG0000275	OG0000064	n5			Rv0406c				
N3.HOG0000276	OG0000064	n15			Rv1637c			XNR_RS24320	
N3.HOG0000277	OG0000064	n16			Rv2260			XNR_RS27785	
N3.HOG0000278	OG0000064	n17			Rv2581c			XNR_RS26490	
N3.HOG0000279	OG0000065	n4			Rv2509, Rv0765c				
N3.HOG0000280	OG0000065	n6			Rv3174			XNR_RS14255	
N3.HOG0000281	OG0000065	n8			Rv3057c			XNR_RS04695	
N3.HOG0000282	OG0000065	n12			Rv0484c			XNR_RS19565, XNR_RS17590	
N3.HOG0000283	OG0000066	n6						XNR_RS16665, XNR_RS04270	
N3.HOG0000284	OG0000066	n8			Rv2423, Rv1377c, Rv3699, Rv0560c, Rv2675c			XNR_RS20250, XNR_RS03555	
N3.HOG0000285	OG0000066	n15			Rv1515c, Rv0325			XNR_RS04055	
N3.HOG0000286	OG0000067	n1			Rv1595			XNR_RS17230	
N3.HOG0000287	OG0000067	n12			Rv3318			XNR_RS19485	
N3.HOG0000288	OG0000067	n16			Rv1552				
N3.HOG0000289	OG0000068	n0			Rv0373c			XNR_RS01805, XNR_RS03235, XNR_RS28485, XNR_RS09090	
N3.HOG0000290	OG0000069	n2						XNR_RS20190, XNR_RS00670, XNR_RS02210, XNR_RS02595	
N3.HOG0000291	OG0000069	n14						XNR_RS27430	
N3.HOG0000292	OG0000071	n1			Rv3717			XNR_RS22635	
N3.HOG0000293	OG0000071	n3			Rv3915				
N3.HOG0000294	OG0000072	n2						XNR_RS21965	
N3.HOG0000295	OG0000072	n6			Rv1464			XNR_RS24475	
N3.HOG0000296	OG0000072	n13			Rv3778c				
N3.HOG0000297	OG0000072	n14			Rv3700c			XNR_RS24545	
N3.HOG0000298	OG0000073	n1						XNR_RS05370	
N3.HOG0000299	OG0000073	n6						XNR_RS08595, XNR_RS08590	
N3.HOG0000300	OG0000073	n9						XNR_RS25165, XNR_RS25155, XNR_RS07645	
N3.HOG0000301	OG0000074	n1						XNR_RS15325	
N3.HOG0000302	OG0000074	n8			Rv0802c			XNR_RS11100, XNR_RS08235	
N3.HOG0000303	OG0000074	n11						XNR_RS24595	
N3.HOG0000304	OG0000074	n12						XNR_RS16010, XNR_RS10125	
N3.HOG0000305	OG0000075	n5						XNR_RS11590, XNR_RS15635, XNR_RS02230, XNR_RS04200, XNR_RS02570	
N3.HOG0000306	OG0000075	n15						XNR_RS28615	
N3.HOG0000307	OG0000075	n16						XNR_RS00665	
N3.HOG0000308	OG0000076	n2			Rv2495c			XNR_RS15155, XNR_RS15220	
N3.HOG0000309	OG0000076	n7			Rv2215			XNR_RS23280	
