HOG	OG	Gene Tree Parent Clade	bsu2	ecol2	mtub2	pae2	sac2	salb2	sen2
N1.HOG0000055	OG0000008	n1	BSU_36020	b1595, b2537		PA5029, PA2510		XNR_RS02605, XNR_RS01065	STM1487, STM3121
N1.HOG0000056	OG0000008	n10				PA5218, PA3776			
N1.HOG0000057	OG0000008	n12				PA3594, PA1826		XNR_RS04665	
N1.HOG0000058	OG0000008	n15		b0338		PA0528, PA2054			
N1.HOG0000059	OG0000008	n19	BSU_40670					XNR_RS19740	
N1.HOG0000060	OG0000008	n20	BSU_18460					XNR_RS28075	
N1.HOG0000061	OG0000008	n25	BSU_29400	b4706, b2921	Rv0117	PA0217, PA5179		XNR_RS00615, XNR_RS19390, XNR_RS29310	STM2575, STM0763
N1.HOG0000062	OG0000008	n35	BSU_18760, BSU_33990	b0768, b2409		PA1998, PA0218, PA0491			STM2424, STM2281
N1.HOG0000063	OG0000008	n43		b3961		PA5344		XNR_RS20390	STM4125
N1.HOG0000064	OG0000008	n46	BSU_03620	b1988					STM0692
N1.HOG0000065	OG0000008	n48	BSU_03170, BSU_38310			PA3433			STM4270
N1.HOG0000066	OG0000009	n4		b4398		PA0463		XNR_RS07545	STM4588
N1.HOG0000067	OG0000009	n8				PA2798		XNR_RS19795, XNR_RS17290	
N1.HOG0000068	OG0000009	n12	BSU_02550, BSU_23120, BSU_03750	b0399		PA5360			STM0397
N1.HOG0000069	OG0000009	n17	BSU_40410, BSU_29110	b3912, b1608		PA3204, PA1157, PA1799			STM4059, STM1475
N1.HOG0000070	OG0000009	n25			Rv0491			XNR_RS05355, XNR_RS09735, XNR_RS12755	
N1.HOG0000071	OG0000009	n28	BSU_13250	b3025, b0571, b1969	Rv0602c, Rv1033c, Rv3765c, Rv0757, Rv0903c, Rv0981	PA0756, PA4776, PA2479, PA2809, PA1437, PA4885, PA2523		XNR_RS23460, XNR_RS07110, XNR_RS16470	STM2785, STM3177, STM1096
N1.HOG0000072	OG0000010	n1			Rv0972c	PA0879		XNR_RS11285	STM0857
N1.HOG0000073	OG0000010	n6			Rv2724c, Rv0975c	PA1187, PA4435, PA2889, PA1535		XNR_RS01475, XNR_RS20855	
N1.HOG0000074	OG0000010	n14		b1695, b0039		PA4979		XNR_RS02265	STM1356, STM0073
N1.HOG0000075	OG0000010	n23	BSU_24150, BSU_37170		Rv0752c, Rv3274c	PA0746		XNR_RS00740, XNR_RS26855, XNR_RS02840, XNR_RS09675	
N1.HOG0000076	OG0000010	n31	BSU_18260		Rv0400c, Rv0131c, Rv1679, Rv2500c	PA0447, PA2552		XNR_RS22655, XNR_RS01085, XNR_RS12850, XNR_RS20830	
N1.HOG0000077	OG0000010	n41	BSU_32820		Rv2789c, Rv0873	PA2015, PA1631		XNR_RS27765	
N1.HOG0000078	OG0000011	n4		b2306		PA5152, PA0892, PA2926			STM2351
N1.HOG0000079	OG0000011	n9	BSU_29340, BSU_39480, BSU_03590					XNR_RS25170, XNR_RS07650	
N1.HOG0000080	OG0000011	n14		b1917					STM1951
N1.HOG0000081	OG0000011	n16		b0864				XNR_RS08600	STM0891
N1.HOG0000082	OG0000011	n20	BSU_14360, BSU_33270			PA4594		XNR_RS19965	
N1.HOG0000083	OG0000011	n23	BSU_30420, BSU_03730	b0495, b1117		PA2857, PA2987, PA4064		XNR_RS04955	STM0507, STM1218
N1.HOG0000084	OG0000011	n32	BSU_34700, BSU_39640, BSU_30380					XNR_RS09900, XNR_RS04845	
N1.HOG0000085	OG0000011	n36	BSU_23960	b0809					STM0828
N1.HOG0000086	OG0000011	n38	BSU_27430	b0652, b3271		PA5074, PA1256, PA1339, PA4192		XNR_RS05360, XNR_RS02475	STM0662
N1.HOG0000087	OG0000012	n1	BSU_11460, BSU_12950, BSU_11360	b1484, b1291, b3541, b1246		PA4505		XNR_RS08400, XNR_RS08425	STM1695, STM3627, STM1743
N1.HOG0000088	OG0000012	n20	BSU_11370, BSU_13000, BSU_11470	b1247, b3540, b1483		PA4506		XNR_RS06685, XNR_RS08420, XNR_RS08395	STM1742, STM3626
N1.HOG0000089	OG0000012	n31						XNR_RS05645	
N1.HOG0000090	OG0000012	n33						XNR_RS05730, XNR_RS28755	
N1.HOG0000091	OG0000012	n34		b2180, b0829	Rv3663c, Rv1281c	PA1807, PA2061		XNR_RS04235	STM2219, STM0848
N1.HOG0000092	OG0000012	n42		b3479				XNR_RS05735, XNR_RS28750	
N1.HOG0000093	OG0000012	n44						XNR_RS28860, XNR_RS05640	
N1.HOG0000094	OG0000013	n2	BSU_18220, BSU_28540		Rv3039c	PA0745		XNR_RS06840, XNR_RS19935	
N1.HOG0000095	OG0000013	n10		b1393	Rv1070c	PA1629, PA3591		XNR_RS00725	
N1.HOG0000096	OG0000013	n17		b0036	Rv3516, Rv0222				STM0070
N1.HOG0000097	OG0000013	n23	BSU_30800	b2262	Rv0548c				STM2307
N1.HOG0000098	OG0000013	n26	BSU_17160		Rv0971c	PA2890, PA2013		XNR_RS11280	
N1.HOG0000099	OG0000013	n30	BSU_09880	b1394	Rv1472, Rv1142c, Rv1141c, Rv2486, Rv0905, Rv3373	PA4980, PA4330, PA1021		XNR_RS10720, XNR_RS08230, XNR_RS01390	
N1.HOG0000100	OG0000014	n1	BSU_03080, BSU_08410, BSU_37550, BSU_32870, BSU_21700, BSU_28400	b2684		PA0942		XNR_RS03395	STM2813
N1.HOG0000101	OG0000014	n16	BSU_13340, BSU_13670					XNR_RS14645	
N1.HOG0000102	OG0000014	n19	BSU_05670, BSU_07220					XNR_RS01730, XNR_RS00460, XNR_RS10290, XNR_RS13900	
N1.HOG0000103	OG0000014	n25	BSU_04770		Rv0042c	PA4135, PA1603		XNR_RS22300	STM2920, STM1100
N1.HOG0000104	OG0000014	n32	BSU_08990	b1530		PA0253, PA5157		XNR_RS24550, XNR_RS00835	STM1520
N1.HOG0000105	OG0000014	n38	BSU_40710, BSU_36440	b1642		PA3341			STM1444
N1.HOG0000106	OG0000015	n1	BSU_28560	b1805		PA3299, PA3300		XNR_RS25430	STM1818
N1.HOG0000107	OG0000015	n11	BSU_18250	b1701	Rv3561, Rv2505c	PA2557		XNR_RS03170	STM1350
N1.HOG0000108	OG0000015	n21			Rv1058			XNR_RS14395	
N1.HOG0000109	OG0000015	n23				PA3924			
N1.HOG0000110	OG0000015	n26				PA4198			
N1.HOG0000111	OG0000015	n33	BSU_30790		Rv3089				
N1.HOG0000112	OG0000015	n34	BSU_10360		Rv0214, Rv0119			XNR_RS02535	
N1.HOG0000113	OG0000015	n37			Rv0551c, Rv0166			XNR_RS29190	
N1.HOG0000114	OG0000015	n39		b0037					STM0071
N1.HOG0000115	OG0000016	n2		b3743					STM3876
N1.HOG0000116	OG0000016	n4	BSU_26720	b0447, b0889	Rv2779c	PA2082, PA3965, PA2028, PA4508, PA2246, PA5308		XNR_RS15140, XNR_RS27475	STM1001, STM0459, STM0959
N1.HOG0000117	OG0000016	n23	BSU_05060, BSU_05050, BSU_04250			PA4784			
N1.HOG0000118	OG0000016	n26	BSU_06540			PA2577		XNR_RS17685, XNR_RS26865, XNR_RS27455	
N1.HOG0000119	OG0000016	n32			Rv2324			XNR_RS05890, XNR_RS26740	
N1.HOG0000120	OG0000016	n35						XNR_RS19070	
N1.HOG0000121	OG0000017	n1	BSU_08100	b1201		PA4147, PA4021		XNR_RS03490	
N1.HOG0000122	OG0000017	n6	BSU_21780	b2869					
N1.HOG0000123	OG0000017	n9	BSU_40350			PA1196			STM2361
N1.HOG0000124	OG0000017	n11	BSU_24100			PA2005			STM0652
N1.HOG0000125	OG0000017	n13		b3868, b2220, b2554, b4004, b1303		PA5483, PA4726, PA5125, PA4547, PA1099, PA1335, PA5511, PA5166, PA1945, PA1097, PA1663, PA2359, PA2354, PA3932			STM4005, STM2562, STM4174, STM2396, STM1691
N1.HOG0000126	OG0000018	n0	BSU_38810, BSU_32550	b3450, b4035, b0066, b2422, b0262, b1126, b0855, b1441	Rv1238, Rv2038c, Rv2832c, Rv2397c	PA2341, PA3187, PA5376, PA3538, PA0280, PA3254, PA0302, PA0603, PA3607, PA0206, PA0326		XNR_RS12665, XNR_RS05920, XNR_RS15355, XNR_RS05840	STM3554, STM4230, STM1635, STM2441, STM0428, STM1226, STM0878
N1.HOG0000127	OG0000019	n8				PA1262		XNR_RS27705	
N1.HOG0000128	OG0000019	n10			Rv2846c	PA2055		XNR_RS22665, XNR_RS20185, XNR_RS26010, XNR_RS10655, XNR_RS03350, XNR_RS15870	
N1.HOG0000129	OG0000019	n18	BSU_35210, BSU_36480					XNR_RS15445, XNR_RS17090	
N1.HOG0000130	OG0000019	n21	BSU_37570		Rv2333c, Rv2459	PA1316, PA3718, PA1282		XNR_RS14350, XNR_RS17075, XNR_RS25135, XNR_RS16860, XNR_RS29365, XNR_RS26175, XNR_RS07500	
N1.HOG0000131	OG0000019	n33	BSU_08400	b1828					STM1843
N1.HOG0000132	OG0000020	n1	BSU_32340		Rv3786c, Rv2450c, Rv2389c, Rv1884c, Rv1009, Rv0867c	PA5551		XNR_RS09955, XNR_RS09950, XNR_RS25100	
N1.HOG0000133	OG0000020	n11	BSU_36550	b3613, b2742, b2865	Rv0950c	PA5133, PA4924, PA3623, PA5363, PA3787, PA4404		XNR_RS03025, XNR_RS11825, XNR_RS16810, XNR_RS19105, XNR_RS13960, XNR_RS14545, XNR_RS17280, XNR_RS05080, XNR_RS02110, XNR_RS27965, XNR_RS12935	STM3705, STM2925, STM3038
N1.HOG0000134	OG0000021	n1	BSU_40330, BSU_37760, BSU_39390, BSU_02400	b0260		PA4981			STM2357
N1.HOG0000135	OG0000021	n10	BSU_27090, BSU_05620	b4208, b1453	Rv1704c, Rv2127, Rv0346c			XNR_RS08865	STM4398, STM1584
N1.HOG0000136	OG0000021	n19	BSU_02060, BSU_30530	b0402, b3795		PA5097, PA0789			STM0400, STM3930
N1.HOG0000137	OG0000021	n26		b0576, b0112		PA3000, PA0866			STM0568, STM0150
N1.HOG0000138	OG0000021	n31	BSU_34010, BSU_03110			PA2079			
N1.HOG0000139	OG0000022	n3	BSU_34970	b3385	Rv2232	PA3172, PA0608, PA2974, PA0065, PA3941, PA0810		XNR_RS27940, XNR_RS11605	STM3482
N1.HOG0000140	OG0000022	n16		b3715		PA0562		XNR_RS17440, XNR_RS23175	STM3852
N1.HOG0000141	OG0000022	n23	BSU_09240	b1727				XNR_RS25635, XNR_RS00640	STM1322
N1.HOG0000142	OG0000022	n27	BSU_34550	b1317, b2690					STM2820
N1.HOG0000143	OG0000022	n30		b2293				XNR_RS26210, XNR_RS22550	STM2334
N1.HOG0000144	OG0000023	n0	BSU_15770		Rv2176, Rv0015c, Rv3576, Rv3524, Rv0931c, Rv1743, Rv1266c, Rv2914c, Rv1746, Rv2088, Rv0014c	PA1671, PA0074		XNR_RS23615, XNR_RS18895, XNR_RS13630, XNR_RS23825, XNR_RS18885, XNR_RS25310, XNR_RS20475, XNR_RS18890, XNR_RS21795, XNR_RS26270, XNR_RS13725, XNR_RS00685, XNR_RS11110, XNR_RS09245, XNR_RS09240, XNR_RS14970, XNR_RS09975, XNR_RS15195, XNR_RS15200, XNR_RS15060	
N1.HOG0000145	OG0000024	n5	BSU_38220		Rv3855, Rv3058c				
N1.HOG0000146	OG0000024	n8	BSU_39850		Rv0078, Rv3830c, Rv3055	PA2270, PA1290, PA1836		XNR_RS29385, XNR_RS11275, XNR_RS12435, XNR_RS16685	
N1.HOG0000147	OG0000024	n18	BSU_29630		Rv3405c, Rv0144, Rv3295	PA3006		XNR_RS23180, XNR_RS26265, XNR_RS25475, XNR_RS00760	
N1.HOG0000148	OG0000024	n26	BSU_08370		Rv1534			XNR_RS26045, XNR_RS25370, XNR_RS15135	
N1.HOG0000149	OG0000024	n30	BSU_34480, BSU_28550			PA1315			
N1.HOG0000150	OG0000025	n0	BSU_13420	b1285, b4061, b0457, b0315, b1489	Rv1357c, Rv1354c	PA5442, PA0575, PA0285, PA4601, PA5017, PA2567, PA2200, PA3947, PA4367, PA5295, PA1433, PA2133, PA2072, PA3311, PA1727		XNR_RS06620, XNR_RS28070, XNR_RS08540, XNR_RS06550, XNR_RS11980	STM1703, STM4264, STM0468, STM0343, STM3388
N1.HOG0000151	OG0000026	n0		b3060, b1799, b3521		PA3565, PA2681, PA1067, PA2123, PA2848, PA1201, PA2432, PA3630, PA3124, PA2316, PA2534, PA2877, PA4174, PA2056, PA3135, PA0056, PA3895, PA0876, PA2838, PA0159, PA2547, PA2447, PA1328, PA0181, PA2258, PA1961, PA4145			STM0333, STM3607, STM1677
N1.HOG0000152	OG0000027	n1	BSU_29050, BSU_33400	b3012, b0207	Rv2971	PA4167		XNR_RS27895, XNR_RS03000, XNR_RS01990, XNR_RS20335	STM3165, STM1676, STM0255
N1.HOG0000153	OG0000027	n17		b1781		PA0804		XNR_RS04560	STM1288
N1.HOG0000154	OG0000027	n21				PA2535		XNR_RS06560, XNR_RS22390	
N1.HOG0000155	OG0000027	n25	BSU_09530	b1771		PA1127			
N1.HOG0000156	OG0000027	n27	BSU_39780, BSU_02770, BSU_23620			PA4992			
N1.HOG0000157	OG0000028	n2	BSU_31420	b0349	Rv3569c	PA3053, PA2949, PA0829		XNR_RS27500, XNR_RS08100	
N1.HOG0000158	OG0000028	n9		b1009	Rv3177, Rv2715	PA5057		XNR_RS26690	
N1.HOG0000159	OG0000028	n14	BSU_03260		Rv3203, Rv0554, Rv3591c, Rv2579, Rv1190	PA5080, PA3226, PA2745, PA3509		XNR_RS10155, XNR_RS19290, XNR_RS17150, XNR_RS16200, XNR_RS13850, XNR_RS11240	STM3079
N1.HOG0000160	OG0000029	n1	BSU_34340		Rv0225				
N1.HOG0000161	OG0000029	n8	BSU_22460			PA5004			
N1.HOG0000162	OG0000029	n9	BSU_35730			PA3059		XNR_RS25105	
N1.HOG0000163	OG0000029	n12		b2032		PA1389		XNR_RS01560	
N1.HOG0000164	OG0000029	n15	BSU_24910		Rv3032, Rv1212c, Rv0486	PA5447		XNR_RS22615, XNR_RS16770, XNR_RS24985	
N1.HOG0000165	OG0000029	n22	BSU_30910, BSU_30880	b2044	Rv2188c	PA1385		XNR_RS04830, XNR_RS23515	STM2100, STM0721, STM3714
N1.HOG0000166	OG0000030	n1	BSU_40050	b1540, b2664	Rv0165c, Rv0043c	PA0121, PA1520, PA0797, PA4906, PA5525, PA1269		XNR_RS16850, XNR_RS05075, XNR_RS18450, XNR_RS03265, XNR_RS13710, XNR_RS21745, XNR_RS15230, XNR_RS21010	STM1510, STM2794, STM3357, STM3358
N1.HOG0000167	OG0000030	n23	BSU_05700	b1450		PA1526, PA0120		XNR_RS23275, XNR_RS01420	STM1588
N1.HOG0000168	OG0000031	n3	BSU_34600, BSU_34150	b4033					STM4228
N1.HOG0000169	OG0000031	n7		b1311				XNR_RS09115, XNR_RS07805	
N1.HOG0000170	OG0000031	n12	BSU_06980	b3452	Rv2040c			XNR_RS20650, XNR_RS09795	STM3556
N1.HOG0000171	OG0000031	n19	BSU_30280		Rv1236, Rv2316, Rv2835c	PA2339, PA3189		XNR_RS04805, XNR_RS09265	
N1.HOG0000172	OG0000031	n26	BSU_32590					XNR_RS19275, XNR_RS00780, XNR_RS03835	
N1.HOG0000173	OG0000032	n3	BSU_34590, BSU_34140	b4032					STM4227
N1.HOG0000174	OG0000032	n7		b1312				XNR_RS27815	
N1.HOG0000175	OG0000032	n9			Rv1237	PA2340		XNR_RS07800, XNR_RS09110, XNR_RS04810	
N1.HOG0000176	OG0000032	n14	BSU_28730	b3451	Rv2317, Rv2039c, Rv2834c			XNR_RS05110, XNR_RS09790, XNR_RS20645, XNR_RS19270	STM3555
N1.HOG0000177	OG0000032	n25	BSU_30290			PA3188		XNR_RS09270	
N1.HOG0000178	OG0000032	n27	BSU_32580					XNR_RS00775, XNR_RS03830	
N1.HOG0000179	OG0000033	n2			Rv3518c, Rv3545c, Rv2266, Rv0778			XNR_RS04895	
N1.HOG0000180	OG0000033	n8	BSU_17230, BSU_26740, BSU_30190		Rv3121	PA2475, PA3331		XNR_RS09960, XNR_RS02750, XNR_RS03985, XNR_RS11370, XNR_RS11515, XNR_RS11620, XNR_RS11365, XNR_RS03990, XNR_RS25790, XNR_RS15975, XNR_RS29070, XNR_RS28295, XNR_RS00975, XNR_RS28790	
N1.HOG0000181	OG0000033	n27	BSU_35060		Rv1880c, Rv0766c				
N1.HOG0000182	OG0000034	n0	BSU_18430	b4051	Rv1454c, Rv1912c, Rv0149, Rv3141, Rv3777	PA3567, PA0863, PA2680, PA0023, PA2491, PA5234, PA1137, PA3256		XNR_RS03475, XNR_RS12315, XNR_RS21765, XNR_RS02130, XNR_RS12975, XNR_RS25450, XNR_RS15280, XNR_RS28830, XNR_RS15175, XNR_RS07630	STM4245
N1.HOG0000183	OG0000035	n1	BSU_05120			PA1960			STM1632
N1.HOG0000184	OG0000035	n3	BSU_21930, BSU_09100	b0880, b1823, b0623, b1557, b3556, b0990, b1552	Rv3648c	PA2622, PA1159, PA0961, PA3266, PA0456		XNR_RS24050, XNR_RS12390, XNR_RS15000, XNR_RS17765, XNR_RS11885	STM0943, STM1837, STM0629, STM3649, STM1996
N1.HOG0000185	OG0000036	n1	BSU_39500, BSU_03610, BSU_03380	b1920		PA0314			STM1954
N1.HOG0000186	OG0000036	n6	BSU_23980	b2310, b2309, b0863, b0860, b0811		PA3475, PA0888, PA3865, PA2923, PA5153		XNR_RS08585, XNR_RS25175, XNR_RS25150, XNR_RS07640	STM2355, STM2354, STM0890, STM0887, STM4351, STM0830
N1.HOG0000187	OG0000037	n0	BSU_04100	b0506, b4018, b1827, b0272, b3574, b4299, b0346	Rv2989, Rv1719, Rv1773c	PA1630, PA0155, PA3508, PA0236, PA4341		XNR_RS20150, XNR_RS06235, XNR_RS12960, XNR_RS02785, XNR_RS25625, XNR_RS09005	STM0516, STM4187, STM1842, STM3667, STM3533
N1.HOG0000188	OG0000038	n0	BSU_07360, BSU_10380			PA1930, PA1423, PA1646, PA5072, PA2561, PA2652, PA4310, PA4309, PA4307, PA2920, PA4633, PA2654, PA4915, PA4520, PA1608, PA1251, PA2867, PA2788, PA4844, PA2573, PA0411, PA4290, PA3708, PA0180			STM3138
N1.HOG0000189	OG0000039	n1	BSU_29650	b0385, b1341		PA1851, PA3343, PA3702, PA4843, PA0290, PA2870, PA4332, PA0169, PA0338			STM4551, STM0385
N1.HOG0000190	OG0000039	n14	BSU_09120	b1522, b1794, b1535, b0834, b1490		PA4929, PA1107, PA2771, PA3177, PA5487		XNR_RS19940, XNR_RS01230	
