HOG	OG	Gene Tree Parent Clade	bsu2	ecol2	mtub2	pae2	sac2	salb2	sen2
N5.HOG0000045	OG0000008	n48							STM4270
N5.HOG0000046	OG0000009	n4		b4398					STM4588
N5.HOG0000047	OG0000009	n12		b0399					STM0397
N5.HOG0000048	OG0000009	n19		b3912					STM4059
N5.HOG0000049	OG0000009	n21		b1608					STM1475
N5.HOG0000050	OG0000009	n34							STM2785
N5.HOG0000051	OG0000009	n35		b3025					STM3177
N5.HOG0000052	OG0000009	n40		b0571					
N5.HOG0000053	OG0000009	n41		b1969					STM1096
N5.HOG0000054	OG0000010	n1							STM0857
N5.HOG0000055	OG0000010	n17		b1695					STM1356
N5.HOG0000056	OG0000010	n18		b0039					STM0073
N5.HOG0000057	OG0000011	n4		b2306					STM2351
N5.HOG0000058	OG0000011	n14		b1917					STM1951
N5.HOG0000059	OG0000011	n16		b0864					STM0891
N5.HOG0000060	OG0000011	n26		b0495					STM0507
N5.HOG0000061	OG0000011	n28		b1117					STM1218
N5.HOG0000062	OG0000011	n36		b0809					STM0828
N5.HOG0000063	OG0000011	n42		b0652					STM0662
N5.HOG0000064	OG0000011	n44		b3271					
N5.HOG0000065	OG0000012	n9		b1291					STM1695
N5.HOG0000066	OG0000012	n10		b3541					STM3627
N5.HOG0000067	OG0000012	n11		b1246					STM1743
N5.HOG0000068	OG0000012	n22		b1247					STM1742
N5.HOG0000069	OG0000012	n29		b3540					STM3626
N5.HOG0000070	OG0000012	n37		b2180					STM2219
N5.HOG0000071	OG0000012	n39		b0829					STM0848
N5.HOG0000072	OG0000012	n42		b3479					
N5.HOG0000073	OG0000013	n10		b1393					
N5.HOG0000074	OG0000013	n17		b0036					STM0070
N5.HOG0000075	OG0000013	n23		b2262					STM2307
N5.HOG0000076	OG0000013	n32		b1394					
N5.HOG0000077	OG0000014	n1		b2684					STM2813
N5.HOG0000078	OG0000014	n28							STM2920, STM1100
N5.HOG0000079	OG0000014	n34		b1530					STM1520
N5.HOG0000080	OG0000014	n38		b1642					STM1444
N5.HOG0000081	OG0000015	n1		b1805					STM1818
N5.HOG0000082	OG0000015	n11		b1701					STM1350
N5.HOG0000083	OG0000015	n39		b0037					STM0071
N5.HOG0000084	OG0000016	n2		b3743					STM3876
N5.HOG0000085	OG0000016	n10		b0447					STM0459
N5.HOG0000086	OG0000016	n14		b0889					STM0959
N5.HOG0000087	OG0000017	n1		b1201					
N5.HOG0000088	OG0000017	n6		b2869					
N5.HOG0000089	OG0000017	n9							STM2361
N5.HOG0000090	OG0000017	n11							STM0652
N5.HOG0000091	OG0000017	n20		b3868					STM4005
N5.HOG0000092	OG0000017	n25		b2554					STM2562
N5.HOG0000093	OG0000017	n26		b4004					STM4174
N5.HOG0000094	OG0000017	n28							STM2396
N5.HOG0000095	OG0000017	n31		b1303					STM1691
N5.HOG0000096	OG0000018	n11		b3450					STM3554
N5.HOG0000097	OG0000018	n12		b4035					STM4230
N5.HOG0000098	OG0000018	n14		b0066					
N5.HOG0000099	OG0000018	n18							STM1635
N5.HOG0000100	OG0000018	n19		b2422					STM2441
N5.HOG0000101	OG0000018	n23							STM0428
N5.HOG0000102	OG0000018	n27		b1126					STM1226
N5.HOG0000103	OG0000018	n29		b0855					STM0878
N5.HOG0000104	OG0000018	n31		b1441					
N5.HOG0000105	OG0000019	n33		b1828					STM1843
N5.HOG0000106	OG0000020	n14		b3613					STM3705
N5.HOG0000107	OG0000020	n18		b2742					STM2925
N5.HOG0000108	OG0000020	n19		b2865					STM3038
N5.HOG0000109	OG0000021	n1		b0260					STM2357
N5.HOG0000110	OG0000021	n13		b4208					STM4398
N5.HOG0000111	OG0000021	n15		b1453					STM1584
N5.HOG0000112	OG0000021	n20		b0402					STM0400
N5.HOG0000113	OG0000021	n22		b3795					STM3930
N5.HOG0000114	OG0000021	n29		b0576					STM0568
N5.HOG0000115	OG0000021	n30		b0112					STM0150
N5.HOG0000116	OG0000022	n8		b3385					STM3482
N5.HOG0000117	OG0000022	n16		b3715					STM3852
N5.HOG0000118	OG0000022	n25		b1727					STM1322
N5.HOG0000119	OG0000022	n27		b1317, b2690					STM2820
N5.HOG0000120	OG0000022	n30		b2293					STM2334
N5.HOG0000121	OG0000025	n3		b1285					STM1703
N5.HOG0000122	OG0000025	n16		b4061					STM4264
N5.HOG0000123	OG0000025	n17		b0457					STM0468
N5.HOG0000124	OG0000025	n18		b0315					STM0343
N5.HOG0000125	OG0000025	n20		b1489					
N5.HOG0000126	OG0000025	n30							STM3388
N5.HOG0000127	OG0000026	n1		b3060, b1799					STM0333
N5.HOG0000128	OG0000026	n17		b3521					STM3607
N5.HOG0000129	OG0000026	n20							STM1677
N5.HOG0000130	OG0000027	n6		b3012					STM3165
N5.HOG0000131	OG0000027	n12							STM1676
N5.HOG0000132	OG0000027	n14		b0207					STM0255
N5.HOG0000133	OG0000027	n17		b1781					STM1288
N5.HOG0000134	OG0000027	n25		b1771					
N5.HOG0000135	OG0000028	n2		b0349					
N5.HOG0000136	OG0000028	n9		b1009					
N5.HOG0000137	OG0000028	n18							STM3079
N5.HOG0000138	OG0000029	n12		b2032					
N5.HOG0000139	OG0000029	n22		b2044					STM2100, STM0721, STM3714
N5.HOG0000140	OG0000030	n3		b1540					STM1510
N5.HOG0000141	OG0000030	n7		b2664					STM2794
N5.HOG0000142	OG0000030	n14							STM3357
N5.HOG0000143	OG0000030	n16							STM3358
N5.HOG0000144	OG0000030	n23		b1450					STM1588
N5.HOG0000145	OG0000031	n3		b4033					STM4228
N5.HOG0000146	OG0000031	n7		b1311					
N5.HOG0000147	OG0000031	n12		b3452					STM3556
N5.HOG0000148	OG0000032	n3		b4032					STM4227
N5.HOG0000149	OG0000032	n7		b1312					
N5.HOG0000150	OG0000032	n14		b3451					STM3555
N5.HOG0000151	OG0000034	n15		b4051					STM4245
N5.HOG0000152	OG0000035	n1							STM1632
N5.HOG0000153	OG0000035	n6		b0880					STM0943
N5.HOG0000154	OG0000035	n17		b1823					STM1837
N5.HOG0000155	OG0000035	n18		b0623					STM0629
N5.HOG0000156	OG0000035	n20		b1557, b3556					STM3649
N5.HOG0000157	OG0000035	n22		b0990, b1552					STM1996
N5.HOG0000158	OG0000036	n1		b1920					STM1954
N5.HOG0000159	OG0000036	n16		b2310					STM2355
N5.HOG0000160	OG0000036	n17		b2309					STM2354
N5.HOG0000161	OG0000036	n23		b0863					STM0890
N5.HOG0000162	OG0000036	n24		b0860					STM0887
N5.HOG0000163	OG0000036	n25		b0811					STM0830
N5.HOG0000164	OG0000037	n14		b0506					STM0516
N5.HOG0000165	OG0000037	n15		b4018					STM4187
N5.HOG0000166	OG0000037	n17		b1827, b0272					STM1842
N5.HOG0000167	OG0000037	n21		b3574					STM3667
N5.HOG0000168	OG0000037	n22		b4299					STM3533
N5.HOG0000169	OG0000037	n24		b0346					
N5.HOG0000170	OG0000038	n0							STM3138
N5.HOG0000171	OG0000039	n3							STM4551
N5.HOG0000172	OG0000039	n6		b0385					STM0385
N5.HOG0000173	OG0000039	n8		b1341					
N5.HOG0000174	OG0000039	n15		b1522					
N5.HOG0000175	OG0000039	n23		b1794					
N5.HOG0000176	OG0000039	n24		b1535, b0834					
N5.HOG0000177	OG0000041	n9		b4212					STM4402
N5.HOG0000178	OG0000042	n1		b3684, b0730					STM3785
N5.HOG0000179	OG0000042	n8		b3872					STM0430
N5.HOG0000180	OG0000042	n15		b4102					
N5.HOG0000181	OG0000042	n21		b3375					
N5.HOG0000182	OG0000042	n22							STM3602
N5.HOG0000183	OG0000043	n6		b2576					STM2643
N5.HOG0000184	OG0000043	n9		b3780					STM3914
N5.HOG0000185	OG0000043	n11		b0797					STM0820
N5.HOG0000186	OG0000043	n15		b3162					STM3280
N5.HOG0000187	OG0000043	n19		b1343					STM1655
N5.HOG0000188	OG0000044	n3							STM4320
N5.HOG0000189	OG0000044	n16		b0487					STM0354, STM0499
N5.HOG0000190	OG0000044	n19		b3292					STM3412
N5.HOG0000191	OG0000045	n6							STM4412, STM3832
N5.HOG0000192	OG0000045	n9		b3093					STM3134
N5.HOG0000193	OG0000045	n12							STM1543
N5.HOG0000194	OG0000045	n17		b2789					STM2962
N5.HOG0000195	OG0000045	n19		b3127					STM3698
N5.HOG0000196	OG0000045	n20		b3691					STM3827
N5.HOG0000197	OG0000045	n21		b4356					
N5.HOG0000198	OG0000046	n12		b2469					STM2480
N5.HOG0000199	OG0000046	n13		b1222					STM1766
N5.HOG0000200	OG0000048	n5		b0831					STM0850
N5.HOG0000201	OG0000048	n6		b3477					STM1256
N5.HOG0000202	OG0000048	n11		b3543, b1486					STM3629
N5.HOG0000203	OG0000048	n14		b1244					STM1745
N5.HOG0000204	OG0000049	n3		b1245					STM1744
N5.HOG0000205	OG0000049	n13		b3478					
N5.HOG0000206	OG0000049	n18		b0832					STM0851
N5.HOG0000207	OG0000049	n20		b3542					STM3628
N5.HOG0000208	OG0000050	n2		b0484					STM0353, STM0498
N5.HOG0000209	OG0000050	n15		b3469					STM3576
N5.HOG0000210	OG0000051	n9		b4111					STM4290
N5.HOG0000211	OG0000051	n14		b1543					STM1507
N5.HOG0000212	OG0000051	n15		b1981					STM0212
N5.HOG0000213	OG0000051	n19		b3523					STM3609
N5.HOG0000214	OG0000052	n4		b1657					
N5.HOG0000215	OG0000052	n5		b0396					STM0394
N5.HOG0000216	OG0000052	n16		b1528					STM1522
N5.HOG0000217	OG0000052	n20							STM0257
N5.HOG0000218	OG0000053	n9		b3615					STM3707
N5.HOG0000219	OG0000053	n15		b2059					STM2115
N5.HOG0000220	OG0000054	n3		b3616					STM3708
N5.HOG0000221	OG0000054	n9		b1580					STM1506
N5.HOG0000222	OG0000054	n11		b4358					STM1542, STM3082
N5.HOG0000223	OG0000054	n16		b1774					
N5.HOG0000224	OG0000054	n18		b2091					STM3261
N5.HOG0000225	OG0000055	n12		b4087					
N5.HOG0000226	OG0000055	n16		b2149					STM2189
N5.HOG0000227	OG0000055	n17		b3749					STM3882
N5.HOG0000228	OG0000055	n18		b4485					
N5.HOG0000229	OG0000056	n7		b4324					STM4507
N5.HOG0000230	OG0000056	n8		b3094					STM3084
N5.HOG0000231	OG0000056	n13		b2980					
N5.HOG0000232	OG0000056	n16		b3604					STM3693
N5.HOG0000233	OG0000056	n17		b0113					STM0151
N5.HOG0000234	OG0000058	n3		b2175					STM2214
N5.HOG0000235	OG0000058	n4		b1708					STM1343
N5.HOG0000236	OG0000058	n6		b0227, b1655					STM1432
N5.HOG0000237	OG0000059	n9		b0914					STM0984
N5.HOG0000238	OG0000060	n7		b0492					STM0504
N5.HOG0000239	OG0000060	n11		b2582					STM2649
N5.HOG0000240	OG0000060	n15		b3781					STM3915
N5.HOG0000241	OG0000061	n2		b4463					
N5.HOG0000242	OG0000061	n7		b1687					STM1365
N5.HOG0000243	OG0000061	n11		b2979					
N5.HOG0000244	OG0000062	n1		b2371					
N5.HOG0000245	OG0000062	n6		b0038					STM0072
N5.HOG0000246	OG0000062	n8		b2374					
N5.HOG0000247	OG0000064	n7		b0927					STM0997
N5.HOG0000248	OG0000065	n8		b0493					STM0505
N5.HOG0000249	OG0000065	n12		b1539					STM1511
N5.HOG0000250	OG0000066	n2		b1430					STM1608
N5.HOG0000251	OG0000067	n1		b2574					STM2641
N5.HOG0000252	OG0000067	n12		b0723					STM0734
N5.HOG0000253	OG0000067	n16		b4154					STM4343
N5.HOG0000254	OG0000068	n0		b2881, b2866					
N5.HOG0000255	OG0000069	n6		b1790					STM1279
N5.HOG0000256	OG0000071	n8		b2435					STM2450
N5.HOG0000257	OG0000071	n10		b4169					STM4358
N5.HOG0000258	OG0000071	n11		b2817					STM2991
N5.HOG0000259	OG0000072	n11		b2810					STM2984
N5.HOG0000260	OG0000072	n12		b1680					STM1373
N5.HOG0000261	OG0000073	n1		b0653					STM0663
N5.HOG0000262	OG0000073	n14		b1918					STM1952
N5.HOG0000263	OG0000074	n1		b1584					STM1502
N5.HOG0000264	OG0000074	n12		b1427					STM1611
N5.HOG0000265	OG0000075	n5		b0588					STM0590
N5.HOG0000266	OG0000075	n15		b4287					
N5.HOG0000267	OG0000076	n7		b0727					STM0737
N5.HOG0000268	OG0000076	n13		b0115					STM0153
N5.HOG0000269	OG0000077	n2		b0304					STM0564
N5.HOG0000270	OG0000077	n4		b3500					STM3597
N5.HOG0000271	OG0000077	n8		b0116					STM0154
N5.HOG0000272	OG0000078	n11		b3235					STM3349
N5.HOG0000273	OG0000078	n15		b3234					STM3348
N5.HOG0000274	OG0000078	n16		b0161					STM0209
N5.HOG0000275	OG0000079	n5		b1712					STM1339
N5.HOG0000276	OG0000079	n7		b0912					STM0982
N5.HOG0000277	OG0000079	n13		b0440					STM0451
N5.HOG0000278	OG0000079	n15		b4000					STM4170
N5.HOG0000279	OG0000080	n5		b2128					STM1494, STM2162
N5.HOG0000280	OG0000080	n13							STM1492
N5.HOG0000281	OG0000081	n7		b4230					
N5.HOG0000282	OG0000081	n12		b4086, b2148					STM2188
N5.HOG0000283	OG0000081	n14		b3750					STM3883
N5.HOG0000284	OG0000081	n15		b2546, b4231					
N5.HOG0000285	OG0000082	n2		b2421					STM2440
N5.HOG0000286	OG0000082	n6		b2414					STM2430
N5.HOG0000287	OG0000083	n7		b3370					
N5.HOG0000288	OG0000083	n8		b0486					
N5.HOG0000289	OG0000084	n1		b0210					STM0259
N5.HOG0000290	OG0000085	n2		b0162					STM0210
N5.HOG0000291	OG0000086	n1		b0586					STM0588
N5.HOG0000292	OG0000087	n4		b3877					STM4018
N5.HOG0000293	OG0000087	n5		b3876					STM4017
N5.HOG0000294	OG0000087	n7		b1616					
N5.HOG0000295	OG0000087	n11		b3657					STM0149, STM3750
N5.HOG0000296	OG0000087	n13		b0270					STM4065
N5.HOG0000297	OG0000087	n14		b4120					STM0042, STM4299
N5.HOG0000298	OG0000088	n2		b4031					STM4418, STM4419
N5.HOG0000299	OG0000088	n9		b2841					STM3016
N5.HOG0000300	OG0000088	n10		b2943					STM3091
N5.HOG0000301	OG0000089	n5		b0591					STM0593
N5.HOG0000302	OG0000090	n4							STM0106
N5.HOG0000303	OG0000090	n9		b0366					
N5.HOG0000304	OG0000091	n9		b1895					STM1927
N5.HOG0000305	OG0000091	n10		b3923, b3495					STM3591
N5.HOG0000306	OG0000092	n4		b4198					STM4388
N5.HOG0000307	OG0000092	n6		b0061					STM0101
N5.HOG0000308	OG0000092	n7		b3583					STM3677
N5.HOG0000309	OG0000092	n12		b2800					STM2974
N5.HOG0000310	OG0000093	n5		b0509					STM0519
N5.HOG0000311	OG0000093	n8		b3882					STM4023
N5.HOG0000312	OG0000093	n14		b3125					STM3248
N5.HOG0000313	OG0000094	n4		b3553					STM3646
N5.HOG0000314	OG0000094	n11		b2913					STM3062
N5.HOG0000315	OG0000095	n2		b3187					STM3305
N5.HOG0000316	OG0000095	n8		b0421					STM0423
N5.HOG0000317	OG0000097	n8		b4069					STM4275
N5.HOG0000318	OG0000097	n13		b0335					STM0371
N5.HOG0000319	OG0000098	n1		b3476					
N5.HOG0000320	OG0000098	n11		b1294					STM1692
N5.HOG0000321	OG0000098	n12		b3544					STM3630
N5.HOG0000322	OG0000098	n13		b1487					STM1255
N5.HOG0000323	OG0000100	n7		b4131					STM2559
N5.HOG0000324	OG0000100	n8		b0186					STM0234
N5.HOG0000325	OG0000100	n9		b4117					STM4296
N5.HOG0000326	OG0000100	n12		b2965					STM3114
N5.HOG0000327	OG0000100	n13		b0693					STM0701
N5.HOG0000328	OG0000101	n4		b1711					STM1340
N5.HOG0000329	OG0000101	n9		b4288					STM0770
N5.HOG0000330	OG0000103	n14		b3449					STM3553
N5.HOG0000331	OG0000104	n8		b0766					STM4010, STM0784
N5.HOG0000332	OG0000104	n13		b3697					STM3831
N5.HOG0000333	OG0000105	n3		b3501					
N5.HOG0000334	OG0000105	n9		b2667					STM2797
N5.HOG0000335	OG0000106	n11		b3018					STM3173
N5.HOG0000336	OG0000107	n10		b0047					STM0086
N5.HOG0000337	OG0000107	n11		b3350					STM3457
N5.HOG0000338	OG0000107	n12		b0478					STM0492
N5.HOG0000339	OG0000108	n6		b3225					STM3339
N5.HOG0000340	OG0000108	n8		b0268, b4298					STM3532
N5.HOG0000341	OG0000108	n10		b2478					STM2489
N5.HOG0000342	OG0000109	n3		b4148					STM4338
N5.HOG0000343	OG0000109	n8		b0543					STM1653
N5.HOG0000344	OG0000110	n10		b2021					STM2073
N5.HOG0000345	OG0000110	n11							STM0644
N5.HOG0000346	OG0000111	n2		b1310					
N5.HOG0000347	OG0000111	n10		b4034					STM4229
N5.HOG0000348	OG0000112	n1		b0459					STM0472
N5.HOG0000349	OG0000112	n9		b2033					
N5.HOG0000350	OG0000112	n11		b2054					
N5.HOG0000351	OG0000113	n8							STM4032
N5.HOG0000352	OG0000113	n12							STM0490
N5.HOG0000353	OG0000114	n1		b1504, b4318					STM0177
N5.HOG0000354	OG0000114	n4		b0943					STM0026
N5.HOG0000355	OG0000114	n7		b0719, b3043					STM3029
N5.HOG0000356	OG0000114	n9		b3142					STM0544
N5.HOG0000357	OG0000114	n13		b4314					STM0021
N5.HOG0000358	OG0000114	n14		b0530					STM0543
N5.HOG0000359	OG0000115	n1		b1661					STM1427
N5.HOG0000360	OG0000116	n2		b1867					STM1902
N5.HOG0000361	OG0000116	n7		b1011					
N5.HOG0000362	OG0000117	n1		b1531					STM1519
N5.HOG0000363	OG0000117	n11		b4062					STM4265
N5.HOG0000364	OG0000117	n12		b4396					STM1671, STM4586
N5.HOG0000365	OG0000118	n4		b2076					STM2128
N5.HOG0000366	OG0000118	n6		b2075					STM2127
N5.HOG0000367	OG0000120	n9		b1301					
N5.HOG0000368	OG0000120	n11							STM3128
N5.HOG0000369	OG0000121	n5							STM2273, STM3833
N5.HOG0000370	OG0000121	n7		b4478					STM3828
N5.HOG0000371	OG0000121	n8		b1581					STM1505
N5.HOG0000372	OG0000121	n9		b2247					STM2291, STM3697
N5.HOG0000373	OG0000122	n1		b3131					STM3262
N5.HOG0000374	OG0000122	n11							STM3523
N5.HOG0000375	OG0000122	n12							STM4025
N5.HOG0000376	OG0000124	n3		b4313, b4312					STM0716
N5.HOG0000377	OG0000124	n6		b2894					STM3044
N5.HOG0000378	OG0000124	n10		b3811					STM3949
N5.HOG0000379	OG0000125	n3		b1594					STM1488
N5.HOG0000380	OG0000125	n4		b0676					STM0682
N5.HOG0000381	OG0000127	n7							STM2195
N5.HOG0000382	OG0000129	n1		b4080					STM2172
N5.HOG0000383	OG0000129	n4		b0572					STM0350
N5.HOG0000384	OG0000130	n4		b0854					STM0877
N5.HOG0000385	OG0000130	n11		b1123					STM1222
N5.HOG0000386	OG0000131	n5		b4072					STM4279
N5.HOG0000387	OG0000131	n6		b1671					STM2064
N5.HOG0000388	OG0000131	n11		b0895					STM1497, STM0965
N5.HOG0000389	OG0000131	n13		b1589					STM4306
N5.HOG0000390	OG0000132	n1		b3072					STM3217
N5.HOG0000391	OG0000132	n6		b1421					STM1626
N5.HOG0000392	OG0000132	n10		b4355					STM4533
N5.HOG0000393	OG0000132	n11		b1886					STM1919
N5.HOG0000394	OG0000132	n12							STM3152, STM1657, STM3216
N5.HOG0000395	OG0000133	n1		b2786					STM2958
N5.HOG0000396	OG0000133	n3		b2370					
N5.HOG0000397	OG0000134	n0		b4293					
N5.HOG0000398	OG0000139	n9		b0839					STM0863
N5.HOG0000399	OG0000139	n10		b0632					STM0637
N5.HOG0000400	OG0000139	n11		b2010					STM2062
N5.HOG0000401	OG0000140	n3		b1010					
N5.HOG0000402	OG0000140	n9		b3113, b4243					STM4458
N5.HOG0000403	OG0000141	n2		b1812					STM1824
N5.HOG0000404	OG0000141	n7		b1264					STM1723
N5.HOG0000405	OG0000142	n2		b3058					STM3206
N5.HOG0000406	OG0000142	n8		b0142					STM0183
N5.HOG0000407	OG0000143	n1		b2573					STM2640
N5.HOG0000408	OG0000144	n3		b4256					STM4473
N5.HOG0000409	OG0000145	n3							STM0561
N5.HOG0000410	OG0000145	n6		b0400					STM0398
N5.HOG0000411	OG0000146	n5		b1469					STM1576
N5.HOG0000412	OG0000146	n6		b1223					STM1765
N5.HOG0000413	OG0000147	n5		b2901					STM3051
N5.HOG0000414	OG0000147	n7		b2716, b3721					
N5.HOG0000415	OG0000147	n9							STM3775
N5.HOG0000416	OG0000148	n0		b2568					STM2582
N5.HOG0000417	OG0000149	n10		b4340					
N5.HOG0000418	OG0000149	n11		b1439					STM1598
N5.HOG0000419	OG0000150	n5		b2254					STM2298
N5.HOG0000420	OG0000150	n7		b2351					STM4205, STM0558
N5.HOG0000421	OG0000151	n3		b3426					STM3526
N5.HOG0000422	OG0000151	n10		b2241					STM2284
N5.HOG0000423	OG0000152	n10		b0464					STM0477
N5.HOG0000424	OG0000152	n11		b3264					STM3389
N5.HOG0000425	OG0000153	n3		b2253					STM2297
N5.HOG0000426	OG0000153	n7		b3791					STM3925, STM2090
N5.HOG0000427	OG0000154	n11		b1189					STM1803
N5.HOG0000428	OG0000155	n8							STM0631
N5.HOG0000429	OG0000155	n11		b0219					STM0308
N5.HOG0000430	OG0000156	n7		b0600					STM0603
N5.HOG0000431	OG0000157	n1		b1882					STM1916
N5.HOG0000432	OG0000158	n3		b3256					STM3380
N5.HOG0000433	OG0000159	n6		b2146					STM2186
N5.HOG0000434	OG0000159	n10		b2887, b2468					STM2479
N5.HOG0000435	OG0000159	n12		b3213					STM3331
N5.HOG0000436	OG0000160	n4							STM1383, STM2065
N5.HOG0000437	OG0000160	n9		b1588					STM1498
N5.HOG0000438	OG0000160	n10		b1587					STM1499
N5.HOG0000439	OG0000160	n11		b0894					STM0964
N5.HOG0000440	OG0000161	n2		b3772					STM3905
N5.HOG0000441	OG0000161	n12		b3117					STM3244
N5.HOG0000442	OG0000162	n5		b3654					STM3747
N5.HOG0000443	OG0000162	n7		b2882					
N5.HOG0000444	OG0000162	n11		b2888					
N5.HOG0000445	OG0000163	n2		b1650					STM1436
N5.HOG0000446	OG0000165	n3		b0043					STM0077
N5.HOG0000447	OG0000165	n4		b1699					STM1352
N5.HOG0000448	OG0000166	n0		b0076					STM0115
N5.HOG0000449	OG0000167	n1		b2545					
N5.HOG0000450	OG0000167	n3		b0356					STM1627
N5.HOG0000451	OG0000168	n1		b3801, b1498					STM3122
N5.HOG0000452	OG0000168	n7		b3678					STM0035
N5.HOG0000453	OG0000169	n0		b4292					
N5.HOG0000454	OG0000171	n5		b0627					STM0632
N5.HOG0000455	OG0000171	n6		b3836					STM3973
N5.HOG0000456	OG0000173	n4		b3351					STM3458
N5.HOG0000457	OG0000173	n6		b0901					
N5.HOG0000458	OG0000173	n9		b0046					STM0085
N5.HOG0000459	OG0000175	n1		b4373					STM4558
N5.HOG0000460	OG0000175	n8		b0234					STM3653
N5.HOG0000461	OG0000176	n2		b1464					STM1581
N5.HOG0000462	OG0000177	n2							STM0789
N5.HOG0000463	OG0000177	n10							STM4068
N5.HOG0000464	OG0000178	n0		b3396					STM3493
N5.HOG0000465	OG0000179	n3		b0826					STM0845
N5.HOG0000466	OG0000179	n5		b3992					STM4162
N5.HOG0000467	OG0000180	n4		b2605					
N5.HOG0000468	OG0000180	n6		b3552					STM3645
N5.HOG0000469	OG0000181	n4		b2195					STM3813, STM2248
N5.HOG0000470	OG0000182	n4		b2416					STM2432
N5.HOG0000471	OG0000182	n6		b2829					STM3003
N5.HOG0000472	OG0000182	n8		b2383, b3947					STM4110
N5.HOG0000473	OG0000183	n6		b2873					
N5.HOG0000474	OG0000183	n8		b0512					STM0523
N5.HOG0000475	OG0000184	n3		b3326					
N5.HOG0000476	OG0000184	n6		b0107					STM0143
N5.HOG0000477	OG0000184	n9		b2950					STM3099
N5.HOG0000478	OG0000185	n2		b1397					
N5.HOG0000479	OG0000185	n6		b3845					STM3982
N5.HOG0000480	OG0000186	n8		b1759					STM1301
N5.HOG0000481	OG0000186	n9		b0099					STM0137
N5.HOG0000482	OG0000187	n4		b2089, b0299, b1026, b0541, b0372					STM0325, STM2769
N5.HOG0000483	OG0000187	n10		b3558					STM2509
N5.HOG0000484	OG0000188	n1		b4116					STM4295
N5.HOG0000485	OG0000188	n4		b3516					PSLT008
N5.HOG0000486	OG0000188	n6		b0546					STM1082
N5.HOG0000487	OG0000188	n7		b3515, b0564, b1499					STM2867, STM2875, STM4315
N5.HOG0000488	OG0000189	n1		b0718					STM3028
N5.HOG0000489	OG0000189	n2		b2109					STM0196, PSLT017, STM0301, STM0023, STM0546, STM3638, STM4593, STM0175, STM0338, STM2150
N5.HOG0000490	OG0000190	n7		b3820					STM3956
N5.HOG0000491	OG0000194	n4		b2592, b2592					STM2660
N5.HOG0000492	OG0000195	n2		b0168					STM0215
N5.HOG0000493	OG0000196	n0		b2367, b2686					STM2815
N5.HOG0000494	OG0000197	n0		b4239					STM4453
N5.HOG0000495	OG0000198	n1		b1859					STM1893
N5.HOG0000496	OG0000198	n5							STM2864, STM2863
N5.HOG0000497	OG0000199	n6		b3160					STM3276
N5.HOG0000498	OG0000200	n9		b4024					STM4220
N5.HOG0000499	OG0000200	n10		b0002					STM0002
N5.HOG0000500	OG0000201	n10							STM2092
N5.HOG0000501	OG0000202	n5		b2776					
