Orthogroup	Eco	Mtu	Pae	Sal	Sen	sac
OG0005176	NP_416024.1					
OG0005177	NP_416044.1					
OG0005178	NP_416068.2					
OG0005179	NP_416069.2					
OG0005180	NP_416073.1					
OG0005181	NP_416076.1					
OG0005182	NP_416079.1					
OG0005183	NP_416083.1					
OG0005184	NP_416084.1					
OG0005185	NP_416087.1					
OG0005186	NP_416088.1					
OG0005187	NP_416090.2					
OG0005188	NP_416091.1					
OG0005189	NP_416092.1					
OG0005190	NP_416093.1					
OG0005191	NP_416114.2					
OG0005192	NP_416132.2					
OG0005193	NP_416138.1					
OG0005194	NP_416183.1					
OG0005195	NP_416184.1					
OG0005196	NP_416187.1					
OG0005197	NP_416188.1					
OG0005198	NP_416230.1					
OG0005199	NP_416244.2					
OG0005200	NP_416265.4					
OG0005201	NP_416268.2					
OG0005202	NP_416269.4					
OG0005203	NP_416270.1					
OG0005204	NP_416271.4					
OG0005205	NP_416276.4					
OG0005206	NP_416284.1					
OG0005207	NP_416286.4					
OG0005208	NP_416290.1					
OG0005209	NP_416387.1					
OG0005210	NP_416391.4					
OG0005211	NP_416414.1					
OG0005212	NP_416416.2					
OG0005213	NP_416462.1					
OG0005214	NP_416485.4					
OG0005215	NP_416492.1					
OG0005216	NP_416505.2					
OG0005217	NP_416517.1					
OG0005218	NP_416522.1					
OG0005219	NP_416538.1					
OG0005220	NP_416539.1					
OG0005221	NP_416541.1					
OG0005222	NP_416574.1					
OG0005223	NP_416575.1					
OG0005224	NP_416576.1					
OG0005225	NP_416589.2					
OG0005226	NP_416668.3					
OG0005227	NP_416774.2					
OG0005228	NP_416775.1					
OG0005229	NP_416776.1					
OG0005230	NP_416777.2					
OG0005231	NP_416778.2					
OG0005232	NP_416847.1					
OG0005233	NP_416853.1					
OG0005234	NP_416858.1					
OG0005235	NP_416860.4					
OG0005236	NP_416861.1					
OG0005237	NP_416862.2					
OG0005238	NP_416863.1					
OG0005239	NP_416864.1					
OG0005240	NP_416870.1					
OG0005241	NP_416873.1					
OG0005242	NP_416877.1					
OG0005243	NP_416887.1					
OG0005244	NP_416888.1					
OG0005245	NP_416938.1					
OG0005246	NP_416939.1					
OG0005247	NP_416940.2					
OG0005248	NP_416941.1					
OG0005249	NP_416942.1					
OG0005250	NP_416943.2					
OG0005251	NP_416944.1					
OG0005252	NP_416945.2					
OG0005253	NP_416980.1					
OG0005254	NP_417000.1					
OG0005255	NP_417001.1					
OG0005256	NP_417036.1					
OG0005257	NP_417042.1					
OG0005258	NP_417045.4					
OG0005259	NP_417089.1					
OG0005260	NP_417093.2					
OG0005261	NP_417112.1					
OG0005262	NP_417113.1					
OG0005263	NP_417116.1					
OG0005264	NP_417117.1					
OG0005265	NP_417118.1					
OG0005266	NP_417119.1					
OG0005267	NP_417120.2					
OG0005268	NP_417123.1					
OG0005269	NP_417129.1					
OG0005270	NP_417168.1					
OG0005271	NP_417220.1					
OG0005272	NP_417239.1					
OG0005273	NP_417247.2					
OG0005274	NP_417248.1					
OG0005275	NP_417249.4					
OG0005276	NP_417263.1					
OG0005277	NP_417326.2					
OG0005278	NP_417330.1					
OG0005279	NP_417352.2					
OG0005280	NP_417356.1					
OG0005281	NP_417394.4					
OG0005282	NP_417403.1					
OG0005283	NP_417405.1					
OG0005284	NP_417409.1					
OG0005285	NP_417442.1					
OG0005286	NP_417445.1					
OG0005287	NP_417487.1					
OG0005288	NP_417493.1					
OG0005289	NP_417494.1					
OG0005290	NP_417499.1					
OG0005291	NP_417546.1					
OG0005292	NP_417548.1					
OG0005293	NP_417550.1					
OG0005294	NP_417551.1					
OG0005295	NP_417561.1					
OG0005296	NP_417589.4					
OG0005297	NP_417590.2					
OG0005298	NP_417591.1					
OG0005299	NP_417598.1					
OG0005300	NP_417599.1					
OG0005301	NP_417605.1					
OG0005302	NP_417610.1					
OG0005303	NP_417620.1					
OG0005304	NP_417651.1					
OG0005305	NP_417681.1					
OG0005306	NP_417736.2					
OG0005307	NP_417781.1					
OG0005308	NP_417782.1					
OG0005309	NP_417783.1					
OG0005310	NP_417791.1					
OG0005311	NP_417792.2					
OG0005312	NP_417793.2					
OG0005313	NP_417797.1					
OG0005314	NP_417835.1					
OG0005315	NP_417836.1					
OG0005316	NP_417837.2					
OG0005317	NP_417840.1					
OG0005318	NP_417841.2					
OG0005319	NP_417903.1					
OG0005320	NP_417945.1					
OG0005321	NP_417948.4					
OG0005322	NP_417967.1					
OG0005323	NP_417968.1					
OG0005324	NP_418014.1					
OG0005325	NP_418042.1					
OG0005326	NP_418051.1					
OG0005327	NP_418053.1					
OG0005328	NP_418075.2					
OG0005329	NP_418079.1					
OG0005330	NP_418080.1					
OG0005331	NP_418086.1					
OG0005332	NP_418102.2					
OG0005333	NP_418121.1					
OG0005334	NP_418133.1					
OG0005335	NP_418136.2					
OG0005336	NP_418145.2					
OG0005337	NP_418153.4					
OG0005338	NP_418163.1					
OG0005339	NP_418164.4					
OG0005340	NP_418172.1					
OG0005341	NP_418175.3					
OG0005342	NP_418176.1					
OG0005343	NP_418309.1					
OG0005344	NP_418333.1					
OG0005345	NP_418335.4					
OG0005346	NP_418336.1					
OG0005347	NP_418357.1					
OG0005348	NP_418416.1					
OG0005349	NP_418441.1					
OG0005350	NP_418471.1					
OG0005351	NP_418472.1					
OG0005352	NP_418490.1					
OG0005353	NP_418505.2					
OG0005354	NP_418508.1					
OG0005355	NP_418509.1					
OG0005356	NP_418512.1					
OG0005357	NP_418533.1					
OG0005358	NP_418534.4					
OG0005359	NP_418545.1					
OG0005360	NP_418550.1					
OG0005361	NP_418551.1					
OG0005362	NP_418552.1					
OG0005363	NP_418581.1					
OG0005364	NP_418645.2					
OG0005365	NP_418646.1					
OG0005366	NP_418661.1					
OG0005367	NP_418674.2					
OG0005368	NP_418697.1					
OG0005369	NP_418698.1					
OG0005370	NP_418716.1					
OG0005371	NP_418729.1					
OG0005372	NP_418731.2					
OG0005373	NP_418741.1					
OG0005374	NP_418754.2					
OG0005375	NP_418755.4					
OG0005376	NP_418765.1					
OG0005377	NP_418802.1					
OG0005378	YP_001165307.1					
OG0005379	YP_001165308.1					
OG0005380	YP_001165314.1					
OG0005381	YP_001165315.1					
OG0005382	YP_001165316.1					
OG0005383	YP_001165317.1					
OG0005384	YP_001165318.1					
OG0005385	YP_001165319.1					
OG0005386	YP_001165320.1					
OG0005387	YP_001165321.1					
OG0005388	YP_001165325.1					
OG0005389	YP_001165328.2					
OG0005390	YP_001165332.1					
OG0005391	YP_001165333.1					
OG0005392	YP_001165334.1					
OG0005393	YP_001491546.1					
OG0005394	YP_001491548.1					
OG0005395	YP_002791237.1					
OG0005396	YP_002791238.1					
OG0005397	YP_002791239.1					
OG0005398	YP_002791240.1					
OG0005399	YP_002791241.1					
OG0005400	YP_002791242.1					
OG0005401	YP_002791243.1					
OG0005402	YP_002791244.1					
OG0005403	YP_002791245.1					
OG0005404	YP_002791246.1					
OG0005405	YP_002791247.1					
OG0005406	YP_002791248.1					
OG0005407	YP_002791249.1					
OG0005408	YP_002791250.1					
OG0005409	YP_002791251.1					
OG0005410	YP_002791252.1					
OG0005411	YP_002791253.1					
OG0005412	YP_002791254.1					
OG0005413	YP_002791255.1					
OG0005414	YP_002791256.1					
OG0005415	YP_002791257.1					
OG0005416	YP_002791258.1					
OG0005417	YP_002791259.1					
OG0005418	YP_002791260.1					
OG0005419	YP_002791261.1					
OG0005420	YP_003933616.1					
OG0005421	YP_004831120.1					
OG0005422	YP_009029995.1					
OG0005423	YP_009518733.1					
OG0005424	YP_009518734.1					
OG0005425	YP_009518735.1					
OG0005426	YP_009518736.1					
OG0005427	YP_009518737.1					
OG0005428	YP_009518738.1					
OG0005429	YP_009518744.1					
OG0005430	YP_009518745.1					
OG0005431	YP_009518746.1					
OG0005432	YP_009518747.1					
OG0005433	YP_009518748.2					
OG0005434	YP_009518749.1					
OG0005435	YP_009518750.1					
OG0005436	YP_009518753.1					
OG0005437	YP_009518754.1					
OG0005438	YP_009518757.1					
OG0005439	YP_009518759.1					
OG0005440	YP_009518760.1					
OG0005441	YP_009518762.2					
OG0005442	YP_009518763.1					
OG0005443	YP_009518764.1					
OG0005444	YP_009518765.1					
OG0005445	YP_009518766.1					
OG0005446	YP_009518767.1					
OG0005447	YP_009518768.1					
OG0005448	YP_009518769.1					
OG0005449	YP_009518771.1					
OG0005450	YP_009518772.1					
OG0005451	YP_009518773.1					
OG0005452	YP_009518774.1					
OG0005453	YP_009518775.1					
OG0005454	YP_009518776.1					
OG0005455	YP_009518777.1					
OG0005456	YP_009518778.1					
OG0005457	YP_009518780.1					
OG0005458	YP_009518781.1					
OG0005459	YP_009518783.1					
OG0005460	YP_009518784.1					
OG0005461	YP_009518789.1					
OG0005462	YP_009518791.1					
OG0005463	YP_009518792.1					
OG0005464	YP_009518793.1					
OG0005465	YP_009518794.1					
OG0005466	YP_009518796.1					
OG0005467	YP_009518797.1					
OG0005468	YP_009518800.1					
OG0005469	YP_009518801.1					
OG0005470	YP_009518802.1					
OG0005471	YP_009518803.1					
OG0005472	YP_009518804.1					
OG0005473	YP_009518805.1					
OG0005474	YP_009518806.1					
OG0005475	YP_009518808.1					
OG0005476	YP_009518809.1					
OG0005477	YP_009518810.1					
OG0005478	YP_009518811.1					
OG0005479	YP_009518812.1					
OG0005480	YP_009518813.1					
OG0005481	YP_009518815.1					
OG0005482	YP_009518816.1					
OG0005483	YP_009518818.1					
OG0005484	YP_009518819.1					
OG0005485	YP_009518820.1					
OG0005486	YP_009518821.1					
OG0005487	YP_009518825.1					
OG0005488	YP_009518826.1					
OG0005489	YP_009518827.1					
OG0005490	YP_009518828.1					
OG0005491	YP_009518830.1					
OG0005492	YP_009518831.1					
OG0005493	YP_009518832.1					
OG0005494	YP_009518833.1					
OG0005495	YP_009518834.1					
OG0005496	YP_010051173.1					
OG0005497	YP_010051174.1					
OG0005498	YP_010051175.1					
OG0005499	YP_010051176.1					
OG0005500	YP_010051177.1					
OG0005501	YP_010051178.1					
OG0005502	YP_010051179.1					
OG0005503	YP_010051181.1					
OG0005504	YP_010051182.1					
OG0005505	YP_010051183.1					
OG0005506	YP_010051184.1					
OG0005507	YP_010051185.1					
OG0005508	YP_010051186.1					
OG0005509	YP_010051187.1					
OG0005510	YP_010051188.1					
OG0005511	YP_010051189.1					
OG0005512	YP_010051190.1					
OG0005513	YP_010051191.1					
OG0005514	YP_010051192.1					
OG0005515	YP_010051193.1					
OG0005516	YP_010051195.1					
OG0005517	YP_010051196.1					
OG0005518	YP_010051198.1					
OG0005519	YP_010051199.1					
OG0005520	YP_010051200.1					
OG0005521	YP_010051201.1					
OG0005522	YP_010051202.1					
OG0005523	YP_010051203.1					
OG0005524	YP_010051204.1					
OG0005525	YP_010051205.1					
OG0005526	YP_010051206.1					
OG0005527	YP_010051207.1					
OG0005528	YP_010051210.1					
OG0005529	YP_010051211.1					
OG0005530	YP_010051212.1					
OG0005531	YP_010051213.1					
OG0005532	YP_010051214.1					
OG0005533	YP_010051215.1					
OG0005534	YP_010051216.1					
OG0005535	YP_010283908.1					
OG0005536	YP_010283909.1					
OG0005537	YP_010283910.1					
OG0005538	YP_010283912.1					
OG0005539	YP_010283913.1					
OG0005540	YP_010283914.1					
OG0005541	YP_010283917.1					
OG0005542	YP_010283919.1					
OG0005543	YP_010283920.1					
OG0005544	YP_010283921.1					
OG0005545	YP_025301.1					
OG0005546	YP_025303.1					
OG0005547	YP_026164.1					
OG0005548	YP_026174.2					
OG0005549	YP_026185.1					
OG0005550	YP_026187.1					
OG0005551	YP_026189.1					
OG0005552	YP_026192.1					
OG0005553	YP_026195.1					
OG0005554	YP_026209.1					
OG0005555	YP_026214.1					
OG0005556	YP_026238.1					
OG0005557	YP_026240.1					
OG0005558	YP_026242.1					
OG0005559	YP_026261.1					
OG0005560	YP_026281.1					
OG0005561	YP_026285.1					
OG0005562	YP_026290.1					
OG0005563	YP_588447.1					
OG0005564	YP_588449.3					
OG0005565	YP_588450.2					
OG0005566	YP_588455.2					
OG0005567	YP_588459.1					
OG0005568	YP_588463.1					
OG0005569	YP_588474.1					
OG0005570		NP_214522.1				
OG0005571		NP_214534.1				
OG0005572		NP_214535.1				
OG0005573		NP_214536.1				
OG0005574		NP_214541.1				
OG0005575		NP_214542.1				
OG0005576		NP_214544.1				
OG0005577		NP_214548.1				
OG0005578		NP_214553.1				
OG0005579		NP_214562.1				
OG0005580		NP_214563.1				
OG0005581		NP_214571.1				
OG0005582		NP_214573.1				
OG0005583		NP_214590.1				
OG0005584		NP_214593.1				
OG0005585		NP_214599.1				
OG0005586		NP_214602.1				
OG0005587		NP_214604.1				
OG0005588		NP_214607.1				
OG0005589		NP_214611.1				
OG0005590		NP_214612.1				
OG0005591		NP_214613.1				
OG0005592		NP_214614.1				
OG0005593		NP_214622.1				
OG0005594		NP_214635.1				
OG0005595		NP_214636.1				
OG0005596		NP_214637.1				
OG0005597		NP_214649.1				
OG0005598		NP_214652.1				
OG0005599		NP_214653.1				
OG0005600		NP_214655.1				
OG0005601		NP_214693.1				
OG0005602		NP_214699.1				
OG0005603		NP_214702.1				
OG0005604		NP_214707.1				
OG0005605		NP_214712.1				
OG0005606		NP_214713.1				
OG0005607		NP_214714.1				
OG0005608		NP_214715.1				
OG0005609		NP_214717.1				
OG0005610		NP_214718.2				
OG0005611		NP_214721.1				
OG0005612		NP_214723.1				
OG0005613		NP_214724.1				
OG0005614		NP_214730.1				
OG0005615		NP_214733.1				
OG0005616		NP_214740.1				
OG0005617		NP_214741.1				
OG0005618		NP_214745.1				
OG0005619		NP_214750.1				
OG0005620		NP_214753.1				
OG0005621		NP_214754.1				
OG0005622		NP_214761.1				
OG0005623		NP_214762.1				
OG0005624		NP_214763.1				
OG0005625		NP_214764.1				
OG0005626		NP_214772.1				
OG0005627		NP_214773.1				
OG0005628		NP_214776.1				
OG0005629		NP_214786.1				
OG0005630		NP_214787.1				
OG0005631		NP_214803.1				
OG0005632		NP_214806.1				
OG0005633		NP_214809.1				
OG0005634		NP_214812.1				
OG0005635		NP_214813.1				
OG0005636		NP_214814.1				
OG0005637		NP_214815.1				
OG0005638		NP_214817.1				
OG0005639		NP_214821.1				
OG0005640		NP_214823.1				
OG0005641		NP_214825.1				
OG0005642		NP_214827.1				
OG0005643		NP_214828.1				
OG0005644		NP_214830.1				
OG0005645		NP_214840.1				
OG0005646		NP_214844.1				
OG0005647		NP_214847.1				
OG0005648		NP_214853.1				
OG0005649		NP_214858.1				
OG0005650		NP_214863.1				
OG0005651		NP_214870.1				
OG0005652		NP_214872.1				
OG0005653		NP_214875.1				
OG0005654		NP_214879.1				
OG0005655		NP_214880.1				
OG0005656		NP_214881.1				
OG0005657		NP_214882.1				
OG0005658		NP_214883.1				
OG0005659		NP_214892.1				
OG0005660		NP_214895.1				
OG0005661		NP_214897.1				
OG0005662		NP_214908.1				
OG0005663		NP_214909.1				
OG0005664		NP_214910.1				
OG0005665		NP_214912.1				
OG0005666		NP_214915.1				
OG0005667		NP_214933.1				
OG0005668		NP_214934.1				
OG0005669		NP_214938.1				
OG0005670		NP_214940.1				
OG0005671		NP_214942.1				
OG0005672		NP_214945.1				
OG0005673		NP_214955.1				
OG0005674		NP_214957.1				
OG0005675		NP_214966.1				
OG0005676		NP_214969.1				
OG0005677		NP_214973.1				
OG0005678		NP_214974.1				
OG0005679		NP_214975.1				
OG0005680		NP_214977.1				
OG0005681		NP_214985.1				
OG0005682		NP_214989.1				
OG0005683		NP_214991.1				
OG0005684		NP_214993.1				
OG0005685		NP_214995.1				
OG0005686		NP_214999.1				
OG0005687		NP_215007.1				
OG0005688		NP_215011.1				
OG0005689		NP_215013.1				
OG0005690		NP_215027.1				
OG0005691		NP_215028.1				
OG0005692		NP_215032.1				
OG0005693		NP_215045.1				
OG0005694		NP_215051.1				
OG0005695		NP_215052.1				
OG0005696		NP_215058.1				
OG0005697		NP_215064.1				
OG0005698		NP_215070.1				
OG0005699		NP_215073.1				
OG0005700		NP_215079.1				
OG0005701		NP_215086.1				
OG0005702		NP_215094.1				
OG0005703		NP_215096.1				
OG0005704		NP_215097.1				
OG0005705		NP_215098.1				
OG0005706		NP_215115.1				
OG0005707		NP_215117.1				
OG0005708		NP_215121.1				
OG0005709		NP_215122.1				
OG0005710		NP_215124.1				
OG0005711		NP_215125.2				
OG0005712		NP_215129.1				
OG0005713		NP_215135.1				
OG0005714		NP_215136.2				
OG0005715		NP_215147.1				
OG0005716		NP_215167.1				
OG0005717		NP_215170.1				
OG0005718		NP_215174.1				
OG0005719		NP_215176.2				
OG0005720		NP_215178.1				
OG0005721		NP_215180.1				
OG0005722		NP_215192.1				
OG0005723		NP_215200.1				
OG0005724		NP_215203.1				
OG0005725		NP_215204.1				
OG0005726		NP_215206.1				
OG0005727		NP_215211.1				
OG0005728		NP_215213.1				
OG0005729		NP_215244.1				
OG0005730		NP_215250.1				
OG0005731		NP_215257.1				
OG0005732		NP_215258.1				
OG0005733		NP_215270.1				
OG0005734		NP_215274.1				
OG0005735		NP_215276.1				
OG0005736		NP_215281.1				
OG0005737		NP_215290.1				
OG0005738		NP_215293.1				
OG0005739		NP_215298.1				
OG0005740		NP_215301.1				
OG0005741		NP_215304.1				
OG0005742		NP_215305.1				
OG0005743		NP_215331.1				
OG0005744		NP_215332.1				
OG0005745		NP_215337.1				
OG0005746		NP_215350.1				
OG0005747		NP_215351.1				
OG0005748		NP_215352.1				
OG0005749		NP_215358.1				
OG0005750		NP_215362.1				
OG0005751		NP_215367.2				
OG0005752		NP_215378.2				
OG0005753		NP_215386.1				
OG0005754		NP_215390.1				
OG0005755		NP_215394.1				
OG0005756		NP_215397.1				
OG0005757		NP_215403.1				
OG0005758		NP_215407.1				
OG0005759		NP_215415.1				
OG0005760		NP_215416.1				
OG0005761		NP_215424.1				
OG0005762		NP_215427.1				
OG0005763		NP_215428.1				
OG0005764		NP_215438.1				
OG0005765		NP_215457.1				
OG0005766		NP_215458.1				
OG0005767		NP_215460.1				
OG0005768		NP_215469.1				
OG0005769		NP_215470.1				
OG0005770		NP_215474.1				
OG0005771		NP_215476.1				
OG0005772		NP_215477.1				
OG0005773		NP_215485.1				
OG0005774		NP_215494.2				
OG0005775		NP_215503.1				
OG0005776		NP_215505.1				
OG0005777		NP_215511.1				
OG0005778		NP_215512.1				
OG0005779		NP_215514.1				
OG0005780		NP_215520.1				
OG0005781		NP_215522.1				
OG0005782		NP_215528.1				
OG0005783		NP_215557.1				
OG0005784		NP_215559.1				
OG0005785		NP_215560.1				
OG0005786		NP_215561.1				
OG0005787		NP_215564.1				
OG0005788		NP_215567.1				
OG0005789		NP_215568.1				
OG0005790		NP_215572.1				
OG0005791		NP_215573.1				
OG0005792		NP_215576.1				
OG0005793		NP_215578.1				
OG0005794		NP_215580.1				
OG0005795		NP_215599.1				
OG0005796		NP_215613.1				
OG0005797		NP_215616.1				
OG0005798		NP_215625.1				
OG0005799		NP_215627.2				
OG0005800		NP_215629.1				
OG0005801		NP_215631.1				
OG0005802		NP_215632.1				
OG0005803		NP_215633.1				
OG0005804		NP_215634.1				
OG0005805		NP_215635.1				
OG0005806		NP_215641.1				
OG0005807		NP_215642.1				
OG0005808		NP_215650.1				
OG0005809		NP_215670.1				
OG0005810		NP_215673.1				
OG0005811		NP_215674.1				
OG0005812		NP_215675.1				
OG0005813		NP_215687.2				
OG0005814		NP_215690.1				
OG0005815		NP_215695.1				
OG0005816		NP_215708.1				
OG0005817		NP_215719.1				
OG0005818		NP_215720.1				
OG0005819		NP_215732.1				
OG0005820		NP_215738.1				
OG0005821		NP_215749.1				
OG0005822		NP_215750.1				
OG0005823		NP_215760.1				
OG0005824		NP_215772.1				
OG0005825		NP_215781.1				
OG0005826		NP_215784.1				
OG0005827		NP_215790.1				
OG0005828		NP_215791.1				
OG0005829		NP_215794.1				
OG0005830		NP_215805.1				
OG0005831		NP_215806.1				
OG0005832		NP_215819.1				
OG0005833		NP_215822.1				
OG0005834		NP_215853.1				
OG0005835		NP_215859.1				
OG0005836		NP_215862.1				
OG0005837		NP_215867.1				
OG0005838		NP_215869.1				
OG0005839		NP_215871.1				
OG0005840		NP_215872.1				
OG0005841		NP_215882.1				
OG0005842		NP_215887.1				
OG0005843		NP_215889.1				
OG0005844		NP_215890.2				
OG0005845		NP_215891.1				
OG0005846		NP_215892.1				
OG0005847		NP_215909.1				
OG0005848		NP_215917.1				
OG0005849		NP_215929.1				
OG0005850		NP_215930.1				
OG0005851		NP_215934.1				
OG0005852		NP_215935.1				
OG0005853		NP_215940.1				
OG0005854		NP_215950.1				
OG0005855		NP_215951.1				
OG0005856		NP_215955.1				
OG0005857		NP_215960.1				
OG0005858		NP_215971.1				
OG0005859		NP_215992.1				
OG0005860		NP_216006.1				
OG0005861		NP_216010.1				
OG0005862		NP_216011.1				
OG0005863		NP_216014.1				
OG0005864		NP_216015.2				
OG0005865		NP_216018.1				
OG0005866		NP_216021.1				
OG0005867		NP_216022.1				
OG0005868		NP_216023.1				
OG0005869		NP_216024.1				
OG0005870		NP_216025.1				
OG0005871		NP_216041.1				
OG0005872		NP_216051.1				
OG0005873		NP_216057.1				
OG0005874		NP_216058.1				
OG0005875		NP_216061.1				
OG0005876		NP_216081.1				
OG0005877		NP_216083.1				
OG0005878		NP_216087.1				
OG0005879		NP_216089.1				
OG0005880		NP_216095.1				
OG0005881		NP_216096.1				
OG0005882		NP_216097.1				
OG0005883		NP_216100.1				
OG0005884		NP_216101.1				
OG0005885		NP_216102.1				
OG0005886		NP_216106.1				
OG0005887		NP_216107.1				
OG0005888		NP_216108.1				
OG0005889		NP_216120.1				
OG0005890		NP_216126.1				
OG0005891		NP_216134.1				
OG0005892		NP_216136.1				
OG0005893		NP_216148.1				
OG0005894		NP_216150.1				
OG0005895		NP_216151.1				
OG0005896		NP_216155.1				
OG0005897		NP_216164.1				
OG0005898		NP_216185.1				
OG0005899		NP_216186.1				
OG0005900		NP_216187.1				
OG0005901		NP_216189.1				
OG0005902		NP_216191.1				
OG0005903		NP_216192.1				
OG0005904		NP_216194.1				
OG0005905		NP_216196.1				
OG0005906		NP_216198.1				
OG0005907		NP_216209.1				
OG0005908		NP_216213.1				
OG0005909		NP_216214.1				
OG0005910		NP_216219.4				
OG0005911		NP_216232.1				
OG0005912		NP_216233.1				
OG0005913		NP_216237.2				
OG0005914		NP_216238.1				
OG0005915		NP_216240.1				
OG0005916		NP_216248.1				
OG0005917		NP_216250.1				
OG0005918		NP_216258.1				
OG0005919		NP_216260.1				
OG0005920		NP_216264.1				
OG0005921		NP_216265.1				
OG0005922		NP_216268.1				
OG0005923		NP_216270.1				
OG0005924		NP_216277.1				
OG0005925		NP_216278.1				
OG0005926		NP_216286.1				
OG0005927		NP_216288.1				
OG0005928		NP_216291.1				
OG0005929		NP_216293.1				
OG0005930		NP_216294.1				
OG0005931		NP_216295.1				
OG0005932		NP_216296.1				
OG0005933		NP_216301.1				
OG0005934		NP_216315.1				
OG0005935		NP_216321.1				
OG0005936		NP_216331.1				
OG0005937		NP_216337.1				
OG0005938		NP_216347.1				
OG0005939		NP_216352.1				
OG0005940		NP_216355.1				
OG0005941		NP_216372.1				
OG0005942		NP_216389.1				
OG0005943		NP_216390.3				
OG0005944		NP_216391.1				
OG0005945		NP_216397.1				
OG0005946		NP_216403.1				
OG0005947		NP_216406.1				
OG0005948		NP_216407.1				
OG0005949		NP_216408.1				
OG0005950		NP_216409.1				
OG0005951		NP_216423.1				
OG0005952		NP_216430.1				
OG0005953		NP_216435.1				
OG0005954		NP_216437.1				
OG0005955		NP_216440.1				
OG0005956		NP_216442.1				
OG0005957		NP_216443.1				
OG0005958		NP_216446.1				
OG0005959		NP_216451.1				
OG0005960		NP_216463.1				
OG0005961		NP_216464.1				
OG0005962		NP_216468.1				
OG0005963		NP_216469.1				
OG0005964		NP_216470.1				
OG0005965		NP_216471.2				
OG0005966		NP_216473.1				
OG0005967		NP_216474.1				
OG0005968		NP_216475.1				
OG0005969		NP_216477.1				
OG0005970		NP_216490.1				
OG0005971		NP_216494.1				
OG0005972		NP_216505.1				
OG0005973		NP_216506.1				
OG0005974		NP_216507.1				
OG0005975		NP_216511.1				
OG0005976		NP_216516.1				
OG0005977		NP_216519.1				
OG0005978		NP_216528.1				
OG0005979		NP_216532.1				
