All-Genes	Genes in same transcription unit	Accession-1	Left-End-Position	Right-End-Position	Product	Regulation - transcription factor regulators of gene	Common-Name
bioD	bioB // XNR_RS27575 // bioD	XNR_RS27570	6279180	6279899	ATP-dependent dethiobiotin synthetase BioD		bioD
bla2a	bla2a	XNR_RS11745	2761336	2762274	Exo family class A beta-lactamase		bla2a
bldC	bldC	XNR_RS14065	3228951	3229157	developmental transcriptional regulator BldC		bldC
bldD	bldD	XNR_RS26580	6064782	6065282	transcriptional regulator BldD		bldD
carA	pyrF // XNR_RS26615 // carB // carA // XNR_RS26600 // XNR_RS26595 // XNR_RS26590	XNR_RS26605	6069166	6070308	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit		carA
carB	pyrF // XNR_RS26615 // carB // carA // XNR_RS26600 // XNR_RS26595 // XNR_RS26590	XNR_RS26610	6070301	6073606	carbamoyl-phosphate synthase large subunit		carB
cas5e	casA // casB // cas7e // cas5e // cas6e	XNR_RS03880	925418	926242	type I-E CRISPR-associated protein Cas5/CasD		cas5e
cas6e	casA // casB // cas7e // cas5e // cas6e	XNR_RS03875	924756	925421	type I-E CRISPR-associated protein Cas6/Cse3/CasE		cas6e
cas7e	casA // casB // cas7e // cas5e // cas6e	XNR_RS03885	926239	927414	type I-E CRISPR-associated protein Cas7/Cse4/CasC		cas7e
casA	casA // casB // cas7e // cas5e // cas6e	XNR_RS03895	928134	929744	type I-E CRISPR-associated protein Cse1/CasA		casA
casB	casA // casB // cas7e // cas5e // cas6e	XNR_RS03890	927440	928105	type I-E CRISPR-associated protein Cse2/CasB		casB
catA	catA	XNR_RS25485	5839796	5840458	type A chloramphenicol O-acetyltransferase		catA
cbiE	cbiE	XNR_RS26240	5998632	5999846	precorrin-6y C5,15-methyltransferase (decarboxylating) subunit CbiE		cbiE
ccrA	XNR_RS02265 // XNR_RS02260 // XNR_RS02255 // XNR_RS02250 // ccrA	XNR_RS02245	543650	544987	crotonyl-CoA carboxylase/reductase		ccrA
ccrA	ccrA	XNR_RS29195	6738960	6740186	crotonyl-CoA carboxylase/reductase		ccrA
ccsB	ccsB // XNR_RS17650 // XNR_RS17645 // XNR_RS17640	XNR_RS17655	4081934	4083019	c-type cytochrome biogenesis protein CcsB		ccsB
clpB	clpB	XNR_RS15775	3628044	3630629	ATP-dependent chaperone ClpB		clpB
clpS	clpS // XNR_RS08875	XNR_RS08880	2109896	2110210	ATP-dependent Clp protease adapter ClpS		clpS
clpX	clpX	XNR_RS21435	4927198	4928484	ATP-dependent Clp protease ATP-binding subunit ClpX		clpX
coaBC	coaBC	XNR_RS26640	6077595	6078842	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC		coaBC
coaD	rsmD // coaD	XNR_RS06145	1490274	1490753	pantetheine-phosphate adenylyltransferase		coaD
cobA	XNR_RS26255 // cobA // cobT	XNR_RS26250	6003690	6004937	uroporphyrinogen-III C-methyltransferase		cobA
cobG	XNR_RS23125 // XNR_RS23120 // cobG	XNR_RS23115	5307404	5308741	precorrin-3B synthase		cobG
cobM	XNR_RS23140 // cobM // XNR_RS23130	XNR_RS23135	5311798	5312550	precorrin-4 C(11)-methyltransferase		cobM
cobN	cobN	XNR_RS23110	5303183	5306791	cobaltochelatase subunit CobN		cobN
cobO	XNR_RS24620 // cobO // XNR_RS24610 // XNR_RS24605 // XNR_RS24600	XNR_RS24615	5650382	5650981	cob(I)yrinic acid a,c-diamide adenosyltransferase		cobO
cobT	cobT	XNR_RS23305	5352150	5353283	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase		cobT
cobT	XNR_RS26255 // cobA // cobT	XNR_RS26245	6000174	6003494	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase		cobT
cofC	cofC	XNR_RS06205	1502913	1503617	2-phospho-L-lactate guanylyltransferase		cofC
coxB	XNR_RS23405 // ctaD // coxB	XNR_RS23395	5373431	5374396	cytochrome c oxidase subunit II		coxB
cpaB	XNR_RS20280 // XNR_RS20275 // cpaB // XNR_RS20265	XNR_RS20270	4646011	4646718	Flp pilus assembly protein CpaB		cpaB
crcB	XNR_RS12335 // crcB	XNR_RS12330	2865016	2865393	fluoride efflux transporter CrcB		crcB
crgA	crgA	XNR_RS15030	3446200	3446454	cell division protein CrgA		crgA
crtI	XNR_RS28200 // XNR_RS28195 // crtI	XNR_RS28190	6411254	6412795	phytoene desaturase		crtI
ctaD	ctaD	XNR_RS04175	992412	994106	cytochrome c oxidase subunit I		ctaD
ctaD	XNR_RS23405 // ctaD // coxB	XNR_RS23400	5374393	5376129	cytochrome c oxidase subunit I		ctaD
ctaD	ctaD	XNR_RS03040	725967	727673	cytochrome c oxidase subunit I		ctaD
cydB	hisC // XNR_RS14565 // cydB // cydD	XNR_RS14560	3339988	3340989	cytochrome d ubiquinol oxidase subunit II		cydB
cydD	hisC // XNR_RS14565 // cydB // cydD	XNR_RS14555	3336259	3339924	thiol reductant ABC exporter subunit CydD		cydD
cysC	XNR_RS03530 // XNR_RS03525 // cysD // cysC // XNR_RS03510 // XNR_RS03505 // XNR_RS03500	XNR_RS03515	836348	837013	adenylyl-sulfate kinase		cysC
cysD	XNR_RS03530 // XNR_RS03525 // cysD // cysC // XNR_RS03510 // XNR_RS03505 // XNR_RS03500	XNR_RS03520	837010	837951	sulfate adenylyltransferase subunit CysD		cysD
dacB	dacB	XNR_RS16995	3874542	3876071	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase		dacB
dapA	dapA	XNR_RS05570	1349840	1350763	4-hydroxy-tetrahydrodipicolinate synthase		dapA
dapC	dapC	XNR_RS08295	1978149	1979270	succinyldiaminopimelate transaminase		dapC
dapD	dapD	XNR_RS24490	5622744	5623733	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase		dapD
dcm	dcm	XNR_RS08710	2075693	2076922	DNA (cytosine-5-)-methyltransferase		dcm
def	def	XNR_RS07850	1876604	1877260	peptide deformylase		def
def	def	XNR_RS28675	6517154	6517774	peptide deformylase		def
def	def	XNR_RS27755	6316934	6317485	peptide deformylase		def
deoC	deoC // XNR_RS19845 // XNR_RS19840	XNR_RS19850	4550093	4551046	deoxyribose-phosphate aldolase		deoC
der	der	XNR_RS25085	5751055	5752518	ribosome biogenesis GTPase Der		der
dhaL	dhaL // XNR_RS23165	XNR_RS23170	5320259	5320921	dihydroxyacetone kinase subunit L		dhaL
disA	disA	XNR_RS17320	4008016	4009137	DNA integrity scanning protein DisA		disA
dnaA	dnaN // dnaA	XNR_RS14900	3417017	3419110	chromosomal replication initiator protein DnaA		dnaA
dnaB	dnaB	XNR_RS14755	3381147	3382616	replicative DNA helicase		dnaB
dnaE	dnaE	XNR_RS23845	5477124	5480672	DNA polymerase III subunit alpha		dnaE
dnaJ	dnaJ // hrcA	XNR_RS21705	4995704	4996843	molecular chaperone DnaJ		dnaJ
dnaJ	XNR_RS15745 // dnaJ	XNR_RS15740	3622326	3623516	molecular chaperone DnaJ		dnaJ
dnaK	grpE // dnaK	XNR_RS15730	3619699	3621561	molecular chaperone DnaK		dnaK
dnaN	dnaN // dnaA	XNR_RS14910	3420245	3421375	DNA polymerase III subunit beta		dnaN
dprA	XNR_RS05985 // XNR_RS05980 // dprA	XNR_RS05975	1451145	1452398	DNA-protecting protein DprA		dprA
dps	dps	XNR_RS12940	2975497	2976054	DNA starvation/stationary phase protection protein Dps		dps
dusB	dusB	XNR_RS21895	5036876	5038045	tRNA dihydrouridine synthase DusB		dusB
dut	XNR_RS04980 // dut // XNR_RS04970	XNR_RS04975	1199500	1200015	dUTP diphosphatase		dut
eat	eat	XNR_RS25860	5923624	5925099	ethanolamine permease		eat
eboE	XNR_RS01900 // XNR_RS01895 // eboE // XNR_RS01885 // XNR_RS01880	XNR_RS01890	458195	459370	metabolite traffic protein EboE		eboE
ectA	ectA // ectB // XNR_RS24565 // thpD	XNR_RS24575	5642170	5642676	diaminobutyrate acetyltransferase		ectA
ectB	ectA // ectB // XNR_RS24565 // thpD	XNR_RS24570	5640779	5642050	diaminobutyrate--2-oxoglutarate transaminase		ectB
ectB	ectB	XNR_RS12475	2892286	2893530	diaminobutyrate--2-oxoglutarate transaminase		ectB
eda	eda	XNR_RS22710	5210046	5210696	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase		eda
efeB	efeB // XNR_RS14480	XNR_RS14485	3319763	3321007	deferrochelatase/peroxidase EfeB		efeB
efp	nusB // efp	XNR_RS26570	6063632	6064198	elongation factor P		efp
egtA	egtA // egtB // egtC // egtD	XNR_RS28130	6399357	6400745	ergothioneine biosynthesis glutamate--cysteine ligase EgtA		egtA
egtB	egtA // egtB // egtC // egtD	XNR_RS28125	6397993	6399360	ergothioneine biosynthesis protein EgtB		egtB
egtC	egtA // egtB // egtC // egtD	XNR_RS28120	6397218	6397973	ergothioneine biosynthesis protein EgtC		egtC
egtD	egtA // egtB // egtC // egtD	XNR_RS28115	6396259	6397221	L-histidine N(alpha)-methyltransferase		egtD
ehuA	ehuA // ehuD // ehuC // ehuB	XNR_RS08600	2053722	2054537	ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA		ehuA
ehuB	ehuA // ehuD // ehuC // ehuB	XNR_RS08585	2051470	2052351	ectoine/hydroxyectoine ABC transporter substrate-binding protein EhuB		ehuB
ehuC	ehuA // ehuD // ehuC // ehuB	XNR_RS08590	2052348	2053085	ectoine/hydroxyectoine ABC transporter permease subunit EhuC		ehuC
ehuD	ehuA // ehuD // ehuC // ehuB	XNR_RS08595	2053082	2053732	ectoine/hydroxyectoine ABC transporter permease subunit EhuD		ehuD
eno	eno	XNR_RS11030	2597858	2599165	phosphopyruvate hydratase		eno
eno	eno	XNR_RS09945	2361836	2363122	phosphopyruvate hydratase		eno
era	era	XNR_RS21825	5023203	5024144	GTPase Era		era
ettA	XNR_RS21135 // XNR_RS21130 // ettA	XNR_RS21125	4845047	4846711	energy-dependent translational throttle protein EttA		ettA
fabG	fabI // fabG	XNR_RS24800	5689416	5690120	3-oxoacyl-[acyl-carrier-protein] reductase		fabG
fabG	XNR_RS27240 // fabG	XNR_RS27235	6212137	6212898	3-oxoacyl-ACP reductase FabG		fabG
fabI	fabI // fabG	XNR_RS24805	5690126	5690905	enoyl-ACP reductase FabI		fabI
fahA	fahA	XNR_RS18055	4172323	4173543	fumarylacetoacetase		fahA
fbaA	fbaA	XNR_RS15860	3645608	3646639	class II fructose-bisphosphate aldolase		fbaA
fdhD	fdhD	XNR_RS01965	479011	479853	formate dehydrogenase accessory sulfurtransferase FdhD		fdhD
fdhD	XNR_RS00615 // fdhD	XNR_RS00610	152173	152883	formate dehydrogenase accessory sulfurtransferase FdhD		fdhD
ffh	ffh	XNR_RS06060	1467002	1468552	signal recognition particle protein		ffh
ffs	ffs // XNR_RS14175	XNR_RS29850	3255297	3255395	signal recognition particle sRNA small type		ffs
folB	folB // folK	XNR_RS17035	3885245	3885613	dihydroneopterin aldolase		folB
folE	folE	XNR_RS17020	3883329	3883934	GTP cyclohydrolase I FolE		folE
folK	folB // folK	XNR_RS17030	3884649	3885248	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase		folK
folP	folP // XNR_RS17040	XNR_RS17045	3886393	3887253	dihydropteroate synthase		folP
folP	folP	XNR_RS08250	1970840	1971700	dihydropteroate synthase		folP
frr	frr // XNR_RS05940	XNR_RS05945	1444297	1444854	ribosome recycling factor		frr
ftsE	ftsE // XNR_RS09215 // XNR_RS09210 // smpB	XNR_RS09220	2181910	2182599	cell division ATP-binding protein FtsE		ftsE
ftsH	ftsH	XNR_RS17015	3881140	3883182	ATP-dependent zinc metalloprotease FtsH		ftsH
ftsH	ftsH	XNR_RS06055	1464556	1466496	ATP-dependent zinc metalloprotease FtsH		ftsH
ftsW	murG // ftsW // XNR_RS23740 // XNR_RS23735 // murF // XNR_RS23725	XNR_RS23745	5453068	5454411	putative lipid II flippase FtsW		ftsW
ftsY	ftsY	XNR_RS06090	1476138	1477352	signal recognition particle-docking protein FtsY		ftsY
ftsZ	XNR_RS23770 // pgeF // ftsZ	XNR_RS23760	5456629	5457861	cell division protein FtsZ		ftsZ
fusA	fusA	XNR_RS02985	713452	715581	elongation factor G		fusA
fusA	fusA // rpsG // XNR_RS18425	XNR_RS18435	4254343	4256469	elongation factor G		fusA
fxsA	XNR_RS07585 // XNR_RS07580 // fxsA	XNR_RS07575	1818726	1818926	FXSXX-COOH protein		fxsA
gabT	gabT	XNR_RS05805	1409968	1411299	4-aminobutyrate--2-oxoglutarate transaminase		gabT
galE	galT // galE // galK	XNR_RS10305	2444061	2445065	UDP-glucose 4-epimerase GalE		galE
galE	galE	XNR_RS09310	2211084	2212046	UDP-glucose 4-epimerase GalE		galE
galK	galT // galE // galK	XNR_RS10300	2442856	2444064	galactokinase		galK
galT	galT // galE // galK	XNR_RS10310	2445062	2446129	galactose-1-phosphate uridylyltransferase		galT
galU	galU // XNR_RS10565	XNR_RS10570	2502410	2503312	UTP--glucose-1-phosphate uridylyltransferase GalU		galU
gap	gap	XNR_RS18685	4294441	4295442	type I glyceraldehyde-3-phosphate dehydrogenase		gap
gap	secG // XNR_RS24375 // XNR_RS24370 // gap	XNR_RS24365	5597386	5598393	type I glyceraldehyde-3-phosphate dehydrogenase		gap
gatA	gatC // gatA // XNR_RS06605 // gatB	XNR_RS06610	1591841	1593346	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA		gatA
gatB	gatC // gatA // XNR_RS06605 // gatB	XNR_RS06600	1590079	1591587	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB		gatB
gatC	gatC // gatA // XNR_RS06605 // gatB	XNR_RS06615	1593343	1593639	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC		gatC
gcl	gcl	XNR_RS03160	752263	754044	glyoxylate carboligase		gcl
gcvH	XNR_RS06735 // gcvH // gcvT	XNR_RS06730	1619166	1619543	glycine cleavage system protein GcvH		gcvH
gcvH	gcvH	XNR_RS16040	3684307	3684693	glycine cleavage system protein GcvH		gcvH
gcvP	gcvP	XNR_RS27105	6182302	6185187	aminomethyl-transferring glycine dehydrogenase		gcvP
gcvT	XNR_RS06735 // gcvH // gcvT	XNR_RS06725	1617943	1619067	glycine cleavage system aminomethyltransferase GcvT		gcvT
gdhA	gdhA	XNR_RS16160	3704502	3705857	NADP-specific glutamate dehydrogenase		gdhA
ggt	ggt	XNR_RS02430	582136	583944	gamma-glutamyltransferase		ggt
glgB	glgB	XNR_RS06920	1667579	1670431	1,4-alpha-glucan branching enzyme		glgB
glgP	glgP	XNR_RS06895	1657163	1659823	alpha-glucan family phosphorylase		glgP
glgX	glgX	XNR_RS06855	1646159	1648318	glycogen debranching protein GlgX		glgX
glgX	treY // glgX	XNR_RS03605	854025	856172	glycogen debranching protein GlgX		glgX
glmS	glmS	XNR_RS20705	4742141	4743970	glutamine--fructose-6-phosphate transaminase (isomerizing)		glmS
glmS	glmS	XNR_RS18660	4287207	4289108	glutamine--fructose-6-phosphate transaminase (isomerizing)		glmS
glmU	glmU	XNR_RS10220	2425159	2426604	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU		glmU
glnA	glnA	XNR_RS23195	5325961	5327370	type I glutamate--ammonia ligase		glnA
glnA	glnA	XNR_RS22940	5256755	5258116	type I glutamate--ammonia ligase		glnA
glpK	glpK	XNR_RS25615	5865749	5867290	glycerol kinase GlpK		glpK
glpK	XNR_RS28535 // glpK	XNR_RS28530	6485614	6487131	glycerol kinase GlpK		glpK
glpX	glpX	XNR_RS20490	4696812	4697843	class II fructose-bisphosphatase		glpX
gltB	XNR_RS24040 // gltB	XNR_RS24035	5515699	5520309	glutamate synthase large subunit		gltB
gmk	gmk	XNR_RS26630	6076423	6077016	guanylate kinase		gmk
gnd	XNR_RS14925 // recF // gnd	XNR_RS14915	3421454	3422332	decarboxylating 6-phosphogluconate dehydrogenase		gnd
gndA	gndA	XNR_RS27960	6362524	6363981	NADP-dependent phosphogluconate dehydrogenase		gndA
greA	greA	XNR_RS20020	4588841	4589338	transcription elongation factor GreA		greA
groES	groES	XNR_RS18825	4317345	4317653	co-chaperone GroES		groES
groL	groL	XNR_RS11880	2784831	2786453	chaperonin GroEL		groL
groL	groL	XNR_RS18830	4317811	4319433	chaperonin GroEL		groL
grpE	grpE // dnaK	XNR_RS15735	3621558	3622247	nucleotide exchange factor GrpE		grpE
guaA	guaA	XNR_RS18930	4348518	4350110	glutamine-hydrolyzing GMP synthase		guaA
guaB	guaB	XNR_RS18860	4323932	4325440	IMP dehydrogenase		guaB
gvpA	XNR_RS21945 // XNR_RS21940 // XNR_RS21935 // XNR_RS21930 // XNR_RS21925 // XNR_RS21920 // XNR_RS21915 // XNR_RS21910 // gvpA // XNR_RS21900	XNR_RS21905	5038551	5039027	gas vesicle structural protein GvpA		gvpA
gyrA	gyrA // gyrB	XNR_RS14935	3426905	3429532	DNA gyrase subunit A		gyrA
gyrB	gyrA // gyrB	XNR_RS14930	3424668	3426773	DNA topoisomerase (ATP-hydrolyzing) subunit B		gyrB
hemB	hemB // XNR_RS17515 // hemC // XNR_RS17505 // XNR_RS17500	XNR_RS17520	4051644	4052636	porphobilinogen synthase		hemB
hemC	hemB // XNR_RS17515 // hemC // XNR_RS17505 // XNR_RS17500	XNR_RS17510	4048889	4049860	hydroxymethylbilane synthase		hemC
hemE	hemE	XNR_RS03755	893140	894204	uroporphyrinogen decarboxylase		hemE
hemG	hemG // XNR_RS03735	XNR_RS03740	888997	890469	protoporphyrinogen oxidase		hemG
hemL	hemL	XNR_RS17625	4074901	4076217	glutamate-1-semialdehyde 2,1-aminomutase		hemL
hflX	hflX	XNR_RS05295	1282545	1284074	GTPase HflX		hflX
hisB	hisF // XNR_RS23920 // priA // hisH // XNR_RS30920 // hisB // XNR_RS23895 // hisD	XNR_RS23900	5491890	5492483	imidazoleglycerol-phosphate dehydratase HisB		hisB
hisC	hisC // XNR_RS14565 // cydB // cydD	XNR_RS14570	3342705	3343787	histidinol-phosphate transaminase		hisC
hisD	hisF // XNR_RS23920 // priA // hisH // XNR_RS30920 // hisB // XNR_RS23895 // hisD	XNR_RS23890	5489387	5490709	histidinol dehydrogenase		hisD
hisF	hisF // XNR_RS23920 // priA // hisH // XNR_RS30920 // hisB // XNR_RS23895 // hisD	XNR_RS23925	5494247	5495002	imidazole glycerol phosphate synthase subunit HisF		hisF
hisH	hisF // XNR_RS23920 // priA // hisH // XNR_RS30920 // hisB // XNR_RS23895 // hisD	XNR_RS23910	5492655	5493293	imidazole glycerol phosphate synthase subunit HisH		hisH
hisI	hisI	XNR_RS23940	5496839	5497210	phosphoribosyl-AMP cyclohydrolase		hisI
hisN	hisN	XNR_RS07905	1886187	1886993	histidinol-phosphatase		hisN
holA	holA	XNR_RS21660	4985025	4986014	DNA polymerase III subunit delta		holA
hpnC	hpnC // hpnD // XNR_RS01320	XNR_RS01330	324279	325190	squalene synthase HpnC		hpnC
hpnD	hpnC // hpnD // XNR_RS01320	XNR_RS01325	323326	324282	presqualene diphosphate synthase HpnD		hpnD
hpnH	shc // XNR_RS01305 // hpnH	XNR_RS01300	316927	317949	adenosyl-hopene transferase HpnH		hpnH
hppD	hppD	XNR_RS08935	2122971	2124134	4-hydroxyphenylpyruvate dioxygenase		hppD
hpt	hpt	XNR_RS17010	3880316	3880870	hypoxanthine phosphoribosyltransferase		hpt
hrcA	dnaJ // hrcA	XNR_RS21700	4994687	4995703	heat-inducible transcriptional repressor HrcA		hrcA
hrpA	hrpA // XNR_RS14045 // XNR_RS14040 // XNR_RS14035	XNR_RS14050	3223693	3227727	ATP-dependent RNA helicase HrpA		hrpA
hrpB	XNR_RS24180 // hrpB	XNR_RS24175	5555632	5558154	ATP-dependent helicase HrpB		hrpB
htpX	htpX	XNR_RS27825	6333764	6334681	zinc metalloprotease HtpX		htpX
htpX	XNR_RS18265 // htpX	XNR_RS18260	4220131	4220991	zinc metalloprotease HtpX		htpX
hutH	hutH	XNR_RS19945	4572600	4574141	histidine ammonia-lyase		hutH
hydA	hydA	XNR_RS02405	577008	578408	dihydropyrimidinase		hydA
idi	idi	XNR_RS01375	334498	335094	isopentenyl-diphosphate Delta-isomerase		idi
ilvC	XNR_RS06545 // ilvN // ilvC	XNR_RS06535	1569778	1570776	ketol-acid reductoisomerase		ilvC
ilvD	ilvD	XNR_RS17375	4019459	4021309	dihydroxy-acid dehydratase		ilvD
ilvE	XNR_RS21990 // XNR_RS21985 // ilvE // XNR_RS21975 // XNR_RS21970 // XNR_RS21965 // XNR_RS21960 // XNR_RS21955	XNR_RS21980	5051664	5052608	branched-chain-amino-acid transaminase		ilvE
ilvN	XNR_RS06545 // ilvN // ilvC	XNR_RS06540	1570952	1571476	acetolactate synthase small subunit		ilvN
infA	infA	XNR_RS18590	4276642	4276863	translation initiation factor IF-1		infA
infB	infB	XNR_RS29605	1379347	1382364	translation initiation factor IF-2		infB
iolB	XNR_RS20990 // iolD // iolB // XNR_RS20975 // iolC	XNR_RS20980	4805670	4806521	5-deoxy-glucuronate isomerase		iolB
iolC	XNR_RS20990 // iolD // iolB // XNR_RS20975 // iolC	XNR_RS20970	4803737	4804675	5-dehydro-2-deoxygluconokinase		iolC
iolD	XNR_RS20990 // iolD // iolB // XNR_RS20975 // iolC	XNR_RS20985	4806518	4808404	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)		iolD
ispG	ispG	XNR_RS05765	1397502	1398656	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase		ispG
kdpA	kdpF // kdpA // kdpB // kdpC	XNR_RS01620	398169	399837	potassium-transporting ATPase subunit KdpA		kdpA
kdpA	XNR_RS06765 // kdpB // kdpA // kdpF	XNR_RS06755	1623841	1625505	potassium-transporting ATPase subunit KdpA		kdpA
kdpB	kdpF // kdpA // kdpB // kdpC	XNR_RS01615	396043	398172	potassium-transporting ATPase subunit KdpB		kdpB
kdpB	XNR_RS06765 // kdpB // kdpA // kdpF	XNR_RS06760	1625502	1627607	potassium-transporting ATPase subunit KdpB		kdpB
kdpC	kdpF // kdpA // kdpB // kdpC	XNR_RS01610	395407	396024	potassium-transporting ATPase subunit KdpC		kdpC
kdpF	kdpF // kdpA // kdpB // kdpC	XNR_RS29540	399839	399928	K(+)-transporting ATPase subunit F		kdpF
kdpF	XNR_RS06765 // kdpB // kdpA // kdpF	XNR_RS29630	1623743	1623832	K(+)-transporting ATPase subunit F		kdpF
kynU	kynU // XNR_RS15885	XNR_RS15890	3652618	3653859	kynureninase		kynU
lanKC	XNR_RS29260 // lanKC	XNR_RS29255	6776681	6779272	class III lanthionine synthetase LanKC		lanKC
lanKC	lanKC	XNR_RS11580	2723288	2725867	class III lanthionine synthetase LanKC		lanKC
lepA	lepA	XNR_RS21670	4986910	4988781	elongation factor 4		lepA
lepB	lepB // lepB // lepB // lepB // XNR_RS05995	XNR_RS06015	1458402	1459097	signal peptidase I		lepB
lepB	lepB // lepB // lepB // lepB // XNR_RS05995	XNR_RS06010	1457303	1458409	signal peptidase I		lepB
lepB	lepB // lepB // lepB // lepB // XNR_RS05995	XNR_RS06005	1456534	1457241	signal peptidase I		lepB
