Gene	Orthogroup
XNR_RS03355	OG0000002
XNR_RS27600	OG0000002
XNR_RS24240	OG0000002
BSU_34110	OG0000002
XNR_RS13800	OG0000002
XNR_RS13965	OG0000002
XNR_RS03420	OG0000002
XNR_RS29710	OG0000002
XNR_RS13910	OG0000002
PA2786	OG0000002
XNR_RS03290	OG0000002
XNR_RS21390	OG0000002
XNR_RS14455	OG0000002
XNR_RS11000	OG0000002
XNR_RS28685	OG0000002
XNR_RS04100	OG0000002
XNR_RS12250	OG0000002
XNR_RS20440	OG0000002
XNR_RS18445	OG0000002
XNR_RS25960	OG0000002
XNR_RS12000	OG0000002
XNR_RS12400	OG0000002
XNR_RS14445	OG0000002
XNR_RS01600	OG0000002
BSU_04700	OG0000002
Rv0280	OG0000003
Rv1808	OG0000003
Rv3425	OG0000003
Rv3429	OG0000003
Rv1787	OG0000003
Rv0305c	OG0000003
Rv1705c	OG0000003
Rv1361c	OG0000003
Rv1809	OG0000003
Rv2608	OG0000003
Rv3533c	OG0000003
Rv0256c	OG0000003
Rv3558	OG0000003
Rv3144c	OG0000003
Rv3739c	OG0000003
Rv0755c	OG0000003
Rv1918c	OG0000003
Rv3426	OG0000003
Rv0286	OG0000003
Rv0453	OG0000003
Rv1039c	OG0000003
Rv3532	OG0000003
Rv3873	OG0000003
Rv1548c	OG0000003
Rv3018c	OG0000003
Rv0878c	OG0000003
Rv0442c	OG0000003
Rv1387	OG0000003
Rv2768c	OG0000003
Rv0355c	OG0000003
Rv1135c	OG0000003
Rv3135	OG0000003
Rv3478	OG0000003
Rv3159c	OG0000003
Rv3539	OG0000003
Rv3738c	OG0000003
Rv3125c	OG0000003
Rv3621c	OG0000003
Rv1789	OG0000003
Rv2108	OG0000003
Rv1753c	OG0000003
Rv1790	OG0000003
Rv2352c	OG0000003
Rv2770c	OG0000003
Rv3343c	OG0000003
Rv1801	OG0000003
Rv2123	OG0000003
Rv3347c	OG0000003
Rv1800	OG0000003
Rv1917c	OG0000003
Rv2430c	OG0000003
Rv1802	OG0000003
Rv1168c	OG0000003
Rv0915c	OG0000003
Rv1196	OG0000003
Rv2892c	OG0000003
Rv3136	OG0000003
Rv3350c	OG0000003
Rv0096	OG0000003
Rv1706c	OG0000003
Rv2936	OG0000004
XNR_RS14510	OG0000004
BSU_09080	OG0000004
PA4461	OG0000004
XNR_RS29045	OG0000004
SACI_RS07320	OG0000004
STM3319	OG0000004
STM0172	OG0000004
XNR_RS11390	OG0000004
BSU_02570	OG0000004
SACI_RS06195	OG0000004
XNR_RS07525	OG0000004
XNR_RS10070	OG0000004
b0127	OG0000004
XNR_RS11770	OG0000004
SACI_RS04520	OG0000004
PA3672	OG0000004
SACI_RS01905	OG0000004
XNR_RS20010	OG0000004
Rv1458c	OG0000004
SACI_RS08115	OG0000004
XNR_RS24445	OG0000004
PA3394	OG0000004
XNR_RS14130	OG0000004
SACI_RS03525	OG0000004
Rv1687c	OG0000004
PA4037	OG0000004
XNR_RS12195	OG0000004
BSU_01450	OG0000004
XNR_RS06865	OG0000004
BSU_04490	OG0000004
BSU_02860	OG0000004
Rv1218c	OG0000004
SACI_RS11140	OG0000004
STM2020	OG0000004
XNR_RS09885	OG0000004
BSU_34090	OG0000004
BSU_38660	OG0000004
SACI_RS03505	OG0000004
BSU_08310	OG0000004
SACI_RS04805	OG0000004
SACI_RS11155	OG0000004
XNR_RS17720	OG0000004
XNR_RS17405	OG0000004
XNR_RS11220	OG0000004
BSU_02750	OG0000004
SACI_RS08615	OG0000004
BSU_01950	OG0000004
BSU_09890	OG0000004
XNR_RS15580	OG0000004
b3201	OG0000004
SACI_RS04905	OG0000004
PA2812	OG0000004
XNR_RS16620	OG0000004
XNR_RS19230	OG0000005
XNR_RS18910	OG0000005
b1387	OG0000005
XNR_RS16955	OG0000005
Rv0223c	OG0000005
PA4123	OG0000005
SACI_RS08120	OG0000005
b0312	OG0000005
b2661	OG0000005
XNR_RS01790	OG0000005
Rv0768	OG0000005
BSU_02470	OG0000005
STM1597	OG0000005
BSU_03210	OG0000005
XNR_RS05790	OG0000005
STM2791	OG0000005
XNR_RS25875	OG0000005
SACI_RS08920	OG0000005
PA3504	OG0000005
PA4073	OG0000005
PA4899	OG0000005
SACI_RS09350	OG0000005
STM1102	OG0000005
b1415	OG0000005
BSU_07350	OG0000005
SACI_RS05235	OG0000005
STM3680	OG0000005
Rv0458	OG0000005
PA5373	OG0000005
XNR_RS10710	OG0000005
PA4189	OG0000005
SACI_RS08305	OG0000005
STM3129	OG0000005
Rv2858c	OG0000005
BSU_03910	OG0000005
Rv1731	OG0000005
b1300	OG0000005
b1385	OG0000005
b1444	OG0000005
BSU_31060	OG0000005
BSU_38830	OG0000005
BSU_19310	OG0000005
PA0219	OG0000005
XNR_RS19845	OG0000005
PA0265	OG0000005
PA5312	OG0000005
PA4022	OG0000005
b3588	OG0000005
PA1984	OG0000005
PA2125	OG0000005
SACI_RS01100	OG0000005
BSU_37780	OG0000005
XNR_RS05850	OG0000005
XNR_RS05885	OG0000005
BSU_34060	OG0000006
XNR_RS10515	OG0000006
XNR_RS24865	OG0000006
b3669	OG0000006
XNR_RS15910	OG0000006
b1221	OG0000006
STM3790	OG0000006
BSU_08300	OG0000006
STM0347	OG0000006
XNR_RS11785	OG0000006
XNR_RS13210	OG0000006
PA1980	OG0000006
XNR_RS17210	OG0000006
PA5261	OG0000006
XNR_RS22405	OG0000006
XNR_RS17175	OG0000006
XNR_RS23575	OG0000006
PA3879	OG0000006
BSU_38910	OG0000006
XNR_RS18850	OG0000006
XNR_RS02760	OG0000006
XNR_RS25645	OG0000006
XNR_RS15205	OG0000006
BSU_28920	OG0000006
BSU_19200	OG0000006
Rv0844c	OG0000006
XNR_RS12325	OG0000006
STM2158	OG0000006
XNR_RS23350	OG0000006
XNR_RS24520	OG0000006
BSU_35490	OG0000006
BSU_09330	OG0000006
XNR_RS27995	OG0000006
STM2246	OG0000006
Rv3133c	OG0000006
b2381	OG0000006
XNR_RS14145	OG0000006
XNR_RS13780	OG0000006
b2193	OG0000006
XNR_RS22670	OG0000006
BSU_33080	OG0000006
BSU_05420	OG0000006
PA0601	OG0000006
STM1767	OG0000006
XNR_RS26125	OG0000006
XNR_RS00365	OG0000006
XNR_RS09365	OG0000006
b2125	OG0000006
XNR_RS18980	OG0000006
XNR_RS07220	OG0000006
XNR_RS04165	OG0000006
BSU_02740	OG0000006
XNR_RS11560	OG0000006
STM3012	OG0000007
b3438	OG0000007
XNR_RS03065	OG0000007
XNR_RS00395	OG0000007
BSU_33970	OG0000007
STM4094	OG0000007
b3934	OG0000007
XNR_RS16480	OG0000007
XNR_RS20665	OG0000007
b1320	OG0000007
BSU_35910	OG0000007
XNR_RS22995	OG0000007
XNR_RS00790	OG0000007
b4264	OG0000007
XNR_RS19300	OG0000007
XNR_RS01570	OG0000007
STM3696	OG0000007
BSU_40870	OG0000007
b1620	OG0000007
BSU_10840	OG0000007
b3753	OG0000007
b2714	OG0000007
XNR_RS16440	OG0000007
PA2320	OG0000007
XNR_RS03050	OG0000007
XNR_RS05125	OG0000007
XNR_RS01845	OG0000007
STM3543	OG0000007
XNR_RS25700	OG0000007
STM3633	OG0000007
b1658	OG0000007
b2837	OG0000007
STM1555	OG0000007
BSU_10560	OG0000007
BSU_34170	OG0000007
PA1949	OG0000007
XNR_RS23020	OG0000007
STM3886	OG0000007
b2151	OG0000007
Rv3575c	OG0000007
XNR_RS09805	OG0000007
STM2191	OG0000007
STM3011	OG0000007
BSU_12370	OG0000007
b0345	OG0000007
BSU_29740	OG0000007
STM2345	OG0000007
STM1430	OG0000007
XNR_RS08320	OG0000007
BSU_34630	OG0000007
XNR_RS14575	OG0000007
BSU_13870	OG0000007
STM4481	OG0000007
XNR_RS01065	OG0000008
PA3594	OG0000008
b2537	OG0000008
BSU_18460	OG0000008
BSU_38310	OG0000008
BSU_33990	OG0000008
XNR_RS29310	OG0000008
b1988	OG0000008
STM1487	OG0000008
PA0217	OG0000008
PA5218	OG0000008
STM3121	OG0000008
XNR_RS02605	OG0000008
b2921	OG0000008
PA0528	OG0000008
BSU_03170	OG0000008
STM0763	OG0000008
XNR_RS20390	OG0000008
PA5344	OG0000008
BSU_36020	OG0000008
PA2510	OG0000008
STM2424	OG0000008
Rv0117	OG0000008
XNR_RS04665	OG0000008
b2409	OG0000008
STM0692	OG0000008
PA5179	OG0000008
XNR_RS19390	OG0000008
PA3776	OG0000008
PA3433	OG0000008
PA5029	OG0000008
PA1998	OG0000008
XNR_RS28075	OG0000008
STM2281	OG0000008
BSU_03620	OG0000008
STM4125	OG0000008
PA1826	OG0000008
XNR_RS19740	OG0000008
b0768	OG0000008
BSU_40670	OG0000008
PA2054	OG0000008
STM4270	OG0000008
BSU_29400	OG0000008
BSU_18760	OG0000008
b1595	OG0000008
XNR_RS00615	OG0000008
STM2575	OG0000008
PA0218	OG0000008
b0338	OG0000008
PA0491	OG0000008
b3961	OG0000008
b4706	OG0000008
BSU_03750	OG0000009
STM1096	OG0000009
PA1157	OG0000009
XNR_RS17290	OG0000009
STM4588	OG0000009
b4398	OG0000009
XNR_RS19795	OG0000009
PA1799	OG0000009
XNR_RS09735	OG0000009
XNR_RS07110	OG0000009
BSU_29110	OG0000009
STM1475	OG0000009
PA0463	OG0000009
STM3177	OG0000009
XNR_RS16470	OG0000009
b3912	OG0000009
XNR_RS05355	OG0000009
PA4776	OG0000009
Rv0981	OG0000009
XNR_RS12755	OG0000009
PA2479	OG0000009
b1608	OG0000009
PA2809	OG0000009
Rv0903c	OG0000009
STM0397	OG0000009
Rv0757	OG0000009
STM2785	OG0000009
Rv1033c	OG0000009
XNR_RS07545	OG0000009
Rv0491	OG0000009
Rv3246c	OG0000009
Rv0602c	OG0000009
PA1437	OG0000009
b1969	OG0000009
BSU_40410	OG0000009
PA4885	OG0000009
STM4059	OG0000009
BSU_02550	OG0000009
PA0756	OG0000009
b0571	OG0000009
PA5360	OG0000009
Rv3765c	OG0000009
b3025	OG0000009
b0399	OG0000009
XNR_RS09390	OG0000009
PA2798	OG0000009
BSU_13250	OG0000009
XNR_RS23460	OG0000009
PA2523	OG0000009
PA3204	OG0000009
BSU_23120	OG0000009
XNR_RS27765	OG0000010
Rv3274c	OG0000010
BSU_24150	OG0000010
XNR_RS01085	OG0000010
Rv1679	OG0000010
Rv0972c	OG0000010
BSU_37170	OG0000010
XNR_RS00740	OG0000010
BSU_18260	OG0000010
PA1535	OG0000010
XNR_RS11285	OG0000010
Rv0975c	OG0000010
b1695	OG0000010
XNR_RS26855	OG0000010
PA0879	OG0000010
XNR_RS01475	OG0000010
PA2889	OG0000010
PA2552	OG0000010
BSU_32820	OG0000010
Rv2789c	OG0000010
SACI_RS05355	OG0000010
XNR_RS02265	OG0000010
PA0746	OG0000010
PA4435	OG0000010
PA4979	OG0000010
Rv2724c	OG0000010
Rv0873	OG0000010
Rv0131c	OG0000010
XNR_RS09675	OG0000010
SACI_RS08180	OG0000010
STM0857	OG0000010
SACI_RS10800	OG0000010
XNR_RS02840	OG0000010
Rv0752c	OG0000010
PA1631	OG0000010
STM1356	OG0000010
Rv2500c	OG0000010
b0039	OG0000010
PA0447	OG0000010
XNR_RS20855	OG0000010
PA1187	OG0000010
Rv0400c	OG0000010
SACI_RS10720	OG0000010
SACI_RS04935	OG0000010
XNR_RS22655	OG0000010
XNR_RS20830	OG0000010
XNR_RS12850	OG0000010
PA2015	OG0000010
STM0073	OG0000010
BSU_23960	OG0000011
Rv0986	OG0000011
BSU_33270	OG0000011
XNR_RS25170	OG0000011
b0652	OG0000011
PA2857	OG0000011
BSU_29340	OG0000011
b1117	OG0000011
BSU_39480	OG0000011
BSU_30420	OG0000011
STM0828	OG0000011
XNR_RS07650	OG0000011
BSU_14360	OG0000011
STM1951	OG0000011
BSU_30380	OG0000011
XNR_RS09900	OG0000011
XNR_RS19965	OG0000011
PA0892	OG0000011
BSU_03730	OG0000011
STM0662	OG0000011
STM1218	OG0000011
BSU_03590	OG0000011
b0495	OG0000011
XNR_RS04955	OG0000011
PA5074	OG0000011
XNR_RS08600	OG0000011
PA5152	OG0000011
b1917	OG0000011
b3271	OG0000011
BSU_34700	OG0000011
PA2926	OG0000011
STM0891	OG0000011
STM2351	OG0000011
STM0507	OG0000011
b0864	OG0000011
XNR_RS05360	OG0000011
BSU_39640	OG0000011
b2306	OG0000011
PA4064	OG0000011
XNR_RS04845	OG0000011
PA2987	OG0000011
PA1339	OG0000011
b0809	OG0000011
BSU_27430	OG0000011
PA1256	OG0000011
PA4192	OG0000011
PA4594	OG0000011
XNR_RS02475	OG0000011
STM3627	OG0000012
XNR_RS08420	OG0000012
PA4505	OG0000012
XNR_RS05730	OG0000012
STM2219	OG0000012
XNR_RS04235	OG0000012
BSU_11370	OG0000012
BSU_12950	OG0000012
SACI_RS08435	OG0000012
BSU_11470	OG0000012
PA2061	OG0000012
Rv3663c	OG0000012
b3479	OG0000012
SACI_RS04945	OG0000012
XNR_RS05735	OG0000012
XNR_RS06685	OG0000012
BSU_11460	OG0000012
SACI_RS08440	OG0000012
XNR_RS08400	OG0000012
STM0848	OG0000012
XNR_RS05640	OG0000012
XNR_RS08395	OG0000012
BSU_11360	OG0000012
BSU_13000	OG0000012
b0829	OG0000012
XNR_RS05645	OG0000012
XNR_RS28755	OG0000012
XNR_RS28860	OG0000012
b1246	OG0000012
XNR_RS06690	OG0000012
Rv1281c	OG0000012
b1484	OG0000012
XNR_RS08425	OG0000012
b3541	OG0000012
STM1742	OG0000012
b1291	OG0000012
b1483	OG0000012
PA4506	OG0000012
STM1695	OG0000012
XNR_RS28750	OG0000012
STM3626	OG0000012
SACI_RS04940	OG0000012
STM1743	OG0000012
b1247	OG0000012
b3540	OG0000012
PA1807	OG0000012
b2180	OG0000012
Rv0971c	OG0000013
Rv1141c	OG0000013
BSU_30800	OG0000013
BSU_28540	OG0000013
XNR_RS00725	OG0000013
b1394	OG0000013
SACI_RS09975	OG0000013
SACI_RS11060	OG0000013
XNR_RS19935	OG0000013
Rv0548c	OG0000013
Rv2831	OG0000013
STM2307	OG0000013
Rv3550	OG0000013
STM0070	OG0000013
SACI_RS08475	OG0000013
Rv1070c	OG0000013
PA2013	OG0000013
PA4330	OG0000013
Rv3373	OG0000013
PA4980	OG0000013
XNR_RS06840	OG0000013
PA0745	OG0000013
SACI_RS07790	OG0000013
BSU_17160	OG0000013
Rv0905	OG0000013
b0036	OG0000013
b2262	OG0000013
PA2890	OG0000013
BSU_18220	OG0000013
XNR_RS10720	OG0000013
b1393	OG0000013
PA1021	OG0000013
BSU_09880	OG0000013
XNR_RS01390	OG0000013
XNR_RS11280	OG0000013
Rv3039c	OG0000013
PA1629	OG0000013
Rv0222	OG0000013
XNR_RS08230	OG0000013
SACI_RS11055	OG0000013
Rv3516	OG0000013
PA3591	OG0000013
Rv2486	OG0000013
Rv1472	OG0000013
Rv1142c	OG0000013
STM2920	OG0000014
BSU_21700	OG0000014
Rv0042c	OG0000014
SACI_RS06365	OG0000014
BSU_08410	OG0000014
BSU_13670	OG0000014
SACI_RS07970	OG0000014
BSU_08990	OG0000014
BSU_32870	OG0000014
BSU_37550	OG0000014
b1642	OG0000014
BSU_40710	OG0000014
SACI_RS10210	OG0000014
PA3341	OG0000014
XNR_RS10290	OG0000014
BSU_03080	OG0000014
XNR_RS01730	OG0000014
XNR_RS24550	OG0000014
PA4135	OG0000014
STM1100	OG0000014
XNR_RS00835	OG0000014
BSU_05670	OG0000014
PA5157	OG0000014
BSU_36440	OG0000014
SACI_RS09450	OG0000014
XNR_RS14645	OG0000014
BSU_28400	OG0000014
b1530	OG0000014
SACI_RS05655	OG0000014
PA1603	OG0000014
XNR_RS22300	OG0000014
PA0942	OG0000014
XNR_RS00460	OG0000014
XNR_RS13900	OG0000014
PA0253	OG0000014
b2684	OG0000014
BSU_04770	OG0000014
STM1444	OG0000014
BSU_07220	OG0000014
BSU_13340	OG0000014
XNR_RS03395	OG0000014
STM2813	OG0000014
STM1520	OG0000014
BSU_18250	OG0000015
PA3299	OG0000015
SACI_RS09500	OG0000015
b1805	OG0000015
PA3924	OG0000015
b1701	OG0000015
XNR_RS29190	OG0000015
SACI_RS05035	OG0000015
b0037	OG0000015
PA3300	OG0000015
Rv2505c	OG0000015
STM1818	OG0000015
BSU_10360	OG0000015
SACI_RS10755	OG0000015
STM1350	OG0000015
SACI_RS10390	OG0000015
SACI_RS05350	OG0000015
Rv3089	OG0000015
Rv3561	OG0000015
SACI_RS10670	OG0000015
PA4198	OG0000015
XNR_RS02535	OG0000015
XNR_RS25430	OG0000015
PA2557	OG0000015
XNR_RS03170	OG0000015
Rv1058	OG0000015
BSU_10270	OG0000015
BSU_30790	OG0000015
SACI_RS05170	OG0000015
XNR_RS14395	OG0000015
Rv0214	OG0000015
SACI_RS05370	OG0000015
STM0071	OG0000015
Rv0551c	OG0000015
BSU_04170	OG0000015
Rv0119	OG0000015
Rv0166	OG0000015
SACI_RS05295	OG0000015
SACI_RS10690	OG0000015
SACI_RS08510	OG0000015
BSU_28560	OG0000015
Rv3291c	OG0000016
XNR_RS27455	OG0000016
PA2246	OG0000016
STM0459	OG0000016
SACI_RS10330	OG0000016
STM0959	OG0000016
BSU_06540	OG0000016
PA2028	OG0000016
PA4508	OG0000016
PA2082	OG0000016
PA5308	OG0000016
BSU_05050	OG0000016
XNR_RS19070	OG0000016
BSU_04250	OG0000016
XNR_RS27475	OG0000016
Rv2779c	OG0000016
b0889	OG0000016
XNR_RS05890	OG0000016
PA4784	OG0000016
SACI_RS09865	OG0000016
BSU_05060	OG0000016
b0447	OG0000016
XNR_RS26865	OG0000016
SACI_RS04740	OG0000016
SACI_RS07575	OG0000016
STM1001	OG0000016
BSU_36110	OG0000016
BSU_26720	OG0000016
PA3965	OG0000016
XNR_RS26740	OG0000016
Rv2324	OG0000016
SACI_RS04175	OG0000016
b3743	OG0000016
XNR_RS15140	OG0000016
STM3876	OG0000016
PA2577	OG0000016
XNR_RS17685	OG0000016
SACI_RS03595	OG0000016
PA4021	OG0000017
PA1196	OG0000017
STM4174	OG0000017
PA1099	OG0000017
b2554	OG0000017
PA4726	OG0000017
STM0652	OG0000017
b1201	OG0000017
PA5125	OG0000017
b2869	OG0000017
STM2361	OG0000017
STM4005	OG0000017
PA1097	OG0000017
STM1691	OG0000017
PA5511	OG0000017
STM2396	OG0000017
b3868	OG0000017
STM2562	OG0000017
PA5483	OG0000017
b1303	OG0000017
BSU_08100	OG0000017
PA5166	OG0000017
PA2005	OG0000017
PA3932	OG0000017
PA2359	OG0000017
BSU_40350	OG0000017
PA1945	OG0000017
PA2354	OG0000017
PA4147	OG0000017
XNR_RS03490	OG0000017
BSU_24100	OG0000017
b2220	OG0000017
BSU_21780	OG0000017
PA1335	OG0000017
b4004	OG0000017
PA4547	OG0000017
PA1663	OG0000017
b3450	OG0000018
Rv2397c	OG0000018
b0855	OG0000018
PA3538	OG0000018
PA0326	OG0000018
STM3554	OG0000018
PA3187	OG0000018
PA2341	OG0000018
STM0428	OG0000018
XNR_RS05920	OG0000018
PA3607	OG0000018
b1126	OG0000018
PA3254	OG0000018
Rv2832c	OG0000018
STM1226	OG0000018
BSU_32550	OG0000018
STM4230	OG0000018
STM2441	OG0000018
PA0302	OG0000018
STM1635	OG0000018
XNR_RS12665	OG0000018
Rv2038c	OG0000018
b2422	OG0000018
BSU_38810	OG0000018
Rv1238	OG0000018
b4035	OG0000018
SACI_RS05555	OG0000018
PA0206	OG0000018
b1441	OG0000018
XNR_RS15355	OG0000018
b0262	OG0000018
PA5376	OG0000018
XNR_RS05840	OG0000018
STM0878	OG0000018
b0066	OG0000018
PA0280	OG0000018
PA0603	OG0000018
XNR_RS25135	OG0000019
XNR_RS14350	OG0000019
BSU_35210	OG0000019
SACI_RS07855	OG0000019
PA2055	OG0000019
BSU_08400	OG0000019
XNR_RS10655	OG0000019
XNR_RS15870	OG0000019
XNR_RS16860	OG0000019
PA1282	OG0000019
XNR_RS17075	OG0000019
XNR_RS20185	OG0000019
PA1316	OG0000019
XNR_RS03350	OG0000019
XNR_RS15445	OG0000019
SACI_RS07965	OG0000019
Rv2333c	OG0000019
Rv2459	OG0000019
STM1574	OG0000019
XNR_RS17090	OG0000019
XNR_RS29365	OG0000019
XNR_RS26175	OG0000019
SACI_RS10205	OG0000019
STM1843	OG0000019
XNR_RS22665	OG0000019
Rv2846c	OG0000019
PA3718	OG0000019
SACI_RS10075	OG0000019
XNR_RS26010	OG0000019
b1828	OG0000019
SACI_RS09455	OG0000019
PA1262	OG0000019
XNR_RS27705	OG0000019
BSU_36480	OG0000019
XNR_RS07500	OG0000019
BSU_37570	OG0000019
PA3787	OG0000020
PA5133	OG0000020
Rv0950c	OG0000020
PA5363	OG0000020
XNR_RS25100	OG0000020
Rv2450c	OG0000020
STM2925	OG0000020
XNR_RS03025	OG0000020
b3613	OG0000020
XNR_RS17280	OG0000020
PA4404	OG0000020
XNR_RS12935	OG0000020
XNR_RS09950	OG0000020
b2742	OG0000020
STM3038	OG0000020
Rv2389c	OG0000020
Rv3786c	OG0000020
BSU_36550	OG0000020
XNR_RS05080	OG0000020
XNR_RS09955	OG0000020
XNR_RS02110	OG0000020
XNR_RS19105	OG0000020
PA3623	OG0000020
XNR_RS27965	OG0000020
XNR_RS14545	OG0000020
PA4924	OG0000020
XNR_RS16810	OG0000020
XNR_RS11825	OG0000020
PA5551	OG0000020
STM3705	OG0000020
Rv1009	OG0000020
XNR_RS13960	OG0000020
Rv0867c	OG0000020
b2865	OG0000020
BSU_32340	OG0000020
Rv1884c	OG0000020
Rv2127	OG0000021
PA4981	OG0000021
b1453	OG0000021
PA3000	OG0000021
STM2357	OG0000021
STM1584	OG0000021
Rv0346c	OG0000021
BSU_05620	OG0000021
BSU_27090	OG0000021
STM0150	OG0000021
b4208	OG0000021
b0402	OG0000021
PA5097	OG0000021
b3795	OG0000021
