Orthogroup	Duplications (all)	Duplications (50% support)
OG0000174	8	7
OG0000175	3	3
OG0000176	6	4
OG0000177	6	5
OG0000178	6	6
OG0000179	3	3
OG0000180	6	3
OG0000181	6	4
OG0000182	5	5
OG0000183	2	2
OG0000184	6	6
OG0000185	4	2
OG0000186	3	2
OG0000187	7	6
OG0000188	8	8
OG0000189	10	10
OG0000190	6	2
OG0000191	12	12
OG0000192	10	10
OG0000193	10	9
OG0000194	3	2
OG0000195	3	3
OG0000196	7	7
OG0000197	5	5
OG0000198	3	3
OG0000199	5	4
OG0000200	4	4
OG0000201	5	4
OG0000202	4	4
OG0000203	7	7
OG0000204	3	2
OG0000205	4	4
OG0000206	2	2
OG0000207	8	8
OG0000208	4	2
OG0000209	2	1
OG0000210	3	3
OG0000211	3	2
OG0000212	2	2
OG0000213	2	2
OG0000214	3	1
OG0000215	3	2
OG0000216	3	3
OG0000217	6	4
OG0000218	4	4
OG0000219	4	3
OG0000220	4	3
OG0000221	2	0
OG0000222	6	6
OG0000223	11	11
OG0000224	8	8
OG0000225	7	7
OG0000226	11	11
OG0000227	10	10
OG0000228	9	9
OG0000229	3	2
OG0000230	3	3
OG0000231	4	4
OG0000232	3	2
OG0000233	10	10
OG0000234	4	4
OG0000235	5	4
OG0000236	7	7
OG0000237	4	4
OG0000238	5	5
OG0000239	4	2
OG0000240	9	9
OG0000241	3	1
OG0000242	5	4
OG0000243	3	3
OG0000244	2	1
OG0000245	4	2
OG0000246	3	2
OG0000247	4	4
OG0000248	3	2
OG0000249	4	2
OG0000250	3	2
OG0000251	4	4
OG0000252	4	2
OG0000253	4	3
OG0000254	3	2
OG0000255	2	2
OG0000256	2	1
OG0000257	3	3
OG0000258	2	2
OG0000259	5	5
OG0000260	2	2
OG0000261	1	1
OG0000262	2	0
OG0000263	3	1
OG0000264	2	2
OG0000265	3	2
OG0000266	2	1
OG0000267	3	3
OG0000268	2	2
OG0000269	3	3
OG0000270	5	4
OG0000271	2	1
OG0000272	8	8
OG0000273	3	2
OG0000274	4	4
OG0000275	1	1
OG0000276	4	2
OG0000277	3	2
OG0000278	4	1
OG0000279	4	4
OG0000280	3	2
OG0000281	6	6
OG0000282	4	2
OG0000283	3	3
OG0000284	3	2
OG0000285	5	5
OG0000286	7	7
OG0000287	10	10
OG0000288	9	9
OG0000289	9	9
OG0000290	9	9
OG0000291	1	1
OG0000292	1	1
OG0000293	2	1
OG0000294	3	3
OG0000295	4	2
OG0000296	3	1
OG0000297	2	1
OG0000298	3	2
OG0000299	1	1
OG0000300	3	3
OG0000301	3	2
OG0000302	3	2
OG0000303	2	2
OG0000304	2	2
OG0000305	4	3
OG0000306	5	4
OG0000307	2	2
OG0000308	6	6
OG0000309	3	2
OG0000310	4	4
OG0000311	3	2
OG0000312	4	2
OG0000313	3	1
OG0000314	4	4
OG0000315	6	4
OG0000316	5	4
OG0000317	6	6
OG0000318	3	3
OG0000319	4	3
OG0000320	2	1
OG0000321	3	1
OG0000322	2	1
OG0000323	4	2
OG0000324	3	3
OG0000325	3	3
OG0000326	2	1
OG0000327	4	4
OG0000328	3	1
OG0000329	3	3
OG0000330	3	3
OG0000331	3	3
OG0000332	2	2
OG0000333	2	2
OG0000334	2	0
OG0000335	2	2
OG0000336	4	4
OG0000337	4	3
OG0000338	4	1
OG0000339	4	3
OG0000340	2	2
OG0000341	2	1
OG0000342	2	1
OG0000343	4	4
OG0000344	4	2
OG0000345	2	1
OG0000346	3	2
OG0000347	2	1
OG0000348	4	3
OG0000349	2	1
OG0000350	3	3
OG0000351	7	7
OG0000352	4	4
OG0000353	5	1
OG0000354	2	1
OG0000355	5	5
OG0000356	4	4
OG0000357	4	3
OG0000358	4	4
OG0000359	6	6
OG0000360	6	6
OG0000361	9	9
OG0000362	7	7
OG0000363	7	6
OG0000364	8	8
OG0000365	9	9
OG0000366	2	2
OG0000367	4	1
OG0000368	1	1
OG0000369	2	2
OG0000370	2	2
OG0000371	3	2
OG0000372	2	1
OG0000373	1	0
OG0000374	5	5
OG0000375	1	0
OG0000376	4	4
OG0000377	2	2
OG0000378	2	2
OG0000379	2	2
OG0000380	2	2
OG0000381	4	2
OG0000382	2	2
OG0000383	2	2
OG0000384	3	1
OG0000385	3	2
OG0000386	3	2
OG0000387	1	1
OG0000388	1	0
OG0000389	3	2
OG0000390	2	2
OG0000391	1	1
OG0000392	1	0
OG0000393	2	2
OG0000394	3	3
OG0000395	3	3
OG0000396	1	0
OG0000397	2	2
OG0000398	3	1
OG0000399	5	5
OG0000400	2	1
OG0000401	2	2
OG0000402	5	5
OG0000403	3	2
OG0000404	2	2
OG0000405	1	0
OG0000406	3	3
OG0000407	2	1
OG0000408	2	2
OG0000409	1	1
OG0000410	2	2
OG0000411	1	1
OG0000412	1	1
OG0000413	2	1
OG0000414	2	2
OG0000415	1	1
OG0000416	1	0
OG0000417	2	2
OG0000418	1	1
OG0000419	2	2
OG0000420	2	2
OG0000421	1	1
OG0000422	3	2
OG0000423	3	0
OG0000424	5	5
OG0000425	1	1
OG0000426	2	2
OG0000427	5	5
OG0000428	3	3
OG0000429	1	0
OG0000430	1	1
OG0000431	2	2
OG0000432	2	2
OG0000433	1	0
OG0000434	1	1
OG0000435	2	1
OG0000436	4	4
OG0000437	1	1
OG0000438	5	5
OG0000439	2	2
OG0000440	3	0
OG0000441	3	3
OG0000442	3	3
OG0000443	3	3
OG0000444	2	2
OG0000445	1	1
OG0000446	2	2
OG0000447	5	5
OG0000448	3	3
OG0000449	3	3
OG0000450	4	4
OG0000451	2	2
OG0000452	6	6
OG0000453	4	4
OG0000454	4	3
OG0000455	4	1
OG0000456	3	3
OG0000457	3	2
OG0000458	1	1
OG0000459	2	1
OG0000460	4	4
OG0000461	2	1
OG0000462	5	5
OG0000463	7	7
OG0000464	4	4
OG0000465	4	2
OG0000466	4	3
OG0000467	3	2
OG0000468	6	6
OG0000469	8	8
OG0000470	8	8
OG0000471	8	8
OG0000472	2	2
OG0000473	1	0
OG0000474	1	1
OG0000475	1	1
OG0000476	6	6
OG0000477	1	1
OG0000478	1	0
OG0000479	1	1
OG0000480	1	1
OG0000481	2	2
OG0000482	1	1
OG0000483	2	1
OG0000484	2	1
OG0000485	3	3
OG0000486	1	1
OG0000487	7	7
OG0000488	1	1
OG0000489	3	2
OG0000490	1	0
OG0000491	1	1
OG0000492	2	2
OG0000493	1	1
OG0000494	2	0
OG0000495	2	2
OG0000496	2	0
OG0000497	1	0
OG0000498	1	1
OG0000499	3	3
OG0000500	2	1
OG0000501	2	1
OG0000502	1	1
OG0000503	2	2
OG0000504	2	2
OG0000505	1	0
OG0000506	2	1
OG0000507	1	1
OG0000508	1	1
OG0000509	2	2
OG0000510	1	1
OG0000511	2	1
OG0000512	3	2
OG0000513	2	1
OG0000514	2	1
OG0000515	2	2
OG0000516	1	1
OG0000517	1	1
OG0000518	2	2
OG0000519	1	1
OG0000520	2	1
OG0000521	1	1
OG0000522	4	4
OG0000523	2	2
OG0000524	2	2
OG0000525	1	1
OG0000526	4	4
OG0000527	3	3
OG0000528	1	0
OG0000529	1	1
OG0000530	1	0
OG0000531	1	1
OG0000532	1	1
OG0000533	2	1
OG0000534	1	0
OG0000535	2	2
OG0000536	2	2
OG0000537	1	1
OG0000538	1	1
OG0000539	3	3
OG0000540	1	1
OG0000541	1	0
OG0000542	1	0
OG0000543	1	1
OG0000544	1	1
OG0000545	1	1
OG0000546	2	2
OG0000547	2	2
OG0000548	3	3
OG0000549	1	1
OG0000550	4	3
OG0000551	2	1
OG0000552	1	1
OG0000553	3	3
OG0000554	1	1
OG0000555	3	3
OG0000556	1	1
OG0000557	1	1
OG0000558	1	0
OG0000559	1	1
OG0000560	1	1
OG0000561	1	1
OG0000562	1	1
OG0000563	4	3
OG0000564	1	1
OG0000565	1	1
OG0000566	1	1
OG0000567	1	1
OG0000568	1	0
OG0000569	2	1
OG0000570	1	0
OG0000571	1	1
OG0000572	6	6
OG0000573	2	2
OG0000574	1	1
OG0000575	1	1
OG0000576	2	1
OG0000577	1	1
OG0000578	1	1
OG0000579	2	2
OG0000580	2	2
OG0000581	7	7
OG0000582	4	4
OG0000583	4	4
OG0000584	4	2
OG0000585	2	2
OG0000586	6	6
OG0000587	6	6
OG0000588	4	4
OG0000589	2	2
OG0000590	4	4
OG0000591	3	3
OG0000592	3	3
OG0000593	1	0
OG0000594	4	4
OG0000595	1	1
OG0000596	3	3
OG0000597	3	3
OG0000598	2	2
OG0000599	1	1
OG0000600	2	2
OG0000601	4	4
OG0000602	6	6
OG0000603	3	1
OG0000604	7	7
OG0000605	4	4
OG0000606	5	5
OG0000607	4	4
OG0000608	1	0
OG0000609	4	4
OG0000610	4	4
OG0000611	4	2
OG0000612	7	7
OG0000613	4	1
OG0000614	7	7
OG0000615	7	7
OG0000616	7	7
OG0000617	7	7
OG0000618	7	7
OG0000619	7	7
OG0000620	0	0
OG0000621	0	0
OG0000622	0	0
OG0000623	0	0
OG0000624	0	0
OG0000625	1	1
OG0000626	0	0
OG0000627	1	1
OG0000628	0	0
OG0000629	0	0
OG0000630	0	0
OG0000631	0	0
OG0000632	0	0
OG0000633	0	0
OG0000634	0	0
OG0000635	0	0
OG0000636	0	0
OG0000637	0	0
OG0000638	0	0
OG0000639	0	0
OG0000640	0	0
OG0000641	0	0
OG0000642	0	0
OG0000643	0	0
OG0000644	0	0
OG0000645	0	0
OG0000646	0	0
OG0000647	0	0
OG0000648	0	0
OG0000649	0	0
OG0000650	0	0
OG0000651	0	0
OG0000652	1	1
OG0000653	0	0
OG0000654	3	3
OG0000655	2	2
OG0000656	1	1
OG0000657	1	0
OG0000658	1	0
OG0000659	0	0
OG0000660	1	1
OG0000661	2	2
OG0000662	2	2
OG0000663	1	1
OG0000664	2	2
OG0000665	3	3
OG0000666	1	0
OG0000667	2	2
OG0000668	1	1
OG0000669	3	3
OG0000670	4	4
OG0000671	4	4
OG0000672	4	4
OG0000673	2	1
OG0000674	6	6
OG0000675	2	2
OG0000676	5	5
OG0000677	1	0
OG0000678	0	0
OG0000679	2	2
OG0000680	0	0
OG0000681	0	0
OG0000682	0	0
OG0000683	0	0
OG0000684	0	0
OG0000685	0	0
OG0000686	2	2
OG0000687	1	1
OG0000688	1	1
OG0000689	2	2
OG0000690	2	1
OG0000691	0	0
OG0000692	1	1
OG0000693	2	2
OG0000694	1	1
OG0000695	0	0
OG0000696	0	0
OG0000697	1	1
OG0000698	3	3
OG0000699	1	1
OG0000700	0	0
OG0000701	0	0
OG0000702	1	1
OG0000703	3	3
OG0000704	1	1
OG0000705	1	1
OG0000706	0	0
OG0000707	2	1
OG0000708	1	1
OG0000709	2	2
OG0000710	2	2
OG0000711	1	1
OG0000712	1	1
OG0000713	1	0
OG0000714	1	1
OG0000715	0	0
OG0000716	3	3
OG0000717	0	0
OG0000718	0	0
OG0000719	0	0
OG0000720	0	0
OG0000721	1	1
OG0000722	0	0
OG0000723	0	0
OG0000724	0	0
OG0000725	0	0
OG0000726	0	0
OG0000727	2	2
OG0000728	2	2
OG0000729	3	3
OG0000730	0	0
OG0000731	0	0
OG0000732	0	0
OG0000733	1	1
OG0000734	0	0
OG0000735	0	0
OG0000736	0	0
OG0000737	0	0
OG0000738	0	0
OG0000739	1	1
OG0000740	1	0
OG0000741	2	2
OG0000742	0	0
OG0000743	1	1
OG0000744	0	0
OG0000745	2	2
OG0000746	0	0
OG0000747	0	0
OG0000748	0	0
OG0000749	0	0
OG0000750	0	0
OG0000751	1	1
OG0000752	0	0
OG0000753	0	0
OG0000754	1	1
OG0000755	3	3
OG0000756	0	0
OG0000757	2	2
OG0000758	0	0
OG0000759	1	1
OG0000760	1	1
OG0000761	1	1
OG0000762	1	1
OG0000763	0	0
OG0000764	2	2
OG0000765	1	0
OG0000766	1	1
OG0000767	1	1
OG0000768	3	3
OG0000769	1	1
OG0000770	0	0
OG0000771	0	0
OG0000772	0	0
OG0000773	0	0
OG0000774	0	0
OG0000775	0	0
OG0000776	0	0
OG0000777	0	0
OG0000778	1	1
OG0000779	0	0
OG0000780	0	0
OG0000781	0	0
OG0000782	0	0
OG0000783	3	3
OG0000784	0	0
OG0000785	0	0
OG0000786	0	0
OG0000787	3	3
OG0000788	2	2
OG0000789	1	0
OG0000790	0	0
OG0000791	1	0
OG0000792	0	0
OG0000793	1	1
OG0000794	1	0
OG0000795	1	0
OG0000796	1	1
OG0000797	1	1
OG0000798	2	2
OG0000799	0	0
OG0000800	1	1
OG0000801	1	1
OG0000802	0	0
OG0000803	0	0
OG0000804	0	0
OG0000805	0	0
OG0000806	1	1
OG0000807	0	0
OG0000808	0	0
OG0000809	1	1
OG0000810	0	0
OG0000811	0	0
OG0000812	0	0
OG0000813	0	0
OG0000814	0	0
OG0000815	1	0
OG0000816	1	1
OG0000817	2	2
OG0000818	0	0
OG0000819	0	0
OG0000820	6	6
OG0000821	0	0
OG0000822	1	1
OG0000823	6	6
OG0000824	2	2
OG0000825	2	2
OG0000826	3	3
OG0000827	3	3
OG0000828	4	4
OG0000829	3	1
OG0000830	1	1
OG0000831	1	1
OG0000832	3	3
OG0000833	2	2
OG0000834	4	4
OG0000835	2	2
OG0000836	2	2
OG0000837	3	1
OG0000838	3	3
OG0000839	3	3
OG0000840	2	1
OG0000841	3	3
OG0000842	4	4
OG0000843	2	2
OG0000844	1	1
OG0000845	3	3
OG0000846	3	3
OG0000847	1	1
OG0000848	1	1
OG0000849	2	2
OG0000850	3	3
OG0000851	1	1
OG0000852	1	1
OG0000853	1	1
OG0000854	1	1
OG0000855	2	2
OG0000856	1	1
OG0000857	1	1
OG0000858	2	1
OG0000859	2	0
OG0000860	2	0
OG0000861	3	3
OG0000862	2	2
OG0000863	3	3
OG0000864	1	1
OG0000865	2	2
OG0000866	2	2
OG0000867	3	3
OG0000868	4	4
OG0000869	4	4
OG0000870	6	6
OG0000871	3	3
OG0000872	5	5
OG0000873	3	2
OG0000874	6	6
OG0000875	3	3
OG0000876	3	3
OG0000877	6	6
OG0000878	2	2
OG0000879	4	4
OG0000880	3	2
OG0000881	6	6
OG0000882	6	6
OG0000883	6	6
OG0000884	6	6
OG0000885	6	6
OG0000886	6	6
OG0000887	0	0
OG0000888	0	0
OG0000889	0	0
OG0000890	0	0
OG0000891	0	0
OG0000892	0	0
OG0000893	5	5
OG0000894	0	0
OG0000895	0	0
OG0000896	0	0
OG0000897	0	0
OG0000898	0	0
OG0000899	0	0
OG0000900	0	0
OG0000901	0	0
OG0000902	2	2
OG0000903	0	0
OG0000904	0	0
OG0000905	0	0
OG0000906	0	0
OG0000907	0	0
OG0000908	0	0
OG0000909	1	1
OG0000910	0	0
OG0000911	0	0
OG0000912	0	0
OG0000913	0	0
OG0000914	0	0
OG0000915	0	0
OG0000916	0	0
OG0000917	0	0
OG0000918	0	0
OG0000919	0	0
OG0000920	0	0
OG0000921	0	0
OG0000922	0	0
OG0000923	0	0
OG0000924	0	0
OG0000925	0	0
OG0000926	0	0
OG0000927	0	0
OG0000928	2	2
OG0000929	2	2
OG0000930	1	1
OG0000931	1	1
OG0000932	2	2
OG0000933	2	2
OG0000934	5	5
OG0000935	1	1
OG0000936	2	2
OG0000937	0	0
OG0000938	0	0
OG0000939	2	0
OG0000940	1	1
OG0000941	1	1
OG0000942	1	1
OG0000943	3	3
OG0000944	0	0
OG0000945	0	0
OG0000946	0	0
OG0000947	2	0
OG0000948	0	0
OG0000949	0	0
OG0000950	0	0
OG0000951	0	0
OG0000952	2	2
OG0000953	2	2
OG0000954	2	2
OG0000955	1	0
OG0000956	0	0
OG0000957	0	0
OG0000958	4	4
OG0000959	2	2
OG0000960	0	0
OG0000961	2	1
OG0000962	0	0
OG0000963	1	0
OG0000964	2	2
OG0000965	1	1
OG0000966	2	2
OG0000967	2	2
OG0000968	0	0
OG0000969	1	1
OG0000970	2	2
OG0000971	1	1
OG0000972	0	0
OG0000973	0	0
OG0000974	2	2
OG0000975	0	0
OG0000976	0	0
OG0000977	0	0
OG0000978	1	1
OG0000979	1	1
OG0000980	1	1
OG0000981	0	0
OG0000982	1	1
OG0000983	1	0
OG0000984	1	1
OG0000985	2	2
OG0000986	2	2
OG0000987	0	0
OG0000988	0	0
OG0000989	0	0
OG0000990	1	1
OG0000991	0	0
OG0000992	0	0
OG0000993	0	0
OG0000994	0	0
OG0000995	0	0
OG0000996	0	0
OG0000997	0	0
OG0000998	0	0
OG0000999	0	0
OG0001000	1	0
OG0001001	2	2
OG0001002	0	0
OG0001003	0	0
OG0001004	0	0
OG0001005	0	0
OG0001006	0	0
OG0001007	0	0
OG0001008	0	0
OG0001009	0	0
OG0001010	0	0
OG0001011	0	0
OG0001012	0	0
OG0001013	0	0
OG0001014	1	0
OG0001015	1	1
OG0001016	0	0
OG0001017	0	0
OG0001018	0	0
OG0001019	0	0
OG0001020	0	0
OG0001021	0	0
OG0001022	0	0
OG0001023	0	0
OG0001024	0	0
OG0001025	0	0
OG0001026	0	0
OG0001027	3	3
OG0001028	0	0
OG0001029	0	0
OG0001030	1	0
OG0001031	0	0
OG0001032	2	2
OG0001033	2	2
OG0001034	2	2
OG0001035	0	0
OG0001036	0	0
OG0001037	1	1
OG0001038	0	0
OG0001039	1	1
OG0001040	1	0
OG0001041	0	0
OG0001042	0	0
OG0001043	0	0
OG0001044	0	0
OG0001045	2	2
OG0001046	0	0
OG0001047	0	0
OG0001048	3	3
OG0001049	0	0
OG0001050	1	1
OG0001051	0	0
OG0001052	1	1
OG0001053	0	0
OG0001054	0	0
OG0001055	0	0
OG0001056	0	0
OG0001057	3	3
OG0001058	0	0
OG0001059	0	0
OG0001060	0	0
OG0001061	0	0
OG0001062	0	0
OG0001063	0	0
OG0001064	0	0
OG0001065	0	0
OG0001066	0	0
OG0001067	0	0
OG0001068	0	0
OG0001069	0	0
OG0001070	0	0
OG0001071	2	2
OG0001072	1	0
OG0001073	2	2
OG0001074	2	2
OG0001075	2	2
OG0001076	0	0
OG0001077	0	0
OG0001078	0	0
OG0001079	0	0
OG0001080	0	0
OG0001081	0	0
OG0001082	1	1
OG0001083	0	0
OG0001084	0	0
OG0001085	0	0
OG0001086	0	0
OG0001087	0	0
OG0001088	0	0
OG0001089	0	0
OG0001090	0	0
OG0001091	0	0
OG0001092	0	0
OG0001093	0	0
OG0001094	0	0
OG0001095	0	0
OG0001096	0	0
OG0001097	0	0
OG0001098	0	0
OG0001099	0	0
OG0001100	0	0
OG0001101	1	1
OG0001102	0	0
OG0001103	0	0
OG0001104	1	1
OG0001105	0	0
OG0001106	0	0
OG0001107	0	0
OG0001108	0	0
OG0001109	0	0
OG0001110	0	0
OG0001111	0	0
OG0001112	0	0
OG0001113	1	1
OG0001114	0	0
OG0001115	1	1
OG0001116	0	0
OG0001117	0	0
OG0001118	2	1
OG0001119	1	1
OG0001120	0	0
OG0001121	1	1
OG0001122	0	0
OG0001123	0	0
OG0001124	0	0
OG0001125	0	0
OG0001126	1	1
OG0001127	0	0
OG0001128	0	0
OG0001129	0	0
OG0001130	0	0
OG0001131	4	4
OG0001132	0	0
OG0001133	2	2
OG0001134	0	0
OG0001135	0	0
OG0001136	0	0
OG0001137	0	0
OG0001138	0	0
OG0001139	0	0
OG0001140	0	0
OG0001141	0	0
OG0001142	0	0
OG0001143	0	0
OG0001144	0	0
OG0001145	1	1
OG0001146	1	1
OG0001147	0	0
OG0001148	0	0
OG0001149	2	2
OG0001150	4	4
OG0001151	0	0
OG0001152	0	0
OG0001153	0	0
OG0001154	0	0
OG0001155	0	0
OG0001156	0	0
OG0001157	0	0
OG0001158	0	0
OG0001159	0	0
OG0001160	1	1
OG0001161	2	2
OG0001162	1	1
OG0001163	1	1
OG0001164	1	1
OG0001165	0	0
OG0001166	0	0
OG0001167	0	0
OG0001168	1	1
OG0001169	0	0
OG0001170	0	0
OG0001171	0	0
OG0001172	2	2
OG0001173	0	0
OG0001174	2	2
OG0001175	2	2
OG0001176	1	1
OG0001177	1	1
OG0001178	1	1
OG0001179	4	4
OG0001180	2	2
OG0001181	1	1
OG0001182	5	5
OG0001183	5	5
OG0001184	1	1
OG0001185	1	1
OG0001186	1	1
OG0001187	1	1
OG0001188	3	3
OG0001189	1	1
OG0001190	1	1
OG0001191	1	1
OG0001192	1	1
OG0001193	1	1
OG0001194	2	2
OG0001195	1	1
OG0001196	1	1
OG0001197	2	2
OG0001198	0	0
OG0001199	0	0
OG0001200	2	2
OG0001201	2	2
OG0001202	4	4
OG0001203	0	0
OG0001204	1	1
OG0001205	1	1
OG0001206	2	2
OG0001207	2	2
OG0001208	3	3
OG0001209	1	1
OG0001210	1	1
OG0001211	1	1
OG0001212	1	1
OG0001213	3	3
OG0001214	2	2
OG0001215	4	4
OG0001216	2	1
OG0001217	1	0
OG0001218	3	3
OG0001219	2	2
OG0001220	1	0
OG0001221	4	4
OG0001222	1	1
OG0001223	2	2
OG0001224	1	1
OG0001225	1	0
OG0001226	1	1
OG0001227	1	0
OG0001228	1	1
OG0001229	1	1
OG0001230	1	1
OG0001231	2	2
OG0001232	1	1
OG0001233	2	2
OG0001234	2	2
OG0001235	1	1
OG0001236	0	0
OG0001237	3	3
OG0001238	5	5
OG0001239	3	3
OG0001240	5	5
OG0001241	5	5
OG0001242	4	4
OG0001243	4	4
OG0001244	5	5
OG0001245	5	5
OG0001246	3	3
OG0001247	4	4
OG0001248	3	3
OG0001249	3	3
OG0001250	3	3
OG0001251	5	5
OG0001252	2	2
OG0001253	5	5
OG0001254	5	5
OG0001255	2	2
OG0001256	4	4
OG0001257	5	5
OG0001258	3	3
OG0001259	5	5
OG0001260	5	5
OG0001261	5	5
OG0001262	5	5
OG0001263	5	5
OG0001264	5	5
OG0001265	5	5
OG0001266	5	5
OG0001267	5	5
OG0001268	5	5
OG0001269	5	5
OG0001270	0	0
OG0001271	1	1
OG0001272	0	0
OG0001273	1	1
OG0001274	2	2
OG0001275	2	2
OG0001276	1	0
OG0001277	1	1
OG0001278	2	2
OG0001279	1	1
OG0001280	3	3
OG0001281	3	3
OG0001282	1	1
OG0001283	1	1
OG0001284	3	3
OG0001285	2	2
OG0001286	4	4
OG0001287	4	4
OG0001288	1	1
OG0001289	3	3
OG0001290	0	0
OG0001291	0	0
OG0001292	1	1
OG0001293	2	2
OG0001294	1	1
OG0001295	2	2
OG0001296	2	2
OG0001297	0	0
OG0001298	0	0
OG0001299	0	0
OG0001300	0	0
OG0001301	4	4
OG0001302	1	1
OG0001303	3	3
OG0001304	2	2
OG0001305	1	1
OG0001306	0	0
OG0001307	0	0
OG0001308	0	0
OG0001309	0	0
OG0001310	1	1
OG0001311	2	2
OG0001312	1	1
OG0001313	1	1
OG0001314	0	0
OG0001315	0	0
OG0001316	0	0
OG0001317	2	2
OG0001318	0	0
OG0001319	1	1
OG0001320	0	0
OG0001321	0	0
OG0001322	3	3
OG0001323	0	0
OG0001324	0	0
OG0001325	0	0
OG0001326	2	2
OG0001327	0	0
OG0001328	0	0
OG0001329	1	1
OG0001330	1	1
OG0001331	1	1
OG0001332	4	4
OG0001333	1	1
OG0001334	2	2
OG0001335	0	0
OG0001336	3	3
OG0001337	1	1
OG0001338	0	0
OG0001339	1	1
OG0001340	0	0
OG0001341	1	1
OG0001342	1	1
OG0001343	2	2
OG0001344	0	0
OG0001345	0	0
OG0001346	0	0
OG0001347	0	0
OG0001348	0	0
OG0001349	1	1
OG0001350	1	1
OG0001351	0	0
OG0001352	0	0
OG0001353	1	1
OG0001354	0	0
OG0001355	0	0
OG0001356	0	0
OG0001357	0	0
OG0001358	0	0
OG0001359	1	1
OG0001360	0	0
OG0001361	0	0
OG0001362	0	0
OG0001363	1	1
OG0001364	2	2
OG0001365	0	0
OG0001366	0	0
OG0001367	0	0
OG0001368	0	0
OG0001369	0	0
OG0001370	0	0
OG0001371	1	1
OG0001372	0	0
OG0001373	1	1
OG0001374	0	0
OG0001375	1	1
OG0001376	1	1
OG0001377	0	0
OG0001378	1	1
OG0001379	1	1
OG0001380	0	0
OG0001381	0	0
OG0001382	1	1
OG0001383	0	0
OG0001384	1	1
OG0001385	1	1
OG0001386	0	0
OG0001387	1	1
OG0001388	2	2
OG0001389	2	2
OG0001390	0	0
OG0001391	1	1
OG0001392	0	0
OG0001393	0	0
OG0001394	1	1
