Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed		
159-Xylose	50284930	25611208	17417444	2409093	0	0	0	0	53721	0	0	0	0	3144729	1598879	49856	50.93217391	50284930	47875837	95.21	2409093	4.79	159-Xylose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50284930	0	20-150	66	11.55461636	139.7389065	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	50547065	24482792	50547065	7582059750	12251950	7075626736	6.679359313	0.0183	0.3071	0.6746		
160-Xylose	38849851	18384045	14682628	1720215	0	0	0	0	39799	0	0	0	0	2795956	1194289	32919	47.32076064	38849851	37129636	95.57	1720215	4.43	160-Xylose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38849851	0	20-150	65	11.65601224	137.0831427	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	39063430	20849130	39063430	5859514500	10222813	5364426605	8.449298914	0.0209	0.2862	0.6929		
161-ISP21	28175472	12760502	10910717	2304939	0	0	0	0	17676	0	0	0	0	1508325	655370	17943	45.28939923	28175472	25870533	91.82	2304939	8.18	161-ISP21_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28175472	0	20-150	65	17.27204166	137.4178993	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	28340999	15140920	28340999	4251149850	9064071	3901954071	8.214148908	0.0151	0.2685	0.7164		
162-ISP21	39619014	16938719	16071352	3225535	0	0	0	0	29533	0	0	0	0	2496563	834804	22508	42.75401452	39619014	36393479	91.86	3225535	8.14	162-ISP21_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39619014	0	20-150	65	13.75686156	138.3124745	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	39787144	20483320	39787144	5968071600	13585329	5512279705	7.637172031	0.0156	0.2651	0.7192		
165-ISP22	17994250	8412712	6958000	1149426	0	0	0	0	12626	0	0	0	0	1004820	444035	12631	46.75222363	17994250	16844824	93.61	1149426	6.39	165-ISP22_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17994250	0	20-150	66	16.52442393	136.1367749	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	18097087	9941084	18097087	2714563050	6048212	2467958375	9.084507173	0.0178	0.2896	0.6926		
167-ISP22	21181825	9152791	9198809	1389261	0	0	0	0	17601	0	0	0	0	1002438	408730	12195	43.21058738	21181825	19792564	93.44	1389261	6.56	167-ISP22_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21181825	0	20-150	65	15.75494348	136.0274183	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	21336205	11752193	21336205	3200430750	6485942	2908099957	9.134107745	0.0136	0.2577	0.7287		
170-ISP23	19399428	8095716	8221586	1736591	0	0	0	0	18286	0	0	0	0	966955	349158	11136	41.73172529	19399428	17662837	91.05	1736591	8.95	170-ISP23_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19399428	0	20-150	64	18.03920491	136.8573143	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	19509911	10393830	19509911	2926486650	5956954	2675516304	8.575824052	0.0136	0.2524	0.734		
171-ISP23	20573503	7649401	8463368	3382741	0	0	0	0	19331	0	0	0	0	759107	292127	7428	37.18083887	20573503	17190762	83.56	3382741	16.44	171-ISP23_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20573503	0	20-150	61	23.39912775	131.2001678	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	20758524	13402405	20758524	3113778600	7726942	2729597383	12.3381032	0.0118	0.2428	0.7454		
173-MSG1	20338615	10312027	7132623	986640	0	0	0	0	16319	0	0	0	0	1346015	529969	15022	50.70171691	20338615	19351975	95.15	986640	4.85	173-MSG1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20338615	0	20-150	66	15.68332066	136.9776758	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	20435406	10947806	20435406	3065310900	5477411	2804001213	8.524736822	0.0155	0.3206	0.6639		
174-MSG1	24144055	11888839	9428601	1202235	0	0	0	0	20809	0	0	0	0	1053700	532747	17124	49.24126871	24144055	22941820	95.02	1202235	4.98	174-MSG1_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24144055	0	20-150	66	14.870075	135.8013364	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	24303701	13255547	24303701	3645555150	7741973	3306397724	9.303313543	0.0124	0.3055	0.682		
179-MSG2	29987672	16289402	9854891	1517126	0	0	0	0	28109	0	0	0	0	1430931	837121	30092	54.3203287	29987672	28470546	94.94	1517126	5.06	179-MSG2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29987672	0	20-150	66	13.80914202	137.9150158	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	30137282	15270069	30137282	4520592300	7809366	4164147661	7.884910103	0.0158	0.3454	0.6388		
180-MSG2	35539162	17785032	13000257	1679660	0	0	0	0	31825	0	0	0	0	2051268	955756	35364	50.04347598	35539162	33859502	95.27	1679660	4.73	180-MSG2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35539162	0	20-150	66	12.35557673	139.4133218	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	35665452	17387189	35665452	5349817800	8767841	4980606673	6.901377595	0.0157	0.321	0.6633		
182-MSG3	22954883	11177378	8865572	959371	0	0	0	0	24698	0	0	0	0	1288675	617738	21451	48.6928119	22954883	21995512	95.82	959371	4.18	182-MSG3_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22954883	0	20-150	65	13.53862132	139.6379675	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	23070004	11087907	23070004	3460500600	5186763	3227344119	6.737651801	0.0147	0.3082	0.6771		
184-MSG3	21490160	9951472	8510385	1012338	0	0	0	0	18082	0	0	0	0	1449757	534051	14075	46.30710986	21490160	20477822	95.29	1012338	4.71	184-MSG3_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21490160	0	20-150	65	14.89021062	136.5427211	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	21650993	11708261	21650993	3247648950	6095015	2961724588	8.804041521	0.0167	0.2932	0.69		
187-MSG42C	18406569	204	523	18405725	0	0	0	0	17	0	0	0	0	93	7	0	0.0011083	18406569	844	0	18405725	100	187-MSG42C_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18406569	0	20-150	49	8.834035556	136.1272846	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	18558236	11517498	18558236	2783735400	3457758	2533341388	8.99489269	0.0344	0.1878	0.7778		
188-MSG42C	19355213	130	180	19354833	0	0	0	0	11	0	0	0	0	54	5	0	0.000671654	19355213	380	0	19354833	100	188-MSG42C_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19355213	0	20-150	49	9.716514192	138.3573704	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	19476599	11362831	19476599	2921489850	3386129	2702128114	7.508557184	0.0579	0.2763	0.6658		
194-ISP242C	17020648	2050	6484	17011480	0	0	0	0	22	0	0	0	0	491	121	0	0.012044195	17020648	9168	0.05	17011480	99.95	194-ISP242C_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17020648	0	20-150	48	14.1939263	138.9246008	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	17146425	9864118	17146425	2571963750	3604397	2388874445	7.118658068	0.0139	0.1335	0.8526		
196-ISP242C	16714256	3777	16124	16692785	0	0	0	0	29	0	0	0	0	1321	219	1	0.022597476	16714256	21471	0.13	16692785	99.87	196-ISP242C_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16714256	0	20-150	47	15.67612134	136.5755556	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	16891493	10346746	16891493	2533723950	6334461	2313870453	8.677089586	0.0139	0.1155	0.8705		
198-ISP2pH5	37444779	49274	134467	37242328	0	0	0	0	191	0	0	0	0	15168	3309	42	0.131591109	37444779	202451	0.54	37242328	99.46	198-ISP2pH5_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37444779	0	20-150	47	12.08335132	138.2660895	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	2.6	37640415	22055113	37640415	5646062250	9510604	5217595520	7.588770917	0.0155	0.1409	0.8437		
200-ISP2pH5	26857220	75628	229879	26526480	0	0	0	0	277	0	0	0	0	20082	4810	64	0.281592808	26857220	330740	1.23	26526480	98.77	200-ISP2pH5_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26857220	0	20-150	47	13.12406147	139.228401	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	2.6	26952216	15392953	26952216	4042832400	6692090	3762521052	6.933538675	0.0134	0.1319	0.8547		
201-MSGpH8	20609379	110128	637250	19829231	0	0	0	0	1039	0	0	0	0	24831	6739	161	0.534358653	20609379	780148	3.79	19829231	96.21	201-MSGpH8_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20609379	0	20-150	54	12.41126879	137.4577835	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	20697862	11615569	20697862	3104679300	3942763	2851740287	8.147025459	0.0061	0.087	0.9068		
202-MSGpH8	17643243	193980	799346	16594797	0	0	0	0	889	0	0	0	0	43095	10925	211	1.099457736	17643243	1048446	5.94	16594797	94.06	202-MSGpH8_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17643243	0	20-150	55	15.47788214	138.5472581	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	17738727	9653173	17738727	2660809050	3330274	2463519513	7.414644692	0.0075	0.1068	0.8858		
205-Tween20	21154372	8406706	10593433	1044422	0	0	0	0	32932	0	0	0	0	703713	357637	15529	39.73980414	21154372	20109950	95.06	1044422	4.94	205-Tween20_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21154372	0	20-150	64	14.10759641	137.8029889	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	21422746	10962379	21422746	3213411900	4493012	2958907299	7.920074019	0.0076	0.235	0.7574		
207-Tween20	22367663	9520094	10580024	982611	0	0	0	0	41226	0	0	0	0	817282	408623	17803	42.56186263	22367663	21385052	95.61	982611	4.39	207-Tween20_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22367663	0	20-150	64	13.17719008	136.8446539	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	22569266	11831051	22569266	3385389900	4045309	3095202951	8.571743804	0.0084	0.2521	0.7395		
210-Lthreonine	24865304	6295602	15738201	1278217	0	0	0	0	21447	0	0	0	0	1185324	335944	10569	25.31882176	24865304	23587087	94.86	1278217	5.14	210-Lthreonine_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24865304	0	20-150	63	10.57964769	137.5466116	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	25001441	13073450	25001441	3750216150	4858615	3446174189	8.107318321	0.0082	0.1484	0.8434		
211-Lthreonine	24644879	10312667	11232272	1081416	0	0	0	0	41456	0	0	0	0	1380531	575454	21083	41.84507053	24644879	23563463	95.61	1081416	4.39	211-Lthreonine_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24644879	0	20-150	64	13.26001244	138.0402635	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	24833973	12757689	24833973	3725095950	5722366	3434603710	7.798248526	0.0129	0.2305	0.7567		
231-ISP2pH6	19565436	43362	58945	19451532	0	0	0	0	108	0	0	0	0	9185	2247	57	0.221625524	19565436	113904	0.58	19451532	99.42	231-ISP2pH6_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19565436	0	20-150	43	17.91402046	137.470366	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	19667618	12146569	19667618	2950142700	4040899	2711398451	8.092633926	0.0218	0.2302	0.748		
232-ISP2pH6	44285807	41417	71671	44162374	0	0	0	0	127	0	0	0	0	8079	2078	61	0.093522062	44285807	123433	0.28	44162374	99.72	232-ISP2pH6_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44285807	0	20-150	44	13.22343531	139.9297475	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	44492982	25526875	44492982	6673947300	9215043	6243815479	6.44493883	0.0145	0.2029	0.7826		
234-ISP25	22957707	174463	132774	22607225	0	0	0	0	432	0	0	0	0	33005	9580	228	0.759932166	22957707	350482	1.53	22607225	98.47	234-ISP25_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22957707	0	20-150	47	16.3191624	139.3381965	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	23052940	13066429	23052940	3457941000	8182690	3220314337	6.871912014	0.0258	0.3034	0.6708		
236-ISP25	21878471	99458	109499	21636113	0	0	0	0	270	0	0	0	0	27478	5562	91	0.454593011	21878471	242358	1.11	21636113	98.89	236-ISP25_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21878471	0	20-150	47	18.72965435	137.817992	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	2.6	22001368	13042524	22001368	3300205200	7446905	3040224172	7.877723119	0.0283	0.2602	0.7115		
239-ISP27	28026353	83480	66457	27842966	0	0	0	0	215	0	0	0	0	26655	6493	87	0.297862515	28026353	183387	0.65	27842966	99.35	239-ISP27_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28026353	0	20-150	47	12.81292595	137.3687543	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	28185834	16853787	28185834	4227875100	6745035	3882106784	8.178300158	0.0484	0.2847	0.667		
240-ISP27	37991105	66126	53626	37844260	0	0	0	0	176	0	0	0	0	21842	4983	92	0.174056532	37991105	146845	0.39	37844260	99.61	240-ISP27_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37991105	0	20-150	47	12.24188256	139.0047657	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	38162908	21830896	38162908	5724436200	10134224	5317139190	7.115058947	0.0479	0.2861	0.666		
241-Tween80	26661538	13874464	9749378	1175234	0	0	0	0	19106	0	0	0	0	1182536	641312	19508	52.03924845	26661538	25486304	95.59	1175234	4.41	241-Tween80_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26661538	0	20-150	65	12.34626697	138.5269891	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	26779005	13566219	26779005	4016850750	5981505	3716762875	7.470725045	0.0139	0.2937	0.6924		
242-Tween80	32959059	17282304	11904404	1471816	0	0	0	0	26413	0	0	0	0	1429228	818805	26089	52.43567178	32959059	31487243	95.53	1471816	4.47	242-Tween80_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32959059	0	20-150	65	11.33138249	138.4452753	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	33115185	16905632	33115185	4967277750	8436244	4592896323	7.536953757	0.0138	0.3086	0.6775		
253-Fructose	19727581	8939984	8475063	1040429	0	0	0	0	22216	0	0	0	0	774633	459853	15403	45.31718308	19727581	18687152	94.73	1040429	5.27	253-Fructose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19727581	0	20-150	64	14.13843876	137.7691558	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	19842019	10533785	19842019	2976302850	3933670	2739070397	7.970709466	0.011	0.2831	0.7058		
255-Fructose	17954430	8037280	7606551	1045364	0	0	0	0	16280	0	0	0	0	805342	430220	13393	44.76488532	17954430	16909066	94.18	1045364	5.82	255-Fructose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17954430	0	20-150	65	15.21063823	138.3240293	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	18052609	9366209	18052609	2707891350	3884247	2502040055	7.601903784	0.0127	0.2809	0.7064		
282-Sucrose	17268690	7351774	6991944	1133400	0	0	0	0	15382	0	0	0	0	1307773	455193	13224	42.57285295	17268690	16135290	93.44	1133400	6.56	282-Sucrose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17268690	0	20-150	65	15.9287146	138.3132833	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	17353056	8828123	17353056	2602958400	4215308	2404744102	7.614962191	0.0175	0.2578	0.7247		
283-Sucrose	18761313	8712289	6328097	2061616	0	0	0	0	26850	0	0	0	0	1123979	489624	18858	46.43752279	18761313	16699697	89.01	2061616	10.99	283-Sucrose_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18761313	0	20-150	64	18.1000499	139.3929206	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	18855348	9294014	18855348	2828302200	4211457	2633295547	6.894830864	0.0158	0.2901	0.6941		
289-Starch	18381664	9877737	5236139	1103022	0	0	0	0	15269	0	0	0	0	1502659	631013	15825	53.73690325	18381664	17278642	94	1103022	6	289-Starch_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18381664	0	20-150	66	17.46292584	136.546408	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	18479128	9908294	18479128	2771869200	5709124	2527447682	8.817931164	0.0193	0.3375	0.6431		
29-Asparagine	39809404	15593283	12906233	8474468	0	0	0	0	98615	0	0	0	0	1921037	781762	34006	39.16984791	39809404	31334936	78.71	8474468	21.29	29-Asparagine_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39809404	0	20-150	63	24.66826933	134.57262	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	40293268	22134749	40293268	6043990200	9958547	5434320472	10.08720577	0.0187	0.2954	0.6858		
290-Starch	21346524	11819415	5976489	1269647	0	0	0	0	17808	0	0	0	0	1513812	731507	17846	55.3692723	21346524	20076877	94.05	1269647	5.95	290-Starch_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21346524	0	20-150	66	16.84144808	135.1733167	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	21480350	12032444	21480350	3222052500	6823082	2908641856	9.727049575	0.018	0.3477	0.6343		
295-ISP220C	17290000	1804794	3758975	11421631	0	0	0	0	5066	0	0	0	0	211433	85165	2936	10.438369	17290000	5868369	33.94	11421631	66.06	295-ISP220C_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17290000	0	20-150	53	17.71711623	137.2152447	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	17392419	10014098	17392419	2608862850	3910518	2392561642	8.291014915	0.011	0.1707	0.8183		
296-ISP220C	20603736	900124	653992	18912803	0	0	0	0	2390	0	0	0	0	90555	42386	1486	4.368741669	20603736	1690933	8.21	18912803	91.79	296-ISP220C_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20603736	0	20-150	41	16.56451154	138.1796164	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	2.6	20732878	12724619	20732878	3109931700	4239966	2874008173	7.586132101	0.0127	0.2863	0.701		
298-MSG20C	16277836	6447675	7147637	1401553	0	0	0	0	11093	0	0	0	0	899843	361450	8585	39.61014843	16277836	14876283	91.39	1401553	8.61	298-MSG20C_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16277836	0	20-150	64	18.78857292	138.0620285	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	16363842	8619627	16363842	2454576300	4471796	2263594457	7.780643975	0.0156	0.2587	0.7257		
299-MSG20C	20659908	8773244	8680473	1613718	0	0	0	0	22951	0	0	0	0	1067705	486658	15159	42.46506809	20659908	19046190	92.19	1613718	7.81	299-MSG20C_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20659908	0	20-150	64	16.07293019	139.1074966	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	20746254	10242313	20746254	3111938100	4846983	2891242646	7.091897297	0.0154	0.272	0.7126		
30-Asparagine	21863758	7111150	9650526	3438966	0	0	0	0	32457	0	0	0	0	1283534	336154	10971	32.52482945	21863758	18424792	84.27	3438966	15.73	30-Asparagine_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21863758	0	20-150	62	23.05992284	136.2485241	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	21984840	11758971	21984840	3297726000	3933005	3002263818	8.959573415	0.0215	0.2279	0.7506		
301-MSG5	30318888	15248014	8036269	4522639	0	0	0	0	23981	0	0	0	0	1607451	857665	22869	50.29212813	30318888	25796249	85.08	4522639	14.92	301-MSG5_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30318888	0	20-150	64	15.01740944	138.4714768	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	30472514	15800840	30472514	4570877100	7258818	4227112245	7.520763466	0.0146	0.3562	0.6291		
303-MSG5	19575033	6365145	3759262	8077234	0	0	0	0	17123	0	0	0	0	1021722	324463	10084	32.51665016	19575033	11497799	58.74	8077234	41.26	303-MSG5_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19575033	0	20-150	59	20.11654776	138.084072	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	2.6	19683467	10624522	19683467	2952520050	4534299	2723305185	7.763363538	0.0166	0.336	0.6474		
