locus_tag,GOs
XNR_RS00560,GO:0005215
XNR_RS00560,GO:0005388
XNR_RS00560,GO:0005575
XNR_RS00560,GO:0005618
XNR_RS00560,GO:0005622
XNR_RS00560,GO:0005623
XNR_RS00560,GO:0005737
XNR_RS00560,GO:0005829
XNR_RS00560,GO:0005886
XNR_RS00560,GO:0005887
XNR_RS00560,GO:0006810
XNR_RS00560,GO:0006811
XNR_RS00560,GO:0006812
XNR_RS00560,GO:0006816
XNR_RS00560,GO:0008150
XNR_RS00560,GO:0008324
XNR_RS00560,GO:0015075
XNR_RS00560,GO:0015085
XNR_RS00560,GO:0015318
XNR_RS00560,GO:0015399
XNR_RS00560,GO:0015405
XNR_RS00560,GO:0015662
XNR_RS00560,GO:0016020
XNR_RS00560,GO:0016021
XNR_RS00560,GO:0016462
XNR_RS00560,GO:0016787
XNR_RS00560,GO:0016817
XNR_RS00560,GO:0016818
XNR_RS00560,GO:0016887
XNR_RS00560,GO:0017111
XNR_RS00560,GO:0019829
XNR_RS00560,GO:0022804
XNR_RS00560,GO:0022853
XNR_RS00560,GO:0022857
XNR_RS00560,GO:0022890
XNR_RS00560,GO:0030001
XNR_RS00560,GO:0030312
XNR_RS00560,GO:0031224
XNR_RS00560,GO:0031226
XNR_RS00560,GO:0034220
XNR_RS00560,GO:0042623
XNR_RS00560,GO:0042625
XNR_RS00560,GO:0042626
XNR_RS00560,GO:0043226
XNR_RS00560,GO:0043227
XNR_RS00560,GO:0043229
XNR_RS00560,GO:0043231
XNR_RS00560,GO:0043492
XNR_RS00560,GO:0044424
XNR_RS00560,GO:0044425
XNR_RS00560,GO:0044444
XNR_RS00560,GO:0044459
XNR_RS00560,GO:0044464
XNR_RS00560,GO:0046873
XNR_RS00560,GO:0051179
XNR_RS00560,GO:0051234
XNR_RS00560,GO:0055085
XNR_RS00560,GO:0070588
XNR_RS00560,GO:0070838
XNR_RS00560,GO:0071944
XNR_RS00560,GO:0072511
XNR_RS00560,GO:0090662
XNR_RS00560,GO:0098655
XNR_RS00560,GO:0098660
XNR_RS00560,GO:0098662
XNR_RS00560,GO:0099131
XNR_RS00560,GO:0099132
XNR_RS00565,-
XNR_RS00570,-
XNR_RS00575,-
XNR_RS00580,-
XNR_RS00585,GO:0003674
XNR_RS00585,GO:0003824
XNR_RS00585,GO:0005575
XNR_RS00585,GO:0005622
XNR_RS00585,GO:0005623
XNR_RS00585,GO:0005737
XNR_RS00585,GO:0005829
XNR_RS00585,GO:0006139
XNR_RS00585,GO:0006163
XNR_RS00585,GO:0006725
XNR_RS00585,GO:0006732
XNR_RS00585,GO:0006753
XNR_RS00585,GO:0006777
XNR_RS00585,GO:0006793
XNR_RS00585,GO:0006796
XNR_RS00585,GO:0006807
XNR_RS00585,GO:0008150
XNR_RS00585,GO:0008152
XNR_RS00585,GO:0009058
XNR_RS00585,GO:0009108
XNR_RS00585,GO:0009116
XNR_RS00585,GO:0009117
XNR_RS00585,GO:0009119
XNR_RS00585,GO:0009141
XNR_RS00585,GO:0009144
XNR_RS00585,GO:0009150
XNR_RS00585,GO:0009199
XNR_RS00585,GO:0009205
XNR_RS00585,GO:0009259
XNR_RS00585,GO:0009987
XNR_RS00585,GO:0016740
XNR_RS00585,GO:0016782
XNR_RS00585,GO:0016783
XNR_RS00585,GO:0018130
XNR_RS00585,GO:0019538
XNR_RS00585,GO:0019637
XNR_RS00585,GO:0019693
XNR_RS00585,GO:0019720
XNR_RS00585,GO:0030366
XNR_RS00585,GO:0032324
XNR_RS00585,GO:0034641
XNR_RS00585,GO:0042278
XNR_RS00585,GO:0043170
XNR_RS00585,GO:0043545
XNR_RS00585,GO:0044237
XNR_RS00585,GO:0044238
XNR_RS00585,GO:0044249
XNR_RS00585,GO:0044260
XNR_RS00585,GO:0044267
XNR_RS00585,GO:0044281
XNR_RS00585,GO:0044424
XNR_RS00585,GO:0044444
XNR_RS00585,GO:0044464
XNR_RS00585,GO:0046039
XNR_RS00585,GO:0046128
XNR_RS00585,GO:0046483
XNR_RS00585,GO:0051186
XNR_RS00585,GO:0051188
XNR_RS00585,GO:0051189
XNR_RS00585,GO:0055086
XNR_RS00585,GO:0071704
XNR_RS00585,GO:0072521
XNR_RS00585,GO:0090407
XNR_RS00585,GO:1901068
XNR_RS00585,GO:1901135
XNR_RS00585,GO:1901360
XNR_RS00585,GO:1901362
XNR_RS00585,GO:1901564
XNR_RS00585,GO:1901566
XNR_RS00585,GO:1901576
XNR_RS00585,GO:1901657
XNR_RS00590,-
XNR_RS00595,-
XNR_RS00600,-
XNR_RS00605,-
XNR_RS00610,-
XNR_RS00615,-
XNR_RS00620,-
XNR_RS00625,-
XNR_RS00630,-
XNR_RS00635,-
XNR_RS00640,-
XNR_RS00645,-
XNR_RS00650,-
XNR_RS00655,-
XNR_RS00660,-
XNR_RS00665,-
XNR_RS00670,-
XNR_RS00675,-
XNR_RS00680,-
XNR_RS00685,-
XNR_RS00690,-
XNR_RS00695,-
XNR_RS00700,-
XNR_RS00705,GO:0001666
XNR_RS00705,GO:0006082
XNR_RS00705,GO:0006355
XNR_RS00705,GO:0006629
XNR_RS00705,GO:0006631
XNR_RS00705,GO:0006950
XNR_RS00705,GO:0008150
XNR_RS00705,GO:0008152
XNR_RS00705,GO:0009605
XNR_RS00705,GO:0009607
XNR_RS00705,GO:0009628
XNR_RS00705,GO:0009889
XNR_RS00705,GO:0009987
XNR_RS00705,GO:0010468
XNR_RS00705,GO:0010556
XNR_RS00705,GO:0016999
XNR_RS00705,GO:0017144
XNR_RS00705,GO:0019219
XNR_RS00705,GO:0019222
XNR_RS00705,GO:0019541
XNR_RS00705,GO:0019679
XNR_RS00705,GO:0019752
XNR_RS00705,GO:0031323
XNR_RS00705,GO:0031326
XNR_RS00705,GO:0032787
XNR_RS00705,GO:0036293
XNR_RS00705,GO:0043207
XNR_RS00705,GO:0043436
XNR_RS00705,GO:0044237
XNR_RS00705,GO:0044238
XNR_RS00705,GO:0044255
XNR_RS00705,GO:0044281
XNR_RS00705,GO:0044403
XNR_RS00705,GO:0044419
XNR_RS00705,GO:0046459
XNR_RS00705,GO:0050789
XNR_RS00705,GO:0050794
XNR_RS00705,GO:0050896
XNR_RS00705,GO:0051171
XNR_RS00705,GO:0051252
XNR_RS00705,GO:0051701
XNR_RS00705,GO:0051704
XNR_RS00705,GO:0051707
XNR_RS00705,GO:0052173
XNR_RS00705,GO:0052200
XNR_RS00705,GO:0052564
XNR_RS00705,GO:0052572
XNR_RS00705,GO:0060255
XNR_RS00705,GO:0065007
XNR_RS00705,GO:0070482
XNR_RS00705,GO:0071704
XNR_RS00705,GO:0075136
XNR_RS00705,GO:0080090
XNR_RS00705,GO:1903506
XNR_RS00705,GO:2000112
XNR_RS00705,GO:2001141
XNR_RS00710,GO:0003674
XNR_RS00710,GO:0003824
XNR_RS00710,GO:0005575
XNR_RS00710,GO:0005618
XNR_RS00710,GO:0005622
XNR_RS00710,GO:0005623
XNR_RS00710,GO:0005737
XNR_RS00710,GO:0005829
XNR_RS00710,GO:0006082
XNR_RS00710,GO:0006629
XNR_RS00710,GO:0006631
XNR_RS00710,GO:0008150
XNR_RS00710,GO:0008152
XNR_RS00710,GO:0009056
XNR_RS00710,GO:0009062
XNR_RS00710,GO:0009268
XNR_RS00710,GO:0009628
XNR_RS00710,GO:0009987
XNR_RS00710,GO:0010447
XNR_RS00710,GO:0016042
XNR_RS00710,GO:0016054
XNR_RS00710,GO:0016829
XNR_RS00710,GO:0016835
XNR_RS00710,GO:0016836
XNR_RS00710,GO:0016999
XNR_RS00710,GO:0017001
XNR_RS00710,GO:0017144
XNR_RS00710,GO:0019541
XNR_RS00710,GO:0019543
XNR_RS00710,GO:0019626
XNR_RS00710,GO:0019629
XNR_RS00710,GO:0019679
XNR_RS00710,GO:0019752
XNR_RS00710,GO:0030312
XNR_RS00710,GO:0032787
XNR_RS00710,GO:0042737
XNR_RS00710,GO:0043436
XNR_RS00710,GO:0044237
XNR_RS00710,GO:0044238
XNR_RS00710,GO:0044242
XNR_RS00710,GO:0044248
XNR_RS00710,GO:0044255
XNR_RS00710,GO:0044281
XNR_RS00710,GO:0044282
XNR_RS00710,GO:0044424
XNR_RS00710,GO:0044444
XNR_RS00710,GO:0044464
XNR_RS00710,GO:0046395
XNR_RS00710,GO:0046459
XNR_RS00710,GO:0047547
XNR_RS00710,GO:0050896
XNR_RS00710,GO:0071704
XNR_RS00710,GO:0071944
XNR_RS00710,GO:0072329
XNR_RS00710,GO:1901575
XNR_RS00715,-
XNR_RS00720,-
XNR_RS00725,GO:0003674
XNR_RS00725,GO:0003824
XNR_RS00725,GO:0004300
XNR_RS00725,GO:0005575
XNR_RS00725,GO:0005618
XNR_RS00725,GO:0005623
XNR_RS00725,GO:0005886
XNR_RS00725,GO:0006082
XNR_RS00725,GO:0006629
XNR_RS00725,GO:0006631
XNR_RS00725,GO:0006635
XNR_RS00725,GO:0008150
XNR_RS00725,GO:0008152
XNR_RS00725,GO:0009056
XNR_RS00725,GO:0009062
XNR_RS00725,GO:0009987
XNR_RS00725,GO:0016020
XNR_RS00725,GO:0016042
XNR_RS00725,GO:0016054
XNR_RS00725,GO:0016829
XNR_RS00725,GO:0016835
XNR_RS00725,GO:0016836
XNR_RS00725,GO:0019395
XNR_RS00725,GO:0019752
XNR_RS00725,GO:0030258
XNR_RS00725,GO:0030312
XNR_RS00725,GO:0032787
XNR_RS00725,GO:0034440
XNR_RS00725,GO:0043436
XNR_RS00725,GO:0044237
XNR_RS00725,GO:0044238
XNR_RS00725,GO:0044242
XNR_RS00725,GO:0044248
XNR_RS00725,GO:0044255
XNR_RS00725,GO:0044281
XNR_RS00725,GO:0044282
XNR_RS00725,GO:0044464
XNR_RS00725,GO:0046395
XNR_RS00725,GO:0055114
XNR_RS00725,GO:0071704
XNR_RS00725,GO:0071944
XNR_RS00725,GO:0072329
XNR_RS00725,GO:1901575
XNR_RS00730,-
XNR_RS00735,-
XNR_RS00740,-
XNR_RS00745,GO:0000166
XNR_RS00745,GO:0003674
XNR_RS00745,GO:0003824
XNR_RS00745,GO:0004029
XNR_RS00745,GO:0004030
XNR_RS00745,GO:0005488
XNR_RS00745,GO:0005575
XNR_RS00745,GO:0005622
XNR_RS00745,GO:0005623
XNR_RS00745,GO:0005737
XNR_RS00745,GO:0005739
XNR_RS00745,GO:0005759
XNR_RS00745,GO:0005975
XNR_RS00745,GO:0006066
XNR_RS00745,GO:0006067
XNR_RS00745,GO:0006069
XNR_RS00745,GO:0006091
XNR_RS00745,GO:0008150
XNR_RS00745,GO:0008152
XNR_RS00745,GO:0009055
XNR_RS00745,GO:0009987
XNR_RS00745,GO:0016491
XNR_RS00745,GO:0016620
XNR_RS00745,GO:0016903
XNR_RS00745,GO:0016999
XNR_RS00745,GO:0017144
XNR_RS00745,GO:0022900
XNR_RS00745,GO:0031974
XNR_RS00745,GO:0034308
XNR_RS00745,GO:0036094
XNR_RS00745,GO:0043226
XNR_RS00745,GO:0043227
XNR_RS00745,GO:0043229
XNR_RS00745,GO:0043231
XNR_RS00745,GO:0043233
XNR_RS00745,GO:0044237
XNR_RS00745,GO:0044238
XNR_RS00745,GO:0044281
XNR_RS00745,GO:0044422
XNR_RS00745,GO:0044424
XNR_RS00745,GO:0044429
XNR_RS00745,GO:0044444
XNR_RS00745,GO:0044446
XNR_RS00745,GO:0044464
XNR_RS00745,GO:0048037
XNR_RS00745,GO:0050662
XNR_RS00745,GO:0051287
XNR_RS00745,GO:0055114
XNR_RS00745,GO:0070013
XNR_RS00745,GO:0071704
XNR_RS00745,GO:0097159
XNR_RS00745,GO:1901265
XNR_RS00745,GO:1901363
XNR_RS00745,GO:1901615
XNR_RS00750,-
XNR_RS00755,-
XNR_RS00760,-
XNR_RS00765,-
XNR_RS00770,-
XNR_RS00775,-
XNR_RS00780,-
XNR_RS00785,-
XNR_RS00790,-
XNR_RS00795,GO:0005575
XNR_RS00795,GO:0005618
XNR_RS00795,GO:0005623
XNR_RS00795,GO:0030312
XNR_RS00795,GO:0044464
XNR_RS00795,GO:0071944
XNR_RS00800,-
XNR_RS00805,-
XNR_RS00810,-
XNR_RS00815,-
XNR_RS00820,-
XNR_RS00825,-
XNR_RS00830,-
XNR_RS00835,-
XNR_RS00840,-
XNR_RS00845,-
XNR_RS00850,-
XNR_RS00855,-
XNR_RS00860,-
XNR_RS00865,-
XNR_RS00870,-
XNR_RS00875,-
XNR_RS00880,-
XNR_RS00885,-
XNR_RS00890,-
XNR_RS00895,-
XNR_RS00900,-
XNR_RS00905,-
XNR_RS00910,-
XNR_RS00915,-
XNR_RS00920,-
XNR_RS00925,-
XNR_RS00930,-
XNR_RS00935,-
XNR_RS00940,-
XNR_RS00950,GO:0003674
XNR_RS00950,GO:0003824
XNR_RS00950,GO:0005575
XNR_RS00950,GO:0005622
XNR_RS00950,GO:0005623
XNR_RS00950,GO:0005737
XNR_RS00950,GO:0005975
XNR_RS00950,GO:0005996
XNR_RS00950,GO:0008150
XNR_RS00950,GO:0008152
XNR_RS00950,GO:0009045
XNR_RS00950,GO:0009056
XNR_RS00950,GO:0016052
XNR_RS00950,GO:0016853
XNR_RS00950,GO:0016860
XNR_RS00950,GO:0016861
XNR_RS00950,GO:0019321
XNR_RS00950,GO:0019323
XNR_RS00950,GO:0042732
XNR_RS00950,GO:0042843
XNR_RS00950,GO:0044238
XNR_RS00950,GO:0044281
XNR_RS00950,GO:0044282
XNR_RS00950,GO:0044424
XNR_RS00950,GO:0044464
XNR_RS00950,GO:0046365
XNR_RS00950,GO:0071704
XNR_RS00950,GO:1901575
XNR_RS00955,-
XNR_RS00960,-
XNR_RS00965,-
XNR_RS00970,-
XNR_RS00975,-
XNR_RS00980,-
XNR_RS00985,-
XNR_RS00990,-
XNR_RS00995,-
XNR_RS01000,-
XNR_RS01005,-
XNR_RS01010,-
XNR_RS01015,-
XNR_RS01020,-
XNR_RS01025,-
XNR_RS01035,-
XNR_RS01040,-
XNR_RS01045,GO:0003674
XNR_RS01045,GO:0005215
XNR_RS01045,GO:0005575
XNR_RS01045,GO:0005623
XNR_RS01045,GO:0005886
XNR_RS01045,GO:0005887
XNR_RS01045,GO:0006810
XNR_RS01045,GO:0008150
XNR_RS01045,GO:0016020
XNR_RS01045,GO:0016021
XNR_RS01045,GO:0022857
XNR_RS01045,GO:0031224
XNR_RS01045,GO:0031226
XNR_RS01045,GO:0044425
XNR_RS01045,GO:0044459
XNR_RS01045,GO:0044464
XNR_RS01045,GO:0051179
XNR_RS01045,GO:0051234
XNR_RS01045,GO:0055085
XNR_RS01045,GO:0071944
XNR_RS01050,-
XNR_RS01055,-
XNR_RS01060,-
XNR_RS01065,-
XNR_RS01070,-
XNR_RS01075,-
XNR_RS01080,-
XNR_RS01085,-
XNR_RS01090,-
XNR_RS01095,-
XNR_RS01100,-
XNR_RS01105,-
XNR_RS01110,-
XNR_RS01115,-
XNR_RS01120,-
XNR_RS01125,-
XNR_RS01130,-
XNR_RS01135,-
XNR_RS01140,-
XNR_RS01145,-
XNR_RS01150,-
XNR_RS01155,-
XNR_RS01160,-
XNR_RS01165,-
XNR_RS01170,-
XNR_RS01175,-
XNR_RS01180,-
XNR_RS01200,-
XNR_RS01205,-
XNR_RS01210,-
XNR_RS01215,-
XNR_RS01220,-
XNR_RS01225,-
XNR_RS01230,-
XNR_RS01235,-
XNR_RS01240,-
XNR_RS01245,-
XNR_RS01250,-
XNR_RS01255,-
XNR_RS01260,-
XNR_RS31020,-
XNR_RS01270,-
XNR_RS01275,-
XNR_RS01280,-
XNR_RS29515,-
XNR_RS01290,-
XNR_RS01295,-
XNR_RS01300,-
XNR_RS01305,-
XNR_RS01310,-
XNR_RS01315,-
XNR_RS01320,-
XNR_RS01325,GO:0003674
XNR_RS01325,GO:0003824
XNR_RS01325,GO:0004337
XNR_RS01325,GO:0004659
XNR_RS01325,GO:0006629
XNR_RS01325,GO:0006720
XNR_RS01325,GO:0006721
XNR_RS01325,GO:0008150
XNR_RS01325,GO:0008152
XNR_RS01325,GO:0008299
XNR_RS01325,GO:0008610
XNR_RS01325,GO:0009058
XNR_RS01325,GO:0009987
XNR_RS01325,GO:0016108
XNR_RS01325,GO:0016109
XNR_RS01325,GO:0016114
XNR_RS01325,GO:0016116
XNR_RS01325,GO:0016117
XNR_RS01325,GO:0016740
XNR_RS01325,GO:0016765
XNR_RS01325,GO:0016767
XNR_RS01325,GO:0042440
XNR_RS01325,GO:0044237
XNR_RS01325,GO:0044238
XNR_RS01325,GO:0044249
XNR_RS01325,GO:0044255
XNR_RS01325,GO:0046148
XNR_RS01325,GO:0071704
XNR_RS01325,GO:1901576
XNR_RS01330,-
XNR_RS01335,-
XNR_RS01340,-
XNR_RS01345,-
XNR_RS01350,-
XNR_RS01355,-
XNR_RS01360,-
XNR_RS01365,-
XNR_RS01370,-
XNR_RS01375,GO:0003674
XNR_RS01375,GO:0003824
XNR_RS01375,GO:0004452
XNR_RS01375,GO:0005575
XNR_RS01375,GO:0005622
XNR_RS01375,GO:0005623
XNR_RS01375,GO:0005737
XNR_RS01375,GO:0006629
XNR_RS01375,GO:0006644
XNR_RS01375,GO:0006720
XNR_RS01375,GO:0006793
XNR_RS01375,GO:0006796
XNR_RS01375,GO:0008150
XNR_RS01375,GO:0008152
XNR_RS01375,GO:0008299
XNR_RS01375,GO:0008610
XNR_RS01375,GO:0008654
XNR_RS01375,GO:0009058
XNR_RS01375,GO:0009240
XNR_RS01375,GO:0009987
XNR_RS01375,GO:0016853
XNR_RS01375,GO:0016860
XNR_RS01375,GO:0016863
XNR_RS01375,GO:0019637
XNR_RS01375,GO:0044237
XNR_RS01375,GO:0044238
XNR_RS01375,GO:0044249
XNR_RS01375,GO:0044255
XNR_RS01375,GO:0044424
XNR_RS01375,GO:0044464
XNR_RS01375,GO:0046490
XNR_RS01375,GO:0071704
XNR_RS01375,GO:0090407
XNR_RS01375,GO:1901576
XNR_RS01380,-
XNR_RS01385,-
XNR_RS01390,-
XNR_RS01395,-
XNR_RS01400,-
XNR_RS01405,-
XNR_RS01410,-
XNR_RS01415,-
XNR_RS01420,-
XNR_RS01425,-
XNR_RS01430,-
XNR_RS01435,-
XNR_RS01440,-
XNR_RS01445,-
XNR_RS01450,-
XNR_RS01455,-
XNR_RS01460,-
XNR_RS01465,-
XNR_RS01470,-
XNR_RS01475,-
XNR_RS01480,-
XNR_RS01485,-
XNR_RS01490,-
XNR_RS01495,-
XNR_RS01500,GO:0003674
XNR_RS01500,GO:0003824
XNR_RS01500,GO:0005575
XNR_RS01500,GO:0005623
XNR_RS01500,GO:0005886
XNR_RS01500,GO:0006082
XNR_RS01500,GO:0006091
XNR_RS01500,GO:0006099
XNR_RS01500,GO:0006101
XNR_RS01500,GO:0008150
XNR_RS01500,GO:0008152
XNR_RS01500,GO:0009013
XNR_RS01500,GO:0009060
XNR_RS01500,GO:0009987
XNR_RS01500,GO:0015980
XNR_RS01500,GO:0016020
XNR_RS01500,GO:0016491
XNR_RS01500,GO:0016620
XNR_RS01500,GO:0016903
XNR_RS01500,GO:0016999
XNR_RS01500,GO:0017144
XNR_RS01500,GO:0019752
XNR_RS01500,GO:0043436
XNR_RS01500,GO:0044237
XNR_RS01500,GO:0044238
XNR_RS01500,GO:0044281
XNR_RS01500,GO:0044464
XNR_RS01500,GO:0045333
XNR_RS01500,GO:0055114
XNR_RS01500,GO:0071704
XNR_RS01500,GO:0071944
XNR_RS01500,GO:0072350
XNR_RS01505,-
XNR_RS01510,-
XNR_RS01515,-
XNR_RS01520,-
XNR_RS01530,-
XNR_RS01535,-
XNR_RS01540,-
XNR_RS01545,-
XNR_RS01550,-
XNR_RS01555,-
XNR_RS01560,-
XNR_RS01565,-
XNR_RS01570,-
XNR_RS01575,-
XNR_RS01580,-
XNR_RS01585,-
XNR_RS01590,-
XNR_RS31505,-
XNR_RS01595,-
XNR_RS01600,-
XNR_RS01605,-
XNR_RS01610,GO:0003674
XNR_RS01610,GO:0003824
XNR_RS01610,GO:0005215
XNR_RS01610,GO:0005575
XNR_RS01610,GO:0006810
XNR_RS01610,GO:0006811
XNR_RS01610,GO:0006812
XNR_RS01610,GO:0006813
XNR_RS01610,GO:0008150
XNR_RS01610,GO:0008324
XNR_RS01610,GO:0008556
XNR_RS01610,GO:0009987
XNR_RS01610,GO:0015075
XNR_RS01610,GO:0015077
XNR_RS01610,GO:0015079
XNR_RS01610,GO:0015318
XNR_RS01610,GO:0015399
XNR_RS01610,GO:0015405
XNR_RS01610,GO:0015662
XNR_RS01610,GO:0015672
XNR_RS01610,GO:0016020
XNR_RS01610,GO:0016021
XNR_RS01610,GO:0016462
XNR_RS01610,GO:0016787
XNR_RS01610,GO:0016817
XNR_RS01610,GO:0016818
XNR_RS01610,GO:0016887
XNR_RS01610,GO:0017111
XNR_RS01610,GO:0019829
XNR_RS01610,GO:0022804
XNR_RS01610,GO:0022853
XNR_RS01610,GO:0022857
XNR_RS01610,GO:0022890
XNR_RS01610,GO:0030001
XNR_RS01610,GO:0031224
XNR_RS01610,GO:0034220
XNR_RS01610,GO:0042623
XNR_RS01610,GO:0042625
XNR_RS01610,GO:0042626
XNR_RS01610,GO:0043492
XNR_RS01610,GO:0044425
XNR_RS01610,GO:0046873
XNR_RS01610,GO:0051179
XNR_RS01610,GO:0051234
XNR_RS01610,GO:0055085
XNR_RS01610,GO:0071804
XNR_RS01610,GO:0071805
XNR_RS01610,GO:0090662
XNR_RS01610,GO:0098655
XNR_RS01610,GO:0098660
XNR_RS01610,GO:0098662
XNR_RS01610,GO:0099131
XNR_RS01610,GO:0099132
XNR_RS01615,-
XNR_RS01620,-
XNR_RS01630,-
XNR_RS01635,-
XNR_RS30720,-
XNR_RS01640,-
XNR_RS01645,-
XNR_RS01650,-
XNR_RS01655,-
XNR_RS01660,-
XNR_RS01665,-
XNR_RS01670,-
XNR_RS01675,-
XNR_RS01680,-
XNR_RS01685,-
XNR_RS01690,-
XNR_RS01695,-
XNR_RS01700,-
XNR_RS01705,-
XNR_RS01710,-
XNR_RS01715,-
XNR_RS01720,-
XNR_RS01725,-
XNR_RS01730,-
XNR_RS01735,-
XNR_RS01740,-
XNR_RS01745,-
XNR_RS01750,-
