gene_id,BGC,Imodulon
XNR_RS01020,2.0,Phospholipid Biosynthesis
XNR_RS01020,2.0,Nuo Complex
XNR_RS01025,2.0,Unknown-9
XNR_RS01035,2.0,
XNR_RS01040,2.0,Unknown-2
XNR_RS01040,2.0,Unknown-17
XNR_RS01045,2.0,Unknown-17
XNR_RS01050,2.0,Unknown-11
XNR_RS01050,2.0,Unknown-17
XNR_RS01055,2.0,Unknown-16
XNR_RS01060,2.0,Unknown-17
XNR_RS01065,2.0,
XNR_RS01255,3.0,
XNR_RS01260,3.0,Unknown-15
XNR_RS01260,3.0,Nuo Complex
XNR_RS01260,3.0,Unknown-17
XNR_RS31020,3.0,Nuo Complex
XNR_RS01270,3.0,
XNR_RS01275,3.0,
XNR_RS01280,3.0,
XNR_RS29515,3.0,Nybomycin batch effect?
XNR_RS29515,3.0,Histidine
XNR_RS29515,3.0,Unknown-9
XNR_RS29515,3.0,Nuo Complex
XNR_RS29515,3.0,Unknown-17
XNR_RS01290,3.0,Unknown-2
XNR_RS01290,3.0,Histidine
XNR_RS01295,3.0,
XNR_RS01300,3.0,
XNR_RS01305,3.0,Unknown-15
XNR_RS01305,3.0,Unknown-17
XNR_RS01310,3.0,SGR PTM-related
XNR_RS01315,3.0,
XNR_RS01320,3.0,
XNR_RS01325,3.0,
XNR_RS01330,3.0,Nybomycin batch effect?
XNR_RS01335,3.0,
XNR_RS01340,3.0,Unknown-16
XNR_RS01345,3.0,
XNR_RS01350,3.0,
XNR_RS01355,3.0,
XNR_RS01360,3.0,Transcription
XNR_RS01365,3.0,
XNR_RS01370,3.0,
XNR_RS01375,3.0,
XNR_RS01695,4.0,Unknown-16
XNR_RS01700,4.0,
XNR_RS01705,4.0,Unknown-10
XNR_RS01710,4.0,Unknown-15
XNR_RS01710,4.0,Unknown-16
XNR_RS01715,4.0,
XNR_RS01720,4.0,
XNR_RS02805,5.0,Gas Vesicle Formation
XNR_RS02810,5.0,Unknown-2
XNR_RS02810,5.0,Gas Vesicle Formation
XNR_RS02810,5.0,Unknown-17
XNR_RS02815,5.0,
XNR_RS02820,5.0,Paulomycin
XNR_RS02825,5.0,Paulomycin
XNR_RS02830,5.0,Paulomycin
XNR_RS02835,5.0,Paulomycin
XNR_RS30670,5.0,Paulomycin
XNR_RS30670,5.0,Unknown-2
XNR_RS02840,5.0,Paulomycin
XNR_RS02845,5.0,Paulomycin
XNR_RS02850,5.0,Paulomycin
XNR_RS02855,5.0,Paulomycin
XNR_RS02860,5.0,Paulomycin
XNR_RS02860,5.0,Unknown-2
XNR_RS02860,5.0,Unknown-17
XNR_RS02865,5.0,Paulomycin
XNR_RS02865,5.0,SAL-2242 Related
XNR_RS02870,5.0,Paulomycin
XNR_RS02870,5.0,SAL-2242 Related
XNR_RS02875,5.0,BGC-General
XNR_RS02880,5.0,
XNR_RS02885,5.0,Paulomycin
XNR_RS02885,5.0,BGC-General
XNR_RS02890,5.0,Paulomycin
XNR_RS02890,5.0,BGC-General
XNR_RS02895,5.0,Paulomycin
XNR_RS02895,5.0,BGC-General
XNR_RS02900,5.0,Paulomycin
XNR_RS02905,5.0,Paulomycin
XNR_RS02905,5.0,BGC-General
XNR_RS02910,5.0,Paulomycin
XNR_RS02915,5.0,Paulomycin
XNR_RS02920,5.0,Paulomycin
XNR_RS02925,5.0,Paulomycin
XNR_RS02930,5.0,Paulomycin
XNR_RS02935,5.0,Paulomycin
XNR_RS02935,5.0,Unknown-17
XNR_RS02940,5.0,Paulomycin
XNR_RS02945,5.0,Paulomycin
XNR_RS02950,5.0,Paulomycin
XNR_RS02955,5.0,Paulomycin
XNR_RS02960,5.0,Paulomycin
XNR_RS02965,5.0,Paulomycin
XNR_RS02970,5.0,Paulomycin
XNR_RS02970,5.0,Unknown-16
XNR_RS04785,6.0,Urea Transport and Metabolism
XNR_RS04785,6.0,Unknown-15
XNR_RS04790,6.0,Urea Transport and Metabolism
XNR_RS04790,6.0,Unknown-9
XNR_RS04795,6.0,Nybomycin batch effect?
XNR_RS04795,6.0,Xylose Metabolism
XNR_RS04800,6.0,Xylose Metabolism
XNR_RS04805,6.0,Xylose Metabolism
XNR_RS04805,6.0,Unknown-14
XNR_RS04805,6.0,Unknown-16
XNR_RS04810,6.0,Xylose Metabolism
XNR_RS04815,6.0,Nybomycin batch effect?
XNR_RS04815,6.0,Xylose Metabolism
XNR_RS04820,6.0,Cyclofaulknamycin
XNR_RS04820,6.0,Cyclofaulknamycin-2
XNR_RS04820,6.0,"Del14, Unknown-5"
XNR_RS04820,6.0,BGC-General
XNR_RS04820,6.0,SGR PTM-related
XNR_RS04825,6.0,Cyclofaulknamycin
XNR_RS04825,6.0,Cyclofaulknamycin-2
XNR_RS04825,6.0,BGC-General
XNR_RS04825,6.0,SGR PTM-related
XNR_RS04830,6.0,Cyclofaulknamycin
XNR_RS04830,6.0,Cyclofaulknamycin-2
XNR_RS04830,6.0,BGC-General
XNR_RS04835,6.0,
XNR_RS04840,6.0,
XNR_RS04845,6.0,Cyclofaulknamycin
XNR_RS04845,6.0,Cyclofaulknamycin-2
XNR_RS04845,6.0,BGC-General
XNR_RS04850,6.0,Cyclofaulknamycin
XNR_RS04855,6.0,
XNR_RS04860,6.0,
XNR_RS04865,6.0,Cyclofaulknamycin-2
XNR_RS04865,6.0,BGC-General
XNR_RS04870,6.0,Cyclofaulknamycin-2
XNR_RS04875,6.0,Cyclofaulknamycin-2
XNR_RS04875,6.0,BGC-General
XNR_RS04880,6.0,Cyclofaulknamycin-2
XNR_RS04885,6.0,Cyclofaulknamycin-2
XNR_RS04890,6.0,Cyclofaulknamycin-2
XNR_RS04895,6.0,Cyclofaulknamycin-2
XNR_RS04900,6.0,BGC-General
XNR_RS04905,6.0,BGC-General
XNR_RS04910,6.0,Cyclofaulknamycin
XNR_RS04910,6.0,BGC-General
XNR_RS04910,6.0,SGR PTM-related
XNR_RS04915,6.0,
XNR_RS04920,6.0,
XNR_RS04925,6.0,
XNR_RS04930,6.0,
XNR_RS04935,6.0,Unknown-16
XNR_RS04940,6.0,Unknown-16
XNR_RS04945,6.0,
XNR_RS04950,6.0,
XNR_RS04955,6.0,
XNR_RS04960,6.0,Nybomycin batch effect?
XNR_RS04965,6.0,Unknown-12
XNR_RS04965,6.0,Unknown-14
XNR_RS04965,6.0,Unknown-17
XNR_RS05250,7.0,
XNR_RS05255,7.0,
XNR_RS05260,7.0,
XNR_RS05265,7.0,Control Activated
XNR_RS05270,7.0,Control Activated
XNR_RS05275,7.0,Control Activated
XNR_RS05280,7.0,Control Activated
XNR_RS05285,7.0,
XNR_RS05290,7.0,
XNR_RS06370,8.0,"Unknown-7, DNA Replication?"
XNR_RS06375,8.0,
XNR_RS06380,8.0,Unknown-14
XNR_RS06380,8.0,Unknown-15
XNR_RS06385,8.0,Unknown-2
XNR_RS06390,8.0,Unknown-9
XNR_RS06395,8.0,Unknown-2
XNR_RS06395,8.0,Unknown-13
XNR_RS06400,8.0,Unknown-10
XNR_RS06405,8.0,Unknown-16
XNR_RS06410,8.0,Unknown-12
XNR_RS06410,8.0,Unknown-16
XNR_RS06415,8.0,BGC-13 Related
XNR_RS06415,8.0,"Unknown-7, DNA Replication?"
XNR_RS06415,8.0,Surugamide-Related
XNR_RS06415,8.0,BGC-General
XNR_RS06415,8.0,Unknown-12
XNR_RS06415,8.0,"Transport, Signaling, and Regulatory processes"
XNR_RS06415,8.0,Nuo Complex
XNR_RS06420,8.0,
XNR_RS06425,8.0,Unknown-9
XNR_RS30445,8.0,Unknown-9
XNR_RS06430,8.0,SGR PTM-related
XNR_RS06430,8.0,Unknown-14
XNR_RS06435,8.0,
XNR_RS06440,8.0,Leucine/Isoleucine Biosynthesis
XNR_RS06440,8.0,Unknown-12
XNR_RS06440,8.0,SAL-2242 Related
XNR_RS06445,8.0,
XNR_RS06450,8.0,
XNR_RS06455,8.0,
XNR_RS06460,8.0,
XNR_RS07815,9.0,
XNR_RS07820,9.0,Surugamide-Related
XNR_RS07820,9.0,Unknown-16
XNR_RS07825,9.0,Surugamide-Related
XNR_RS07830,9.0,Transcription
XNR_RS07835,9.0,Transcription
XNR_RS07840,9.0,
XNR_RS07845,9.0,
XNR_RS07850,9.0,
XNR_RS07855,9.0,
XNR_RS07860,9.0,Nybomycin batch effect?
XNR_RS07865,9.0,Nybomycin batch effect?
XNR_RS07870,9.0,Unknown-2
XNR_RS07875,9.0,
XNR_RS07880,9.0,
XNR_RS07885,9.0,
XNR_RS07890,9.0,
XNR_RS07895,9.0,Unknown-17
XNR_RS07900,9.0,Unknown-2
XNR_RS07900,9.0,Unknown-13
XNR_RS29710,10.0,"Del14, Unknown-5"
XNR_RS29710,10.0,Unknown-14
XNR_RS29710,10.0,Unknown-16
XNR_RS10025,10.0,
XNR_RS10030,10.0,
XNR_RS10035,10.0,
XNR_RS10040,10.0,Unknown-17
XNR_RS10045,10.0,Unknown-2
XNR_RS10045,10.0,Nuo Complex
XNR_RS10050,10.0,BGC-10
XNR_RS10050,10.0,BGC-General
XNR_RS10050,10.0,Unknown-9
XNR_RS10055,10.0,BGC-10
XNR_RS10055,10.0,BGC-General
XNR_RS10055,10.0,Unknown-11
XNR_RS10055,10.0,Unknown-12
XNR_RS10055,10.0,SAL-2242 Related
XNR_RS10060,10.0,
XNR_RS10065,10.0,Unknown-3
XNR_RS10065,10.0,Unknown-16
XNR_RS10070,10.0,Unknown-16
XNR_RS10075,10.0,BGC-10
XNR_RS10080,10.0,BGC-10
XNR_RS10080,10.0,Unknown-9
XNR_RS10085,10.0,BGC-10
XNR_RS10090,10.0,BGC-10
XNR_RS10095,10.0,BGC-10
XNR_RS10100,10.0,BGC-10
XNR_RS10105,10.0,BGC-10
XNR_RS10110,10.0,BGC-10
XNR_RS10110,10.0,Unknown-15
XNR_RS10115,10.0,
XNR_RS10120,10.0,Unknown-2
XNR_RS10120,10.0,Unknown-15
XNR_RS10120,10.0,Unknown-17
XNR_RS10125,10.0,
XNR_RS10130,10.0,
XNR_RS10135,10.0,BGC-General
XNR_RS10140,10.0,"Del14, Unknown-5"
XNR_RS10145,10.0,
XNR_RS10150,10.0,Unknown-10
XNR_RS10865,11.0,Unknown-2
XNR_RS10870,11.0,Unknown-17
XNR_RS31180,11.0,"Unknown-7, DNA Replication?"
XNR_RS31180,11.0,SGR PTM-related
XNR_RS31185,11.0,"Unknown-7, DNA Replication?"
XNR_RS31185,11.0,Unknown-10
XNR_RS10895,11.0,
XNR_RS30300,11.0,"Del14, Unknown-5"
XNR_RS10905,11.0,Unknown-14
XNR_RS29755,11.0,Unknown-12
XNR_RS29755,11.0,Unknown-14
XNR_RS30305,11.0,"Del14, Unknown-5"
XNR_RS29770,11.0,Nybomycin batch effect?
XNR_RS10925,11.0,Unknown-2
XNR_RS10925,11.0,Unknown-17
XNR_RS10930,11.0,
XNR_RS11535,12.0,
XNR_RS11540,12.0,Unknown-13
XNR_RS11540,12.0,Unknown-17
XNR_RS11545,12.0,
XNR_RS31190,12.0,"Del14, Unknown-5"
XNR_RS11555,12.0,Unknown-9
XNR_RS11560,12.0,SAL-2242 Related
XNR_RS11565,12.0,SAL-2242 Related
XNR_RS11570,12.0,SGR PTM-related
XNR_RS11570,12.0,Unknown-16
XNR_RS11570,12.0,SAL-2242 Related
XNR_RS11575,12.0,Galactose Metabolism
XNR_RS11575,12.0,SAL-2242 Related
XNR_RS11580,12.0,SAL-2242 Related
XNR_RS11585,12.0,Iron Acquisition and Transport
XNR_RS11590,12.0,Iron Acquisition and Transport
XNR_RS11595,12.0,Unknown-9
XNR_RS11600,12.0,Iron Acquisition and Transport
XNR_RS11605,12.0,
XNR_RS11610,12.0,Unknown-2
XNR_RS11615,12.0,Surugamide-Related
XNR_RS11615,12.0,Unknown-16
XNR_RS15505,13.0,Unknown-14
XNR_RS15510,13.0,
XNR_RS15515,13.0,Transcription
XNR_RS15520,13.0,Transcription
XNR_RS15530,13.0,
XNR_RS15535,13.0,Nybomycin batch effect?
XNR_RS15540,13.0,Nybomycin batch effect?
XNR_RS15545,13.0,
XNR_RS15550,13.0,
XNR_RS15555,13.0,BGC-General
XNR_RS15560,13.0,Unknown-2
XNR_RS15560,13.0,BGC-General
XNR_RS15565,13.0,Unknown-2
XNR_RS15565,13.0,BGC-General
XNR_RS15570,13.0,Cyclofaulknamycin
XNR_RS15570,13.0,Unknown-9
XNR_RS15570,13.0,Unknown-17
XNR_RS15575,13.0,Control Activated
XNR_RS15575,13.0,BGC-13 Related
XNR_RS15575,13.0,SGR PTM-related
XNR_RS15580,13.0,Control Activated
XNR_RS15580,13.0,BGC-13 Related
XNR_RS15580,13.0,SGR PTM-related
XNR_RS15585,13.0,Control Activated
XNR_RS15585,13.0,BGC-13 Related
XNR_RS15585,13.0,SGR PTM-related
XNR_RS15590,13.0,Control Activated
XNR_RS15590,13.0,BGC-13 Related
XNR_RS15590,13.0,SGR PTM-related
XNR_RS15595,13.0,Unknown-17
XNR_RS15600,13.0,BGC-General
XNR_RS15600,13.0,Unknown-9
XNR_RS15605,13.0,BGC-General
XNR_RS15605,13.0,Sugar Transport 2
XNR_RS15610,13.0,Unknown-2
XNR_RS15610,13.0,BGC-General
XNR_RS15615,13.0,
XNR_RS15620,13.0,BGC-General
XNR_RS15625,13.0,BGC-General
XNR_RS15630,13.0,BGC-General
XNR_RS15630,13.0,Unknown-13
XNR_RS15630,13.0,Unknown-17
XNR_RS15635,13.0,
XNR_RS15640,13.0,BGC-General
XNR_RS15640,13.0,Unknown-16
XNR_RS15645,13.0,Unknown-16
XNR_RS29930,13.0,
XNR_RS17000,14.0,
XNR_RS17005,14.0,Unknown-17
XNR_RS17010,14.0,
XNR_RS17015,14.0,Unknown-16
XNR_RS17020,14.0,
XNR_RS17025,14.0,
XNR_RS17030,14.0,Nybomycin batch effect?
XNR_RS17035,14.0,
XNR_RS17040,14.0,
XNR_RS17045,14.0,Unknown-13
XNR_RS17050,14.0,
XNR_RS17055,14.0,
XNR_RS17060,14.0,
XNR_RS17065,14.0,
XNR_RS29975,14.0,Unknown-16
XNR_RS17075,14.0,Fatty Acid Metabolism
XNR_RS17075,14.0,Surugamide-Related
XNR_RS17080,14.0,Surugamide-Related
XNR_RS17085,14.0,Surugamide-Related
XNR_RS17090,14.0,
XNR_RS17095,14.0,Surugamide-Related
XNR_RS17095,14.0,BGC-General
XNR_RS17100,14.0,Surugamide-Related
XNR_RS17100,14.0,BGC-General
XNR_RS17105,14.0,Surugamide-Related
XNR_RS17105,14.0,BGC-General
XNR_RS17110,14.0,Surugamide-Related
XNR_RS17110,14.0,BGC-General
XNR_RS17115,14.0,Surugamide-Related
XNR_RS17115,14.0,BGC-General
XNR_RS17120,14.0,Surugamide
XNR_RS17120,14.0,Surugamide-Related
XNR_RS17125,14.0,Surugamide
XNR_RS17125,14.0,Surugamide-Related
XNR_RS17130,14.0,Surugamide
XNR_RS17130,14.0,Surugamide-Related
XNR_RS17135,14.0,Surugamide
XNR_RS17135,14.0,Surugamide-Related
XNR_RS17140,14.0,Surugamide
XNR_RS17140,14.0,Surugamide-Related
XNR_RS17145,14.0,Surugamide-Related
XNR_RS17150,14.0,Surugamide-Related
XNR_RS17155,14.0,Surugamide-Related
XNR_RS17155,14.0,Unknown-16
XNR_RS17160,14.0,Surugamide-Related
XNR_RS30855,14.0,Surugamide-Related
XNR_RS30855,14.0,Unknown-16
XNR_RS17165,14.0,Surugamide-Related
XNR_RS17170,14.0,
XNR_RS17175,14.0,Nybomycin batch effect?
XNR_RS17175,14.0,Unknown-14
XNR_RS17180,14.0,Surugamide-Related
XNR_RS17180,14.0,Nuo Complex
XNR_RS17180,14.0,Unknown-16
XNR_RS17185,14.0,
XNR_RS17190,14.0,
XNR_RS17195,14.0,
XNR_RS17200,14.0,
XNR_RS17205,14.0,"Transport, Signaling, and Regulatory processes"
XNR_RS17210,14.0,"Transport, Signaling, and Regulatory processes"
XNR_RS19470,15.0,"Unknown-7, DNA Replication?"
XNR_RS19470,15.0,SGR PTM-related
XNR_RS19470,15.0,Nuo Complex
XNR_RS19475,15.0,SGR PTM-related
XNR_RS19480,15.0,Transcription
XNR_RS19485,15.0,
XNR_RS19490,15.0,
XNR_RS19495,15.0,
XNR_RS19500,15.0,
XNR_RS19505,15.0,
XNR_RS19510,15.0,Unknown-14
XNR_RS19515,15.0,
XNR_RS19520,15.0,
XNR_RS19525,15.0,
XNR_RS19530,15.0,"Del14, Unknown-5"
XNR_RS19535,15.0,
XNR_RS19540,15.0,
XNR_RS19545,15.0,
XNR_RS19550,15.0,Unknown-3
XNR_RS19550,15.0,BGC-General
XNR_RS19550,15.0,Unknown-12
XNR_RS19555,15.0,Unknown-3
XNR_RS19555,15.0,BGC-General
XNR_RS19555,15.0,Unknown-9
XNR_RS19560,15.0,Unknown-3
XNR_RS19560,15.0,BGC-General
XNR_RS19565,15.0,Unknown-3
XNR_RS19565,15.0,BGC-General
XNR_RS19565,15.0,Unknown-9
XNR_RS19570,15.0,Unknown-3
XNR_RS19570,15.0,BGC-General
XNR_RS19570,15.0,Unknown-12
XNR_RS19575,15.0,Unknown-3
XNR_RS19575,15.0,BGC-General
XNR_RS19580,15.0,Unknown-3
XNR_RS19585,15.0,Unknown-3
XNR_RS19590,15.0,Unknown-17
XNR_RS19595,15.0,"Del14, Unknown-5"
XNR_RS19600,15.0,Unknown-16
XNR_RS19605,15.0,pstSCAB
XNR_RS19610,15.0,pstSCAB
XNR_RS19615,15.0,pstSCAB
XNR_RS19615,15.0,Unknown-17
XNR_RS19620,15.0,pstSCAB
XNR_RS19625,15.0,Unknown-2
XNR_RS19625,15.0,pstSCAB
XNR_RS19630,15.0,pstSCAB
XNR_RS19635,15.0,
XNR_RS31605,15.0,Nybomycin batch effect?
XNR_RS31605,15.0,Unknown-4
XNR_RS31605,15.0,Unknown-16
XNR_RS19645,15.0,
XNR_RS19650,15.0,Transketolase activity
XNR_RS19650,15.0,Transcription
XNR_RS19650,15.0,Unknown-17
XNR_RS19655,15.0,
XNR_RS20695,16.0,Unknown-15
XNR_RS20700,16.0,"Del14, Unknown-5"
XNR_RS20705,16.0,
XNR_RS20710,16.0,
XNR_RS20715,16.0,
XNR_RS20720,16.0,Iron Acquisition and Transport
XNR_RS20725,16.0,Iron Acquisition and Transport
XNR_RS20725,16.0,BGC-General
XNR_RS20730,16.0,"Del14, Unknown-5"
XNR_RS20730,16.0,Iron Acquisition and Transport
XNR_RS20730,16.0,BGC-General
XNR_RS20735,16.0,Iron Acquisition and Transport
XNR_RS20740,16.0,Iron Acquisition and Transport
XNR_RS20740,16.0,Unknown-9
XNR_RS24540,17.0,Unknown-16
XNR_RS24545,17.0,Unknown-17
XNR_RS24550,17.0,Unknown-2
XNR_RS24555,17.0,Nybomycin batch effect?
XNR_RS24560,17.0,
XNR_RS24565,17.0,
XNR_RS24570,17.0,Unknown-16
XNR_RS24575,17.0,
XNR_RS24580,17.0,
XNR_RS24585,17.0,
XNR_RS27845,18.0,SGR PTM-related
XNR_RS27850,18.0,Unknown-2
XNR_RS27855,18.0,
XNR_RS27860,18.0,
XNR_RS27865,18.0,
XNR_RS27870,18.0,Unknown-16
XNR_RS27875,18.0,
XNR_RS27880,18.0,"Del14, Unknown-5"
XNR_RS27885,18.0,Nybomycin batch effect?
XNR_RS27890,18.0,Nybomycin batch effect?
XNR_RS27895,18.0,
XNR_RS27900,18.0,
XNR_RS27905,18.0,
XNR_RS27910,18.0,Unknown-2
XNR_RS27910,18.0,BGC-General
XNR_RS27910,18.0,Unknown-9
XNR_RS27910,18.0,Unknown-10
XNR_RS27915,18.0,Transketolase activity
XNR_RS27915,18.0,Unknown-16
XNR_RS27920,18.0,Transketolase activity
XNR_RS27920,18.0,Unknown-17
XNR_RS27925,18.0,
XNR_RS27930,18.0,Unknown-3
XNR_RS27930,18.0,BGC-General
XNR_RS27930,18.0,Nuo Complex
XNR_RS27935,18.0,Unknown-3
XNR_RS27935,18.0,BGC-General
XNR_RS27935,18.0,Nuo Complex
XNR_RS27935,18.0,Unknown-16
XNR_RS27940,18.0,Unknown-3
XNR_RS27940,18.0,BGC-General
XNR_RS27940,18.0,Nuo Complex
XNR_RS27940,18.0,Unknown-16
XNR_RS27945,18.0,Unknown-3
XNR_RS27945,18.0,BGC-General
XNR_RS27945,18.0,Nuo Complex
XNR_RS27950,18.0,Unknown-3
XNR_RS27950,18.0,BGC-General
XNR_RS27950,18.0,Nuo Complex
XNR_RS27955,18.0,Unknown-3
XNR_RS27955,18.0,BGC-General
XNR_RS27955,18.0,Nuo Complex
XNR_RS27960,18.0,
XNR_RS27965,18.0,
XNR_RS27970,18.0,
XNR_RS27975,18.0,
XNR_RS30700,18.0,Unknown-9
XNR_RS27980,18.0,
XNR_RS27985,18.0,
XNR_RS27990,18.0,Unknown-9
XNR_RS27995,18.0,
XNR_RS28000,18.0,Nybomycin batch effect?
XNR_RS28005,18.0,
XNR_RS28010,18.0,
XNR_RS28015,18.0,
XNR_RS28020,18.0,Unknown-9
XNR_RS28025,18.0,
XNR_RS28030,18.0,"Del14, Unknown-5"
XNR_RS28030,18.0,Nuo Complex
XNR_RS28030,18.0,Unknown-16
XNR_RS28030,18.0,SAL-2242 Related
XNR_RS28035,18.0,
XNR_RS28140,19.0,Unknown-15
XNR_RS28145,19.0,Nybomycin batch effect?
XNR_RS28150,19.0,
XNR_RS28155,19.0,Unknown-2
XNR_RS28160,19.0,Unknown-2
XNR_RS28160,19.0,Unknown-6
XNR_RS28160,19.0,Unknown-14
XNR_RS28160,19.0,Unknown-17
XNR_RS28165,19.0,
XNR_RS28170,19.0,
XNR_RS28175,19.0,Transketolase activity
XNR_RS28175,19.0,Nybomycin batch effect?
XNR_RS28175,19.0,BGC-General
XNR_RS28175,19.0,Gas Vesicle Formation
XNR_RS28175,19.0,Unknown-17
XNR_RS28180,19.0,
XNR_RS28185,19.0,Gas Vesicle Formation
XNR_RS28190,19.0,Gas Vesicle Formation
XNR_RS28195,19.0,
XNR_RS28200,19.0,
XNR_RS28205,19.0,Unknown-2
XNR_RS28205,19.0,BGC-General
XNR_RS30185,19.0,BGC-General
XNR_RS28215,19.0,BGC-General
XNR_RS30190,19.0,Unknown-15
XNR_RS30190,19.0,Unknown-16
XNR_RS30190,19.0,Unknown-17
XNR_RS28225,19.0,
XNR_RS28230,19.0,
XNR_RS28235,19.0,
XNR_RS28240,19.0,Unknown-6
XNR_RS28245,19.0,Gas Vesicle Formation
XNR_RS28250,19.0,Unknown-12
XNR_RS28250,19.0,Unknown-16
XNR_RS28250,19.0,Unknown-17
XNR_RS28255,19.0,SGR PTM-related
XNR_RS28260,19.0,SGR PTM-related
XNR_RS28260,19.0,Unknown-14
XNR_RS28265,19.0,Unknown-3
XNR_RS28265,19.0,"Del14, Unknown-5"
XNR_RS28265,19.0,SGR PTM-related
XNR_RS28265,19.0,Unknown-12
XNR_RS28265,19.0,Nuo Complex
XNR_RS28270,19.0,Unknown-9
XNR_RS28270,19.0,SGR PTM-related
XNR_RS28275,19.0,SGR PTM-related
XNR_RS30195,19.0,Unknown-6
XNR_RS30195,19.0,Unknown-9
XNR_RS30195,19.0,SGR PTM-related
XNR_RS28280,19.0,
XNR_RS28285,19.0,Unknown-6
XNR_RS28285,19.0,Unknown-9
XNR_RS28290,19.0,"Del14, Unknown-5"
XNR_RS28610,20.0,SGR PTM-related
XNR_RS28615,20.0,SGR PTM-related
XNR_RS28615,20.0,Unknown-13
XNR_RS31665,20.0,Nybomycin batch effect?
XNR_RS31665,20.0,"Unknown-7, DNA Replication?"
XNR_RS31665,20.0,BGC-General
XNR_RS31665,20.0,Unknown-9
XNR_RS31665,20.0,Galactose Metabolism
XNR_RS31665,20.0,Unknown-17
XNR_RS28620,20.0,Unknown-13
XNR_RS28625,20.0,Unknown-15
XNR_RS28630,20.0,
