{'locus_tag': 'XNR_RS24540', 'region': 18}
{'locus_tag': 'XNR_RS05255', 'region': 8}
{'locus_tag': 'XNR_RS05260', 'region': 8}
{'locus_tag': 'XNR_RS05265', 'region': 8}
{'locus_tag': 'XNR_RS05270', 'region': 8}
{'locus_tag': 'XNR_RS05275', 'region': 8}
{'locus_tag': 'XNR_RS05280', 'region': 8}
{'locus_tag': 'XNR_RS05285', 'region': 8}
{'locus_tag': 'XNR_RS05290', 'region': 8}
{'locus_tag': 'XNR_RS05295', 'region': 8}
{'locus_tag': 'XNR_RS05300', 'region': 8}
{'locus_tag': 'XNR_RS05305', 'region': 8}
{'locus_tag': 'XNR_RS05310', 'region': 8}
{'locus_tag': 'XNR_RS05315', 'region': 8}
{'locus_tag': 'XNR_RS05320', 'region': 8}
{'locus_tag': 'XNR_RS05325', 'region': 8}
{'locus_tag': 'XNR_RS05330', 'region': 8}
{'locus_tag': 'XNR_RS28140', 'region': 20}
{'locus_tag': 'XNR_RS28145', 'region': 20}
{'locus_tag': 'XNR_RS28150', 'region': 20}
{'locus_tag': 'XNR_RS28155', 'region': 20}
{'locus_tag': 'XNR_RS28160', 'region': 20}
{'locus_tag': 'XNR_RS28165', 'region': 20}
{'locus_tag': 'XNR_RS28170', 'region': 20}
{'locus_tag': 'XNR_RS28175', 'region': 20}
{'locus_tag': 'XNR_RS28180', 'region': 20}
{'locus_tag': 'XNR_RS28185', 'region': 20}
{'locus_tag': 'XNR_RS28190', 'region': 20}
{'locus_tag': 'XNR_RS28195', 'region': 20}
{'locus_tag': 'XNR_RS28200', 'region': 20}
{'locus_tag': 'XNR_RS28205', 'region': 20}
{'locus_tag': 'XNR_RS30185', 'region': 20}
{'locus_tag': 'XNR_RS28215', 'region': 20}
{'locus_tag': 'XNR_RS30190', 'region': 20}
{'locus_tag': 'XNR_RS28225', 'region': 20}
{'locus_tag': 'XNR_RS28230', 'region': 20}
{'locus_tag': 'XNR_RS28235', 'region': 20}
{'locus_tag': 'XNR_RS28240', 'region': 20}
{'locus_tag': 'XNR_RS28245', 'region': 20}
{'locus_tag': 'XNR_RS28250', 'region': 20}
{'locus_tag': 'XNR_RS28255', 'region': 20}
{'locus_tag': 'XNR_RS28260', 'region': 20}
{'locus_tag': 'XNR_RS28265', 'region': 20}
{'locus_tag': 'XNR_RS28270', 'region': 20}
{'locus_tag': 'XNR_RS28275', 'region': 20}
{'locus_tag': 'XNR_RS30195', 'region': 20}
{'locus_tag': 'XNR_RS28280', 'region': 20}
{'locus_tag': 'XNR_RS28285', 'region': 20}
{'locus_tag': 'XNR_RS28290', 'region': 20}
{'locus_tag': 'XNR_RS28690', 'region': 22}
{'locus_tag': 'XNR_RS28695', 'region': 22}
{'locus_tag': 'XNR_RS28700', 'region': 22}
{'locus_tag': 'XNR_RS28705', 'region': 22}
{'locus_tag': 'XNR_RS28710', 'region': 22}
{'locus_tag': 'XNR_RS28715', 'region': 22}
{'locus_tag': 'XNR_RS28720', 'region': 22}
{'locus_tag': 'XNR_RS28725', 'region': 22}
{'locus_tag': 'XNR_RS28730', 'region': 22}
{'locus_tag': 'XNR_RS28735', 'region': 22}
{'locus_tag': 'XNR_RS28740', 'region': 22}
{'locus_tag': 'XNR_RS28745', 'region': 22}
{'locus_tag': 'XNR_RS28750', 'region': 22}
{'locus_tag': 'XNR_RS28755', 'region': 22}
{'locus_tag': 'XNR_RS28760', 'region': 22}
{'locus_tag': 'XNR_RS28765', 'region': 22}
{'locus_tag': 'XNR_RS28770', 'region': 22}
{'locus_tag': 'XNR_RS28775', 'region': 22}
{'locus_tag': 'XNR_RS28780', 'region': 22}
{'locus_tag': 'XNR_RS28785', 'region': 22}
{'locus_tag': 'XNR_RS28790', 'region': 22}
{'locus_tag': 'XNR_RS28795', 'region': 22}
{'locus_tag': 'XNR_RS28800', 'region': 22}
{'locus_tag': 'XNR_RS28805', 'region': 22}
{'locus_tag': 'XNR_RS28810', 'region': 22}
{'locus_tag': 'XNR_RS28815', 'region': 22}
{'locus_tag': 'XNR_RS28820', 'region': 22}
{'locus_tag': 'XNR_RS28825', 'region': 22}
{'locus_tag': 'XNR_RS28830', 'region': 22}
{'locus_tag': 'XNR_RS28835', 'region': 22}
{'locus_tag': 'XNR_RS28840', 'region': 22}
{'locus_tag': 'XNR_RS28845', 'region': 22}
{'locus_tag': 'XNR_RS28850', 'region': 22}
{'locus_tag': 'XNR_RS28855', 'region': 22}
{'locus_tag': 'XNR_RS28860', 'region': 22}
{'locus_tag': 'XNR_RS28865', 'region': 22}
{'locus_tag': 'XNR_RS28870', 'region': 22}
{'locus_tag': 'XNR_RS28875', 'region': 22}
{'locus_tag': 'XNR_RS28880', 'region': 22}
{'locus_tag': 'XNR_RS28885', 'region': 22}
{'locus_tag': 'XNR_RS31430', 'region': 23}
{'locus_tag': 'XNR_RS28920', 'region': 23}
{'locus_tag': 'XNR_RS28925', 'region': 23}
{'locus_tag': 'XNR_RS28930', 'region': 23}
{'locus_tag': 'XNR_RS28935', 'region': 23}
{'locus_tag': 'XNR_RS28940', 'region': 23}
{'locus_tag': 'XNR_RS28945', 'region': 23}
{'locus_tag': 'XNR_RS28950', 'region': 23}
{'locus_tag': 'XNR_RS28955', 'region': 23}
{'locus_tag': 'XNR_RS28960', 'region': 23}
{'locus_tag': 'XNR_RS28965', 'region': 23}
{'locus_tag': 'XNR_RS28970', 'region': 23}
{'locus_tag': 'XNR_RS28975', 'region': 23}
{'locus_tag': 'XNR_RS28980', 'region': 23}
{'locus_tag': 'XNR_RS28985', 'region': 23}
{'locus_tag': 'XNR_RS28990', 'region': 23}
{'locus_tag': 'XNR_RS28995', 'region': 23}
{'locus_tag': 'XNR_RS29000', 'region': 23}
{'locus_tag': 'XNR_RS29005', 'region': 23}
{'locus_tag': 'XNR_RS29010', 'region': 23}
{'locus_tag': 'XNR_RS29015', 'region': 23}
{'locus_tag': 'XNR_RS29020', 'region': 23}
{'locus_tag': 'XNR_RS29025', 'region': 23}
{'locus_tag': 'XNR_RS29030', 'region': 23}
{'locus_tag': 'XNR_RS31435', 'region': 23}
{'locus_tag': 'XNR_RS29040', 'region': 23}
{'locus_tag': 'XNR_RS29045', 'region': 23}
{'locus_tag': 'XNR_RS29050', 'region': 23}
{'locus_tag': 'XNR_RS29055', 'region': 23}
{'locus_tag': 'XNR_RS29060', 'region': 23}
{'locus_tag': 'XNR_RS29065', 'region': 23}
{'locus_tag': 'XNR_RS29070', 'region': 23}
{'locus_tag': 'XNR_RS29075', 'region': 23}
{'locus_tag': 'XNR_RS29080', 'region': 23}
{'locus_tag': 'XNR_RS29085', 'region': 23}
{'locus_tag': 'XNR_RS31670', 'region': 23}
{'locus_tag': 'XNR_RS29095', 'region': 23}
{'locus_tag': 'XNR_RS29100', 'region': 23}
{'locus_tag': 'XNR_RS29105', 'region': 23}
{'locus_tag': 'XNR_RS29110', 'region': 23}
{'locus_tag': 'XNR_RS29115', 'region': 23}
{'locus_tag': 'XNR_RS29120', 'region': 23}
{'locus_tag': 'XNR_RS29125', 'region': 23}
{'locus_tag': 'XNR_RS29130', 'region': 23}
{'locus_tag': 'XNR_RS29135', 'region': 23}
{'locus_tag': 'XNR_RS29140', 'region': 23}
{'locus_tag': 'XNR_RS30540', 'region': 23}
{'locus_tag': 'XNR_RS30545', 'region': 23}
{'locus_tag': 'XNR_RS29155', 'region': 23}
{'locus_tag': 'XNR_RS29160', 'region': 23}
{'locus_tag': 'XNR_RS29165', 'region': 23}
{'locus_tag': 'XNR_RS29170', 'region': 23}
{'locus_tag': 'XNR_RS29175', 'region': 23}
{'locus_tag': 'XNR_RS29180', 'region': 23}
{'locus_tag': 'XNR_RS29185', 'region': 23}
{'locus_tag': 'XNR_RS29190', 'region': 23}
{'locus_tag': 'XNR_RS29195', 'region': 23}
{'locus_tag': 'XNR_RS29200', 'region': 23}
{'locus_tag': 'XNR_RS29205', 'region': 23}
{'locus_tag': 'XNR_RS29210', 'region': 23}
{'locus_tag': 'XNR_RS29215', 'region': 23}
{'locus_tag': 'XNR_RS29220', 'region': 23}
{'locus_tag': 'XNR_RS29225', 'region': 23}
{'locus_tag': 'XNR_RS29230', 'region': 23}
{'locus_tag': 'allorf_6768184_6768369', 'region': 23}
{'locus_tag': 'XNR_RS29235', 'region': 23}
{'locus_tag': 'XNR_RS29240', 'region': 23}
{'locus_tag': 'XNR_RS29245', 'region': 23}
{'locus_tag': 'XNR_RS29250', 'region': 23}
{'locus_tag': 'XNR_RS29255', 'region': 23}
{'locus_tag': 'XNR_RS29260', 'region': 23}
{'locus_tag': 'XNR_RS30980', 'region': 23}
{'locus_tag': 'XNR_RS29265', 'region': 23}
{'locus_tag': 'XNR_RS29270', 'region': 23}
{'locus_tag': 'XNR_RS29275', 'region': 23}
{'locus_tag': 'XNR_RS29280', 'region': 23}
{'locus_tag': 'XNR_RS29285', 'region': 23}
{'locus_tag': 'XNR_RS29290', 'region': 23}
{'locus_tag': 'XNR_RS29295', 'region': 23}
{'locus_tag': 'XNR_RS29300', 'region': 23}
{'locus_tag': 'XNR_RS29305', 'region': 23}
{'locus_tag': 'XNR_RS29310', 'region': 23}
{'locus_tag': 'XNR_RS29315', 'region': 23}
{'locus_tag': 'XNR_RS29320', 'region': 23}
{'locus_tag': 'XNR_RS30550', 'region': 23}
{'locus_tag': 'XNR_RS29330', 'region': 23}
{'locus_tag': 'XNR_RS31675', 'region': 23}
{'locus_tag': 'XNR_RS29340', 'region': 23}
{'locus_tag': 'XNR_RS31680', 'region': 23}
{'locus_tag': 'XNR_RS29350', 'region': 23}
{'locus_tag': 'XNR_RS29355', 'region': 23}
{'locus_tag': 'XNR_RS29360', 'region': 23}
{'locus_tag': 'XNR_RS29365', 'region': 23}
{'locus_tag': 'XNR_RS29370', 'region': 23}
{'locus_tag': 'XNR_RS29375', 'region': 23}
{'locus_tag': 'XNR_RS29380', 'region': 23}
{'locus_tag': 'XNR_RS29385', 'region': 23}
{'locus_tag': 'XNR_RS29390', 'region': 23}
{'locus_tag': 'XNR_RS29395', 'region': 23}
{'locus_tag': 'XNR_RS29400', 'region': 23}
{'locus_tag': 'XNR_RS29405', 'region': 23}
{'locus_tag': 'XNR_RS29410', 'region': 23}
{'locus_tag': 'XNR_RS29415', 'region': 23}
{'locus_tag': 'XNR_RS29420', 'region': 23}
{'locus_tag': 'XNR_RS29425', 'region': 23}
{'locus_tag': 'XNR_RS29430', 'region': 23}
{'locus_tag': 'XNR_RS10865', 'region': 12}
{'locus_tag': 'XNR_RS10870', 'region': 12}
{'locus_tag': 'XNR_RS31180', 'region': 12}
{'locus_tag': 'XNR_RS31185', 'region': 12}
{'locus_tag': 'XNR_RS10895', 'region': 12}
{'locus_tag': 'XNR_RS30300', 'region': 12}
{'locus_tag': 'XNR_RS10905', 'region': 12}
{'locus_tag': 'XNR_RS29755', 'region': 12}
{'locus_tag': 'XNR_RS30305', 'region': 12}
{'locus_tag': 'XNR_RS29770', 'region': 12}
{'locus_tag': 'XNR_RS10925', 'region': 12}
{'locus_tag': 'XNR_RS10930', 'region': 12}
{'locus_tag': 'XNR_RS03700', 'region': 6}
{'locus_tag': 'XNR_RS03705', 'region': 6}
{'locus_tag': 'XNR_RS03710', 'region': 6}
{'locus_tag': 'XNR_RS03715', 'region': 6}
{'locus_tag': 'XNR_RS03720', 'region': 6}
{'locus_tag': 'XNR_RS03725', 'region': 6}
{'locus_tag': 'XNR_RS03730', 'region': 6}
{'locus_tag': 'XNR_RS03735', 'region': 6}
{'locus_tag': 'XNR_RS03740', 'region': 6}
{'locus_tag': 'XNR_RS04785', 'region': 7}
{'locus_tag': 'XNR_RS04790', 'region': 7}
{'locus_tag': 'XNR_RS04795', 'region': 7}
{'locus_tag': 'XNR_RS04800', 'region': 7}
{'locus_tag': 'XNR_RS04805', 'region': 7}
{'locus_tag': 'XNR_RS04810', 'region': 7}
{'locus_tag': 'XNR_RS04815', 'region': 7}
{'locus_tag': 'XNR_RS04820', 'region': 7}
{'locus_tag': 'XNR_RS04825', 'region': 7}
{'locus_tag': 'XNR_RS04830', 'region': 7}
{'locus_tag': 'XNR_RS04835', 'region': 7}
{'locus_tag': 'XNR_RS04840', 'region': 7}
{'locus_tag': 'XNR_RS04845', 'region': 7}
{'locus_tag': 'XNR_RS04850', 'region': 7}
{'locus_tag': 'XNR_RS04855', 'region': 7}
{'locus_tag': 'XNR_RS04860', 'region': 7}
{'locus_tag': 'XNR_RS04865', 'region': 7}
{'locus_tag': 'XNR_RS04870', 'region': 7}
{'locus_tag': 'XNR_RS04875', 'region': 7}
{'locus_tag': 'XNR_RS04880', 'region': 7}
{'locus_tag': 'XNR_RS04885', 'region': 7}
{'locus_tag': 'XNR_RS04890', 'region': 7}
{'locus_tag': 'XNR_RS04895', 'region': 7}
{'locus_tag': 'XNR_RS04900', 'region': 7}
{'locus_tag': 'XNR_RS04905', 'region': 7}
{'locus_tag': 'XNR_RS04910', 'region': 7}
{'locus_tag': 'XNR_RS04915', 'region': 7}
{'locus_tag': 'XNR_RS04920', 'region': 7}
{'locus_tag': 'XNR_RS04925', 'region': 7}
{'locus_tag': 'XNR_RS04930', 'region': 7}
{'locus_tag': 'XNR_RS04935', 'region': 7}
{'locus_tag': 'XNR_RS04940', 'region': 7}
{'locus_tag': 'XNR_RS04945', 'region': 7}
{'locus_tag': 'XNR_RS04950', 'region': 7}
{'locus_tag': 'XNR_RS04955', 'region': 7}
{'locus_tag': 'XNR_RS04960', 'region': 7}
{'locus_tag': 'XNR_RS04965', 'region': 7}
{'locus_tag': 'XNR_RS11535', 'region': 13}
{'locus_tag': 'XNR_RS11540', 'region': 13}
{'locus_tag': 'XNR_RS11545', 'region': 13}
{'locus_tag': 'XNR_RS31190', 'region': 13}
{'locus_tag': 'XNR_RS11555', 'region': 13}
{'locus_tag': 'XNR_RS11560', 'region': 13}
{'locus_tag': 'XNR_RS11565', 'region': 13}
{'locus_tag': 'XNR_RS11570', 'region': 13}
{'locus_tag': 'XNR_RS11575', 'region': 13}
{'locus_tag': 'XNR_RS11580', 'region': 13}
{'locus_tag': 'XNR_RS11585', 'region': 13}
{'locus_tag': 'XNR_RS11590', 'region': 13}
{'locus_tag': 'XNR_RS11595', 'region': 13}
{'locus_tag': 'XNR_RS11600', 'region': 13}
{'locus_tag': 'XNR_RS11605', 'region': 13}
{'locus_tag': 'XNR_RS11610', 'region': 13}
{'locus_tag': 'XNR_RS11615', 'region': 13}
{'locus_tag': 'XNR_RS02805', 'region': 5}
{'locus_tag': 'XNR_RS02810', 'region': 5}
{'locus_tag': 'XNR_RS02815', 'region': 5}
{'locus_tag': 'XNR_RS02820', 'region': 5}
{'locus_tag': 'XNR_RS02825', 'region': 5}
{'locus_tag': 'XNR_RS02830', 'region': 5}
{'locus_tag': 'XNR_RS02835', 'region': 5}
{'locus_tag': 'XNR_RS30670', 'region': 5}
{'locus_tag': 'XNR_RS02840', 'region': 5}
{'locus_tag': 'XNR_RS02845', 'region': 5}
{'locus_tag': 'XNR_RS02850', 'region': 5}
{'locus_tag': 'XNR_RS02855', 'region': 5}
{'locus_tag': 'XNR_RS02860', 'region': 5}
{'locus_tag': 'XNR_RS02865', 'region': 5}
{'locus_tag': 'XNR_RS02870', 'region': 5}
{'locus_tag': 'XNR_RS02875', 'region': 5}
{'locus_tag': 'XNR_RS02880', 'region': 5}
{'locus_tag': 'XNR_RS02885', 'region': 5}
{'locus_tag': 'XNR_RS02890', 'region': 5}
{'locus_tag': 'XNR_RS02895', 'region': 5}
{'locus_tag': 'XNR_RS02900', 'region': 5}
{'locus_tag': 'XNR_RS02905', 'region': 5}
{'locus_tag': 'XNR_RS02910', 'region': 5}
{'locus_tag': 'XNR_RS02915', 'region': 5}
{'locus_tag': 'XNR_RS02920', 'region': 5}
{'locus_tag': 'XNR_RS02925', 'region': 5}
{'locus_tag': 'XNR_RS02930', 'region': 5}
{'locus_tag': 'XNR_RS02935', 'region': 5}
{'locus_tag': 'XNR_RS02940', 'region': 5}
{'locus_tag': 'XNR_RS02945', 'region': 5}
{'locus_tag': 'XNR_RS02950', 'region': 5}
{'locus_tag': 'XNR_RS02955', 'region': 5}
{'locus_tag': 'XNR_RS02960', 'region': 5}
{'locus_tag': 'XNR_RS02965', 'region': 5}
{'locus_tag': 'XNR_RS02970', 'region': 5}
{'locus_tag': 'XNR_RS29710', 'region': 11}
{'locus_tag': 'XNR_RS10025', 'region': 11}
{'locus_tag': 'XNR_RS10030', 'region': 11}
{'locus_tag': 'XNR_RS10035', 'region': 11}
{'locus_tag': 'XNR_RS10040', 'region': 11}
{'locus_tag': 'XNR_RS10045', 'region': 11}
{'locus_tag': 'XNR_RS10050', 'region': 11}
{'locus_tag': 'XNR_RS10055', 'region': 11}
{'locus_tag': 'XNR_RS10060', 'region': 11}
{'locus_tag': 'XNR_RS10065', 'region': 11}
{'locus_tag': 'XNR_RS10070', 'region': 11}
{'locus_tag': 'XNR_RS10075', 'region': 11}
{'locus_tag': 'XNR_RS10080', 'region': 11}
{'locus_tag': 'XNR_RS10085', 'region': 11}
{'locus_tag': 'XNR_RS10090', 'region': 11}
{'locus_tag': 'XNR_RS10095', 'region': 11}
{'locus_tag': 'XNR_RS10100', 'region': 11}
{'locus_tag': 'XNR_RS10105', 'region': 11}
{'locus_tag': 'XNR_RS10110', 'region': 11}
{'locus_tag': 'XNR_RS10115', 'region': 11}
{'locus_tag': 'XNR_RS10120', 'region': 11}
{'locus_tag': 'XNR_RS10125', 'region': 11}
{'locus_tag': 'XNR_RS10130', 'region': 11}
{'locus_tag': 'XNR_RS10135', 'region': 11}
{'locus_tag': 'XNR_RS10140', 'region': 11}
{'locus_tag': 'XNR_RS10145', 'region': 11}
{'locus_tag': 'XNR_RS10150', 'region': 11}
{'locus_tag': 'XNR_RS07815', 'region': 10}
{'locus_tag': 'XNR_RS07820', 'region': 10}
{'locus_tag': 'XNR_RS07825', 'region': 10}
{'locus_tag': 'XNR_RS07830', 'region': 10}
{'locus_tag': 'XNR_RS07835', 'region': 10}
{'locus_tag': 'XNR_RS07840', 'region': 10}
{'locus_tag': 'XNR_RS07845', 'region': 10}
{'locus_tag': 'XNR_RS07850', 'region': 10}
{'locus_tag': 'XNR_RS07855', 'region': 10}
{'locus_tag': 'XNR_RS07860', 'region': 10}
{'locus_tag': 'XNR_RS07865', 'region': 10}
{'locus_tag': 'XNR_RS07870', 'region': 10}
{'locus_tag': 'XNR_RS07875', 'region': 10}
{'locus_tag': 'XNR_RS07880', 'region': 10}
{'locus_tag': 'XNR_RS07885', 'region': 10}
{'locus_tag': 'XNR_RS07890', 'region': 10}
{'locus_tag': 'XNR_RS07895', 'region': 10}
{'locus_tag': 'XNR_RS07900', 'region': 10}
{'locus_tag': 'XNR_RS01695', 'region': 4}
{'locus_tag': 'XNR_RS01700', 'region': 4}
{'locus_tag': 'XNR_RS01705', 'region': 4}
{'locus_tag': 'XNR_RS01710', 'region': 4}
{'locus_tag': 'XNR_RS01715', 'region': 4}
{'locus_tag': 'XNR_RS01720', 'region': 4}
{'locus_tag': 'XNR_RS15505', 'region': 14}
{'locus_tag': 'XNR_RS15510', 'region': 14}
{'locus_tag': 'XNR_RS15515', 'region': 14}
{'locus_tag': 'XNR_RS15520', 'region': 14}
{'locus_tag': 'XNR_RS15530', 'region': 14}
{'locus_tag': 'XNR_RS15535', 'region': 14}
{'locus_tag': 'XNR_RS15540', 'region': 14}
{'locus_tag': 'XNR_RS15545', 'region': 14}
{'locus_tag': 'XNR_RS15550', 'region': 14}
{'locus_tag': 'XNR_RS15555', 'region': 14}
{'locus_tag': 'XNR_RS15560', 'region': 14}
{'locus_tag': 'XNR_RS15565', 'region': 14}
{'locus_tag': 'XNR_RS15570', 'region': 14}
{'locus_tag': 'XNR_RS15575', 'region': 14}
{'locus_tag': 'XNR_RS15580', 'region': 14}
{'locus_tag': 'XNR_RS15585', 'region': 14}
{'locus_tag': 'XNR_RS15590', 'region': 14}
{'locus_tag': 'XNR_RS15595', 'region': 14}
{'locus_tag': 'XNR_RS15600', 'region': 14}
{'locus_tag': 'XNR_RS15605', 'region': 14}
{'locus_tag': 'XNR_RS15610', 'region': 14}
{'locus_tag': 'XNR_RS15615', 'region': 14}
{'locus_tag': 'XNR_RS15620', 'region': 14}
{'locus_tag': 'XNR_RS15625', 'region': 14}
{'locus_tag': 'XNR_RS15630', 'region': 14}
{'locus_tag': 'XNR_RS15635', 'region': 14}
{'locus_tag': 'XNR_RS15640', 'region': 14}
{'locus_tag': 'XNR_RS15645', 'region': 14}
{'locus_tag': 'XNR_RS29930', 'region': 14}
{'locus_tag': 'XNR_RS17000', 'region': 15}
{'locus_tag': 'XNR_RS17005', 'region': 15}
{'locus_tag': 'XNR_RS17010', 'region': 15}
{'locus_tag': 'XNR_RS17015', 'region': 15}
{'locus_tag': 'XNR_RS17020', 'region': 15}
{'locus_tag': 'XNR_RS17025', 'region': 15}
{'locus_tag': 'XNR_RS17030', 'region': 15}
{'locus_tag': 'XNR_RS17035', 'region': 15}
{'locus_tag': 'XNR_RS17040', 'region': 15}
{'locus_tag': 'XNR_RS17045', 'region': 15}
{'locus_tag': 'XNR_RS17050', 'region': 15}
{'locus_tag': 'XNR_RS17055', 'region': 15}
{'locus_tag': 'XNR_RS17060', 'region': 15}
{'locus_tag': 'XNR_RS17065', 'region': 15}
{'locus_tag': 'XNR_RS29975', 'region': 15}
{'locus_tag': 'XNR_RS17075', 'region': 15}
{'locus_tag': 'XNR_RS17080', 'region': 15}
{'locus_tag': 'XNR_RS17085', 'region': 15}
{'locus_tag': 'XNR_RS17090', 'region': 15}
{'locus_tag': 'XNR_RS17095', 'region': 15}
{'locus_tag': 'XNR_RS17100', 'region': 15}
{'locus_tag': 'XNR_RS17105', 'region': 15}
{'locus_tag': 'XNR_RS17110', 'region': 15}
{'locus_tag': 'XNR_RS17115', 'region': 15}
{'locus_tag': 'XNR_RS17120', 'region': 15}
{'locus_tag': 'XNR_RS17125', 'region': 15}
{'locus_tag': 'XNR_RS17130', 'region': 15}
{'locus_tag': 'XNR_RS17135', 'region': 15}
{'locus_tag': 'XNR_RS17140', 'region': 15}
{'locus_tag': 'XNR_RS17145', 'region': 15}
{'locus_tag': 'XNR_RS17150', 'region': 15}
{'locus_tag': 'XNR_RS17155', 'region': 15}
{'locus_tag': 'XNR_RS17160', 'region': 15}
{'locus_tag': 'XNR_RS30855', 'region': 15}
{'locus_tag': 'XNR_RS17165', 'region': 15}
{'locus_tag': 'XNR_RS17170', 'region': 15}
{'locus_tag': 'XNR_RS17175', 'region': 15}
{'locus_tag': 'XNR_RS17180', 'region': 15}
{'locus_tag': 'XNR_RS17185', 'region': 15}
{'locus_tag': 'XNR_RS17190', 'region': 15}
{'locus_tag': 'XNR_RS17195', 'region': 15}
{'locus_tag': 'XNR_RS17200', 'region': 15}
{'locus_tag': 'XNR_RS17205', 'region': 15}
{'locus_tag': 'XNR_RS17210', 'region': 15}
{'locus_tag': 'XNR_RS00010', 'region': 1}
{'locus_tag': 'XNR_RS00015', 'region': 1}
