Orthogroup	bsu2	ecol2	mtub2	pae2	sac2	salb2	sen2
OG0005361	BSU_04280						
OG0005362	BSU_04290						
OG0005363	BSU_04310						
OG0005364	BSU_04380						
OG0005365	BSU_04400						
OG0005366	BSU_04420						
OG0005367	BSU_04480						
OG0005368	BSU_04510						
OG0005369	BSU_04530						
OG0005370	BSU_04550						
OG0005371	BSU_04600						
OG0005372	BSU_04630						
OG0005373	BSU_04740						
OG0005374	BSU_04750						
OG0005375	BSU_04760						
OG0005376	BSU_04790						
OG0005377	BSU_04810						
OG0005378	BSU_04830						
OG0005379	BSU_04840						
OG0005380	BSU_04850						
OG0005381	BSU_04860						
OG0005382	BSU_04870						
OG0005383	BSU_04900						
OG0005384	BSU_04910						
OG0005385	BSU_04920						
OG0005386	BSU_04930						
OG0005387	BSU_04940						
OG0005388	BSU_04950						
OG0005389	BSU_04960						
OG0005390	BSU_04980						
OG0005391	BSU_04990						
OG0005392	BSU_05000						
OG0005393	BSU_05020						
OG0005394	BSU_05030						
OG0005395	BSU_05200						
OG0005396	BSU_05210						
OG0005397	BSU_05220						
OG0005398	BSU_05260						
OG0005399	BSU_05350						
OG0005400	BSU_05510						
OG0005401	BSU_05590						
OG0005402	BSU_05610						
OG0005403	BSU_05750						
OG0005404	BSU_05760						
OG0005405	BSU_05780						
OG0005406	BSU_05790						
OG0005407	BSU_05810						
OG0005408	BSU_05820						
OG0005409	BSU_05860						
OG0005410	BSU_05880						
OG0005411	BSU_06000						
OG0005412	BSU_06010						
OG0005413	BSU_06040						
OG0005414	BSU_06090						
OG0005415	BSU_06110						
OG0005416	BSU_06120						
OG0005417	BSU_06130						
OG0005418	BSU_06190						
OG0005419	BSU_06200						
OG0005420	BSU_06210						
OG0005421	BSU_06220						
OG0005422	BSU_06250						
OG0005423	BSU_06260						
OG0005424	BSU_06270						
OG0005425	BSU_06290						
OG0005426	BSU_06380						
OG0005427	BSU_06390						
OG0005428	BSU_06400						
OG0005429	BSU_06410						
OG0005430	BSU_06570						
OG0005431	BSU_06580						
OG0005432	BSU_06630						
OG0005433	BSU_06640						
OG0005434	BSU_06740						
OG0005435	BSU_06760						
OG0005436	BSU_06770						
OG0005437	BSU_06780						
OG0005438	BSU_06790						
OG0005439	BSU_06800						
OG0005440	BSU_06820						
OG0005441	BSU_06850						
OG0005442	BSU_06890						
OG0005443	BSU_06900						
OG0005444	BSU_06920						
OG0005445	BSU_06930						
OG0005446	BSU_06970						
OG0005447	BSU_07030						
OG0005448	BSU_07090						
OG0005449	BSU_07150						
OG0005450	BSU_07240						
OG0005451	BSU_07380						
OG0005452	BSU_07410						
OG0005453	BSU_07440						
OG0005454	BSU_07530						
OG0005455	BSU_07550						
OG0005456	BSU_07560						
OG0005457	BSU_07630						
OG0005458	BSU_07660						
OG0005459	BSU_07670						
OG0005460	BSU_07720						
OG0005461	BSU_07770						
OG0005462	BSU_07870						
OG0005463	BSU_07890						
OG0005464	BSU_07930						
OG0005465	BSU_07955						
OG0005466	BSU_07970						
OG0005467	BSU_08030						
OG0005468	BSU_08040						
OG0005469	BSU_08050						
OG0005470	BSU_08110						
OG0005471	BSU_08150						
OG0005472	BSU_08160						
OG0005473	BSU_08170						
OG0005474	BSU_08240						
OG0005475	BSU_08280						
OG0005476	BSU_08360						
OG0005477	BSU_08390						
OG0005478	BSU_08490						
OG0005479	BSU_08500						
OG0005480	BSU_08530						
OG0005481	BSU_08560						
OG0005482	BSU_08580						
OG0005483	BSU_08620						
OG0005484	BSU_08640						
OG0005485	BSU_08660						
OG0005486	BSU_08670						
OG0005487	BSU_08680						
OG0005488	BSU_08700						
OG0005489	BSU_08750						
OG0005490	BSU_08770						
OG0005491	BSU_08780						
OG0005492	BSU_08810						
OG0005493	BSU_08870						
OG0005494	BSU_08890						
OG0005495	BSU_08900						
OG0005496	BSU_08920						
OG0005497	BSU_08940						
OG0005498	BSU_09030						
OG0005499	BSU_09040						
OG0005500	BSU_09050						
OG0005501	BSU_09070						
OG0005502	BSU_09110						
OG0005503	BSU_09140						
OG0005504	BSU_09150						
OG0005505	BSU_09165						
OG0005506	BSU_09180						
OG0005507	BSU_09200						
OG0005508	BSU_09220						
OG0005509	BSU_09350						
OG0005510	BSU_09360						
OG0005511	BSU_09500						
OG0005512	BSU_09510						
OG0005513	BSU_09570						
OG0005514	BSU_09630						
OG0005515	BSU_09700						
OG0005516	BSU_09730						
OG0005517	BSU_09740						
OG0005518	BSU_09760						
OG0005519	BSU_09790						
OG0005520	BSU_09800						
OG0005521	BSU_09870						
OG0005522	BSU_09900						
OG0005523	BSU_09920						
OG0005524	BSU_09930						
OG0005525	BSU_09940						
OG0005526	BSU_09965						
OG0005527	BSU_09980						
OG0005528	BSU_09990						
OG0005529	BSU_10010						
OG0005530	BSU_10040						
OG0005531	BSU_10050						
OG0005532	BSU_10080						
OG0005533	BSU_10090						
OG0005534	BSU_10180						
OG0005535	BSU_10210						
OG0005536	BSU_10230						
OG0005537	BSU_10280						
OG0005538	BSU_10290						
OG0005539	BSU_10350						
OG0005540	BSU_10370						
OG0005541	BSU_10410						
OG0005542	BSU_10420						
OG0005543	BSU_10440						
OG0005544	BSU_10470						
OG0005545	BSU_10520						
OG0005546	BSU_10540						
OG0005547	BSU_10610						
OG0005548	BSU_10620						
OG0005549	BSU_10630						
OG0005550	BSU_10660						
OG0005551	BSU_10680						
OG0005552	BSU_10690						
OG0005553	BSU_10700						
OG0005554	BSU_10710						
OG0005555	BSU_10760						
OG0005556	BSU_10780						
OG0005557	BSU_10890						
OG0005558	BSU_10940						
OG0005559	BSU_10950						
OG0005560	BSU_11000						
OG0005561	BSU_11080						
OG0005562	BSU_11090						
OG0005563	BSU_11110						
OG0005564	BSU_11130						
OG0005565	BSU_11260						
OG0005566	BSU_11270						
OG0005567	BSU_11280						
OG0005568	BSU_11290						
OG0005569	BSU_11310						
OG0005570	BSU_11320						
OG0005571	BSU_11410						
OG0005572	BSU_11490						
OG0005573	BSU_11530						
OG0005574	BSU_11540						
OG0005575	BSU_11580						
OG0005576	BSU_11590						
OG0005577	BSU_11730						
OG0005578	BSU_11760						
OG0005579	BSU_11770						
OG0005580	BSU_11780						
OG0005581	BSU_11810						
OG0005582	BSU_11850						
OG0005583	BSU_11860						
OG0005584	BSU_11900						
OG0005585	BSU_11910						
OG0005586	BSU_11920						
OG0005587	BSU_11940						
OG0005588	BSU_11950						
OG0005589	BSU_11970						
OG0005590	BSU_11990						
OG0005591	BSU_12030						
OG0005592	BSU_12040						
OG0005593	BSU_12050						
OG0005594	BSU_12070						
OG0005595	BSU_12090						
OG0005596	BSU_12110						
OG0005597	BSU_12120						
OG0005598	BSU_12140						
OG0005599	BSU_12150						
OG0005600	BSU_12180						
OG0005601	BSU_12200						
OG0005602	BSU_12260						
OG0005603	BSU_12270						
OG0005604	BSU_12280						
OG0005605	BSU_12400						
OG0005606	BSU_12420						
OG0005607	BSU_12440						
OG0005608	BSU_12450						
OG0005609	BSU_12520						
OG0005610	BSU_12540						
OG0005611	BSU_12570						
OG0005612	BSU_12671						
OG0005613	BSU_12790						
OG0005614	BSU_12820						
OG0005615	BSU_12830						
OG0005616	BSU_13050						
OG0005617	BSU_13070						
OG0005618	BSU_13090						
OG0005619	BSU_13100						
OG0005620	BSU_13230						
OG0005621	BSU_13240						
OG0005622	BSU_13320						
OG0005623	BSU_13330						
OG0005624	BSU_13360						
OG0005625	BSU_13380						
OG0005626	BSU_13460						
OG0005627	BSU_13480						
OG0005628	BSU_13510						
OG0005629	BSU_13560						
OG0005630	BSU_13590						
OG0005631	BSU_13600						
OG0005632	BSU_13630						
OG0005633	BSU_13650						
OG0005634	BSU_13800						
OG0005635	BSU_13810						
OG0005636	BSU_13930						
OG0005637	BSU_14020						
OG0005638	BSU_14030						
OG0005639	BSU_14080						
OG0005640	BSU_14100						
OG0005641	BSU_14110						
OG0005642	BSU_14120						
OG0005643	BSU_14130						
OG0005644	BSU_14200						
OG0005645	BSU_14240						
OG0005646	BSU_14250						
OG0005647	BSU_14340						
OG0005648	BSU_14420						
OG0005649	BSU_14450						
OG0005650	BSU_14460						
OG0005651	BSU_14540						
OG0005652	BSU_14560						
OG0005653	BSU_14570						
OG0005654	BSU_14620						
OG0005655	BSU_14640						
OG0005656	BSU_14650						
OG0005657	BSU_14660						
OG0005658	BSU_14680						
OG0005659	BSU_14710						
OG0005660	BSU_14720						
OG0005661	BSU_14750						
OG0005662	BSU_14760						
OG0005663	BSU_14780						
OG0005664	BSU_14790						
OG0005665	BSU_14800						
OG0005666	BSU_14820						
OG0005667	BSU_14840						
OG0005668	BSU_14920						
OG0005669	BSU_14940						
OG0005670	BSU_14970						
OG0005671	BSU_14980						
OG0005672	BSU_14990						
OG0005673	BSU_15000						
OG0005674	BSU_15030						
OG0005675	BSU_15060						
OG0005676	BSU_15100						
OG0005677	BSU_15120						
OG0005678	BSU_15150						
OG0005679	BSU_15240						
OG0005680	BSU_15260						
OG0005681	BSU_15310						
OG0005682	BSU_15320						
OG0005683	BSU_15580						
OG0005684	BSU_15630						
OG0005685	BSU_15640						
OG0005686	BSU_15800						
OG0005687	BSU_15810						
OG0005688	BSU_15830						
OG0005689	BSU_15850						
OG0005690	BSU_15880						
OG0005691	BSU_15960						
OG0005692	BSU_15970						
OG0005693	BSU_16010						
OG0005694	BSU_16070						
OG0005695	BSU_16130						
OG0005696	BSU_16170						
OG0005697	BSU_16230						
OG0005698	BSU_16250						
OG0005699	BSU_16260						
OG0005700	BSU_16270						
OG0005701	BSU_16300						
OG0005702	BSU_16340						
OG0005703	BSU_16460						
OG0005704	BSU_16480						
OG0005705	BSU_16610						
OG0005706	BSU_16620						
OG0005707	BSU_16730						
OG0005708	BSU_16740						
OG0005709	BSU_16790						
OG0005710	BSU_16960						
OG0005711	BSU_16970						
OG0005712	BSU_16980						
OG0005713	BSU_17020						
OG0005714	BSU_17030						
OG0005715	BSU_17140						
OG0005716	BSU_17150						
OG0005717	BSU_17170						
OG0005718	BSU_17240						
OG0005719	BSU_17250						
OG0005720	BSU_17280						
OG0005721	BSU_17320						
OG0005722	BSU_17350						
OG0005723	BSU_17360						
OG0005724	BSU_17400						
OG0005725	BSU_17440						
OG0005726	BSU_17510						
OG0005727	BSU_17530						
OG0005728	BSU_17540						
OG0005729	BSU_17550						
OG0005730	BSU_17560						
OG0005731	BSU_17650						
OG0005732	BSU_17680						
OG0005733	BSU_17720						
OG0005734	BSU_17730						
OG0005735	BSU_17740						
OG0005736	BSU_17780						
OG0005737	BSU_17790						
OG0005738	BSU_17800						
OG0005739	BSU_17860						
OG0005740	BSU_17880						
OG0005741	BSU_17900						
OG0005742	BSU_17910						
OG0005743	BSU_17950						
OG0005744	BSU_17960						
OG0005745	BSU_17970						
OG0005746	BSU_17980						
OG0005747	BSU_17990						
OG0005748	BSU_18030						
OG0005749	BSU_18050						
OG0005750	BSU_18060						
OG0005751	BSU_18140						
OG0005752	BSU_18170						
OG0005753	BSU_18200						
OG0005754	BSU_18270						
OG0005755	BSU_18380						
OG0005756	BSU_18390						
OG0005757	BSU_18400						
OG0005758	BSU_18490						
OG0005759	BSU_18510						
OG0005760	BSU_18520						
OG0005761	BSU_18550						
OG0005762	BSU_18580						
OG0005763	BSU_18630						
OG0005764	BSU_18640						
OG0005765	BSU_18650						
OG0005766	BSU_18680						
OG0005767	BSU_18690						
OG0005768	BSU_18710						
OG0005769	BSU_18730						
OG0005770	BSU_18750						
OG0005771	BSU_18780						
OG0005772	BSU_18810						
OG0005773	BSU_18840						
OG0005774	BSU_18860						
OG0005775	BSU_18890						
OG0005776	BSU_18900						
OG0005777	BSU_18920						
OG0005778	BSU_18970						
OG0005779	BSU_18980						
OG0005780	BSU_18990						
OG0005781	BSU_19030						
OG0005782	BSU_19090						
OG0005783	BSU_19110						
OG0005784	BSU_19140						
OG0005785	BSU_19150						
OG0005786	BSU_19160						
OG0005787	BSU_19180						
OG0005788	BSU_19250						
OG0005789	BSU_19290						
OG0005790	BSU_19300						
OG0005791	BSU_19380						
OG0005792	BSU_19470						
OG0005793	BSU_19560						
OG0005794	BSU_19600						
OG0005795	BSU_19610						
OG0005796	BSU_19620						
OG0005797	BSU_19640						
OG0005798	BSU_19660						
OG0005799	BSU_19670						
OG0005800	BSU_19680						
OG0005801	BSU_19700						
OG0005802	BSU_19750						
OG0005803	BSU_19770						
OG0005804	BSU_19780						
OG0005805	BSU_19790						
OG0005806	BSU_19800						
OG0005807	BSU_19820						
OG0005808	BSU_19830						
OG0005809	BSU_19850						
OG0005810	BSU_19860						
OG0005811	BSU_19870						
OG0005812	BSU_19880						
OG0005813	BSU_19890						
OG0005814	BSU_19900						
OG0005815	BSU_19910						
OG0005816	BSU_19920						
OG0005817	BSU_19930						
OG0005818	BSU_19970						
OG0005819	BSU_19980						
OG0005820	BSU_19990						
OG0005821	BSU_20000						
OG0005822	BSU_20010						
OG0005823	BSU_20050						
OG0005824	BSU_20090						
OG0005825	BSU_20100						
OG0005826	BSU_20110						
OG0005827	BSU_20120						
OG0005828	BSU_20130						
OG0005829	BSU_20140						
OG0005830	BSU_20150						
OG0005831	BSU_20160						
OG0005832	BSU_20170						
OG0005833	BSU_20180						
OG0005834	BSU_20190						
OG0005835	BSU_20200						
OG0005836	BSU_20210						
OG0005837	BSU_20220						
OG0005838	BSU_20230						
OG0005839	BSU_20240						
OG0005840	BSU_20260						
OG0005841	BSU_20270						
OG0005842	BSU_20280						
OG0005843	BSU_20290						
OG0005844	BSU_20300						
OG0005845	BSU_20310						
OG0005846	BSU_20320						
OG0005847	BSU_20350						
OG0005848	BSU_20360						
OG0005849	BSU_20370						
OG0005850	BSU_20380						
OG0005851	BSU_20390						
OG0005852	BSU_20400						
OG0005853	BSU_20410						
OG0005854	BSU_20430						
OG0005855	BSU_20440						
OG0005856	BSU_20470						
OG0005857	BSU_20480						
OG0005858	BSU_20510						
OG0005859	BSU_20530						
OG0005860	BSU_20540						
OG0005861	BSU_20550						
OG0005862	BSU_20560						
OG0005863	BSU_20570						
OG0005864	BSU_20590						
OG0005865	BSU_20600						
OG0005866	BSU_20630						
OG0005867	BSU_20640						
OG0005868	BSU_20650						
OG0005869	BSU_20660						
OG0005870	BSU_20670						
OG0005871	BSU_20680						
OG0005872	BSU_20690						
OG0005873	BSU_20700						
OG0005874	BSU_20710						
OG0005875	BSU_20720						
OG0005876	BSU_20730						
OG0005877	BSU_20740						
OG0005878	BSU_20750						
OG0005879	BSU_20760						
OG0005880	BSU_20770						
OG0005881	BSU_20790						
OG0005882	BSU_20800						
OG0005883	BSU_20820						
OG0005884	BSU_20830						
OG0005885	BSU_20840						
OG0005886	BSU_20850						
OG0005887	BSU_20860						
OG0005888	BSU_20870						
OG0005889	BSU_20880						
OG0005890	BSU_20890						
OG0005891	BSU_20900						
OG0005892	BSU_20910						
OG0005893	BSU_20940						
OG0005894	BSU_20950						
OG0005895	BSU_20960						
OG0005896	BSU_20970						
OG0005897	BSU_20980						
OG0005898	BSU_20990						
OG0005899	BSU_21000						
OG0005900	BSU_21030						
OG0005901	BSU_21040						
OG0005902	BSU_21060						
OG0005903	BSU_21070						
OG0005904	BSU_21080						
OG0005905	BSU_21090						
OG0005906	BSU_21100						
OG0005907	BSU_21110						
OG0005908	BSU_21120						
OG0005909	BSU_21130						
OG0005910	BSU_21140						
OG0005911	BSU_21150						
OG0005912	BSU_21160						
OG0005913	BSU_21170						
OG0005914	BSU_21180						
OG0005915	BSU_21190						
OG0005916	BSU_21200						
OG0005917	BSU_21210						
OG0005918	BSU_21220						
OG0005919	BSU_21230						
OG0005920	BSU_21260						
OG0005921	BSU_21280						
OG0005922	BSU_21290						
OG0005923	BSU_21300						
OG0005924	BSU_21310						
OG0005925	BSU_21330						
OG0005926	BSU_21340						
OG0005927	BSU_21360						
OG0005928	BSU_21370						
OG0005929	BSU_21380						
OG0005930	BSU_21400						
OG0005931	BSU_21410						
OG0005932	BSU_21420						
OG0005933	BSU_21460						
OG0005934	BSU_21470						
OG0005935	BSU_21480						
OG0005936	BSU_21530						
OG0005937	BSU_21540						
OG0005938	BSU_21550						
OG0005939	BSU_21560						
OG0005940	BSU_21570						
OG0005941	BSU_21620						
OG0005942	BSU_21640						
OG0005943	BSU_21650						
OG0005944	BSU_21720						
OG0005945	BSU_21730						
OG0005946	BSU_21760						
OG0005947	BSU_21800						
OG0005948	BSU_21840						
OG0005949	BSU_21850						
OG0005950	BSU_21880						
OG0005951	BSU_21940						
OG0005952	BSU_21950						
OG0005953	BSU_21960						
OG0005954	BSU_21970						
OG0005955	BSU_22020						
OG0005956	BSU_22030						
OG0005957	BSU_22160						
OG0005958	BSU_22180						
OG0005959	BSU_22200						
OG0005960	BSU_22210						
OG0005961	BSU_22240						
OG0005962	BSU_22250						
OG0005963	BSU_22260						
OG0005964	BSU_22270						
OG0005965	BSU_22280						
OG0005966	BSU_22300						
OG0005967	BSU_22310						
OG0005968	BSU_22330						
OG0005969	BSU_22350						
OG0005970	BSU_22380						
OG0005971	BSU_22390						
OG0005972	BSU_22520						
OG0005973	BSU_22530						
OG0005974	BSU_22540						
OG0005975	BSU_22560						
OG0005976	BSU_22570						
OG0005977	BSU_22580						
OG0005978	BSU_22590						
OG0005979	BSU_22690						
OG0005980	BSU_22760						
OG0005981	BSU_22770						
OG0005982	BSU_22800						
OG0005983	BSU_22810						
OG0005984	BSU_22820						
OG0005985	BSU_22850						
OG0005986	BSU_22860						
OG0005987	BSU_22900						
OG0005988	BSU_22910						
OG0005989	BSU_22920						
OG0005990	BSU_22940						
OG0005991	BSU_22950						
OG0005992	BSU_22990						
OG0005993	BSU_23000						
OG0005994	BSU_23020						
OG0005995	BSU_23030						
OG0005996	BSU_23050						
OG0005997	BSU_23090						
OG0005998	BSU_23140						
OG0005999	BSU_23180						
OG0006000	BSU_23200						
OG0006001	BSU_23230						
OG0006002	BSU_23240						
OG0006003	BSU_23300						
OG0006004	BSU_23320						
OG0006005	BSU_23340						
OG0006006	BSU_23370						
OG0006007	BSU_23410						
OG0006008	BSU_23430						
OG0006009	BSU_23440						
OG0006010	BSU_23470						
OG0006011	BSU_23530						
OG0006012	BSU_23540						
OG0006013	BSU_23560						
OG0006014	BSU_23600						
OG0006015	BSU_23630						
OG0006016	BSU_23640						
OG0006017	BSU_23650						
OG0006018	BSU_23660						
OG0006019	BSU_23720						
OG0006020	BSU_23740						
OG0006021	BSU_23900						
OG0006022	BSU_23910						
OG0006023	BSU_23950						
OG0006024	BSU_24070						
OG0006025	BSU_24090						
OG0006026	BSU_24110						
OG0006027	BSU_24220						
OG0006028	BSU_24230						
OG0006029	BSU_24360						
OG0006030	BSU_24370						
OG0006031	BSU_24380						
OG0006032	BSU_24390						
OG0006033	BSU_24400						
OG0006034	BSU_24410						
OG0006035	BSU_24420						
OG0006036	BSU_24430						
OG0006037	BSU_24440						
OG0006038	BSU_24480						
OG0006039	BSU_24490						
OG0006040	BSU_24500						
OG0006041	BSU_24590						
OG0006042	BSU_24600						
OG0006043	BSU_24620						
OG0006044	BSU_24630						
OG0006045	BSU_24640						
OG0006046	BSU_24650						
OG0006047	BSU_24660						
OG0006048	BSU_24670						
OG0006049	BSU_24680						
OG0006050	BSU_24690						
OG0006051	BSU_24700						
OG0006052	BSU_24780						
OG0006053	BSU_24800						
OG0006054	BSU_24810						
OG0006055	BSU_24820						
OG0006056	BSU_24860						
OG0006057	BSU_24880						
OG0006058	BSU_24920						
OG0006059	BSU_24930						
OG0006060	BSU_24940						
OG0006061	BSU_25010						
OG0006062	BSU_25030						
OG0006063	BSU_25040						
OG0006064	BSU_25050						
OG0006065	BSU_25060						
OG0006066	BSU_25080						
OG0006067	BSU_25090						
OG0006068	BSU_25120						
OG0006069	BSU_25150						
OG0006070	BSU_25180						
OG0006071	BSU_25330						
OG0006072	BSU_25350						
OG0006073	BSU_25360						
OG0006074	BSU_25370						
OG0006075	BSU_25380						
OG0006076	BSU_25520						
OG0006077	BSU_25530						
OG0006078	BSU_25540						
OG0006079	BSU_25560						
OG0006080	BSU_25580						
OG0006081	BSU_25630						
OG0006082	BSU_25680						
OG0006083	BSU_25700						
OG0006084	BSU_25740						
OG0006085	BSU_25840						
OG0006086	BSU_25850						
OG0006087	BSU_25870						
OG0006088	BSU_25880						
OG0006089	BSU_25890						
OG0006090	BSU_25910						
OG0006091	BSU_26050						
OG0006092	BSU_26130						
OG0006093	BSU_26160						
OG0006094	BSU_26170						
OG0006095	BSU_26210						
OG0006096	BSU_26230						
OG0006097	BSU_26250						
OG0006098	BSU_26270						
OG0006099	BSU_26290						
OG0006100	BSU_26300						
OG0006101	BSU_26310						
OG0006102	BSU_26320						
OG0006103	BSU_26330						
OG0006104	BSU_26360						
OG0006105	BSU_26400						
OG0006106	BSU_26420						
OG0006107	BSU_26430						
OG0006108	BSU_26450						
OG0006109	BSU_26480						
OG0006110	BSU_26490						
OG0006111	BSU_26510						
OG0006112	BSU_26560						
OG0006113	BSU_26570						
OG0006114	BSU_26680						
OG0006115	BSU_26700						
OG0006116	BSU_26730						
OG0006117	BSU_26770						
OG0006118	BSU_26790						
OG0006119	BSU_26900						
OG0006120	BSU_27070						
OG0006121	BSU_27110						
OG0006122	BSU_27120						
OG0006123	BSU_27130						
OG0006124	BSU_27150						
OG0006125	BSU_27190						
OG0006126	BSU_27210						
OG0006127	BSU_27230						
OG0006128	BSU_27240						
OG0006129	BSU_27290						
OG0006130	BSU_27300						
OG0006131	BSU_27310						
OG0006132	BSU_27380						
OG0006133	BSU_27470						
OG0006134	BSU_27490						
OG0006135	BSU_27570						
OG0006136	BSU_27630						
OG0006137	BSU_27660						
OG0006138	BSU_27690						
OG0006139	BSU_27750						
OG0006140	BSU_27785						
OG0006141	BSU_27800						
OG0006142	BSU_27830						
OG0006143	BSU_27890						
OG0006144	BSU_27910						
OG0006145	BSU_27930						
OG0006146	BSU_27950						
OG0006147	BSU_27980						
OG0006148	BSU_28010						
OG0006149	BSU_28060						
OG0006150	BSU_28100						
OG0006151	BSU_28110						
OG0006152	BSU_28160						
OG0006153	BSU_28180						
OG0006154	BSU_28240						
OG0006155	BSU_28320						
OG0006156	BSU_28350						
OG0006157	BSU_28380						
OG0006158	BSU_28450						
OG0006159	BSU_28460						
OG0006160	BSU_28570						
OG0006161	BSU_28580						
OG0006162	BSU_28600						
OG0006163	BSU_28620						
OG0006164	BSU_28660						
OG0006165	BSU_28830						
OG0006166	BSU_28840						
OG0006167	BSU_28890						
OG0006168	BSU_28960						
OG0006169	BSU_28980						
OG0006170	BSU_28990						
OG0006171	BSU_29070						
OG0006172	BSU_29240						
OG0006173	BSU_29260						
OG0006174	BSU_29300						
OG0006175	BSU_29350						
OG0006176	BSU_29430						
OG0006177	BSU_29480						
OG0006178	BSU_29500						
OG0006179	BSU_29510						
OG0006180	BSU_29610						
OG0006181	BSU_29620						
OG0006182	BSU_29690						
OG0006183	BSU_29760						
OG0006184	BSU_29780						
OG0006185	BSU_29830						
OG0006186	BSU_29840						
OG0006187	BSU_29850						
OG0006188	BSU_29870						
OG0006189	BSU_29910						
OG0006190	BSU_29950						
OG0006191	BSU_30000						
OG0006192	BSU_30010						
OG0006193	BSU_30020						
OG0006194	BSU_30080						
OG0006195	BSU_30110						
OG0006196	BSU_30180						
OG0006197	BSU_30240						
OG0006198	BSU_30330						
OG0006199	BSU_30340						
OG0006200	BSU_30360						
OG0006201	BSU_30450						
OG0006202	BSU_30470						
OG0006203	BSU_30500						
OG0006204	BSU_30570						
OG0006205	BSU_30595						
OG0006206	BSU_30620						
OG0006207	BSU_30630						
OG0006208	BSU_30640						
OG0006209	BSU_30660						
OG0006210	BSU_30720						
OG0006211	BSU_30890						
OG0006212	BSU_30930						
OG0006213	BSU_30990						
OG0006214	BSU_31020						
OG0006215	BSU_31030						
OG0006216	BSU_31040						
OG0006217	BSU_31130						
OG0006218	BSU_31140						
OG0006219	BSU_31220						
OG0006220	BSU_31270						
OG0006221	BSU_31310						
OG0006222	BSU_31330						
OG0006223	BSU_31340						
OG0006224	BSU_31380						
OG0006225	BSU_31430						
OG0006226	BSU_31460						
OG0006227	BSU_31470						
OG0006228	BSU_31510						
OG0006229	BSU_31590						
OG0006230	BSU_31610						
OG0006231	BSU_31680						
OG0006232	BSU_31690						
OG0006233	BSU_31700						
OG0006234	BSU_31710						
OG0006235	BSU_31720						
OG0006236	BSU_31730						
OG0006237	BSU_31770						
OG0006238	BSU_31780						
OG0006239	BSU_31810						
OG0006240	BSU_31820						
OG0006241	BSU_31830						
OG0006242	BSU_31840						
OG0006243	BSU_31850						
OG0006244	BSU_31860						
OG0006245	BSU_31890						
OG0006246	BSU_31900						
OG0006247	BSU_31945						
OG0006248	BSU_32060						
OG0006249	BSU_32080						
OG0006250	BSU_32090						
OG0006251	BSU_32120						
OG0006252	BSU_32190						
OG0006253	BSU_32210						
OG0006254	BSU_32270						
OG0006255	BSU_32300						
