Orthogroup	Bsu	Eco	Mtu	Pae	Sac	Sal	Sen
OG0000010	"BSU_18260, BSU_24150, BSU_32820, BSU_37170"	"b0039, b1695"	"Rv0131c, Rv0400c, Rv0752c, Rv0873, Rv0972c, Rv0975c, Rv1679, Rv2500c, Rv2724c, Rv2789c, Rv3274c"	"PA0447, PA0746, PA0879, PA1187, PA1535, PA1631, PA2015, PA2552, PA2889, PA4435, PA4979"	"SACI_RS04935, SACI_RS05355, SACI_RS08180, SACI_RS10720, SACI_RS10800"	"XNR_RS00740, XNR_RS01085, XNR_RS01475, XNR_RS02265, XNR_RS02840, XNR_RS09675, XNR_RS11285, XNR_RS12850, XNR_RS20830, XNR_RS20855, XNR_RS22655, XNR_RS26855, XNR_RS27765"	"STM0073, STM0857, STM1356"
OG0000011	"BSU_03590, BSU_03730, BSU_14360, BSU_23960, BSU_27430, BSU_29340, BSU_30380, BSU_30420, BSU_33270, BSU_34700, BSU_39480, BSU_39640"	"b0495, b0652, b0809, b0864, b1117, b1917, b2306, b3271"	Rv0986	"PA0892, PA1256, PA1339, PA2857, PA2926, PA2987, PA4064, PA4192, PA4594, PA5074, PA5152"		"XNR_RS02475, XNR_RS04845, XNR_RS04955, XNR_RS05360, XNR_RS07650, XNR_RS08600, XNR_RS09900, XNR_RS19965, XNR_RS25170"	"STM0507, STM0662, STM0828, STM0891, STM1218, STM1951, STM2351"
OG0000012	"BSU_11360, BSU_11370, BSU_11460, BSU_11470, BSU_12950, BSU_13000"	"b0829, b1246, b1247, b1291, b1483, b1484, b2180, b3479, b3540, b3541"	"Rv1281c, Rv3663c"	"PA1807, PA2061, PA4505, PA4506"	"SACI_RS04940, SACI_RS04945, SACI_RS08435, SACI_RS08440"	"XNR_RS04235, XNR_RS05640, XNR_RS05645, XNR_RS05730, XNR_RS05735, XNR_RS06685, XNR_RS06690, XNR_RS08395, XNR_RS08400, XNR_RS08420, XNR_RS08425, XNR_RS28750, XNR_RS28755, XNR_RS28860"	"STM0848, STM1695, STM1742, STM1743, STM2219, STM3626, STM3627"
OG0000013	"BSU_09880, BSU_17160, BSU_18220, BSU_28540, BSU_30800"	"b0036, b1393, b1394, b2262"	"Rv0222, Rv0548c, Rv0905, Rv0971c, Rv1070c, Rv1141c, Rv1142c, Rv1472, Rv2486, Rv2831, Rv3039c, Rv3373, Rv3516, Rv3550"	"PA0745, PA1021, PA1629, PA2013, PA2890, PA3591, PA4330, PA4980"	"SACI_RS07790, SACI_RS08475, SACI_RS09975, SACI_RS11055, SACI_RS11060"	"XNR_RS00725, XNR_RS01390, XNR_RS06840, XNR_RS08230, XNR_RS10720, XNR_RS11280, XNR_RS19935"	"STM0070, STM2307"
OG0000014	"BSU_03080, BSU_04770, BSU_05670, BSU_07220, BSU_08410, BSU_08990, BSU_13340, BSU_13670, BSU_21700, BSU_28400, BSU_32870, BSU_36440, BSU_37550, BSU_40710"	"b1530, b1642, b2684"	Rv0042c	"PA0253, PA0942, PA1603, PA3341, PA4135, PA5157"	"SACI_RS05655, SACI_RS06365, SACI_RS07970, SACI_RS09450, SACI_RS10210"	"XNR_RS00460, XNR_RS00835, XNR_RS01730, XNR_RS03395, XNR_RS10290, XNR_RS13900, XNR_RS14645, XNR_RS22300, XNR_RS24550"	"STM1100, STM1444, STM1520, STM2813, STM2920"
OG0000015	"BSU_04170, BSU_10270, BSU_10360, BSU_18250, BSU_28560, BSU_30790"	"b0037, b1701, b1805"	"Rv0119, Rv0166, Rv0214, Rv0551c, Rv1058, Rv2505c, Rv3089, Rv3561"	"PA2557, PA3299, PA3300, PA3924, PA4198"	"SACI_RS05035, SACI_RS05170, SACI_RS05295, SACI_RS05350, SACI_RS05370, SACI_RS08510, SACI_RS09500, SACI_RS10390, SACI_RS10670, SACI_RS10690, SACI_RS10755"	"XNR_RS02535, XNR_RS03170, XNR_RS14395, XNR_RS25430, XNR_RS29190"	"STM0071, STM1350, STM1818"
OG0000016	"BSU_04250, BSU_05050, BSU_05060, BSU_06540, BSU_26720, BSU_36110"	"b0447, b0889, b3743"	"Rv2324, Rv2779c, Rv3291c"	"PA2028, PA2082, PA2246, PA2577, PA3965, PA4508, PA4784, PA5308"	"SACI_RS03595, SACI_RS04175, SACI_RS04740, SACI_RS07575, SACI_RS09865, SACI_RS10330"	"XNR_RS05890, XNR_RS15140, XNR_RS17685, XNR_RS19070, XNR_RS26740, XNR_RS26865, XNR_RS27455, XNR_RS27475"	"STM0459, STM0959, STM1001, STM3876"
OG0000017	"BSU_08100, BSU_21780, BSU_24100, BSU_40350"	"b1201, b1303, b2220, b2554, b2869, b3868, b4004"		"PA1097, PA1099, PA1196, PA1335, PA1663, PA1945, PA2005, PA2354, PA2359, PA3932, PA4021, PA4147, PA4547, PA4726, PA5125, PA5166, PA5483, PA5511"		XNR_RS03490	"STM0652, STM1691, STM2361, STM2396, STM2562, STM4005, STM4174"
OG0000018	"BSU_32550, BSU_38810"	"b0066, b0262, b0855, b1126, b1441, b2422, b3450, b4035"	"Rv1238, Rv2038c, Rv2397c, Rv2832c"	"PA0206, PA0280, PA0302, PA0326, PA0603, PA2341, PA3187, PA3254, PA3538, PA3607, PA5376"	SACI_RS05555	"XNR_RS05840, XNR_RS05920, XNR_RS12665, XNR_RS15355"	"STM0428, STM0878, STM1226, STM1635, STM2441, STM3554, STM4230"
OG0000019	"BSU_08400, BSU_35210, BSU_36480, BSU_37570"	b1828	"Rv2333c, Rv2459, Rv2846c"	"PA1262, PA1282, PA1316, PA2055, PA3718"	"SACI_RS07855, SACI_RS07965, SACI_RS09455, SACI_RS10075, SACI_RS10205"	"XNR_RS03350, XNR_RS07500, XNR_RS10655, XNR_RS14350, XNR_RS15445, XNR_RS15870, XNR_RS16860, XNR_RS17075, XNR_RS17090, XNR_RS20185, XNR_RS22665, XNR_RS25135, XNR_RS26010, XNR_RS26175, XNR_RS27705, XNR_RS29365"	"STM1574, STM1843"
OG0000020	"BSU_32340, BSU_36550"	"b2742, b2865, b3613"	"Rv0867c, Rv0950c, Rv1009, Rv1884c, Rv2389c, Rv2450c, Rv3786c"	"PA3623, PA3787, PA4404, PA4924, PA5133, PA5363, PA5551"		"XNR_RS02110, XNR_RS03025, XNR_RS05080, XNR_RS09950, XNR_RS09955, XNR_RS11825, XNR_RS12935, XNR_RS13960, XNR_RS14545, XNR_RS16810, XNR_RS17280, XNR_RS19105, XNR_RS25100, XNR_RS27965"	"STM2925, STM3038, STM3705"
OG0000021	"BSU_02060, BSU_02400, BSU_03110, BSU_05620, BSU_27090, BSU_30530, BSU_34010, BSU_37760, BSU_39390, BSU_40330"	"b0112, b0260, b0402, b0576, b1453, b3795, b4208"	"Rv0346c, Rv1704c, Rv2127"	"PA0789, PA0866, PA2079, PA3000, PA4981, PA5097"		XNR_RS08865	"STM0150, STM0400, STM0568, STM1584, STM2357, STM3930, STM4398"
OG0000022	"BSU_09240, BSU_34550, BSU_34970"	"b1317, b1727, b2293, b2690, b3385, b3715"	"Rv2232, Rv3400"	"PA0065, PA0562, PA0608, PA0810, PA2067, PA2974, PA3172, PA3941"	SACI_RS00440	"XNR_RS00640, XNR_RS11605, XNR_RS17440, XNR_RS22220, XNR_RS22550, XNR_RS23175, XNR_RS25635, XNR_RS26210, XNR_RS27940"	"STM1322, STM2334, STM2820, STM3482, STM3852"
OG0000023	BSU_15770		"Rv0014c, Rv0015c, Rv0931c, Rv1266c, Rv1743, Rv1746, Rv2088, Rv2176, Rv2914c, Rv3524, Rv3576"	"PA0074, PA1671"		"XNR_RS00685, XNR_RS09240, XNR_RS09245, XNR_RS09975, XNR_RS11110, XNR_RS13630, XNR_RS13725, XNR_RS14970, XNR_RS15060, XNR_RS15195, XNR_RS15200, XNR_RS18885, XNR_RS18890, XNR_RS18895, XNR_RS20475, XNR_RS21795, XNR_RS23615, XNR_RS23825, XNR_RS25310, XNR_RS26270"	
OG0000024	"BSU_08370, BSU_28550, BSU_29630, BSU_34480, BSU_38220, BSU_39850"	b1618	"Rv0078, Rv0144, Rv1534, Rv3055, Rv3058c, Rv3295, Rv3405c, Rv3830c, Rv3855"	"PA1290, PA1315, PA1836, PA2270, PA3006"	SACI_RS05275	"XNR_RS00760, XNR_RS11275, XNR_RS12435, XNR_RS15135, XNR_RS16685, XNR_RS23180, XNR_RS25370, XNR_RS25475, XNR_RS26045, XNR_RS26265, XNR_RS29385"	
OG0000025	BSU_13420	"b0315, b0457, b1285, b1489, b4061"	"Rv1354c, Rv1357c"	"PA0285, PA0575, PA1433, PA1727, PA2072, PA2133, PA2200, PA2567, PA3311, PA3947, PA4367, PA4601, PA5017, PA5295, PA5442"		"XNR_RS06550, XNR_RS06620, XNR_RS08540, XNR_RS11980, XNR_RS28070"	"STM0343, STM0468, STM1703, STM3388, STM4264"
OG0000026		"b1799, b3060, b3521"		"PA0056, PA0159, PA0181, PA0876, PA1067, PA1201, PA1328, PA1961, PA2056, PA2123, PA2258, PA2316, PA2432, PA2447, PA2534, PA2547, PA2681, PA2838, PA2848, PA2877, PA3124, PA3135, PA3565, PA3630, PA3895, PA4145, PA4174"			"STM0333, STM1677, STM3607"
OG0000027	"BSU_02770, BSU_09530, BSU_23620, BSU_29050, BSU_33400, BSU_39780"	"b0207, b1771, b1781, b3012"	"Rv2298, Rv2971"	"PA0804, PA1127, PA2535, PA4167, PA4992"	"SACI_RS00640, SACI_RS04065, SACI_RS10900"	"XNR_RS01990, XNR_RS03000, XNR_RS04560, XNR_RS06560, XNR_RS20335, XNR_RS21160, XNR_RS22390, XNR_RS27895"	"STM0255, STM1288, STM1676, STM3165"
OG0000028	"BSU_03260, BSU_31420"	"b0349, b1009"	"Rv0554, Rv1190, Rv2579, Rv2715, Rv3177, Rv3203, Rv3569c, Rv3591c"	"PA0829, PA2745, PA2949, PA3053, PA3226, PA3509, PA5057, PA5080"	"SACI_RS08775, SACI_RS10700"	"XNR_RS08100, XNR_RS10155, XNR_RS11240, XNR_RS13850, XNR_RS16200, XNR_RS17150, XNR_RS19290, XNR_RS26690, XNR_RS27500"	STM3079
OG0000029	"BSU_22460, BSU_24910, BSU_30880, BSU_30910, BSU_34340, BSU_35730"	"b2032, b2044"	"Rv0225, Rv0486, Rv1212c, Rv2188c, Rv3032"	"PA1385, PA1389, PA3059, PA5004, PA5447"	"SACI_RS03865, SACI_RS05960, SACI_RS08760, SACI_RS09185"	"XNR_RS01560, XNR_RS04830, XNR_RS16770, XNR_RS22615, XNR_RS23515, XNR_RS24985, XNR_RS25105"	"STM0721, STM2100, STM3714"
OG0000030	"BSU_05700, BSU_40050"	"b1450, b1540, b2664"	"Rv0043c, Rv0165c"	"PA0120, PA0121, PA0797, PA1269, PA1520, PA1526, PA4906, PA5525"		"XNR_RS01420, XNR_RS03265, XNR_RS05075, XNR_RS13710, XNR_RS15230, XNR_RS16850, XNR_RS18450, XNR_RS21010, XNR_RS21745, XNR_RS23275"	"STM1510, STM1588, STM2794, STM3357, STM3358"
OG0000031	"BSU_06980, BSU_28740, BSU_30280, BSU_32590, BSU_34150, BSU_34600"	"b1311, b3452, b4033"	"Rv1236, Rv2040c, Rv2316, Rv2835c"	"PA2339, PA3189"	SACI_RS05545	"XNR_RS00780, XNR_RS03835, XNR_RS04805, XNR_RS05115, XNR_RS07805, XNR_RS09115, XNR_RS09265, XNR_RS09795, XNR_RS19275, XNR_RS20650, XNR_RS23005, XNR_RS27810"	"STM3556, STM4228"
OG0000032	"BSU_06990, BSU_28730, BSU_30290, BSU_32580, BSU_34140, BSU_34590"	"b1312, b3451, b4032"	"Rv1237, Rv2039c, Rv2317, Rv2834c"	"PA2340, PA3188"	SACI_RS05540	"XNR_RS00775, XNR_RS03830, XNR_RS04810, XNR_RS05110, XNR_RS07800, XNR_RS09110, XNR_RS09270, XNR_RS09790, XNR_RS19270, XNR_RS20645, XNR_RS23010, XNR_RS27815"	"STM3555, STM4227"
OG0000033	"BSU_12210, BSU_17230, BSU_26740, BSU_30190, BSU_35060"		"Rv0766c, Rv0778, Rv1880c, Rv2266, Rv3121, Rv3518c, Rv3545c"	"PA2475, PA3331"	SACI_RS10060	"XNR_RS00975, XNR_RS02750, XNR_RS03985, XNR_RS03990, XNR_RS04895, XNR_RS09960, XNR_RS11365, XNR_RS11370, XNR_RS11515, XNR_RS11620, XNR_RS15975, XNR_RS25790, XNR_RS28295, XNR_RS28790, XNR_RS29070"	
OG0000034	BSU_18430	b4051	"Rv0149, Rv1454c, Rv1912c, Rv3141, Rv3777"	"PA0023, PA0863, PA1137, PA2491, PA2680, PA3256, PA3567, PA5234"	"SACI_RS05315, SACI_RS06665, SACI_RS08070"	"XNR_RS02130, XNR_RS03475, XNR_RS07630, XNR_RS12315, XNR_RS12975, XNR_RS15175, XNR_RS15280, XNR_RS21765, XNR_RS25450, XNR_RS28830"	STM4245
OG0000035	"BSU_05120, BSU_09100, BSU_21930"	"b0623, b0880, b0990, b1552, b1557, b1823, b3556"	Rv3648c	"PA0456, PA0961, PA1159, PA1960, PA2622, PA3266"		"XNR_RS11885, XNR_RS12390, XNR_RS15000, XNR_RS17765, XNR_RS24050"	"STM0629, STM0943, STM1632, STM1837, STM1996, STM3649"
OG0000036	"BSU_03380, BSU_03610, BSU_23980, BSU_39500"	"b0811, b0860, b0863, b1920, b2309, b2310"		"PA0314, PA0888, PA2923, PA3475, PA3865, PA5153"		"XNR_RS07640, XNR_RS08585, XNR_RS25150, XNR_RS25175"	"STM0830, STM0887, STM0890, STM1954, STM2354, STM2355, STM4351"
OG0000037	BSU_04100	"b0272, b0346, b0506, b1827, b3574, b4018, b4299"	"Rv1719, Rv1773c, Rv2989"	"PA0155, PA0236, PA1630, PA3508, PA4341"		"XNR_RS02785, XNR_RS06235, XNR_RS09005, XNR_RS12960, XNR_RS20150, XNR_RS25625"	"STM0516, STM1842, STM3533, STM3667, STM4187"
OG0000038	"BSU_07360, BSU_10380"			"PA0180, PA0411, PA1251, PA1423, PA1608, PA1646, PA1930, PA2561, PA2573, PA2652, PA2654, PA2788, PA2867, PA2920, PA3708, PA4290, PA4307, PA4309, PA4310, PA4520, PA4633, PA4844, PA4915, PA5072"			STM3138
OG0000039	"BSU_09120, BSU_29650"	"b0385, b0834, b1341, b1490, b1522, b1535, b1794"		"PA0169, PA0290, PA0338, PA1107, PA1851, PA2771, PA2870, PA3177, PA3343, PA3702, PA4332, PA4843, PA4929, PA5487"		"XNR_RS01230, XNR_RS19940"	"STM0385, STM4551"
OG0000040						"XNR_RS05615, XNR_RS06425, XNR_RS09045, XNR_RS09605, XNR_RS09665, XNR_RS10975, XNR_RS11690, XNR_RS12090, XNR_RS12095, XNR_RS12100, XNR_RS12105, XNR_RS12805, XNR_RS12810, XNR_RS13090, XNR_RS13095, XNR_RS16155, XNR_RS16400, XNR_RS16605, XNR_RS16610, XNR_RS16940, XNR_RS18730, XNR_RS24250, XNR_RS27590, XNR_RS29940, XNR_RS30035, XNR_RS31230"	
OG0000041	"BSU_03470, BSU_05270, BSU_05290, BSU_13760, BSU_19540, BSU_29030, BSU_33680, BSU_40540"	b4212	"Rv1725c, Rv3095"	"PA0116, PA1374, PA1607, PA2713"	SACI_RS11195	"XNR_RS04220, XNR_RS06885, XNR_RS10000, XNR_RS13755, XNR_RS15100, XNR_RS18180, XNR_RS22750, XNR_RS28015"	STM4402
OG0000042	"BSU_02370, BSU_05850, BSU_07820, BSU_32560, BSU_35030, BSU_40130"	"b0730, b3375, b3684, b3872, b4102"	Rv0792c	"PA1142, PA2299, PA2802, PA3249, PA3381"		"XNR_RS02740, XNR_RS07815, XNR_RS25330, XNR_RS27505"	"STM0430, STM3602, STM3785"
OG0000043	"BSU_04580, BSU_07430, BSU_25140, BSU_39110"	"b0797, b1343, b2576, b3162, b3780"	"Rv1253, Rv3211"	"PA0428, PA0455, PA2840, PA3466, PA3861, PA3950"	SACI_RS05195	XNR_RS08130	"STM0820, STM1655, STM2643, STM3280, STM3914"
OG0000044	"BSU_07390, BSU_09560, BSU_13310, BSU_27000, BSU_40800"	"b0487, b3292"	Rv3334	"PA2016, PA2718, PA3689, PA4778, PA5116"		"XNR_RS01685, XNR_RS02125, XNR_RS11710, XNR_RS13175, XNR_RS16580, XNR_RS22385, XNR_RS26075"	"STM0354, STM0499, STM3412, STM4320"
OG0000045	"BSU_02480, BSU_12360, BSU_40570"	"b2789, b3093, b3127, b3691, b4356"		"PA0241, PA2210, PA3926, PA4096"	"SACI_RS01140, SACI_RS10315"	XNR_RS15235	"STM1543, STM2399, STM2962, STM3134, STM3698, STM3827, STM3832, STM4412"
OG0000046	"BSU_05410, BSU_08290, BSU_09320, BSU_19190, BSU_33090, BSU_34070, BSU_35500, BSU_38900"	"b1222, b2469"	"Rv2027c, Rv3132c"	"PA0600, PA3878"		"XNR_RS04170, XNR_RS12320, XNR_RS13775, XNR_RS14550, XNR_RS17170, XNR_RS20300, XNR_RS24860"	"STM1766, STM2480"
OG0000047	"BSU_09230, BSU_14090, BSU_14950, BSU_25250, BSU_29270, BSU_29700"		"Rv2406c, Rv2626c"	"PA0250, PA1854, PA2159, PA2192, PA3233, PA3258"	"SACI_RS00195, SACI_RS01405, SACI_RS02030, SACI_RS05560, SACI_RS05700, SACI_RS05750, SACI_RS07165, SACI_RS10345"	XNR_RS18795	
OG0000048	"BSU_11390, BSU_11440, BSU_12930"	"b0831, b1244, b1486, b3477, b3543"	"Rv1283c, Rv3665c"	PA4503	SACI_RS04955	"XNR_RS04245, XNR_RS05745, XNR_RS06700, XNR_RS08410, XNR_RS08435, XNR_RS28740, XNR_RS28850"	"STM0850, STM1256, STM1745, STM3629"
OG0000049	"BSU_11400, BSU_11450, BSU_12940"	"b0832, b1245, b1485, b3478, b3542"	"Rv1282c, Rv3664c"	PA4504	"SACI_RS04950, SACI_RS08430"	"XNR_RS04240, XNR_RS05635, XNR_RS05740, XNR_RS06695, XNR_RS08405, XNR_RS08430, XNR_RS28745"	"STM0851, STM1744, STM3628"
OG0000050	"BSU_13850, BSU_33490, BSU_33500"	"b0484, b3469"	"Rv0092, Rv0103c, Rv0969, Rv1469, Rv1992c, Rv3270, Rv3743c"	"PA1549, PA2435, PA3690, PA3920"	SACI_RS04170	"XNR_RS01605, XNR_RS04395, XNR_RS20945"	"STM0353, STM0498, STM3576"
OG0000051		"b1543, b1981, b3523, b4111"	Rv1200	"PA0703, PA3595, PA3749, PA4343, PA5370"	"SACI_RS03215, SACI_RS08270, SACI_RS08650, SACI_RS08800"	"XNR_RS00250, XNR_RS01055, XNR_RS06780, XNR_RS08805, XNR_RS15770"	"STM0212, STM1507, STM3609, STM4290"
