	sample_id	strain	project	condition	notes	run	ReleaseDate	Type	sequencing_run	LibraryLayout	Platform	R1	R2	skip	reference_condition	passed_fastqc	passed_contamination_check	passed_reads_mapped_to_CDS	passed_global_correlation
159-Xylose	159-Xylose	J1074	PRECISE	Xylose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/159_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/159_R2_001.fastq.gz	False	control	True	True	True	True
160-Xylose	160-Xylose	J1074	PRECISE	Xylose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/160_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/160_R2_001.fastq.gz	False	control	True	True	True	True
161-ISP21	161-ISP21	J1074	PRECISE	ISP2 1% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/161_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/161_R2_001.fastq.gz	False	control	True	True	True	True
162-ISP21	162-ISP21	J1074	PRECISE	ISP2 1% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/162_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/162_R2_001.fastq.gz	False	control	True	True	True	True
165-ISP22	165-ISP22	J1074	PRECISE	ISP2 2% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/165_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/165_R2_001.fastq.gz	False	control	True	True	True	True
167-ISP22	167-ISP22	J1074	PRECISE	ISP2 2% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/167_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/167_R2_001.fastq.gz	False	control	True	True	True	True
170-ISP23	170-ISP23	J1074	PRECISE	ISP2 3% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/170_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/170_R2_001.fastq.gz	False	control	True	True	True	True
171-ISP23	171-ISP23	J1074	PRECISE	ISP2 3% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/171_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/171_R2_001.fastq.gz	False	control	True	True	True	True
173-MSG1	173-MSG1	J1074	PRECISE	MSG 1%NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/173_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/173_R2_001.fastq.gz	False	control	True	True	True	True
174-MSG1	174-MSG1	J1074	PRECISE	MSG 1%NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/174_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/174_R2_001.fastq.gz	False	control	True	True	True	True
179-MSG2	179-MSG2	J1074	PRECISE	MSG 2%NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/179_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/179_R2_001.fastq.gz	False	control	True	True	True	True
180-MSG2	180-MSG2	J1074	PRECISE	MSG 2%NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/180_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/180_R2_001.fastq.gz	False	control	True	True	True	True
182-MSG3	182-MSG3	J1074	PRECISE	MSG 3% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/182_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/182_R2_001.fastq.gz	False	control	True	True	True	True
184-MSG3	184-MSG3	J1074	PRECISE	MSG 3% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/184_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/184_R2_001.fastq.gz	False	control	True	True	True	True
187-MSG42C	187-MSG42C	J1074	PRECISE	MSG 42C	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/187_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/187_R2_001.fastq.gz	False	control	True	False	False	False
188-MSG42C	188-MSG42C	J1074	PRECISE	MSG 42C	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/188_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/188_R2_001.fastq.gz	False	control	True	False	False	False
194-ISP242C	194-ISP242C	J1074	PRECISE	ISP2 42C	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/194_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/194_R2_001.fastq.gz	False	control	True	False	False	False
196-ISP242C	196-ISP242C	J1074	PRECISE	ISP2 42C	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/196_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/196_R2_001.fastq.gz	False	control	True	False	False	False
198-ISP2pH5	198-ISP2pH5	J1074	PRECISE	ISP2 pH5	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/198_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/198_R2_001.fastq.gz	False	control	True	False	False	False
200-ISP2pH5	200-ISP2pH5	J1074	PRECISE	ISP2 pH5	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/200_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/200_R2_001.fastq.gz	False	control	True	False	False	False
201-MSGpH8	201-MSGpH8	J1074	PRECISE	MSG pH8	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/201_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/201_R2_001.fastq.gz	False	control	True	False	False	False
202-MSGpH8	202-MSGpH8	J1074	PRECISE	MSG pH8	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/202_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/202_R2_001.fastq.gz	False	control	True	False	False	False
205-Tween20	205-Tween20	J1074	PRECISE	Tween 20	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/205_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/205_R2_001.fastq.gz	False	control	True	True	True	True
207-Tween20	207-Tween20	J1074	PRECISE	Tween 20	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/207_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/207_R2_001.fastq.gz	False	control	True	True	True	True
210-Lthreonine	210-Lthreonine	J1074	PRECISE	L-threonine	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/210_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/210_R2_001.fastq.gz	False	control	True	True	True	True
211-Lthreonine	211-Lthreonine	J1074	PRECISE	L-threonine	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/211_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/211_R2_001.fastq.gz	False	control	True	True	True	True
231-ISP2pH6	231-ISP2pH6	J1074	PRECISE	ISP2 pH 6	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/231_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/231_R2_001.fastq.gz	False	control	True	False	False	False
232-ISP2pH6	232-ISP2pH6	J1074	PRECISE	ISP2 pH 6	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/232_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/232_R2_001.fastq.gz	False	control	True	False	False	False
234-ISP25	234-ISP25	J1074	PRECISE	ISP2 5% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/234_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/234_R2_001.fastq.gz	False	control	True	False	False	False
236-ISP25	236-ISP25	J1074	PRECISE	ISP2 5% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/236_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/236_R2_001.fastq.gz	False	control	True	False	False	False
239-ISP27	239-ISP27	J1074	PRECISE	ISP2 7% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/239_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/239_R2_001.fastq.gz	False	control	True	False	False	False
240-ISP27	240-ISP27	J1074	PRECISE	ISP2 7% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/240_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/240_R2_001.fastq.gz	False	control	True	False	False	False
241-Tween80	241-Tween80	J1074	PRECISE	Tween 80	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/241_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/241_R2_001.fastq.gz	False	control	True	True	True	True
242-Tween80	242-Tween80	J1074	PRECISE	Tween 80	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/242_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/242_R2_001.fastq.gz	False	control	True	True	True	True
253-Fructose	253-Fructose	J1074	PRECISE	Fructose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/253_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/253_R2_001.fastq.gz	False	control	True	True	True	True
255-Fructose	255-Fructose	J1074	PRECISE	Fructose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/255_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/255_R2_001.fastq.gz	False	control	True	True	True	True
282-Sucrose	282-Sucrose	J1074	PRECISE	Sucrose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/282_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/282_R2_001.fastq.gz	False	control	True	True	True	True
283-Sucrose	283-Sucrose	J1074	PRECISE	Sucrose	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/283_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/283_R2_001.fastq.gz	False	control	True	True	True	True
289-Starch	289-Starch	J1074	PRECISE	Starch	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/289_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/289_R2_001.fastq.gz	False	control	True	True	True	True
29-Asparagine	29-Asparagine	J1074	PRECISE	Asparagine	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/29_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/29_R2_001.fastq.gz	False	control	True	True	True	True
290-Starch	290-Starch	J1074	PRECISE	Starch	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/290_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/290_R2_001.fastq.gz	False	control	True	True	True	True
295-ISP220C	295-ISP220C	J1074	PRECISE	ISP2 20C	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/295_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/295_R2_001.fastq.gz	False	control	True	False	True	False
296-ISP220C	296-ISP220C	J1074	PRECISE	ISP2 20C	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/296_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/296_R2_001.fastq.gz	False	control	True	False	True	False
298-MSG20C	298-MSG20C	J1074	PRECISE	MSG 20C	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/298_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/298_R2_001.fastq.gz	False	control	True	True	True	True
299-MSG20C	299-MSG20C	J1074	PRECISE	MSG 20C	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/299_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/299_R2_001.fastq.gz	False	control	True	True	True	True
30-Asparagine	30-Asparagine	J1074	PRECISE	Asparagine	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/30_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/30_R2_001.fastq.gz	False	control	True	True	True	True
301-MSG5	301-MSG5	J1074	PRECISE	MSG 5% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/301_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/301_R2_001.fastq.gz	False	control	True	True	True	True
303-MSG5	303-MSG5	J1074	PRECISE	MSG 5% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/303_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/303_R2_001.fastq.gz	False	control	True	False	True	False
325-MSG7	325-MSG7	J1074	PRECISE	MSG 7% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/325_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/325_R2_001.fastq.gz	False	control	True	True	True	True
326-MSG7	326-MSG7	J1074	PRECISE	MSG 7% NaCl	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/326_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/326_R2_001.fastq.gz	False	control	True	True	True	True
329-MSGpH6	329-MSGpH6	J1074	PRECISE	MSG pH6	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/329_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/329_R2_001.fastq.gz	False	control	True	True	True	True
330-MSGpH6	330-MSGpH6	J1074	PRECISE	MSG pH6	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/330_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/330_R2_001.fastq.gz	False	control	True	True	True	True
333-DNPM	333-DNPM	J1074	PRECISE	DNPM	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/333_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/333_R2_001.fastq.gz	False	control	True	True	True	True
334-DNPM	334-DNPM	J1074	PRECISE	DNPM	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/334_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/334_R2_001.fastq.gz	False	control	True	True	True	True
353-24hISP2	353-24hISP2	J1074	PRECISE	24h ISP2	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/353_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/353_R2_001.fastq.gz	False	control	True	True	True	True
354-24hISP2	354-24hISP2	J1074	PRECISE	24h ISP2	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/354_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/354_R2_001.fastq.gz	False	control	True	True	True	True
358-24hMSG	358-24hMSG	J1074	PRECISE	24h MSG	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/358_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/358_R2_001.fastq.gz	False	control	True	True	True	True
359-24hMSG	359-24hMSG	J1074	PRECISE	24h MSG	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/359_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/359_R2_001.fastq.gz	False	control	True	True	True	True
360-24hMSG	360-24hMSG	J1074	PRECISE	24h MSG	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/360_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/360_R2_001.fastq.gz	False	control	True	True	True	True
365-48hISP2	365-48hISP2	J1074	PRECISE	48h ISP2	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/365_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/365_R2_001.fastq.gz	False	control	True	True	True	True
366-48hISP2	366-48hISP2	J1074	PRECISE	48h ISP2	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/366_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/366_R2_001.fastq.gz	False	control	True	True	True	True
370-48hMSG	370-48hMSG	J1074	PRECISE	48h MSG	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/370_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/370_R2_001.fastq.gz	False	control	True	True	True	True
371-48hMSG	371-48hMSG	J1074	PRECISE	48h MSG	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/371_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/371_R2_001.fastq.gz	False	control	True	True	True	True
372-48hMSG	372-48hMSG	J1074	PRECISE	48h MSG	sample_id: (carbon source)-(biological replicate id)(technical replicate id)		20/12/2023	in-house	run_03	PAIRED	ILLUMINA	/home/nilmat/reads/streptsd/ready/azenta_run_03/372_R1_001.fastq.gz	/home/nilmat/reads/streptsd/ready/azenta_run_03/372_R2_001.fastq.gz	False	control	True	True	True	True
